Date,Close/Last,Volume,Open,High,Low
09/06/2024,$207.59,632306,$210.31,$210.99,$206.95
09/05/2024,$210.85,699960,$212.07,$212.63,$208.83
09/04/2024,$211.94,754553,$211.44,$212.365,$210.18
09/03/2024,$211.45,637875,$211.13,$212.905,$210.60
08/30/2024,$212.86,646289,$213.42,$213.43,$210.10
08/29/2024,$212.10,352696,$212.12,$213.21,$210.44
08/28/2024,$211.59,488222,$210.68,$212.915,$210.145
08/27/2024,$210.16,659206,$209.03,$211.20,$209.03
08/26/2024,$209.45,483234,$209.50,$211.32,$208.80
08/23/2024,$209.03,446492,$211.10,$211.10,$208.28
08/22/2024,$210.22,461255,$211.14,$211.705,$209.39
08/21/2024,$211.14,574355,$209.59,$211.48,$208.80
08/20/2024,$209.49,529265,$209.53,$210.53,$208.19
08/19/2024,$209.27,713031,$209.18,$210.16,$208.15
08/16/2024,$208.71,538310,$208.99,$210.13,$208.10
08/15/2024,$208.99,761205,$210.80,$210.8699,$208.25
08/14/2024,$209.65,1487049,$209.56,$209.77,$206.285
08/13/2024,$209.88,920923,$211.36,$211.74,$207.58
08/12/2024,$211.15,485914,$214.64,$214.9872,$210.78
08/09/2024,$214.47,415112,$215.42,$216.085,$213.28
08/08/2024,$216.04,557904,$211.98,$219.52,$211.84
08/07/2024,$211.91,895624,$218.91,$220.70,$211.62
08/06/2024,$218.55,1155123,$211.51,$223.81,$211.225
08/05/2024,$208.52,835688,$215.09,$215.09,$207.96
08/02/2024,$215.97,655878,$214.89,$216.03,$210.23
08/01/2024,$214.95,465476,$214.20,$215.34,$212.72
07/31/2024,$214.00,516707,$215.39,$216.86,$213.84
07/30/2024,$215.39,523634,$212.46,$216.765,$211.86
07/29/2024,$211.02,387867,$212.99,$214.46,$210.90
07/26/2024,$212.63,343817,$209.22,$213.24,$208.00
07/25/2024,$208.07,385488,$203.77,$211.85,$203.77
07/24/2024,$203.15,446212,$205.55,$206.125,$202.84
07/23/2024,$205.55,301263,$204.87,$206.31,$204.22
07/22/2024,$204.73,827895,$202.65,$205.39,$201.67
07/19/2024,$201.89,590978,$206.13,$206.43,$200.63
07/18/2024,$204.82,671895,$207.01,$209.30,$204.705
07/17/2024,$207.94,708687,$209.55,$209.55,$207.541
07/16/2024,$209.74,508726,$208.88,$211.68,$208.88
07/15/2024,$208.14,298839,$205.82,$208.8699,$205.71
07/12/2024,$205.45,336694,$204.75,$207.00,$204.0305
07/11/2024,$203.47,370936,$201.41,$204.98,$201.01
07/10/2024,$200.58,525335,$201.22,$201.62,$198.71
07/09/2024,$199.99,470216,$201.41,$201.75,$199.38
07/08/2024,$201.77,389065,$202.23,$203.33,$200.69
07/05/2024,$202.12,384998,$199.46,$202.27,$199.10
07/03/2024,$199.50,191892,$198.18,$200.95,$198.18
07/02/2024,$198.29,264418,$196.72,$198.455,$196.43
07/01/2024,$196.56,329061,$197.57,$197.78,$195.64
06/28/2024,$197.00,1005172,$199.55,$200.72,$196.29
06/27/2024,$199.21,433600,$201.31,$202.49,$198.37
06/26/2024,$200.42,378129,$199.57,$200.50,$198.47
06/25/2024,$200.49,367313,$202.01,$202.13,$200.04
06/24/2024,$201.84,385159,$201.18,$203.28,$200.17
06/21/2024,$200.79,777778,$200.67,$201.32,$199.065
06/20/2024,$199.94,372544,$198.94,$200.81,$198.48
06/18/2024,$199.24,493918,$197.56,$199.92,$196.62
06/17/2024,$197.65,444272,$195.14,$197.70,$193.85
06/14/2024,$195.13,289934,$194.39,$195.355,$192.68
06/13/2024,$196.21,286599,$196.21,$196.805,$194.9132
06/12/2024,$196.96,350458,$197.93,$198.6999,$195.76
06/11/2024,$196.67,327244,$196.45,$197.6483,$194.9634
06/10/2024,$196.85,398939,$197.74,$197.74,$194.80
06/07/2024,$198.04,365067,$196.89,$199.46,$196.24
06/06/2024,$197.70,349976,$198.80,$199.32,$197.41
06/05/2024,$197.97,468657,$200.27,$200.27,$197.14
06/04/2024,$199.98,503343,$198.70,$200.44,$198.005
06/03/2024,$199.58,550622,$199.89,$200.85,$197.59
05/31/2024,$200.77,2491325,$196.39,$201.19,$195.51
05/30/2024,$195.70,584136,$194.91,$195.97,$193.465
05/29/2024,$194.12,646083,$194.93,$195.81,$194.09
05/28/2024,$196.23,737428,$200.00,$200.21,$195.22
05/24/2024,$200.54,496230,$201.88,$202.55,$199.72
05/23/2024,$201.69,501655,$204.08,$204.08,$200.82
05/22/2024,$203.96,642090,$200.37,$205.055,$200.215
05/21/2024,$199.97,551524,$200.39,$200.46,$198.82
05/20/2024,$200.39,496226,$203.03,$203.41,$199.97
05/17/2024,$203.49,544856,$204.76,$204.76,$202.71
05/16/2024,$204.03,505323,$202.64,$204.90,$202.19
05/15/2024,$202.12,516122,$200.70,$202.69,$200.57
05/14/2024,$199.87,502014,$198.34,$200.735,$198.025
05/13/2024,$197.80,615111,$196.41,$198.29,$195.75
05/10/2024,$195.69,560986,$194.03,$196.28,$193.57
05/09/2024,$193.06,653452,$191.84,$194.18,$190.47
05/08/2024,$190.46,875494,$198.00,$198.725,$188.3001
05/07/2024,$201.36,469180,$201.94,$202.00,$200.3373
05/06/2024,$200.68,461646,$200.00,$200.96,$198.36
05/03/2024,$198.85,437685,$196.95,$199.08,$196.82
05/02/2024,$195.35,429709,$194.31,$195.78,$192.61
05/01/2024,$193.43,333705,$193.71,$196.11,$192.86
04/30/2024,$193.41,373520,$196.15,$196.37,$193.36
04/29/2024,$196.29,315245,$195.04,$196.36,$194.75
04/26/2024,$194.15,211848,$195.23,$196.045,$194.03
04/25/2024,$195.56,257489,$194.22,$196.03,$192.72
04/24/2024,$195.08,255805,$195.20,$195.93,$193.68
04/23/2024,$195.91,350594,$195.04,$196.14,$194.43
04/22/2024,$194.23,321616,$194.30,$195.54,$193.02
04/19/2024,$193.38,393844,$193.94,$194.92,$193.33
04/18/2024,$192.98,391863,$194.14,$195.48,$192.5992
04/17/2024,$193.45,421221,$194.99,$194.99,$192.31
04/16/2024,$193.61,500508,$195.62,$196.36,$193.44
04/15/2024,$195.67,332391,$200.72,$201.11,$195.355
04/12/2024,$198.83,400129,$199.17,$200.065,$197.65
04/11/2024,$200.75,434095,$204.27,$204.90,$200.67
04/10/2024,$203.57,414255,$204.68,$204.81,$202.765
04/09/2024,$207.24,576902,$206.12,$207.55,$204.95
04/08/2024,$204.87,588031,$202.86,$205.19,$202.625
04/05/2024,$202.75,471826,$199.00,$203.55,$199.00
04/04/2024,$198.59,300961,$201.10,$202.82,$198.53
04/03/2024,$199.48,465440,$202.00,$202.025,$198.72
04/02/2024,$202.58,317810,$202.05,$203.02,$201.05
04/01/2024,$203.23,188157,$204.26,$204.475,$203.01
03/28/2024,$204.86,368236,$204.43,$205.61,$204.04
03/27/2024,$203.84,362248,$203.25,$203.98,$201.9401
03/26/2024,$201.71,326979,$202.27,$202.9299,$200.82
03/25/2024,$202.34,312264,$203.50,$203.785,$202.01
03/22/2024,$203.51,325733,$206.15,$206.15,$202.76
03/21/2024,$206.05,340129,$204.59,$206.595,$203.865
03/20/2024,$204.16,323176,$202.50,$204.265,$202.50
03/19/2024,$202.25,363891,$199.85,$202.36,$199.7158
03/18/2024,$199.48,462989,$200.90,$201.20,$199.262
03/15/2024,$200.20,856894,$197.95,$200.31,$197.95
03/14/2024,$199.73,355119,$202.49,$203.12,$198.78
03/13/2024,$202.98,349631,$204.13,$204.95,$202.58
03/12/2024,$204.01,362273,$202.17,$204.94,$201.618
03/11/2024,$202.36,296706,$203.06,$203.70,$201.155
03/08/2024,$203.55,446872,$204.91,$205.64,$202.75
03/07/2024,$204.90,519364,$204.38,$205.932,$203.5785
03/06/2024,$203.02,465498,$202.52,$204.79,$201.65
03/05/2024,$201.20,416691,$205.28,$205.28,$199.7636
03/04/2024,$205.56,461048,$203.23,$205.62,$203.23
03/01/2024,$203.74,442380,$203.11,$203.93,$201.7281
02/29/2024,$203.58,1120582,$201.58,$204.12,$201.57
02/28/2024,$201.45,314261,$200.20,$202.56,$199.3001
02/27/2024,$200.01,354429,$200.95,$201.29,$198.835
02/26/2024,$201.40,362140,$201.24,$202.42,$200.72
02/23/2024,$201.49,325227,$200.90,$201.93,$199.89
02/22/2024,$199.84,490406,$197.93,$200.06,$197.93
02/21/2024,$196.58,538269,$195.43,$196.76,$194.42
02/20/2024,$195.16,527153,$197.67,$197.67,$194.66
02/16/2024,$197.92,1212798,$197.90,$199.23,$196.95
02/15/2024,$198.30,721488,$196.70,$198.60,$196.50
02/14/2024,$196.47,1092487,$194.66,$196.945,$194.47
02/13/2024,$193.56,530887,$195.58,$195.75,$192.597
02/12/2024,$197.63,554755,$199.45,$199.56,$197.59
02/09/2024,$198.98,622480,$199.03,$199.8583,$198.50
02/08/2024,$199.00,583452,$199.79,$200.00,$198.15
02/07/2024,$198.25,863243,$199.24,$200.1232,$197.23
02/06/2024,$198.85,594097,$198.43,$199.245,$196.805
02/05/2024,$198.23,840478,$200.82,$201.035,$196.09
02/02/2024,$201.74,713659,$201.03,$202.27,$197.86
02/01/2024,$201.63,1168969,$202.92,$203.34,$191.865
01/31/2024,$204.20,1191822,$209.24,$209.24,$203.91
01/30/2024,$208.96,1146077,$208.00,$210.24,$208.00
01/29/2024,$208.16,1036232,$207.25,$208.52,$206.8548
01/26/2024,$207.88,690421,$208.02,$209.605,$207.53
01/25/2024,$208.25,539563,$206.51,$208.48,$206.51
01/24/2024,$206.07,443589,$206.56,$207.78,$205.475
01/23/2024,$206.32,342985,$206.36,$207.42,$205.65
01/22/2024,$206.38,367400,$205.31,$206.89,$205.31
01/19/2024,$204.89,442629,$201.89,$205.01,$201.15
01/18/2024,$201.23,450110,$202.08,$203.18,$200.30
01/17/2024,$201.95,402801,$202.54,$204.80,$201.32
01/16/2024,$202.16,422615,$200.78,$202.785,$200.04
01/12/2024,$202.60,300235,$202.11,$202.66,$200.71
01/11/2024,$201.21,426748,$202.42,$202.51,$200.03
01/10/2024,$201.97,304831,$200.53,$202.02,$199.08
01/09/2024,$200.00,370670,$198.82,$200.28,$198.20
01/08/2024,$200.00,497727,$197.23,$200.04,$196.16
01/05/2024,$196.35,515245,$196.78,$198.28,$195.90
01/04/2024,$197.09,366718,$197.69,$199.59,$197.03
01/03/2024,$197.12,399760,$199.52,$199.74,$197.10
01/02/2024,$199.89,616318,$204.35,$204.96,$199.00
12/29/2023,$205.75,441139,$205.81,$206.79,$204.865
12/28/2023,$205.83,535483,$204.98,$207.29,$204.255
12/27/2023,$204.27,537555,$202.19,$204.51,$201.87
12/26/2023,$202.02,981120,$199.78,$202.675,$199.535
12/22/2023,$199.67,568834,$197.47,$200.17,$196.85
12/21/2023,$196.36,341160,$196.31,$196.89,$195.00
12/20/2023,$196.36,462894,$196.50,$198.48,$196.14
12/19/2023,$197.02,494397,$196.71,$198.46,$196.495
12/18/2023,$196.71,660372,$195.00,$196.78,$194.45
12/15/2023,$193.75,1137349,$191.44,$193.75,$189.92
12/14/2023,$193.64,634996,$193.21,$193.75,$192.13
