Date,Close/Last,Volume,Open,High,Low
09/06/2024,$103.94,1035733,$104.63,$105.21,$103.75
09/05/2024,$104.63,994759,$105.90,$105.90,$103.63
09/04/2024,$105.82,748903,$105.14,$106.02,$104.985
09/03/2024,$104.96,1174693,$105.13,$105.71,$104.45
08/30/2024,$105.13,1437928,$104.86,$105.45,$104.30
08/29/2024,$104.65,924836,$103.88,$105.02,$103.365
08/28/2024,$103.88,686290,$103.28,$104.1528,$102.68
08/27/2024,$103.00,591308,$102.39,$103.10,$102.195
08/26/2024,$102.23,896654,$102.11,$102.6413,$101.73
08/23/2024,$102.00,935077,$103.71,$103.75,$101.8501
08/22/2024,$103.67,643142,$103.62,$103.87,$103.12
08/21/2024,$103.46,643313,$103.82,$103.825,$102.61
08/20/2024,$102.89,1159099,$102.91,$103.18,$102.34
08/19/2024,$102.52,768976,$101.87,$102.587,$101.42
08/16/2024,$101.87,1458427,$101.39,$101.935,$100.89
08/15/2024,$101.19,1211783,$101.66,$101.80,$100.47
08/14/2024,$101.30,1113688,$100.12,$101.37,$100.01
08/13/2024,$99.94,826118,$99.92,$100.22,$99.1617
08/12/2024,$99.56,919045,$100.43,$101.2547,$99.365
08/09/2024,$100.32,604377,$100.31,$100.76,$99.775
08/08/2024,$100.31,991610,$98.76,$100.60,$98.76
08/07/2024,$98.79,1504291,$99.37,$101.2325,$98.66
08/06/2024,$99.37,1515083,$98.67,$100.76,$98.445
08/05/2024,$98.38,1382291,$100.53,$100.565,$97.85
08/02/2024,$101.22,1420825,$100.66,$103.16,$99.27
08/01/2024,$100.80,1097034,$100.04,$100.86,$99.66
07/31/2024,$99.43,2294142,$99.58,$100.3476,$98.69
07/30/2024,$99.84,967857,$99.25,$100.24,$99.02
07/29/2024,$98.66,1489008,$99.44,$99.92,$98.24
07/26/2024,$99.17,960217,$98.00,$99.26,$97.61
07/25/2024,$97.43,1458085,$97.93,$98.74,$97.21
07/24/2024,$97.56,1733658,$98.05,$98.36,$96.77
07/23/2024,$98.05,2871467,$97.00,$99.08,$95.44
07/22/2024,$93.16,1209099,$92.80,$93.71,$92.38
07/19/2024,$92.46,962467,$93.66,$93.66,$92.29
07/18/2024,$93.23,1124172,$93.17,$94.03,$92.95
07/17/2024,$93.54,1255326,$93.31,$94.13,$93.05
07/16/2024,$93.31,843504,$93.62,$94.04,$93.05
07/15/2024,$93.23,886705,$93.94,$94.28,$93.05
07/12/2024,$93.74,1331924,$92.38,$94.12,$92.11
07/11/2024,$91.97,707996,$91.19,$92.2198,$90.94
