Date,Close/Last,Volume,Open,High,Low
09/06/2024,$32.29,2114511,$32.77,$33.13,$32.27
09/05/2024,$32.85,2279374,$33.16,$33.24,$32.59
09/04/2024,$33.07,1999110,$33.07,$33.32,$32.935
09/03/2024,$33.09,2401321,$33.46,$33.75,$32.96
08/30/2024,$34.07,1867031,$34.17,$34.17,$33.68
08/29/2024,$33.89,1574687,$34.04,$34.21,$33.73
08/28/2024,$33.65,1805491,$33.49,$33.795,$33.35
08/27/2024,$33.65,1881782,$33.72,$33.80,$33.46
08/26/2024,$33.81,1536909,$34.11,$34.35,$33.76
08/23/2024,$33.99,1822167,$33.19,$34.03,$33.05
08/22/2024,$32.89,1644333,$33.00,$33.15,$32.78
08/21/2024,$33.07,1759436,$32.88,$33.13,$32.69
08/20/2024,$32.51,1964773,$32.99,$33.06,$32.45
08/19/2024,$33.08,1483528,$33.00,$33.24,$32.89
08/16/2024,$32.64,1548169,$32.54,$32.749,$32.34
08/15/2024,$32.54,1962736,$32.48,$32.84,$32.26
08/14/2024,$31.73,2180347,$31.99,$32.11,$31.53
08/13/2024,$31.87,2207803,$31.21,$32.005,$31.21
08/12/2024,$31.19,3456030,$31.86,$31.985,$31.125
08/09/2024,$31.79,2939897,$32.17,$32.175,$31.635
08/08/2024,$32.13,3548749,$31.91,$32.295,$31.78
08/07/2024,$31.65,2180423,$32.50,$32.66,$31.57
08/06/2024,$31.86,2952155,$32.31,$32.64,$31.83
08/05/2024,$32.37,3031351,$31.71,$32.535,$31.48
08/02/2024,$33.04,3296852,$33.15,$33.185,$32.295
08/01/2024,$34.03,3403463,$35.33,$35.91,$33.67
07/31/2024,$35.31,6383717,$36.00,$36.75,$34.7605
07/30/2024,$32.45,4246772,$32.78,$32.81,$32.09
07/29/2024,$32.72,2526696,$32.75,$32.825,$32.48
07/26/2024,$32.81,2159756,$32.42,$32.825,$32.035
07/25/2024,$32.18,3823665,$31.71,$32.81,$31.37
07/24/2024,$31.97,2462183,$31.92,$32.595,$31.70
07/23/2024,$32.55,2042904,$32.31,$32.695,$32.19
07/22/2024,$32.65,2897316,$32.86,$32.97,$32.26
07/19/2024,$32.62,2709105,$32.50,$32.955,$32.13
07/18/2024,$33.84,2402199,$34.29,$34.93,$33.65
07/17/2024,$34.18,3161380,$34.00,$34.335,$33.71
07/16/2024,$34.51,2367614,$33.26,$34.62,$33.04
07/15/2024,$33.18,2580179,$33.10,$33.79,$32.97
07/12/2024,$33.12,2328399,$33.23,$33.33,$32.76
07/11/2024,$33.14,2457072,$32.70,$33.165,$32.35
07/10/2024,$32.09,1699958,$31.85,$32.15,$31.60
07/09/2024,$31.66,2622817,$31.29,$31.77,$31.07
07/08/2024,$31.43,1598155,$31.62,$31.83,$31.365
07/05/2024,$31.32,3369043,$31.66,$31.82,$31.22
07/03/2024,$31.89,1280013,$31.87,$32.055,$31.63
07/02/2024,$31.76,1642418,$31.34,$32.05,$31.34
07/01/2024,$31.49,2616184,$32.49,$32.67,$31.395
06/28/2024,$32.24,4686839,$32.08,$32.50,$32.03
06/27/2024,$32.00,2097550,$32.43,$32.57,$31.94
06/26/2024,$32.59,3370363,$32.50,$32.63,$32.03
06/25/2024,$32.87,2272074,$33.39,$33.445,$32.5705
06/24/2024,$33.60,2232197,$33.38,$33.775,$33.25
06/21/2024,$33.13,3852342,$33.11,$33.215,$32.71
06/20/2024,$33.13,2091362,$33.08,$33.445,$32.97
06/18/2024,$33.01,2161723,$33.36,$33.565,$32.78
06/17/2024,$33.19,2035501,$32.45,$33.22,$32.40
06/14/2024,$32.36,2742553,$33.17,$33.295,$31.955
06/13/2024,$33.71,2126390,$34.02,$34.115,$33.26
06/12/2024,$34.24,1807990,$34.19,$34.53,$33.99
06/11/2024,$33.72,2974323,$34.10,$34.18,$33.61
06/10/2024,$34.32,2631738,$34.17,$34.39,$33.985
06/07/2024,$34.61,2216913,$34.58,$35.16,$34.51
06/06/2024,$34.88,2317150,$34.595,$35.02,$34.38
06/05/2024,$34.61,2097227,$34.79,$34.79,$33.95
06/04/2024,$34.72,2217851,$35.39,$35.835,$34.70
06/03/2024,$35.91,2969428,$35.71,$35.98,$35.41
05/31/2024,$35.66,19780230,$35.11,$35.88,$34.77
05/30/2024,$35.22,3868764,$34.90,$35.325,$34.5299
05/29/2024,$34.79,2129412,$35.37,$35.46,$34.75
05/28/2024,$35.94,2291401,$35.78,$35.95,$35.47
05/24/2024,$35.69,1751606,$35.36,$35.71,$35.10
05/23/2024,$35.08,2507832,$35.89,$36.07,$34.89
05/22/2024,$35.85,2225917,$36.13,$36.26,$35.74
05/21/2024,$36.50,2136535,$36.67,$37.13,$36.49
05/20/2024,$36.87,1965643,$37.00,$37.145,$36.71
05/17/2024,$37.09,2255960,$37.65,$37.65,$37.045
05/16/2024,$37.63,1662604,$37.44,$37.75,$37.305
05/15/2024,$37.50,3300348,$37.90,$37.965,$37.18
05/14/2024,$37.59,1837211,$38.06,$38.225,$37.31
05/13/2024,$37.62,1890975,$37.80,$38.01,$37.58
05/10/2024,$37.50,1770268,$38.00,$38.00,$37.365
05/09/2024,$37.72,2162668,$37.56,$37.785,$37.29
05/08/2024,$37.51,3101247,$36.34,$37.59,$36.12
05/07/2024,$36.80,2683211,$36.97,$37.25,$36.715
05/06/2024,$36.94,3017427,$36.75,$37.23,$36.57
05/03/2024,$36.44,4825565,$36.18,$36.72,$36.04
05/02/2024,$35.63,4894036,$35.49,$35.88,$34.10
05/01/2024,$32.87,3658081,$32.69,$33.60,$32.59
04/30/2024,$32.77,2912331,$33.26,$33.44,$32.74
04/29/2024,$33.73,3296642,$33.43,$33.905,$33.30
04/26/2024,$33.19,1825538,$32.83,$33.365,$32.76
04/25/2024,$32.82,1610742,$33.40,$33.48,$32.565
04/24/2024,$33.65,1975364,$33.31,$33.88,$33.18
04/23/2024,$33.34,1922768,$33.10,$33.34,$32.9306
04/22/2024,$33.09,1915574,$33.13,$33.39,$32.85
04/19/2024,$32.80,2222763,$31.98,$32.815,$31.98
04/18/2024,$32.11,2034962,$32.09,$32.28,$31.72
04/17/2024,$31.86,2500578,$32.74,$32.81,$31.86
04/16/2024,$32.44,2847234,$32.81,$33.15,$32.43
04/15/2024,$33.13,2777086,$33.83,$33.929,$32.91
04/12/2024,$33.50,2920149,$34.29,$34.29,$33.32
04/11/2024,$34.50,2352218,$34.81,$34.81,$33.975
04/10/2024,$34.83,2412775,$35.14,$35.195,$34.555
04/09/2024,$35.61,2223979,$35.25,$35.745,$35.22
04/08/2024,$35.13,2153821,$34.97,$35.4589,$34.85
04/05/2024,$34.61,2092011,$34.42,$34.765,$34.22
04/04/2024,$34.43,2525710,$35.22,$35.74,$34.35
04/03/2024,$34.80,2314626,$34.48,$34.895,$34.37
04/02/2024,$34.74,2323526,$34.73,$34.88,$34.18
04/01/2024,$35.04,2956432,$34.91,$35.33,$34.73
03/28/2024,$34.74,3562230,$34.70,$34.97,$34.56
03/27/2024,$34.70,3393203,$33.75,$34.73,$33.63
03/26/2024,$33.65,3490284,$33.31,$33.73,$32.725
03/25/2024,$33.17,2868260,$33.31,$33.49,$33.005
03/22/2024,$33.20,2884774,$33.31,$33.33,$32.74
03/21/2024,$33.40,2801453,$32.91,$33.43,$32.89
03/20/2024,$32.72,3747619,$31.82,$32.74,$31.68
03/19/2024,$31.78,2565459,$32.04,$32.24,$31.62
03/18/2024,$32.07,2867424,$32.57,$32.57,$31.89
03/15/2024,$32.12,6025243,$32.14,$32.615,$31.965
03/14/2024,$32.03,3199580,$32.25,$32.50,$31.83
03/13/2024,$32.47,2950291,$32.50,$33.06,$32.425
03/12/2024,$32.54,3015990,$32.25,$32.615,$32.05
03/11/2024,$32.13,3534250,$31.89,$32.65,$31.86
03/08/2024,$32.04,4336766,$32.56,$32.93,$31.89
03/07/2024,$32.28,4662472,$31.94,$32.98,$31.93
03/06/2024,$31.94,3979741,$31.56,$32.07,$31.47
03/05/2024,$31.32,4040222,$30.74,$31.84,$30.56
03/04/2024,$30.83,3393505,$31.05,$31.25,$30.70
03/01/2024,$31.15,2754922,$31.13,$31.31,$30.6775
02/29/2024,$31.13,3039622,$30.95,$31.23,$30.78
02/28/2024,$30.78,2006534,$30.41,$31.11,$30.30
02/27/2024,$30.68,2037417,$30.56,$30.76,$30.3501
02/26/2024,$30.17,2986458,$30.34,$30.471,$29.89
02/23/2024,$30.41,1848709,$30.42,$30.64,$30.16
02/22/2024,$30.51,1911003,$30.31,$30.525,$30.17
02/21/2024,$30.27,2681242,$29.99,$30.27,$29.8117
02/20/2024,$30.16,3805499,$30.14,$30.25,$29.51
02/16/2024,$30.61,4037656,$30.97,$31.11,$30.525
02/15/2024,$31.49,2829621,$31.38,$31.925,$31.21
02/14/2024,$31.14,3507061,$31.39,$31.47,$30.85
02/13/2024,$31.05,4059536,$31.48,$31.73,$30.775
02/12/2024,$32.32,3179644,$31.91,$32.4453,$31.67
02/09/2024,$31.80,3319868,$31.60,$32.00,$31.29
02/08/2024,$31.48,7453241,$32.00,$32.50,$30.835
02/07/2024,$33.83,3123226,$34.45,$34.81,$33.695
02/06/2024,$34.07,2657732,$33.08,$34.28,$33.00
02/05/2024,$33.48,2290214,$33.73,$33.76,$33.32
02/02/2024,$34.09,2362350,$34.08,$34.34,$33.61
02/01/2024,$34.48,2599445,$34.20,$34.49,$33.76
01/31/2024,$33.90,2352594,$34.31,$34.75,$33.84
01/30/2024,$34.42,2263016,$34.34,$34.905,$34.11
01/29/2024,$34.27,1956554,$33.87,$34.39,$33.62
01/26/2024,$34.14,2100964,$34.00,$34.69,$33.89
01/25/2024,$33.79,1731554,$33.44,$33.80,$33.22
01/24/2024,$33.27,2051845,$33.68,$33.725,$33.14
01/23/2024,$33.45,2192840,$33.76,$33.92,$33.16
01/22/2024,$33.22,2464512,$33.08,$33.35,$32.835
01/19/2024,$32.87,2220941,$32.59,$32.88,$32.35
01/18/2024,$32.75,1785210,$33.00,$33.00,$32.23
01/17/2024,$32.71,2811397,$32.62,$32.94,$32.46
01/16/2024,$33.11,2936689,$32.57,$33.15,$32.41
01/12/2024,$32.79,3066007,$34.18,$34.18,$32.51
01/11/2024,$34.07,2080751,$33.85,$34.09,$33.56
01/10/2024,$33.89,5124528,$33.97,$33.98,$33.54
01/09/2024,$33.97,3092075,$34.62,$34.80,$33.805
01/08/2024,$35.09,2083973,$34.80,$35.235,$34.60
01/05/2024,$34.99,2286764,$34.56,$35.50,$34.425
01/04/2024,$34.31,2898974,$33.40,$34.60,$33.30
01/03/2024,$34.03,2355601,$35.01,$35.29,$33.885
01/02/2024,$35.94,1957782,$35.64,$36.415,$35.64
12/29/2023,$35.85,1483457,$35.96,$36.19,$35.795
12/28/2023,$35.99,1349668,$35.88,$36.135,$35.69
12/27/2023,$35.84,1920538,$36.00,$36.16,$35.77
12/26/2023,$36.00,1196170,$36.06,$36.15,$35.775
12/22/2023,$35.83,1554177,$35.85,$36.24,$35.705
12/21/2023,$35.91,2128831,$35.26,$36.18,$35.10
12/20/2023,$34.91,2765280,$35.25,$36.04,$34.89
12/19/2023,$35.36,2203055,$34.97,$35.43,$34.8167
12/18/2023,$34.73,1931777,$35.15,$35.19,$34.5501
12/15/2023,$34.86,4057903,$35.75,$35.91,$34.755
12/14/2023,$35.83,4519717,$34.04,$35.875,$33.99
12/13/2023,$33.47,3235078,$32.80,$33.495,$32.35
12/12/2023,$32.94,1977143,$33.06,$33.23,$32.81
12/11/2023,$33.27,2327784,$32.80,$33.57,$32.73
12/08/2023,$32.90,3019153,$33.00,$33.485,$32.88
12/07/2023,$33.04,3855216,$32.75,$33.32,$32.63
12/06/2023,$32.73,2717394,$33.32,$33.61,$32.625
12/05/2023,$32.98,2613740,$33.87,$33.9355,$32.72
12/04/2023,$34.32,3556081,$33.77,$34.69,$33.63
12/01/2023,$33.95,2908691,$33.76,$34.11,$33.355
11/30/2023,$33.69,5088790,$34.20,$34.25,$33.32
11/29/2023,$34.16,2589234,$34.38,$34.5609,$33.94
11/28/2023,$33.68,2219526,$34.16,$34.25,$33.65
11/27/2023,$34.21,2197846,$34.14,$34.54,$34.035
11/24/2023,$34.34,898999,$34.77,$34.87,$34.31
11/22/2023,$34.61,2415847,$34.30,$34.695,$34.1042
11/21/2023,$34.02,2065268,$34.21,$34.60,$33.99
11/20/2023,$34.52,2289538,$34.32,$34.79,$34.20
11/17/2023,$34.42,2013572,$34.18,$34.595,$33.97
11/16/2023,$33.82,3407229,$34.29,$34.845,$33.44
11/15/2023,$34.13,2928372,$33.53,$34.21,$33.51
11/14/2023,$33.52,2958939,$33.42,$34.02,$33.28
11/13/2023,$32.52,2419241,$32.28,$32.555,$32.10
11/10/2023,$32.37,2371005,$31.97,$32.55,$31.67
11/09/2023,$32.02,2609706,$32.36,$32.71,$31.98
11/08/2023,$32.36,2284020,$32.67,$32.81,$32.16
11/07/2023,$32.63,2894440,$32.54,$32.79,$32.03
11/06/2023,$32.83,3270411,$33.46,$33.56,$32.78
11/03/2023,$33.36,5499565,$32.58,$33.36,$32.06
11/02/2023,$32.26,7928541,$33.02,$34.91,$31.63
11/01/2023,$37.11,2234700,$37.04,$37.12,$36.47
10/31/2023,$36.90,2567146,$36.71,$37.41,$36.66
10/30/2023,$36.71,3014799,$37.37,$37.57,$36.39
10/27/2023,$36.68,3326112,$38.24,$38.405,$36.615
10/26/2023,$38.26,2092811,$38.59,$39.095,$38.07
10/25/2023,$38.13,1342579,$38.18,$38.50,$37.845
10/24/2023,$38.40,2030553,$38.28,$38.85,$37.99
10/23/2023,$38.23,1574248,$38.38,$38.78,$38.11
10/20/2023,$38.61,2585289,$38.33,$38.86,$38.15
10/19/2023,$38.11,1484928,$38.52,$38.70,$37.90
10/18/2023,$38.50,1084020,$39.07,$39.45,$38.40
10/17/2023,$39.47,1439685,$39.01,$39.97,$39.01
10/16/2023,$39.46,1393811,$39.08,$39.52,$39.08
10/13/2023,$38.70,1394983,$39.27,$39.50,$38.58
10/12/2023,$39.25,1811193,$39.60,$39.82,$38.88
10/11/2023,$39.97,1153803,$39.86,$40.305,$39.48
10/10/2023,$39.76,1538240,$39.76,$40.23,$39.60
10/09/2023,$39.47,1615387,$39.36,$39.68,$38.76
10/06/2023,$39.88,3197573,$38.51,$40.76,$38.22
10/05/2023,$38.66,1943894,$38.97,$39.315,$38.23
10/04/2023,$39.22,1561418,$38.73,$39.27,$38.48
10/03/2023,$38.87,1961421,$39.50,$39.63,$38.705
10/02/2023,$39.86,1287591,$40.29,$40.68,$39.52
09/29/2023,$40.37,1447514,$40.98,$41.055,$40.2272
09/28/2023,$40.69,1337878,$39.66,$40.885,$39.52
09/27/2023,$39.80,1624566,$40.22,$40.29,$39.52
09/26/2023,$39.86,1503638,$40.93,$41.18,$39.82
09/25/2023,$41.28,1307681,$40.45,$41.50,$40.45
09/22/2023,$40.76,2093154,$40.10,$41.30,$40.10
09/21/2023,$40.10,1828636,$40.68,$40.68,$40.01
09/20/2023,$41.18,1862408,$41.61,$42.27,$41.085
09/19/2023,$41.23,2579907,$40.99,$41.44,$40.60
09/18/2023,$40.90,2306333,$40.67,$41.05,$40.28
09/15/2023,$41.05,3815285,$40.34,$41.30,$40.305
09/14/2023,$40.34,3077736,$40.63,$40.985,$39.76
09/13/2023,$40.41,2821508,$41.66,$41.76,$40.22
09/12/2023,$41.34,2355448,$40.08,$41.66,$40.08
