Date,Close/Last,Volume,Open,High,Low
09/06/2024,$137.12,2577891,$138.61,$140.10,$135.6316
09/05/2024,$138.27,2234603,$138.67,$140.89,$137.73
09/04/2024,$137.85,1703740,$137.65,$138.97,$136.59
09/03/2024,$138.14,2339776,$141.43,$141.95,$136.98
08/30/2024,$142.36,3421587,$141.34,$142.69,$138.62
08/29/2024,$140.58,2744905,$140.53,$141.54,$139.715
08/28/2024,$140.08,2548579,$140.79,$142.06,$139.27
08/27/2024,$141.25,3870788,$140.67,$142.33,$140.57
08/26/2024,$141.96,3795263,$140.35,$142.25,$139.82
08/23/2024,$139.28,4886915,$135.92,$140.69,$135.72
08/22/2024,$134.79,1795547,$134.74,$135.50,$133.52
08/21/2024,$134.75,1945381,$133.27,$135.00,$131.73
08/20/2024,$132.98,1811419,$134.85,$135.30,$132.71
08/19/2024,$134.65,2146196,$134.00,$135.00,$133.51
08/16/2024,$134.28,3727431,$136.23,$137.00,$133.24
08/15/2024,$136.27,3508924,$137.86,$138.25,$135.55
08/14/2024,$136.16,2970242,$133.68,$136.50,$133.37
08/13/2024,$133.35,3219349,$130.68,$133.70,$130.11
08/12/2024,$129.28,3100471,$131.03,$132.24,$128.18
08/09/2024,$130.93,1416063,$130.56,$131.87,$129.10
08/08/2024,$130.65,1975288,$129.19,$131.1833,$127.96
08/07/2024,$127.59,2970532,$133.62,$133.84,$127.34
08/06/2024,$130.31,3288934,$129.89,$132.82,$128.82
08/05/2024,$129.51,6374316,$126.85,$132.19,$124.45
08/02/2024,$133.05,4695832,$134.32,$135.20,$131.08
08/01/2024,$137.03,4044773,$141.92,$142.23,$135.64
07/31/2024,$142.15,3617961,$142.76,$144.36,$140.925
07/30/2024,$141.34,2831449,$141.73,$142.86,$139.915
07/29/2024,$140.98,2325864,$141.00,$141.57,$139.46
07/26/2024,$142.00,3262890,$142.40,$142.90,$140.21
07/25/2024,$140.02,4412722,$137.71,$143.06,$136.15
07/24/2024,$137.63,4497468,$142.50,$143.095,$137.48
07/23/2024,$143.62,4640029,$142.05,$145.16,$142.035
07/22/2024,$141.18,4004191,$140.00,$141.83,$138.73
07/19/2024,$138.59,7353571,$138.29,$142.04,$136.68
07/18/2024,$136.41,7386332,$132.25,$140.43,$131.825
07/17/2024,$134.85,5851815,$135.47,$136.86,$133.62
07/16/2024,$137.01,6351482,$133.45,$137.36,$133.11
07/15/2024,$132.37,4505297,$129.75,$133.17,$129.54
07/12/2024,$129.32,3390893,$127.04,$129.86,$126.88
07/11/2024,$126.61,3406098,$126.50,$127.9299,$125.52
07/10/2024,$124.26,1976374,$121.79,$124.37,$121.31
07/09/2024,$121.28,2495470,$120.54,$122.25,$119.75
07/08/2024,$120.77,2270592,$122.29,$122.91,$120.50
07/05/2024,$122.72,1957607,$123.48,$123.48,$121.75
07/03/2024,$123.40,2102519,$123.21,$124.00,$122.23
07/02/2024,$123.21,2292909,$121.79,$123.52,$121.52
07/01/2024,$122.23,3568696,$124.39,$125.58,$121.41
