Date,Close/Last,Volume,Open,High,Low
09/06/2024,$74.56,1042852,$74.87,$75.18,$73.87
09/05/2024,$74.66,1006881,$75.08,$75.72,$74.52
09/04/2024,$74.43,844581,$74.43,$75.47,$73.96
09/03/2024,$74.32,1054332,$74.71,$75.23,$73.72
08/30/2024,$75.22,1595592,$75.17,$75.73,$74.65
08/29/2024,$74.40,835213,$74.40,$74.88,$73.50
08/28/2024,$74.28,654754,$73.92,$74.52,$73.72
08/27/2024,$74.20,750056,$73.18,$74.45,$73.06
08/26/2024,$73.97,1319575,$73.50,$74.91,$73.20
08/23/2024,$73.12,1250342,$71.44,$74.15,$71.005
08/22/2024,$70.87,839126,$70.46,$71.27,$69.79
08/21/2024,$70.56,785121,$70.42,$70.735,$69.546
08/20/2024,$70.18,777176,$71.00,$71.28,$69.97
08/19/2024,$71.28,823076,$69.99,$71.40,$69.97
08/16/2024,$69.99,762734,$69.60,$70.52,$69.01
08/15/2024,$69.63,1073934,$69.41,$70.625,$68.76
08/14/2024,$68.53,668547,$69.12,$69.42,$68.31
08/13/2024,$68.84,577619,$67.96,$68.91,$67.33
08/12/2024,$67.20,712661,$68.40,$68.605,$66.62
08/09/2024,$68.62,634995,$68.92,$69.05,$67.58
08/08/2024,$68.75,1041813,$68.12,$68.89,$67.56
08/07/2024,$67.55,1605006,$69.44,$70.0651,$67.11
08/06/2024,$68.35,1644293,$66.50,$69.92,$65.70
08/05/2024,$65.65,1960891,$63.84,$67.02,$62.4894
08/02/2024,$66.93,1596157,$68.71,$68.78,$65.47
08/01/2024,$70.29,1478301,$72.37,$73.10,$69.51
07/31/2024,$71.31,3384373,$71.63,$73.37,$69.00
07/30/2024,$72.63,1752773,$71.88,$72.85,$70.04
07/29/2024,$71.35,1271114,$70.73,$71.65,$70.01
07/26/2024,$70.50,914271,$68.72,$70.56,$68.64
07/25/2024,$67.91,776342,$67.13,$69.37,$66.92
07/24/2024,$67.02,958936,$68.95,$70.2031,$66.93
07/23/2024,$69.18,918607,$67.51,$69.70,$67.205
07/22/2024,$67.87,718374,$66.76,$67.924,$66.07
07/19/2024,$66.76,793978,$67.29,$67.56,$66.07
07/18/2024,$67.23,1429135,$68.18,$70.50,$66.59
07/17/2024,$68.55,1184830,$68.96,$70.04,$68.28
07/16/2024,$69.35,1688695,$68.91,$69.69,$68.38
07/15/2024,$68.39,1368860,$68.35,$69.04,$67.59
07/12/2024,$67.76,1768932,$66.20,$68.16,$66.18
07/11/2024,$65.23,2619621,$63.60,$65.515,$63.13
07/10/2024,$61.83,890550,$61.62,$62.02,$61.12
07/09/2024,$61.26,1087678,$60.63,$61.38,$59.71
07/08/2024,$60.75,1026998,$60.66,$60.92,$60.14
07/05/2024,$60.30,1445565,$61.32,$61.81,$59.93
07/03/2024,$61.48,743443,$61.80,$62.25,$61.11
07/02/2024,$61.55,1010295,$60.64,$61.59,$60.195
07/01/2024,$60.69,755602,$61.60,$61.96,$60.2395
06/28/2024,$61.56,1985624,$60.71,$61.59,$60.30
06/27/2024,$61.18,935684,$60.94,$61.23,$60.31
06/26/2024,$61.09,800233,$61.17,$61.61,$60.82
06/25/2024,$61.71,1250897,$62.04,$62.17,$61.51
06/24/2024,$62.19,829853,$61.73,$62.70,$61.425
06/21/2024,$61.50,1563801,$61.51,$61.83,$61.0617
06/20/2024,$61.41,1057252,$61.51,$62.36,$61.36
06/18/2024,$62.05,977017,$61.55,$62.56,$61.34
06/17/2024,$61.45,968187,$61.39,$61.87,$60.63
06/14/2024,$61.64,1566202,$60.74,$62.18,$60.7375
06/13/2024,$61.30,1685062,$59.98,$61.71,$59.75
06/12/2024,$59.96,1888087,$61.04,$62.38,$59.57
06/11/2024,$58.39,1383825,$58.53,$59.405,$58.16
06/10/2024,$59.08,1554193,$58.60,$59.91,$58.2901
06/07/2024,$59.26,1536818,$59.64,$60.30,$59.00
06/06/2024,$60.83,1322079,$59.21,$61.01,$59.10
06/05/2024,$59.72,870436,$59.96,$60.5501,$59.46
06/04/2024,$59.95,942215,$59.64,$60.815,$59.605
06/03/2024,$60.04,975271,$60.79,$60.94,$59.61
05/31/2024,$60.67,2268313,$58.86,$60.75,$58.27
05/30/2024,$58.19,1213273,$57.59,$58.22,$57.24
05/29/2024,$57.17,1132795,$57.15,$57.36,$56.46
05/28/2024,$58.09,1142744,$59.93,$60.47,$58.08
05/24/2024,$59.31,949809,$60.27,$60.64,$59.06
05/23/2024,$59.76,879822,$61.98,$61.98,$59.49
05/22/2024,$61.73,614552,$62.02,$62.845,$61.33
05/21/2024,$62.35,990270,$61.85,$62.535,$61.567
05/20/2024,$62.10,873853,$63.34,$63.64,$62.02
05/17/2024,$63.20,887260,$63.81,$63.985,$62.75
05/16/2024,$63.65,1133547,$64.63,$64.91,$63.635
05/15/2024,$64.68,1664344,$65.75,$65.83,$64.60
05/14/2024,$64.05,1251642,$63.74,$64.55,$63.53
05/13/2024,$62.75,1306360,$62.25,$63.47,$61.92
05/10/2024,$61.50,787383,$61.71,$61.71,$60.82
05/09/2024,$61.43,672616,$60.45,$61.55,$60.285
05/08/2024,$60.12,649843,$60.45,$60.86,$59.85
05/07/2024,$60.86,986821,$61.98,$62.44,$60.62
05/06/2024,$61.59,811989,$61.85,$61.89,$61.04
05/03/2024,$60.78,891709,$61.66,$62.54,$60.32
05/02/2024,$60.07,1254378,$60.22,$60.33,$58.53
05/01/2024,$59.25,2343349,$58.00,$61.26,$56.80
04/30/2024,$61.89,1261606,$62.28,$63.365,$61.755
04/29/2024,$62.84,909609,$62.27,$63.11,$62.27
04/26/2024,$61.51,845634,$62.08,$63.61,$61.43
04/25/2024,$61.95,1178419,$61.70,$62.19,$60.53
04/24/2024,$62.94,1030346,$62.20,$63.09,$61.80
04/23/2024,$62.93,1600322,$61.31,$64.22,$61.31
04/22/2024,$61.34,1159551,$60.45,$61.735,$59.94
04/19/2024,$60.20,1446314,$58.85,$60.26,$58.85
04/18/2024,$58.69,955829,$58.43,$58.81,$57.72
04/17/2024,$57.95,1424682,$58.12,$59.07,$57.85
04/16/2024,$57.98,1474362,$58.21,$58.445,$57.06
04/15/2024,$58.67,1333916,$61.21,$61.41,$58.30
04/12/2024,$60.61,1122307,$61.65,$62.18,$60.23
04/11/2024,$62.03,882363,$61.87,$62.74,$61.13
04/10/2024,$61.33,1455361,$62.80,$62.96,$60.80
04/09/2024,$65.30,1415695,$63.40,$65.47,$63.11
04/08/2024,$63.24,853950,$62.05,$63.75,$61.85
04/05/2024,$61.35,1089264,$61.00,$61.725,$60.38
04/04/2024,$61.42,1525838,$63.49,$63.76,$61.22
04/03/2024,$62.71,943596,$61.77,$62.86,$61.59
04/02/2024,$62.11,1461685,$62.47,$62.47,$61.39
04/01/2024,$63.29,775195,$65.35,$65.50,$63.13
03/28/2024,$65.31,1834113,$63.62,$65.53,$63.3101
03/27/2024,$63.15,1228320,$60.88,$63.27,$60.7532
03/26/2024,$61.07,1761966,$63.21,$63.2844,$60.94
03/25/2024,$62.89,1733079,$63.57,$64.41,$62.77
03/22/2024,$63.27,1381919,$65.89,$66.56,$63.21
03/21/2024,$66.11,1326595,$65.01,$66.95,$64.95
03/20/2024,$64.45,1030000,$62.55,$64.84,$62.13
03/19/2024,$63.02,1171874,$62.50,$63.13,$61.75
03/18/2024,$62.83,1029253,$63.03,$63.28,$62.43
03/15/2024,$62.60,2255700,$61.63,$63.30,$61.63
03/14/2024,$62.60,1248423,$63.97,$64.125,$61.96
03/13/2024,$64.26,1193958,$63.48,$64.51,$63.48
03/12/2024,$63.59,729962,$63.57,$64.33,$62.66
03/11/2024,$63.83,838032,$63.61,$64.625,$63.325
03/08/2024,$63.94,1038286,$64.27,$64.97,$63.69
03/07/2024,$63.15,1518862,$63.77,$63.85,$62.56
03/06/2024,$63.12,2761258,$65.55,$65.55,$61.93
03/05/2024,$64.60,1549784,$65.22,$66.36,$64.51
03/04/2024,$65.81,925835,$65.99,$66.33,$65.005
03/01/2024,$66.25,1449886,$64.63,$66.43,$63.75
02/29/2024,$64.72,2119870,$64.96,$66.17,$64.57
02/28/2024,$63.82,1130522,$64.36,$65.32,$63.82
02/27/2024,$64.92,842028,$64.85,$65.58,$64.53
02/26/2024,$64.08,936607,$64.83,$65.48,$63.73
02/23/2024,$65.03,824498,$65.39,$65.79,$64.94
02/22/2024,$65.43,1390294,$66.15,$67.18,$65.38
02/21/2024,$65.72,1297916,$65.76,$66.26,$65.165
02/20/2024,$66.03,1546084,$66.15,$67.00,$65.52
02/16/2024,$67.36,1757051,$65.29,$68.12,$64.805
02/15/2024,$66.71,1289324,$64.13,$66.77,$63.985
02/14/2024,$63.22,1317654,$63.60,$63.86,$62.77
02/13/2024,$62.54,1890470,$62.79,$62.87,$60.75
02/12/2024,$65.44,1471697,$64.61,$65.94,$64.55
02/09/2024,$64.18,1334264,$64.85,$65.355,$63.60
02/08/2024,$65.07,1163713,$63.56,$65.43,$63.52
02/07/2024,$63.77,1455153,$63.64,$64.23,$62.91
02/06/2024,$63.31,1568680,$62.32,$63.795,$62.04
02/05/2024,$62.65,1604830,$62.44,$63.39,$61.96
02/02/2024,$63.69,2344430,$63.11,$64.05,$61.86
02/01/2024,$65.29,3050762,$66.56,$67.05,$62.81
01/31/2024,$66.50,3157570,$69.50,$69.50,$65.76
01/30/2024,$70.00,2474241,$71.25,$71.86,$69.18
01/29/2024,$72.21,1701304,$71.43,$72.59,$70.77
01/26/2024,$71.20,1146347,$71.84,$72.105,$70.97
01/25/2024,$71.50,1132877,$72.04,$72.44,$70.57
01/24/2024,$70.46,1753762,$72.07,$72.07,$70.05
01/23/2024,$70.49,2077099,$70.47,$71.10,$69.30
01/22/2024,$69.70,1468136,$68.88,$69.72,$68.5356
01/19/2024,$68.33,1192539,$66.75,$68.40,$65.95
01/18/2024,$66.50,991977,$66.93,$67.49,$65.71
01/17/2024,$66.92,1547734,$67.58,$68.50,$65.785
01/16/2024,$69.48,1696341,$68.95,$69.95,$67.74
01/12/2024,$69.96,1854046,$70.97,$71.345,$68.81
01/11/2024,$69.93,1432406,$71.21,$71.78,$69.90
01/10/2024,$72.07,1183339,$71.23,$72.72,$70.99
01/09/2024,$71.32,1296062,$70.13,$71.615,$69.57
01/08/2024,$71.09,975268,$70.00,$71.77,$69.72
01/05/2024,$70.36,2257933,$68.28,$71.221,$67.79
01/04/2024,$69.24,1275834,$69.11,$70.03,$68.43
01/03/2024,$69.36,1398501,$70.40,$71.70,$68.10
01/02/2024,$72.10,1525012,$70.55,$72.37,$69.80
12/29/2023,$70.17,915420,$71.64,$71.73,$70.13
12/28/2023,$71.95,844533,$70.51,$71.96,$69.96
12/27/2023,$71.73,839881,$72.10,$72.14,$71.085
12/26/2023,$72.06,584376,$71.13,$72.51,$70.75
12/22/2023,$70.87,807150,$71.87,$72.82,$70.16
12/21/2023,$71.25,895921,$71.96,$71.96,$70.15
12/20/2023,$70.73,1250680,$71.40,$73.37,$70.61
12/19/2023,$71.40,1472793,$71.00,$71.74,$70.59
12/18/2023,$70.30,1130367,$71.96,$71.96,$70.13
12/15/2023,$71.42,2625247,$72.67,$72.91,$69.73
12/14/2023,$72.98,3093162,$71.12,$73.97,$71.12
12/13/2023,$68.09,2432348,$62.35,$68.2797,$61.87
12/12/2023,$62.75,1266089,$63.96,$63.96,$62.495
12/11/2023,$64.08,2493360,$64.00,$64.93,$63.34
12/08/2023,$64.08,3591376,$64.14,$64.47,$63.05
12/07/2023,$64.61,1130798,$63.29,$65.00,$63.24
12/06/2023,$63.27,1367886,$63.00,$64.65,$62.81
12/05/2023,$61.98,1401748,$63.04,$63.2389,$61.12
12/04/2023,$63.72,1684044,$63.07,$64.56,$62.57
12/01/2023,$63.28,3318826,$57.02,$63.50,$56.465
11/30/2023,$56.93,2216068,$57.07,$57.53,$56.28
11/29/2023,$57.00,2579672,$55.82,$59.1213,$55.55
11/28/2023,$55.26,2258735,$53.30,$55.36,$52.69
11/27/2023,$53.46,1235586,$53.31,$53.8254,$52.61
11/24/2023,$53.71,520560,$53.89,$54.20,$53.35
11/22/2023,$53.98,1279007,$54.43,$54.43,$53.69
11/21/2023,$53.62,1420447,$54.39,$54.90,$53.26
11/20/2023,$55.09,1978175,$55.43,$55.43,$54.365
11/17/2023,$55.08,1931453,$56.15,$56.265,$54.85
11/16/2023,$55.23,1177864,$56.85,$57.015,$54.91
11/15/2023,$57.02,2230209,$56.50,$59.045,$56.50
11/14/2023,$56.69,3142040,$54.80,$57.92,$54.67
11/13/2023,$51.21,1211720,$51.72,$52.31,$50.64
11/10/2023,$52.44,2002507,$52.71,$52.71,$51.69
11/09/2023,$52.19,1519311,$55.37,$55.5499,$52.105
11/08/2023,$54.96,995259,$55.84,$55.91,$54.44
11/07/2023,$55.50,1077937,$57.07,$57.22,$55.40
11/06/2023,$57.38,1627104,$58.36,$58.87,$57.32
11/03/2023,$58.91,2229299,$57.44,$59.91,$57.44
11/02/2023,$55.84,1971765,$54.88,$56.65,$54.29
11/01/2023,$53.50,1687213,$53.54,$54.11,$52.54
10/31/2023,$53.57,1472445,$54.03,$54.19,$52.625
10/30/2023,$53.31,1480657,$53.35,$54.515,$52.38
10/27/2023,$52.42,1074984,$54.14,$54.14,$52.14
10/26/2023,$53.61,1473495,$52.43,$54.0498,$52.43
10/25/2023,$52.16,1287107,$53.38,$53.78,$51.82
10/24/2023,$53.82,606125,$53.44,$54.345,$53.06
10/23/2023,$52.99,923459,$53.25,$53.93,$52.84
10/20/2023,$53.90,1285617,$54.68,$55.32,$53.82
10/19/2023,$54.55,1195028,$56.00,$56.78,$54.53
10/18/2023,$56.59,1016931,$57.20,$57.51,$56.51
10/17/2023,$58.16,1250513,$56.06,$58.61,$56.032
10/16/2023,$56.76,1327175,$56.18,$57.465,$55.36
10/13/2023,$55.44,1168875,$56.62,$57.02,$55.03
