Date,Close/Last,Volume,Open,High,Low
09/06/2024,$111.77,3016176,$111.93,$112.87,$111.20
09/05/2024,$111.77,2801493,$113.40,$113.655,$111.25
09/04/2024,$113.91,1742745,$115.00,$115.82,$112.84
09/03/2024,$114.66,2566384,$113.01,$116.05,$113.01
08/30/2024,$112.72,1836612,$112.23,$113.14,$111.88
08/29/2024,$112.20,1919406,$111.49,$112.37,$111.01
08/28/2024,$111.04,1544847,$110.32,$111.60,$110.32
08/27/2024,$110.08,1284528,$109.84,$110.69,$109.34
08/26/2024,$109.61,1161650,$109.31,$109.96,$108.78
08/23/2024,$109.44,1316016,$110.72,$110.82,$109.245
08/22/2024,$110.43,1346659,$109.99,$110.595,$109.6705
08/21/2024,$109.65,1327264,$109.23,$110.195,$109.16
08/20/2024,$108.88,1548341,$109.69,$109.79,$107.9447
08/19/2024,$109.79,1301709,$109.55,$109.90,$108.58
08/16/2024,$109.85,2452221,$108.04,$110.00,$107.5501
08/15/2024,$107.91,3140989,$105.01,$108.08,$105.01
08/14/2024,$106.36,4314705,$109.00,$109.00,$105.01
08/13/2024,$102.58,1970674,$100.81,$102.81,$100.80
08/12/2024,$100.66,1338909,$100.45,$102.11,$100.07
08/09/2024,$100.67,1193076,$99.00,$101.07,$98.07
08/08/2024,$98.92,1727067,$98.50,$99.19,$96.05
08/07/2024,$99.71,1558469,$99.36,$100.75,$98.75
08/06/2024,$99.52,1935006,$98.36,$100.76,$98.2001
08/05/2024,$98.36,2318616,$101.38,$102.06,$97.83
08/02/2024,$101.60,2613341,$104.00,$105.08,$99.55
08/01/2024,$103.39,1740011,$101.29,$103.45,$101.0901
07/31/2024,$100.83,3007790,$100.13,$101.55,$99.84
07/30/2024,$100.26,1523980,$97.98,$100.29,$97.98
07/29/2024,$98.18,1160680,$98.41,$98.97,$97.42
07/26/2024,$98.35,1383461,$97.18,$98.84,$97.18
07/25/2024,$96.91,1577216,$97.04,$98.90,$96.85
07/24/2024,$96.71,1693613,$96.19,$96.8495,$95.13
07/23/2024,$95.84,1169266,$95.67,$96.17,$94.85
07/22/2024,$95.42,1534689,$95.47,$96.70,$94.985
07/19/2024,$95.03,1614850,$96.36,$96.36,$94.29
07/18/2024,$95.30,1379948,$95.67,$96.7643,$94.9901
07/17/2024,$95.97,1685683,$95.82,$96.95,$95.47
07/16/2024,$95.41,1647217,$94.00,$95.50,$93.985
07/15/2024,$93.74,2346783,$94.86,$95.99,$93.17
07/12/2024,$94.10,1891046,$94.99,$95.54,$94.02
07/11/2024,$94.46,2710648,$95.14,$95.2803,$93.52
07/10/2024,$95.59,1612596,$96.03,$96.32,$95.35
07/09/2024,$96.01,1766680,$97.27,$97.27,$95.35
07/08/2024,$96.88,2293381,$95.99,$97.32,$95.99
07/05/2024,$95.89,2069012,$95.58,$96.27,$94.40
07/03/2024,$95.70,1121277,$96.67,$96.96,$95.125
07/02/2024,$96.54,1940383,$97.76,$97.77,$96.09
07/01/2024,$97.76,1793715,$98.17,$99.52,$97.41
06/28/2024,$98.32,4055853,$100.035,$100.60,$98.08
06/27/2024,$99.62,2352267,$100.96,$101.40,$98.20
06/26/2024,$101.10,2106041,$102.62,$102.88,$100.45
06/25/2024,$103.13,1907424,$105.65,$105.73,$103.121
06/24/2024,$104.90,2285019,$104.93,$105.72,$104.46
06/21/2024,$104.63,4413092,$104.53,$105.14,$103.12
06/20/2024,$104.37,2952133,$104.16,$105.32,$103.95
06/18/2024,$104.09,2797755,$101.17,$105.05,$100.815
06/17/2024,$100.95,2377411,$99.92,$101.00,$98.88
06/14/2024,$100.20,1442612,$100.59,$100.9566,$99.68
06/13/2024,$100.61,2121504,$98.75,$101.17,$97.715
06/12/2024,$99.00,1897919,$99.00,$99.19,$97.1301
06/11/2024,$99.01,1694914,$98.69,$99.42,$98.04
06/10/2024,$98.84,1404614,$98.18,$98.95,$97.16
06/07/2024,$98.51,1651043,$99.07,$99.32,$98.34
06/06/2024,$98.80,1719793,$97.79,$98.95,$97.38
06/05/2024,$97.96,1373029,$98.46,$98.46,$97.02
06/04/2024,$98.32,1823638,$99.23,$99.84,$97.55
06/03/2024,$99.51,1773972,$98.57,$99.74,$98.31
05/31/2024,$99.27,4182760,$97.73,$99.44,$97.06
05/30/2024,$97.71,2153325,$96.26,$98.10,$96.02
05/29/2024,$96.14,1721760,$94.61,$96.25,$94.04
05/28/2024,$94.75,1782945,$95.83,$95.88,$94.21
05/24/2024,$96.39,1206966,$96.41,$96.75,$95.66
05/23/2024,$96.05,2058950,$96.24,$96.95,$95.90
05/22/2024,$96.32,1814371,$95.88,$97.13,$95.50
05/21/2024,$96.01,2178653,$98.27,$98.56,$95.76
05/20/2024,$98.46,1399894,$99.28,$99.28,$97.86
05/17/2024,$99.08,1307975,$99.27,$99.40,$98.35
05/16/2024,$98.70,2024083,$97.56,$99.07,$97.27
05/15/2024,$97.11,1671485,$97.23,$98.13,$96.88
05/14/2024,$97.43,1338730,$98.33,$98.65,$96.95
05/13/2024,$98.04,1392199,$99.61,$99.86,$97.90
05/10/2024,$99.53,1726388,$98.22,$100.08,$98.22
05/09/2024,$98.06,1822515,$97.36,$98.87,$97.36
05/08/2024,$97.44,2280705,$99.84,$100.09,$97.31
05/07/2024,$99.72,2307955,$98.77,$99.91,$98.725
05/06/2024,$98.59,1889759,$99.42,$99.70,$98.325
05/03/2024,$98.91,3446183,$101.68,$102.26,$98.24
05/02/2024,$102.98,3684813,$100.00,$106.68,$100.00
