Date,Close/Last,Volume,Open,High,Low
09/06/2024,$69.48,4182643,$69.61,$71.24,$68.97
09/05/2024,$69.04,2535847,$69.12,$69.73,$68.31
09/04/2024,$69.11,3004381,$69.86,$70.00,$68.60
09/03/2024,$70.06,2988848,$72.84,$73.06,$69.81
08/30/2024,$72.78,3251053,$71.67,$73.04,$71.43
08/29/2024,$71.09,2671984,$71.60,$72.145,$70.64
08/28/2024,$71.11,2228287,$71.70,$72.225,$70.81
08/27/2024,$71.76,1997088,$71.29,$71.83,$70.90
08/26/2024,$71.70,3804263,$71.59,$72.27,$71.51
08/23/2024,$71.25,2509511,$70.32,$71.52,$70.00
08/22/2024,$69.58,1970715,$69.58,$69.965,$69.06
08/21/2024,$69.66,2671346,$68.86,$69.935,$68.86
08/20/2024,$68.56,2136627,$68.67,$69.07,$68.15
08/19/2024,$68.64,2626969,$67.44,$68.80,$67.44
08/16/2024,$67.38,3675719,$68.31,$68.86,$67.33
08/15/2024,$68.40,5329417,$67.03,$68.72,$67.03
08/14/2024,$65.68,3502703,$65.65,$66.08,$65.15
08/13/2024,$65.47,2180805,$64.92,$65.53,$64.53
08/12/2024,$64.29,1996967,$64.43,$64.80,$63.51
08/09/2024,$64.38,2339901,$64.37,$65.00,$63.91
08/08/2024,$64.48,2820305,$63.88,$64.81,$63.42
08/07/2024,$63.11,3041036,$65.00,$65.55,$62.895
08/06/2024,$64.14,3673168,$63.24,$65.15,$63.04
08/05/2024,$63.55,5121006,$61.50,$63.625,$61.21
08/02/2024,$63.99,3556949,$64.54,$65.07,$62.60
08/01/2024,$66.06,3211867,$67.91,$68.44,$65.445
07/31/2024,$68.11,3509639,$68.93,$69.49,$67.66
07/30/2024,$67.43,2606948,$67.90,$68.38,$67.02
07/29/2024,$67.62,3624624,$67.28,$67.795,$66.34
07/26/2024,$66.77,4351536,$65.80,$67.78,$65.58
07/25/2024,$64.83,7590024,$64.54,$66.44,$62.505
07/24/2024,$65.99,4618213,$67.47,$67.82,$65.82
07/23/2024,$68.27,4602743,$67.82,$69.35,$67.565
07/22/2024,$68.00,2999809,$67.05,$68.03,$66.57
07/19/2024,$66.24,2822408,$67.31,$67.64,$66.02
07/18/2024,$67.05,3961138,$67.56,$68.84,$65.74
07/17/2024,$67.58,5157587,$69.08,$69.42,$67.56
07/16/2024,$69.88,4893678,$67.77,$70.09,$67.70
07/15/2024,$67.36,3941655,$67.25,$67.70,$66.24
07/12/2024,$66.00,3043723,$66.77,$66.99,$65.97
07/11/2024,$66.41,4800353,$64.58,$66.92,$64.07
07/10/2024,$63.60,2561040,$62.52,$63.72,$62.29
07/09/2024,$62.29,2658602,$63.09,$63.43,$62.02
07/08/2024,$63.13,2123774,$63.47,$64.22,$62.85
07/05/2024,$63.24,1994913,$63.58,$63.69,$62.47
07/03/2024,$63.46,1564635,$62.83,$63.56,$62.45
07/02/2024,$62.83,3241812,$61.88,$63.08,$61.76
07/01/2024,$61.90,2847350,$64.02,$64.02,$61.86
06/28/2024,$63.08,17783850,$63.20,$64.36,$62.41
06/27/2024,$63.23,3027448,$63.28,$63.86,$62.90
06/26/2024,$62.86,3312080,$63.26,$63.46,$62.36
06/25/2024,$63.93,3079345,$64.89,$64.99,$62.98
06/24/2024,$64.63,3802623,$63.85,$65.33,$62.98
06/21/2024,$62.88,6381659,$63.86,$63.935,$61.64
06/20/2024,$64.22,4508604,$65.66,$65.90,$63.95
06/18/2024,$65.72,3335955,$64.63,$65.855,$64.45
06/17/2024,$65.12,5551942,$64.03,$65.60,$63.70
06/14/2024,$64.35,4396241,$63.33,$64.355,$62.63
06/13/2024,$63.99,2373975,$64.24,$64.44,$63.11
06/12/2024,$64.38,3851729,$62.91,$64.825,$62.91
06/11/2024,$62.00,3712747,$62.25,$62.25,$61.245
06/10/2024,$62.54,2486366,$62.48,$63.09,$62.14
06/07/2024,$62.71,2323468,$62.17,$62.85,$61.42
06/06/2024,$62.48,2174219,$62.87,$63.06,$61.81
06/05/2024,$63.17,3198209,$61.77,$63.27,$61.675
06/04/2024,$61.27,2784762,$61.78,$62.10,$60.97
06/03/2024,$61.99,4750278,$63.92,$64.00,$61.23
05/31/2024,$63.19,6950525,$63.43,$63.66,$61.6245
05/30/2024,$63.34,2601027,$63.17,$63.565,$62.815
05/29/2024,$63.07,3559254,$64.00,$64.09,$63.04
05/28/2024,$64.67,3267828,$65.83,$66.00,$64.30
05/24/2024,$65.65,2161625,$64.58,$65.67,$64.33
05/23/2024,$64.35,2769836,$66.17,$66.3678,$64.21
05/22/2024,$65.35,3669987,$65.62,$65.86,$64.8601
05/21/2024,$66.22,4427890,$65.83,$66.499,$65.76
05/20/2024,$65.98,3154137,$65.26,$66.36,$65.00
05/17/2024,$65.23,2405804,$65.24,$65.74,$64.83
05/16/2024,$65.00,4142427,$65.65,$66.02,$64.95
05/15/2024,$65.80,4179982,$65.55,$66.15,$65.33
05/14/2024,$64.96,4128376,$64.86,$65.30,$64.50
05/13/2024,$64.33,3664146,$65.68,$65.91,$64.26
05/10/2024,$65.50,2762878,$65.56,$66.32,$65.245
05/09/2024,$65.24,2662904,$64.30,$65.34,$64.30
05/08/2024,$64.31,2296825,$64.26,$64.51,$63.95
05/07/2024,$64.26,4667507,$64.05,$64.69,$63.69
05/06/2024,$64.06,4583895,$62.78,$64.27,$62.78
05/03/2024,$62.09,3622875,$62.09,$62.89,$61.30
05/02/2024,$60.94,3608512,$61.49,$61.67,$60.22
05/01/2024,$61.12,4240466,$61.25,$62.5241,$60.68
04/30/2024,$61.49,8036027,$62.71,$63.79,$61.45
04/29/2024,$62.71,9087474,$60.50,$62.885,$60.50
04/26/2024,$60.50,6684176,$59.60,$60.655,$59.4671
04/25/2024,$59.81,10169070,$56.75,$59.97,$56.635
04/24/2024,$54.77,5190271,$55.25,$55.94,$54.27
04/23/2024,$55.14,6389205,$53.67,$55.27,$53.66
04/22/2024,$53.62,6856023,$53.82,$54.505,$53.50
04/19/2024,$53.53,3576716,$53.58,$54.17,$53.33
04/18/2024,$53.38,3076844,$54.59,$54.82,$53.35
04/17/2024,$54.25,2661804,$55.05,$55.39,$53.75
04/16/2024,$54.76,3170064,$55.22,$55.29,$54.155
04/15/2024,$55.46,3424948,$57.30,$57.695,$55.34
04/12/2024,$56.84,5654105,$55.99,$56.925,$55.96
04/11/2024,$56.62,2949884,$57.07,$57.07,$56.13
04/10/2024,$56.89,3117246,$57.00,$57.455,$56.40
04/09/2024,$58.11,2954407,$58.14,$58.29,$57.12
04/08/2024,$57.84,4186641,$56.81,$57.96,$56.80
04/05/2024,$56.44,4731165,$56.25,$57.0235,$55.82
04/04/2024,$55.85,5987037,$57.50,$57.83,$55.68
04/03/2024,$56.94,3397174,$56.71,$57.55,$56.54
04/02/2024,$56.80,4133690,$57.58,$57.62,$56.78
04/01/2024,$57.40,4747694,$58.12,$58.58,$57.32
03/28/2024,$58.13,2819604,$57.70,$58.23,$57.50
03/27/2024,$57.68,2738153,$57.93,$57.99,$57.02
03/26/2024,$57.54,3645085,$57.26,$57.75,$57.18
03/25/2024,$57.37,3462660,$57.74,$57.95,$57.13
03/22/2024,$57.86,4895749,$59.63,$59.91,$57.81
03/21/2024,$59.82,5456196,$59.11,$60.54,$58.83
03/20/2024,$58.55,3838291,$58.55,$58.86,$58.0101
03/19/2024,$58.48,4657109,$57.13,$58.50,$57.03
03/18/2024,$57.10,3141504,$57.47,$57.79,$56.875
03/15/2024,$57.05,5401692,$56.71,$57.76,$56.61
03/14/2024,$57.31,8735851,$57.84,$58.44,$56.73
03/13/2024,$57.86,9012079,$57.86,$59.02,$57.65
03/12/2024,$57.90,3577409,$57.37,$58.18,$56.86
03/11/2024,$57.14,3816922,$57.41,$57.90,$56.45
03/08/2024,$58.05,7192455,$59.73,$60.87,$58.01
03/07/2024,$59.55,5869127,$57.60,$59.68,$57.60
03/06/2024,$57.72,6712581,$57.23,$58.78,$57.23
03/05/2024,$56.59,7284235,$56.81,$57.23,$56.10
03/04/2024,$57.15,19223170,$56.63,$57.55,$55.35
03/01/2024,$56.46,5588854,$55.22,$56.53,$55.1326
02/29/2024,$55.58,10538900,$55.10,$55.77,$54.77
02/28/2024,$54.76,3522221,$54.93,$55.63,$54.59
02/27/2024,$55.04,5249798,$54.48,$55.13,$53.93
02/26/2024,$54.00,7976120,$54.13,$54.351,$53.64
02/23/2024,$54.20,4767739,$53.81,$54.57,$53.39
02/22/2024,$53.85,4948503,$54.22,$54.22,$53.42
02/21/2024,$53.77,4205910,$53.64,$54.09,$53.47
02/20/2024,$53.43,5462880,$53.39,$53.721,$53.13
02/16/2024,$54.00,4416134,$55.58,$55.79,$53.89
02/15/2024,$56.05,2461473,$55.33,$56.0852,$55.05
02/14/2024,$55.00,2718321,$54.51,$55.11,$54.10
02/13/2024,$53.97,5188743,$54.41,$54.73,$53.29
02/12/2024,$56.04,4302288,$55.72,$56.42,$55.25
02/09/2024,$56.01,5578656,$54.61,$56.02,$54.61
02/08/2024,$55.06,5429468,$54.06,$55.10,$53.49
02/07/2024,$53.83,8359039,$54.90,$55.32,$53.23
02/06/2024,$54.31,8850683,$54.86,$56.03,$54.25
02/05/2024,$56.26,7718641,$56.14,$57.50,$55.98
02/02/2024,$56.78,4190822,$55.13,$56.98,$54.76
02/01/2024,$55.59,5211625,$55.32,$55.81,$54.555
01/31/2024,$54.71,4194186,$56.04,$56.34,$54.65
01/30/2024,$56.33,4502320,$55.90,$56.52,$55.41
01/29/2024,$56.31,3455342,$55.59,$56.32,$55.20
01/26/2024,$55.51,4136832,$56.39,$56.47,$55.29
01/25/2024,$56.31,3052974,$55.63,$56.36,$55.56
01/24/2024,$54.97,2718129,$56.28,$56.32,$54.93
01/23/2024,$55.91,2873592,$56.49,$56.635,$55.57
01/22/2024,$56.32,3123932,$56.16,$56.75,$55.935
01/19/2024,$55.88,4860868,$55.34,$56.06,$54.71
01/18/2024,$55.40,2422797,$55.37,$55.87,$54.91
01/17/2024,$55.06,4077444,$55.42,$55.79,$54.97
01/16/2024,$55.85,2844158,$55.55,$56.045,$55.16
01/12/2024,$56.14,2890686,$57.14,$57.36,$55.95
01/11/2024,$56.86,3145979,$56.91,$57.11,$56.17
01/10/2024,$57.04,2710470,$56.75,$57.09,$56.31
01/09/2024,$56.80,2591476,$55.99,$56.92,$55.71
01/08/2024,$56.42,2561142,$56.00,$56.46,$55.695
01/05/2024,$55.72,3123680,$55.69,$56.22,$55.43
01/04/2024,$55.48,3597755,$55.03,$56.105,$54.90
01/03/2024,$54.90,3247673,$55.96,$55.96,$54.79
01/02/2024,$56.45,2912702,$56.89,$57.34,$56.075
12/29/2023,$57.45,1501775,$57.42,$57.8494,$57.25
12/28/2023,$57.64,1847086,$57.66,$58.02,$57.55
12/27/2023,$57.78,1741767,$57.38,$57.98,$57.34
12/26/2023,$57.44,2377236,$57.28,$57.765,$57.08
12/22/2023,$57.10,1661366,$57.11,$57.53,$56.715
12/21/2023,$56.92,2481699,$56.52,$56.95,$56.27
12/20/2023,$56.00,2351969,$56.58,$57.53,$55.98
12/19/2023,$56.99,3905053,$56.90,$57.41,$56.60
12/18/2023,$56.76,3538046,$57.44,$57.48,$56.40
12/15/2023,$57.33,9179507,$58.24,$58.58,$57.24
12/14/2023,$58.81,6488835,$56.33,$59.18,$56.01
12/13/2023,$55.80,5096021,$56.50,$56.945,$54.38
12/12/2023,$56.33,3817187,$55.61,$56.45,$54.92
12/11/2023,$55.95,6106184,$55.31,$56.27,$55.31
12/08/2023,$55.27,10424440,$56.05,$56.87,$54.67
12/07/2023,$52.89,2465023,$53.15,$53.15,$52.54
12/06/2023,$53.01,2571012,$53.23,$53.88,$52.93
12/05/2023,$52.57,2474749,$53.23,$53.33,$52.435
12/04/2023,$53.46,3591028,$52.69,$53.49,$52.28
12/01/2023,$53.22,3099846,$52.13,$53.34,$52.08
11/30/2023,$51.96,9300769,$52.00,$52.06,$51.20
11/29/2023,$52.21,4059209,$52.25,$52.97,$51.71
11/28/2023,$51.63,3067747,$52.14,$52.27,$51.31
11/27/2023,$52.14,2709320,$52.65,$52.84,$51.94
11/24/2023,$52.98,710796,$52.60,$53.02,$52.60
11/22/2023,$52.75,2217570,$52.79,$53.00,$52.44
11/21/2023,$52.73,3030067,$53.15,$53.30,$52.52
11/20/2023,$53.59,4876586,$53.25,$54.19,$53.01
11/17/2023,$53.22,2855544,$52.98,$53.345,$52.555
11/16/2023,$52.68,4172864,$52.12,$52.73,$51.93
11/15/2023,$52.35,5927628,$52.72,$53.30,$52.32
11/14/2023,$52.81,4749883,$52.23,$53.71,$52.04
11/13/2023,$50.94,3827294,$51.14,$51.50,$50.67
11/10/2023,$51.50,2578011,$50.98,$51.64,$50.6435
11/09/2023,$50.43,3935458,$51.29,$51.31,$50.31
11/08/2023,$50.95,3607789,$50.56,$51.00,$50.3575
11/07/2023,$50.45,3605542,$50.12,$50.49,$49.6205
11/06/2023,$50.27,3496700,$50.42,$50.63,$49.92
11/03/2023,$50.53,4212084,$50.92,$52.42,$50.47
11/02/2023,$49.97,5897439,$50.74,$50.99,$49.81
11/01/2023,$49.66,5725600,$48.03,$50.02,$47.635
10/31/2023,$47.66,5035101,$47.34,$48.09,$47.12
10/30/2023,$47.37,5355780,$46.96,$47.71,$46.77
10/27/2023,$46.50,6082502,$46.11,$46.72,$45.68
10/26/2023,$46.40,9527565,$48.91,$50.00,$46.19
10/25/2023,$47.04,10203160,$47.87,$48.31,$46.81
10/24/2023,$48.15,5126761,$48.84,$49.12,$47.95
10/23/2023,$48.50,4821872,$48.40,$49.24,$48.07
10/20/2023,$48.28,6322153,$48.97,$48.98,$47.78
10/19/2023,$49.00,6619913,$49.91,$50.59,$48.79
10/18/2023,$50.15,5847208,$52.03,$52.08,$50.02
10/17/2023,$52.90,7323188,$52.66,$53.37,$52.34
10/16/2023,$53.15,5269144,$53.39,$54.07,$53.02
10/13/2023,$52.56,5447272,$54.42,$54.66,$52.265
10/12/2023,$54.48,4401802,$55.12,$55.515,$54.17
10/11/2023,$56.04,2078674,$55.46,$56.195,$55.31
10/10/2023,$55.42,2667027,$55.47,$56.10,$54.89
10/09/2023,$55.02,2259538,$53.94,$55.07,$53.37
10/06/2023,$54.28,5394314,$51.84,$54.64,$51.51
10/05/2023,$53.51,5156458,$53.14,$54.27,$53.02
10/04/2023,$54.61,4563329,$53.70,$54.845,$53.17
10/03/2023,$53.52,4471928,$54.24,$54.45,$52.90
10/02/2023,$54.56,3948038,$55.01,$55.65,$54.14
09/29/2023,$55.20,3883769,$56.38,$56.50,$54.93
09/28/2023,$55.94,5619064,$55.00,$57.12,$54.97
09/27/2023,$55.08,7201417,$53.42,$55.38,$53.41
09/26/2023,$52.72,7229226,$53.10,$54.695,$52.20
09/25/2023,$53.58,3203035,$52.82,$53.73,$52.58
09/22/2023,$52.87,3466513,$52.81,$53.39,$52.40
09/21/2023,$52.56,4185640,$53.28,$53.50,$52.28
09/20/2023,$53.83,2856752,$54.30,$54.72,$53.76
09/19/2023,$53.85,5644064,$54.15,$54.58,$52.16
09/18/2023,$54.39,2859215,$54.29,$55.04,$54.115
09/15/2023,$54.46,6098881,$54.33,$54.76,$53.88
09/14/2023,$54.76,5495672,$55.52,$55.795,$53.63
09/13/2023,$55.24,6016913,$56.45,$56.53,$54.61
09/12/2023,$56.58,6302568,$58.74,$59.20,$56.27
09/11/2023,$58.94,4608687,$59.05,$59.49,$58.23
09/08/2023,$58.66,7177217,$57.20,$59.25,$57.11
09/07/2023,$57.25,3564480,$56.12,$57.49,$55.84
09/06/2023,$56.40,4024485,$56.40,$57.26,$56.05
09/05/2023,$56.42,3240790,$57.88,$58.26,$56.03
09/01/2023,$57.94,2427984,$57.73,$58.26,$57.59
08/31/2023,$57.45,5110484,$57.30,$58.08,$57.30
08/30/2023,$57.18,3026775,$56.75,$57.40,$56.73
08/29/2023,$56.76,2976774,$55.41,$56.88,$55.29
08/28/2023,$55.57,2735287,$55.47,$56.11,$55.32
08/25/2023,$55.02,3650659,$54.48,$55.46,$53.84
08/24/2023,$53.93,4317975,$55.04,$55.815,$53.88
08/23/2023,$55.23,5731468,$53.96,$55.76,$53.945
08/22/2023,$53.80,3296970,$53.91,$54.105,$53.55
08/21/2023,$53.57,3843893,$53.17,$53.725,$52.85
08/18/2023,$53.39,4763806,$52.75,$53.59,$52.615
08/17/2023,$53.05,7003293,$54.35,$54.38,$52.62
08/16/2023,$54.47,4872203,$55.26,$56.09,$54.29
08/15/2023,$55.41,3548454,$55.64,$55.89,$55.30
08/14/2023,$56.02,4056764,$55.09,$56.31,$55.03
08/11/2023,$55.54,3291851,$55.28,$56.04,$55.03
08/10/2023,$55.40,3643455,$56.25,$56.56,$55.285
08/09/2023,$56.16,5306720,$57.30,$57.30,$55.60
08/08/2023,$57.39,3318759,$57.41,$57.545,$56.24
08/07/2023,$58.10,3583451,$57.32,$58.31,$57.085
08/04/2023,$57.08,7313864,$58.44,$58.44,$56.45
08/03/2023,$58.10,5041568,$59.00,$59.00,$58.045
08/02/2023,$58.98,4812031,$59.55,$59.61,$58.47
08/01/2023,$59.80,4087258,$59.35,$60.04,$59.06
07/31/2023,$59.55,6154628,$58.98,$59.80,$58.79
07/28/2023,$58.99,8727343,$57.38,$59.17,$57.24
07/27/2023,$56.75,9557214,$53.64,$57.13,$53.64
07/26/2023,$54.43,6769249,$53.69,$54.44,$53.635
07/25/2023,$53.91,3914568,$53.50,$54.21,$53.37
07/24/2023,$53.81,3560108,$53.55,$54.50,$53.50
07/21/2023,$53.75,6365519,$54.59,$54.6127,$53.44
07/20/2023,$54.67,5500676,$55.50,$55.50,$54.26
07/19/2023,$55.23,6122636,$55.04,$55.58,$54.795
07/18/2023,$55.24,4199704,$54.66,$55.26,$54.65
07/17/2023,$54.56,6000044,$53.85,$54.71,$53.505
07/14/2023,$53.84,6196378,$53.00,$54.055,$52.80
07/13/2023,$53.12,4948258,$53.27,$53.54,$52.73
07/12/2023,$53.12,7832605,$53.51,$53.90,$52.64
07/11/2023,$53.00,8662677,$51.52,$53.03,$51.51
07/10/2023,$51.26,5221437,$49.535,$51.28,$49.51
07/07/2023,$49.33,2885836,$48.82,$49.92,$48.82
07/06/2023,$49.07,4294220,$49.04,$49.15,$48.35
07/05/2023,$49.24,2612201,$49.93,$50.16,$49.225
07/03/2023,$50.04,2039348,$49.73,$50.165,$49.54
06/30/2023,$49.71,4307532,$49.64,$50.085,$49.42
06/29/2023,$49.49,5287647,$49.31,$49.69,$49.20
06/28/2023,$49.32,3325641,$49.25,$49.63,$49.11
06/27/2023,$49.49,4387423,$48.99,$49.595,$48.72
06/26/2023,$48.63,5073171,$48.06,$49.00,$48.06
06/23/2023,$48.05,5924068,$47.52,$48.43,$47.26
06/22/2023,$47.86,5804251,$47.99,$48.06,$47.57
06/21/2023,$48.22,7084391,$47.38,$48.42,$47.28
06/20/2023,$47.61,6529753,$46.53,$47.63,$46.45
06/16/2023,$46.88,9587818,$47.30,$47.41,$46.53
06/15/2023,$46.54,5493562,$45.81,$46.72,$45.40
06/14/2023,$46.16,7079008,$47.13,$47.22,$45.79
06/13/2023,$46.77,4301519,$46.50,$46.87,$46.35
06/12/2023,$45.83,5371569,$45.28,$46.06,$44.90
06/09/2023,$45.30,5920391,$45.83,$45.89,$44.72
06/08/2023,$45.60,6124135,$44.10,$45.62,$44.10
06/07/2023,$45.60,7062900,$43.99,$45.62,$43.86
06/06/2023,$43.85,3256777,$43.15,$44.19,$43.01
06/05/2023,$43.20,3802240,$43.57,$43.47,$42.89
06/02/2023,$43.44,6509742,$42.08,$43.635,$41.98
06/01/2023,$41.50,3883770,$41.04,$41.53,$40.71
05/31/2023,$40.90,10124020,$41.17,$41.50,$40.49
05/30/2023,$41.75,7229628,$40.98,$41.82,$40.54
05/26/2023,$40.89,4816131,$41.52,$41.60,$40.73
05/25/2023,$41.20,5394456,$41.61,$41.69,$40.99
05/24/2023,$41.30,6428372,$41.47,$41.59,$40.965
05/23/2023,$41.51,4141381,$41.99,$42.31,$41.26
05/22/2023,$42.43,3979117,$42.71,$43.10,$42.28
05/19/2023,$42.79,4903476,$43.64,$43.68,$42.46
05/18/2023,$43.27,2763739,$42.71,$43.39,$42.595
05/17/2023,$42.90,4742946,$42.37,$43.235,$42.35
05/16/2023,$42.15,7685535,$42.44,$42.86,$42.02
05/15/2023,$42.81,4415370,$42.12,$42.89,$41.955
05/12/2023,$42.40,4160567,$42.89,$43.09,$41.8005
05/11/2023,$42.83,4128787,$43.09,$43.13,$42.56
05/10/2023,$43.08,6608955,$43.38,$43.54,$42.48
05/09/2023,$42.78,5663059,$42.51,$43.08,$42.37
05/08/2023,$42.60,6666806,$42.89,$43.04,$42.21
05/05/2023,$42.38,6582248,$41.93,$42.48,$41.70
05/04/2023,$41.10,7327745,$40.65,$41.11,$40.28
05/03/2023,$41.09,6212559,$41.90,$42.555,$40.82
05/02/2023,$41.82,7361760,$41.48,$41.85,$40.35
05/01/2023,$41.17,5322508,$41.62,$41.96,$41.035
04/28/2023,$41.82,5991179,$41.56,$42.29,$41.46
04/27/2023,$41.46,9896054,$41.14,$41.535,$40.475
04/26/2023,$40.65,13613370,$41.19,$41.46,$40.40
04/25/2023,$42.32,10038360,$42.78,$43.30,$42.11
04/24/2023,$41.93,20848640,$45.37,$47.21,$41.54
04/21/2023,$45.22,4338820,$45.38,$45.53,$45.02
04/20/2023,$45.38,4965966,$44.78,$45.485,$44.55
04/19/2023,$44.98,4034671,$44.53,$45.11,$44.5114
04/18/2023,$44.81,3688689,$45.25,$45.44,$44.545
04/17/2023,$44.77,3442750,$44.50,$44.92,$44.35
04/14/2023,$44.30,4449530,$44.32,$44.87,$43.865
04/13/2023,$44.10,4686875,$43.76,$44.315,$43.10
04/12/2023,$43.86,4310384,$44.00,$44.345,$43.58
04/11/2023,$43.52,10206090,$42.44,$44.95,$42.34
04/10/2023,$42.30,2859559,$41.80,$42.32,$41.48
04/06/2023,$41.80,4862079,$42.11,$42.31,$41.29
04/05/2023,$42.10,6323080,$43.18,$43.18,$41.705
04/04/2023,$42.89,7067612,$45.60,$45.74,$42.645
04/03/2023,$45.69,4055305,$45.51,$45.96,$45.23
03/31/2023,$45.75,4795802,$45.76,$46.08,$45.325
03/30/2023,$45.09,4046914,$45.66,$45.85,$44.98
03/29/2023,$45.38,3278375,$45.26,$45.60,$45.00
03/28/2023,$44.75,2276390,$45.42,$45.52,$44.52
03/27/2023,$44.30,3387266,$44.69,$44.86,$44.0609
03/24/2023,$43.92,5157611,$43.69,$43.93,$43.01
03/23/2023,$44.30,4330624,$44.23,$45.20,$43.87
03/22/2023,$44.18,4161586,$45.17,$45.64,$44.11
03/21/2023,$45.20,4283235,$45.61,$45.957,$44.97
03/20/2023,$44.99,3888727,$44.12,$45.15,$43.98
03/17/2023,$43.75,8427488,$44.215,$44.37,$43.00
03/16/2023,$44.48,5228830,$43.07,$44.74,$42.73
03/15/2023,$43.31,8194718,$44.73,$44.99,$42.34
03/14/2023,$45.75,5854282,$45.68,$46.485,$45.20
03/13/2023,$44.75,5558690,$45.12,$45.42,$44.53
03/10/2023,$45.64,6072827,$46.20,$46.75,$45.135
03/09/2023,$46.15,4393764,$47.46,$47.515,$46.06
03/08/2023,$47.39,4278500,$47.74,$47.93,$46.915
03/07/2023,$47.55,7577947,$48.40,$49.17,$47.49
03/06/2023,$48.38,8572460,$47.79,$48.675,$47.54
03/03/2023,$47.79,5822709,$46.45,$47.92,$46.32
03/02/2023,$46.09,4663012,$45.24,$46.20,$45.17
03/01/2023,$45.59,5315624,$44.89,$45.67,$44.85
02/28/2023,$45.03,8580590,$44.85,$45.66,$44.805
02/27/2023,$44.96,3543270,$44.75,$45.11,$44.55
02/24/2023,$44.25,3080501,$43.82,$44.455,$43.60
02/23/2023,$44.45,5376569,$43.92,$44.58,$43.74
02/22/2023,$43.60,4776695,$44.06,$44.25,$43.395
02/21/2023,$43.83,4145959,$44.74,$44.88,$43.655
02/17/2023,$45.22,2520934,$45.06,$45.28,$44.57
02/16/2023,$45.23,3865854,$44.59,$45.63,$44.465
02/15/2023,$45.48,2492198,$44.65,$45.50,$44.605
02/14/2023,$45.13,3001154,$45.21,$45.5989,$44.78
02/13/2023,$45.44,3192999,$44.93,$45.64,$44.80
02/10/2023,$44.83,3360462,$44.67,$45.015,$44.42
02/09/2023,$44.92,3883964,$45.45,$46.02,$44.87
02/08/2023,$45.06,5003746,$44.74,$45.35,$44.32
02/07/2023,$44.39,8139910,$43.74,$44.66,$43.55
02/06/2023,$46.15,4829560,$46.29,$46.74,$45.92
02/03/2023,$46.89,3448375,$46.54,$47.4075,$46.36
02/02/2023,$47.13,3979200,$46.74,$47.485,$46.545
02/01/2023,$46.14,5878919,$45.16,$46.565,$44.63
01/31/2023,$45.53,4687693,$44.20,$45.61,$44.035
01/30/2023,$43.58,2620898,$43.38,$43.99,$43.38
01/27/2023,$43.62,1868924,$43.49,$43.99,$43.38
01/26/2023,$43.65,2460148,$43.79,$44.00,$43.17
01/25/2023,$43.51,2911703,$43.19,$43.605,$42.80
01/24/2023,$43.70,4191615,$43.33,$44.03,$42.86
01/23/2023,$43.28,3633120,$42.59,$43.285,$42.43
