Date,Close/Last,Volume,Open,High,Low
09/06/2024,$211.15,752823,$210.03,$212.235,$209.63
09/05/2024,$210.62,561628,$210.51,$211.38,$207.86
09/04/2024,$210.43,613332,$213.33,$213.81,$208.58
09/03/2024,$212.84,1094440,$204.89,$212.84,$203.71
08/30/2024,$205.40,1001828,$206.67,$209.085,$204.40
08/29/2024,$207.09,671630,$209.23,$210.57,$206.06
08/28/2024,$209.02,745348,$210.66,$211.73,$208.21
08/27/2024,$211.35,1016328,$213.15,$216.14,$211.05
08/26/2024,$213.13,827494,$210.00,$214.27,$210.00
08/23/2024,$209.62,889773,$210.20,$210.57,$206.59
08/22/2024,$209.79,643798,$206.40,$210.90,$206.08
08/21/2024,$206.93,662415,$205.54,$207.165,$204.985
08/20/2024,$206.02,633983,$203.93,$206.43,$203.51
08/19/2024,$204.59,483083,$204.03,$205.17,$202.98
08/16/2024,$202.94,689327,$201.01,$204.50,$201.01
08/15/2024,$200.98,1087417,$206.76,$206.76,$200.54
08/14/2024,$205.99,1014847,$201.04,$206.43,$200.31
08/13/2024,$202.28,1023609,$203.55,$203.85,$199.15
08/12/2024,$203.62,496352,$201.54,$204.17,$200.47
08/09/2024,$200.82,801884,$204.165,$204.471,$200.82
08/08/2024,$204.18,1651910,$202.42,$205.96,$201.55
08/07/2024,$202.24,2317073,$196.38,$203.37,$194.00
08/06/2024,$197.25,1589718,$196.01,$199.06,$195.28
08/05/2024,$196.27,1792411,$193.94,$202.6699,$192.32
08/02/2024,$193.785,1435467,$186.10,$195.00,$186.10
08/01/2024,$185.75,1181036,$183.74,$186.51,$181.32
07/31/2024,$183.51,835895,$186.90,$186.90,$182.34
07/30/2024,$187.05,592335,$185.35,$187.62,$185.005
07/29/2024,$185.58,507432,$186.04,$187.01,$184.69
07/26/2024,$186.46,549938,$187.80,$188.745,$185.74
07/25/2024,$187.05,927832,$184.26,$189.13,$183.59
07/24/2024,$185.17,812475,$183.60,$186.77,$182.02
