Date,Close/Last,Volume,Open,High,Low
09/06/2024,$113.55,1659614,$114.06,$115.24,$112.38
09/05/2024,$114.15,1574452,$114.975,$115.34,$113.76
09/04/2024,$114.79,1406879,$115.65,$116.66,$114.67
09/03/2024,$115.66,1705014,$114.67,$116.10,$114.48
08/30/2024,$115.14,2789242,$115.49,$115.89,$114.28
08/29/2024,$114.62,1119126,$115.46,$115.73,$114.10
08/28/2024,$115.11,989533,$115.36,$116.31,$114.7916
08/27/2024,$115.34,992979,$115.62,$116.43,$115.21
08/26/2024,$116.72,951453,$117.49,$118.39,$116.54
08/23/2024,$117.03,1649623,$113.86,$117.65,$113.54
08/22/2024,$112.85,795728,$112.12,$113.16,$111.75
08/21/2024,$112.24,920729,$111.81,$112.49,$110.82
08/20/2024,$111.50,1278610,$112.17,$112.67,$110.76
08/19/2024,$112.50,788580,$111.83,$112.64,$111.25
08/16/2024,$111.73,1455593,$111.60,$111.92,$110.885
08/15/2024,$110.57,1026544,$111.41,$112.115,$110.38
08/14/2024,$110.49,1217038,$110.58,$111.47,$109.50
08/13/2024,$110.35,1069344,$108.75,$110.76,$107.86
08/12/2024,$107.87,940385,$108.89,$109.04,$107.54
08/09/2024,$109.14,858359,$109.06,$110.10,$107.93
08/08/2024,$108.68,1291082,$107.15,$109.3599,$106.27
08/07/2024,$106.32,1970763,$109.19,$110.22,$106.15
08/06/2024,$108.12,2185956,$105.98,$110.36,$105.17
08/05/2024,$106.62,2224111,$108.96,$109.44,$106.13
08/02/2024,$110.38,1810196,$111.31,$111.875,$108.79
08/01/2024,$112.39,2205933,$112.895,$113.53,$110.77
07/31/2024,$112.71,2083159,$112.17,$114.51,$110.83
07/30/2024,$112.00,1968659,$110.71,$112.13,$110.26
07/29/2024,$110.54,2471872,$110.90,$112.24,$109.88
07/26/2024,$110.55,3578154,$110.00,$112.21,$108.57
07/25/2024,$107.43,4433620,$104.07,$110.55,$103.05
07/24/2024,$98.30,1962687,$98.91,$99.85,$97.85
07/23/2024,$99.16,1659312,$98.36,$100.27,$98.36
07/22/2024,$98.77,1319823,$97.84,$98.83,$96.38
07/19/2024,$97.83,1478210,$97.48,$97.89,$96.85
07/18/2024,$97.09,1523771,$97.48,$99.56,$96.59
07/17/2024,$97.92,1386434,$96.66,$98.36,$96.66
07/16/2024,$97.23,2429632,$96.58,$97.90,$96.14
07/15/2024,$95.85,1483042,$94.65,$96.31,$94.65
07/12/2024,$94.65,1135484,$93.98,$95.48,$93.31
07/11/2024,$93.12,1507500,$91.50,$93.86,$91.185
07/10/2024,$89.95,787630,$88.93,$90.02,$88.32
07/09/2024,$88.77,1008102,$87.81,$89.35,$87.81
07/08/2024,$88.36,1093607,$87.27,$88.56,$87.25
07/05/2024,$87.21,1073119,$86.95,$87.48,$86.19
07/03/2024,$87.39,578558,$87.01,$87.975,$86.46
07/02/2024,$87.08,876183,$86.07,$87.09,$85.74
07/01/2024,$85.97,1523239,$88.77,$88.78,$85.83
