Date,Close/Last,Volume,Open,High,Low
09/06/2024,$234.97,1831577,$236.36,$237.46,$233.26
09/05/2024,$236.24,2468432,$237.87,$238.51,$231.92
09/04/2024,$243.40,968644,$244.38,$244.595,$238.05
09/03/2024,$243.72,1408852,$240.55,$244.82,$239.93
08/30/2024,$239.57,1229115,$237.25,$239.80,$236.89
08/29/2024,$237.60,829704,$236.45,$238.39,$235.40
08/28/2024,$236.45,878803,$233.76,$236.695,$233.52
08/27/2024,$233.50,1304060,$235.22,$236.74,$232.035
08/26/2024,$234.44,1471291,$235.52,$237.00,$233.32
08/23/2024,$237.74,1170844,$240.92,$241.18,$237.23
08/22/2024,$240.59,736272,$240.10,$240.84,$239.20
08/21/2024,$239.34,775124,$238.76,$240.41,$238.43
08/20/2024,$238.41,697967,$239.13,$239.49,$237.745
08/19/2024,$238.85,788242,$237.88,$238.96,$237.51
08/16/2024,$238.11,1013198,$236.80,$238.205,$235.38
08/15/2024,$236.67,1108906,$238.07,$238.55,$234.95
08/14/2024,$237.75,1158996,$236.75,$238.855,$235.00
08/13/2024,$236.31,1043038,$237.75,$239.23,$236.07
08/12/2024,$237.77,913145,$237.19,$240.10,$236.27
08/09/2024,$237.77,1258770,$238.17,$238.219,$235.42
08/08/2024,$237.00,1747215,$239.52,$240.00,$234.29
08/07/2024,$241.10,1051450,$239.96,$243.85,$239.41
08/06/2024,$239.82,1186779,$241.90,$243.61,$239.44
08/05/2024,$241.25,2354004,$246.51,$246.93,$238.18
08/02/2024,$247.57,3292432,$240.00,$247.66,$235.73
08/01/2024,$244.46,2039516,$240.10,$245.50,$238.93
07/31/2024,$237.88,2541593,$238.56,$244.23,$235.92
07/30/2024,$231.03,1780378,$226.70,$233.07,$226.09
07/29/2024,$227.18,1434872,$227.77,$229.09,$227.07
07/26/2024,$227.62,1310278,$227.39,$228.94,$226.47
07/25/2024,$227.11,986731,$226.22,$230.24,$226.16
07/24/2024,$225.98,847116,$225.35,$226.42,$222.76
07/23/2024,$224.26,680636,$225.29,$226.09,$223.68
07/22/2024,$224.72,936834,$224.93,$226.06,$223.56
07/19/2024,$223.60,1357117,$225.78,$225.985,$223.28
07/18/2024,$223.71,1335980,$224.58,$226.95,$223.43
07/17/2024,$225.16,709876,$225.38,$226.7109,$224.32
07/16/2024,$225.38,1614264,$222.12,$225.75,$221.52
07/15/2024,$222.20,1873945,$222.48,$225.52,$222.02
07/12/2024,$222.60,791079,$222.76,$224.09,$221.81
07/11/2024,$222.00,943895,$221.72,$222.49,$219.54
07/10/2024,$222.42,706400,$222.63,$223.32,$221.23
07/09/2024,$222.37,851858,$225.51,$225.51,$221.73
07/08/2024,$223.69,767708,$222.68,$224.29,$222.07
07/05/2024,$222.68,830619,$222.40,$222.73,$219.19
07/03/2024,$222.50,648190,$223.00,$223.98,$220.98
07/02/2024,$222.51,1455291,$223.70,$223.79,$219.56
07/01/2024,$223.53,1723139,$226.41,$226.98,$222.35
06/28/2024,$225.30,2859201,$227.87,$227.87,$224.35
06/27/2024,$227.96,4208850,$229.00,$232.16,$223.47
06/26/2024,$237.28,1229612,$237.60,$238.30,$235.86
06/25/2024,$238.33,1882924,$240.40,$240.43,$237.96
06/24/2024,$239.36,1059835,$238.99,$241.2195,$237.91
06/21/2024,$236.68,5382684,$236.59,$238.43,$234.39
06/20/2024,$235.68,1230765,$237.17,$237.91,$235.54
06/18/2024,$237.20,1349664,$235.76,$237.81,$234.57
06/17/2024,$234.70,1011843,$232.24,$235.07,$231.36
06/14/2024,$232.53,919681,$231.94,$232.67,$230.78
06/13/2024,$232.23,863725,$229.63,$232.62,$227.56
06/12/2024,$230.14,1336127,$232.17,$232.17,$227.36
06/11/2024,$232.62,1159709,$233.95,$234.37,$231.50
06/10/2024,$234.57,1568026,$235.27,$235.27,$231.79
06/07/2024,$235.47,1064159,$237.29,$238.08,$234.69
06/06/2024,$236.67,2246451,$231.72,$236.71,$230.76
06/05/2024,$231.77,1781993,$231.73,$232.36,$230.11
06/04/2024,$230.67,1000959,$230.14,$231.25,$228.11
06/03/2024,$230.51,2028348,$224.72,$230.98,$224.72
05/31/2024,$226.57,3835641,$220.72,$226.64,$220.72
05/30/2024,$220.53,2127897,$219.91,$222.45,$218.32
05/29/2024,$219.06,1773984,$215.83,$219.26,$214.7686
05/28/2024,$216.21,1400875,$218.06,$218.06,$215.11
05/24/2024,$218.89,1029855,$219.94,$220.67,$217.86
05/23/2024,$219.82,1555482,$218.50,$220.83,$218.50
05/22/2024,$216.75,1179960,$216.85,$217.8175,$216.20
05/21/2024,$217.08,1420200,$221.30,$221.30,$216.46
05/20/2024,$221.00,888229,$222.38,$222.54,$219.775
05/17/2024,$222.12,1001923,$222.74,$222.80,$221.029
05/16/2024,$221.85,1045188,$222.51,$223.32,$220.87
05/15/2024,$221.81,898850,$221.69,$223.535,$221.23
05/14/2024,$221.94,1522222,$223.18,$223.71,$220.68
05/13/2024,$222.92,1060591,$224.73,$226.18,$222.58
05/10/2024,$224.60,943908,$224.42,$225.67,$224.02
05/09/2024,$224.09,927628,$223.95,$225.50,$223.78
05/08/2024,$224.11,2401794,$227.72,$228.25,$223.62
05/07/2024,$226.74,1899150,$224.31,$226.89,$224.31
05/06/2024,$224.04,1582709,$225.43,$226.09,$223.19
05/03/2024,$223.95,2222046,$223.63,$224.86,$222.20
05/02/2024,$224.74,2042140,$228.49,$228.792,$224.32
05/01/2024,$229.20,3291636,$229.15,$231.55,$224.80
04/30/2024,$239.05,1589325,$239.78,$240.26,$238.00
04/29/2024,$239.93,912088,$240.00,$240.86,$238.21
04/26/2024,$240.88,972783,$240.04,$241.36,$238.095
04/25/2024,$239.76,831205,$239.03,$241.05,$238.25
04/24/2024,$237.95,926754,$237.59,$238.79,$235.84
04/23/2024,$237.69,1430856,$237.43,$238.72,$236.245
04/22/2024,$236.85,2287125,$236.00,$239.01,$234.73
04/19/2024,$239.13,1411190,$238.68,$239.91,$236.98
04/18/2024,$237.30,1443314,$239.40,$239.40,$235.39
04/17/2024,$238.62,1028618,$239.22,$239.26,$236.24
04/16/2024,$238.26,1981544,$237.48,$239.77,$236.62
04/15/2024,$234.21,986035,$236.35,$236.82,$234.17
04/12/2024,$234.00,822327,$235.00,$236.24,$233.095
04/11/2024,$235.64,810744,$238.44,$238.44,$235.27
04/10/2024,$237.80,712151,$238.29,$240.43,$237.62
04/09/2024,$238.57,807596,$241.22,$241.22,$236.81
04/08/2024,$240.36,813158,$242.20,$242.745,$240.35
04/05/2024,$243.22,744596,$242.72,$243.82,$241.88
04/04/2024,$242.04,1026949,$246.65,$246.65,$241.90
04/03/2024,$245.80,1125211,$243.74,$246.75,$242.411
04/02/2024,$243.09,961404,$242.50,$244.52,$241.67
04/01/2024,$243.00,635008,$242.38,$243.34,$240.25
03/28/2024,$242.99,1574357,$244.64,$244.64,$239.785
03/27/2024,$244.64,674294,$243.98,$244.68,$242.86
03/26/2024,$242.80,829209,$242.06,$244.06,$241.595
03/25/2024,$242.06,703339,$242.50,$243.305,$241.625
03/22/2024,$242.50,720762,$242.92,$243.59,$241.98
03/21/2024,$242.33,801294,$241.90,$243.64,$240.33
03/20/2024,$241.87,967358,$242.52,$243.83,$241.76
