Date,Close/Last,Volume,Open,High,Low
09/06/2024,$51.89,2627729,$51.20,$52.17,$51.20
09/05/2024,$51.34,2263310,$51.86,$52.33,$51.28
09/04/2024,$51.64,2152382,$51.29,$51.685,$50.91
09/03/2024,$51.35,2604606,$49.96,$51.39,$49.84
08/30/2024,$49.72,3372805,$49.01,$49.93,$49.01
08/29/2024,$49.25,3386371,$49.63,$50.11,$48.35
08/28/2024,$50.17,3514850,$49.83,$50.46,$49.59
08/27/2024,$49.84,3198913,$50.63,$50.76,$49.54
08/26/2024,$50.44,3185161,$50.93,$50.99,$50.085
08/23/2024,$50.80,1914287,$50.60,$50.99,$50.51
08/22/2024,$50.60,1664793,$50.72,$50.92,$50.15
08/21/2024,$50.59,1659236,$50.46,$50.95,$50.35
08/20/2024,$50.37,1910419,$49.60,$50.57,$49.60
08/19/2024,$49.95,2680999,$49.34,$50.04,$48.77
08/16/2024,$49.10,2093609,$48.99,$49.17,$48.6801
08/15/2024,$48.94,3186043,$49.65,$49.89,$48.80
08/14/2024,$49.63,2868113,$48.75,$49.925,$48.75
08/13/2024,$48.71,1497445,$48.47,$48.77,$48.04
08/12/2024,$48.44,1550597,$49.02,$49.16,$48.32
08/09/2024,$49.13,1919885,$48.74,$49.24,$48.25
08/08/2024,$48.95,1618089,$48.50,$49.50,$48.22
08/07/2024,$48.70,2350307,$48.79,$49.625,$48.69
08/06/2024,$48.77,2673843,$48.90,$49.43,$48.65
08/05/2024,$48.83,3756390,$49.62,$50.63,$48.535
08/02/2024,$49.10,3713549,$48.50,$49.19,$47.825
08/01/2024,$47.89,2552799,$46.96,$48.03,$46.76
07/31/2024,$46.86,1859224,$47.40,$47.52,$46.83
07/30/2024,$47.63,2289259,$46.64,$47.66,$46.605
07/29/2024,$47.00,1870694,$46.67,$47.09,$46.22
07/26/2024,$46.75,2644154,$46.15,$46.94,$46.09
07/25/2024,$46.27,2352760,$46.72,$47.48,$45.83
07/24/2024,$46.47,1790703,$45.72,$46.58,$45.28
07/23/2024,$45.58,1463876,$45.98,$46.13,$45.43
07/22/2024,$46.22,2023909,$46.29,$46.45,$45.78
07/19/2024,$46.40,2164319,$48.04,$48.04,$46.36
07/18/2024,$47.91,2150907,$47.37,$48.63,$47.36
07/17/2024,$47.72,2588095,$46.26,$47.79,$46.02
07/16/2024,$46.10,2216158,$45.44,$46.11,$45.23
07/15/2024,$45.60,3086414,$45.57,$45.66,$44.81
07/12/2024,$45.47,1663590,$45.47,$45.73,$45.23
07/11/2024,$45.33,3021379,$45.24,$45.55,$44.83
07/10/2024,$45.57,1521917,$45.47,$45.63,$45.22
07/09/2024,$45.38,2306743,$45.04,$45.545,$44.83
07/08/2024,$45.02,1985842,$45.26,$45.54,$44.92
07/05/2024,$45.12,2609575,$44.92,$45.29,$44.755
07/03/2024,$45.01,1356799,$45.20,$45.31,$44.85
07/02/2024,$45.53,2353785,$45.32,$45.63,$45.06
07/01/2024,$45.27,2761726,$45.40,$45.96,$45.235
06/28/2024,$45.19,2823175,$44.92,$45.41,$44.92
06/27/2024,$45.02,2666029,$45.68,$45.68,$44.86
06/26/2024,$45.63,4393522,$45.05,$45.89,$44.35
06/25/2024,$44.19,3177373,$45.17,$45.50,$44.17
06/24/2024,$45.27,2849917,$44.64,$45.39,$44.565
06/21/2024,$44.51,5453335,$44.93,$45.38,$44.50
06/20/2024,$44.75,3052237,$44.73,$45.57,$44.58
06/18/2024,$44.96,2557583,$44.85,$45.13,$44.69
06/17/2024,$44.91,3385211,$43.90,$45.20,$43.90
06/14/2024,$43.99,4003285,$43.48,$44.43,$43.37
06/13/2024,$43.49,2741928,$42.77,$43.53,$42.51
06/12/2024,$42.79,3536869,$43.07,$43.155,$42.41
06/11/2024,$43.10,2818358,$42.46,$43.17,$42.31
06/10/2024,$42.46,2607095,$42.86,$42.9699,$41.97
06/07/2024,$42.86,3051841,$43.49,$43.65,$42.74
06/06/2024,$43.53,4377849,$44.02,$44.21,$43.22
06/05/2024,$44.10,6439668,$43.25,$44.50,$42.41
06/04/2024,$44.18,4178200,$44.08,$44.3899,$43.39
06/03/2024,$44.22,2637469,$44.50,$44.67,$44.04
05/31/2024,$44.38,4262935,$43.59,$44.415,$43.59
05/30/2024,$43.58,2205398,$43.57,$43.73,$43.24
05/29/2024,$43.42,3075482,$44.05,$44.28,$43.385
05/28/2024,$44.22,2712719,$45.07,$45.16,$44.18
05/24/2024,$45.34,1520376,$45.62,$45.8514,$45.18
05/23/2024,$45.64,1934414,$45.96,$46.14,$45.46
05/22/2024,$46.29,2127027,$45.83,$46.31,$45.41
05/21/2024,$46.03,2038887,$46.42,$46.50,$45.765
05/20/2024,$46.38,1543843,$46.55,$46.55,$46.28
05/17/2024,$46.46,1276587,$46.69,$46.69,$46.39
05/16/2024,$46.71,2151176,$45.94,$46.97,$45.80
05/15/2024,$45.72,1974710,$46.17,$46.27,$45.505
05/14/2024,$46.01,2300251,$46.36,$46.82,$46.00
05/13/2024,$46.23,1940563,$46.00,$46.36,$45.88
05/10/2024,$45.95,1945741,$45.17,$45.98,$45.02
05/09/2024,$45.25,1372505,$45.01,$45.43,$44.55
