Date,Close/Last,Volume,Open,High,Low
09/06/2024,$122.17,2652907,$124.35,$124.425,$120.74
09/05/2024,$124.13,1154380,$126.42,$126.56,$123.1901
09/04/2024,$125.42,979991,$126.65,$127.145,$124.65
09/03/2024,$126.60,733086,$124.92,$127.23,$124.87
08/30/2024,$125.20,938872,$124.55,$125.24,$123.465
08/29/2024,$123.95,651017,$124.54,$125.0028,$123.32
08/28/2024,$124.73,714318,$124.02,$125.35,$124.00
08/27/2024,$123.92,633070,$122.09,$124.28,$121.54
08/26/2024,$122.91,748986,$124.04,$124.44,$122.56
08/23/2024,$122.60,817889,$121.52,$123.545,$121.15
08/22/2024,$120.99,556415,$120.76,$121.285,$120.15
08/21/2024,$120.23,531071,$120.00,$120.46,$119.17
08/20/2024,$119.85,531686,$119.76,$120.206,$118.77
08/19/2024,$119.41,517469,$120.06,$120.5599,$118.605
08/16/2024,$119.64,464050,$119.75,$120.31,$118.73
08/15/2024,$119.81,821029,$119.65,$120.66,$118.56
08/14/2024,$119.82,574518,$119.65,$120.35,$119.10
08/13/2024,$119.58,827140,$120.31,$120.97,$119.35
08/12/2024,$119.54,1079912,$120.67,$120.885,$119.18
08/09/2024,$119.33,458764,$118.93,$119.625,$117.77
08/08/2024,$118.79,634667,$118.00,$119.00,$117.43
08/07/2024,$117.90,959991,$117.10,$120.14,$116.81
08/06/2024,$117.22,861346,$114.90,$117.889,$114.76
08/05/2024,$114.96,1284166,$116.61,$118.54,$114.6101
08/02/2024,$118.20,2342878,$115.96,$121.285,$115.95
08/01/2024,$115.07,1985308,$112.37,$115.98,$112.20
07/31/2024,$110.75,1848988,$111.78,$112.23,$110.51
07/30/2024,$111.79,1150699,$113.77,$114.29,$111.01
07/29/2024,$113.44,800746,$113.17,$113.745,$112.05
07/26/2024,$113.01,756273,$111.43,$113.49,$111.05
07/25/2024,$110.91,783645,$113.08,$114.43,$109.60
07/24/2024,$113.08,845105,$113.21,$114.44,$112.18
07/23/2024,$113.00,459828,$113.19,$113.955,$112.58
07/22/2024,$113.47,766297,$113.03,$114.16,$112.53
07/19/2024,$112.65,551007,$113.55,$113.55,$112.07
07/18/2024,$112.97,903946,$112.58,$115.66,$112.47
07/17/2024,$112.96,726694,$111.08,$113.25,$111.08
07/16/2024,$111.23,596430,$109.97,$111.48,$108.92
07/15/2024,$109.29,709655,$109.32,$110.57,$108.77
07/12/2024,$108.65,742939,$109.94,$110.09,$108.28
07/11/2024,$109.19,723095,$110.79,$111.69,$108.90
07/10/2024,$108.98,576627,$108.64,$109.10,$107.705
07/09/2024,$108.01,868936,$107.77,$108.46,$106.885
07/08/2024,$108.03,403848,$107.86,$108.335,$107.39
07/05/2024,$107.72,508799,$107.83,$108.42,$107.34
07/03/2024,$107.50,494027,$109.00,$109.00,$107.44
07/02/2024,$108.93,479297,$109.83,$110.15,$108.54
07/01/2024,$109.19,591493,$108.77,$109.53,$107.775
06/28/2024,$109.11,1338779,$109.03,$110.055,$108.43
06/27/2024,$109.74,490997,$108.77,$109.77,$108.355
06/26/2024,$108.68,734530,$108.64,$109.98,$108.44
06/25/2024,$109.92,572564,$110.97,$111.025,$109.60
06/24/2024,$111.10,609457,$109.78,$111.93,$109.47
06/21/2024,$109.70,1256323,$110.50,$111.20,$108.56
06/20/2024,$109.37,782761,$109.24,$109.645,$108.435
06/18/2024,$109.62,745768,$108.94,$109.77,$108.44
06/17/2024,$108.50,652399,$107.37,$109.05,$106.29
06/14/2024,$108.04,441541,$106.75,$108.34,$106.13
06/13/2024,$106.99,750929,$107.27,$108.215,$106.68
06/12/2024,$107.40,718704,$108.24,$108.98,$107.325
06/11/2024,$106.20,617023,$106.89,$107.46,$106.16
06/10/2024,$107.53,859087,$106.51,$108.88,$106.31
06/07/2024,$106.69,407178,$105.58,$106.80,$105.58
06/06/2024,$106.98,470306,$106.77,$107.33,$106.105
06/05/2024,$107.24,816785,$106.23,$107.47,$105.14
06/04/2024,$106.38,1005665,$103.76,$106.83,$103.62
06/03/2024,$103.64,1042480,$103.60,$105.36,$102.57
05/31/2024,$102.65,1447650,$101.80,$102.79,$100.66
05/30/2024,$101.01,779002,$100.18,$101.10,$100.06
05/29/2024,$99.40,987253,$100.06,$100.09,$98.345
05/28/2024,$101.51,794583,$103.94,$104.29,$101.38
05/24/2024,$103.60,573182,$104.21,$104.64,$103.35
