Date,Close/Last,Volume,Open,High,Low
09/06/2024,$36.87,3724160,$37.24,$37.72,$36.44
09/05/2024,$37.09,3349583,$37.44,$38.30,$36.29
09/04/2024,$37.08,5969888,$36.06,$37.90,$36.05
09/03/2024,$36.30,5126637,$37.10,$37.22,$36.19
08/30/2024,$37.64,12048920,$37.56,$37.70,$36.80
08/29/2024,$37.16,3051940,$37.25,$38.15,$37.085
08/28/2024,$37.08,4379262,$37.64,$37.64,$36.44
08/27/2024,$37.80,5400093,$37.31,$38.20,$36.77
08/26/2024,$37.41,4769237,$38.40,$39.405,$37.03
08/23/2024,$38.29,5567962,$37.00,$38.90,$36.72
08/22/2024,$36.51,3888188,$36.77,$36.82,$35.7605
08/21/2024,$36.36,3847353,$36.63,$36.84,$36.21
08/20/2024,$36.30,3433119,$36.72,$36.81,$36.20
08/19/2024,$36.80,2720072,$37.06,$37.39,$36.68
08/16/2024,$36.98,2849453,$36.97,$37.874,$36.9216
08/15/2024,$37.24,7271655,$35.48,$37.26,$35.45
08/14/2024,$34.78,4498425,$35.37,$35.72,$34.642
08/13/2024,$35.24,5464270,$35.74,$36.24,$34.90
08/12/2024,$35.47,3685916,$35.51,$36.39,$35.29
08/09/2024,$35.51,4426795,$36.07,$36.15,$35.135
08/08/2024,$36.08,3879237,$35.43,$36.49,$35.3575
08/07/2024,$34.98,6795535,$35.39,$36.42,$34.57
08/06/2024,$34.57,7844464,$33.38,$35.45,$33.37
08/05/2024,$33.20,8916857,$33.69,$34.38,$32.45
08/02/2024,$35.66,6761535,$36.57,$36.66,$35.10
08/01/2024,$37.36,8689244,$39.75,$39.79,$37.08
07/31/2024,$39.95,13662050,$39.81,$41.95,$39.50
07/30/2024,$36.90,7923741,$36.54,$37.63,$36.35
07/29/2024,$36.52,5993112,$35.04,$36.58,$34.83
07/26/2024,$35.06,4668178,$34.355,$35.12,$33.78
07/25/2024,$33.25,4986031,$34.28,$34.49,$33.21
07/24/2024,$34.21,4705869,$36.34,$36.38,$34.14
07/23/2024,$36.78,2376594,$36.14,$36.885,$36.07
07/22/2024,$36.43,3388691,$37.13,$37.36,$35.93
07/19/2024,$36.86,3321189,$36.66,$36.90,$36.06
07/18/2024,$36.56,5192216,$38.40,$39.20,$36.39
07/17/2024,$38.50,5897402,$38.81,$40.29,$38.44
07/16/2024,$39.77,5196392,$39.31,$39.97,$38.33
07/15/2024,$39.22,5170483,$39.37,$40.09,$39.16
07/12/2024,$40.00,5389735,$39.29,$40.43,$39.01
07/11/2024,$38.96,6590607,$37.49,$39.27,$37.275
07/10/2024,$36.61,3596525,$37.18,$37.48,$36.27
07/09/2024,$36.81,3487598,$37.46,$37.46,$36.41
07/08/2024,$37.66,3075976,$37.39,$37.90,$37.2201
07/05/2024,$37.18,3262619,$37.428,$37.99,$36.90
07/03/2024,$37.73,2462914,$37.95,$38.945,$37.54
07/02/2024,$37.42,3543386,$37.95,$37.97,$36.60
07/01/2024,$37.75,4831072,$39.74,$40.00,$37.58
06/28/2024,$39.74,6608601,$39.17,$40.23,$39.04
06/27/2024,$39.03,9152088,$38.12,$39.70,$37.99
06/26/2024,$38.15,2529291,$37.53,$38.52,$37.53
06/25/2024,$37.79,2737815,$38.89,$38.90,$37.555
06/24/2024,$38.99,3334313,$38.93,$39.59,$38.59
06/21/2024,$39.16,4711054,$38.75,$39.34,$38.46
06/20/2024,$38.80,4087266,$37.26,$39.175,$37.19
06/18/2024,$37.42,4610095,$35.90,$37.89,$35.90
06/17/2024,$36.12,3036176,$36.02,$36.26,$35.31
06/14/2024,$36.03,4141328,$37.38,$37.60,$35.52
06/13/2024,$37.89,2276261,$38.10,$38.31,$37.56
06/12/2024,$38.18,6297652,$38.63,$39.61,$37.92
06/11/2024,$36.76,2603991,$36.25,$36.81,$35.38
06/10/2024,$36.38,2752846,$35.87,$36.68,$35.55
06/07/2024,$36.06,3108688,$36.10,$36.38,$35.56
06/06/2024,$36.67,4239020,$36.31,$37.08,$36.08
06/05/2024,$36.57,5060680,$35.54,$36.72,$35.50
06/04/2024,$35.51,6123417,$35.40,$35.69,$34.98
06/03/2024,$35.62,5290578,$35.80,$36.03,$34.52
05/31/2024,$35.56,26519440,$32.38,$37.53,$32.305
05/30/2024,$31.85,4725190,$32.41,$32.81,$31.74
05/29/2024,$32.15,4348429,$32.762,$32.93,$31.87
05/28/2024,$33.26,3419889,$33.55,$34.15,$32.87
05/24/2024,$33.63,5159535,$32.70,$33.90,$32.69
05/23/2024,$32.53,8194739,$34.70,$34.85,$32.51
05/22/2024,$34.72,4852314,$35.28,$35.68,$34.385
05/21/2024,$35.59,4912676,$35.85,$36.27,$34.96
05/20/2024,$34.94,4012599,$35.46,$35.70,$34.58
05/17/2024,$35.52,3668535,$35.31,$35.90,$34.92
05/16/2024,$35.31,3636268,$36.32,$36.35,$35.29
05/15/2024,$36.27,3214391,$37.31,$37.31,$36.09
05/14/2024,$36.71,3016774,$36.59,$36.78,$35.90
05/13/2024,$36.27,2557851,$36.39,$37.14,$36.06
05/10/2024,$36.18,5220912,$37.35,$37.60,$36.15
05/09/2024,$37.30,3362943,$36.24,$37.335,$35.84
05/08/2024,$36.22,2982299,$36.20,$36.48,$35.6889
05/07/2024,$36.35,3783685,$36.00,$36.89,$35.945
05/06/2024,$36.05,3081538,$35.88,$36.27,$35.49
05/03/2024,$35.33,3719936,$36.09,$36.81,$35.11
05/02/2024,$35.14,5518202,$37.40,$37.58,$35.09
05/01/2024,$36.38,11586250,$35.32,$37.48,$35.12
04/30/2024,$35.82,7332263,$37.22,$37.27,$35.76
04/29/2024,$37.57,4533136,$37.24,$38.35,$37.07
04/26/2024,$36.61,6268493,$37.45,$38.17,$36.34
04/25/2024,$38.04,3162767,$37.94,$38.335,$37.34
04/24/2024,$38.48,3323699,$39.00,$39.32,$37.98
04/23/2024,$39.12,1975455,$38.68,$39.39,$38.59
04/22/2024,$38.42,4321780,$38.57,$38.89,$37.71
04/19/2024,$38.20,2868015,$37.95,$38.50,$37.815
04/18/2024,$37.98,3324655,$38.61,$39.07,$37.87
04/17/2024,$38.52,2965788,$39.71,$39.82,$38.495
04/16/2024,$39.44,3485593,$39.84,$40.295,$38.855
04/15/2024,$40.22,3293014,$40.47,$41.61,$40.03
04/12/2024,$40.10,5028084,$41.60,$41.78,$39.83
04/11/2024,$42.22,2592186,$41.51,$42.40,$41.13
04/10/2024,$41.50,3865192,$42.69,$42.755,$40.82
04/09/2024,$43.98,1466054,$43.29,$44.01,$43.02
04/08/2024,$43.08,1841282,$43.06,$43.77,$42.88
04/05/2024,$42.91,2279389,$42.23,$43.16,$42.00
04/04/2024,$42.33,3486535,$44.11,$44.67,$42.27
04/03/2024,$43.33,3102026,$41.66,$43.59,$41.57
04/02/2024,$41.84,2714924,$42.564,$42.70,$41.74
04/01/2024,$43.17,2809108,$44.00,$44.42,$43.12
03/28/2024,$43.74,2470401,$43.71,$43.95,$43.42
03/27/2024,$43.36,2724879,$43.00,$43.64,$42.89
03/26/2024,$42.71,5032625,$42.27,$43.83,$42.08
03/25/2024,$41.72,2619933,$41.33,$42.22,$41.13
03/22/2024,$41.31,1802365,$41.62,$42.00,$40.86
03/21/2024,$41.63,1971887,$42.00,$42.66,$41.56
03/20/2024,$41.74,2536471,$40.26,$41.81,$40.20
03/19/2024,$40.30,1768228,$39.62,$40.405,$39.43
03/18/2024,$39.83,2770501,$39.46,$40.37,$39.23
03/15/2024,$39.17,5458427,$39.63,$40.44,$39.07
03/14/2024,$39.92,5099811,$41.58,$41.67,$39.725
03/13/2024,$41.61,1757256,$42.17,$42.67,$41.54
03/12/2024,$42.24,2530558,$42.61,$43.06,$42.19
03/11/2024,$42.63,2030264,$41.92,$43.66,$41.79
03/08/2024,$42.13,1992940,$42.43,$43.09,$42.11
03/07/2024,$41.69,2071828,$41.06,$42.09,$41.06
