Date,Close/Last,Volume,Open,High,Low
09/06/2024,$79.14,3029216,$81.06,$81.69,$78.59
09/05/2024,$81.38,1678397,$81.92,$81.95,$80.97
09/04/2024,$81.70,2116730,$82.30,$82.86,$81.65
09/03/2024,$82.12,2627112,$83.495,$83.94,$81.75
08/30/2024,$84.25,3555079,$83.42,$84.52,$83.32
08/29/2024,$83.42,1661896,$82.89,$83.92,$82.36
08/28/2024,$82.53,2151580,$82.12,$82.765,$81.9301
08/27/2024,$82.49,2170325,$81.80,$82.72,$81.24
08/26/2024,$81.64,1559422,$81.56,$82.0999,$81.15
08/23/2024,$81.10,1325008,$80.65,$81.46,$80.25
08/22/2024,$80.29,1593165,$80.32,$80.48,$79.74
08/21/2024,$80.31,1139461,$79.64,$80.51,$79.55
08/20/2024,$79.26,1901552,$79.88,$80.275,$79.185
08/19/2024,$80.14,1156494,$80.26,$80.50,$79.85
08/16/2024,$80.18,1278720,$80.18,$80.41,$79.38
08/15/2024,$80.28,1636525,$79.67,$80.59,$79.5474
08/14/2024,$78.75,1126782,$78.97,$79.15,$78.34
08/13/2024,$78.83,1136564,$78.40,$78.89,$78.05
08/12/2024,$78.33,1069605,$78.635,$78.8499,$78.02
08/09/2024,$78.53,983709,$78.25,$78.72,$77.695
08/08/2024,$78.52,1760954,$77.82,$78.66,$77.46
08/07/2024,$77.22,1784044,$78.85,$79.82,$77.16
08/06/2024,$78.05,2117577,$78.17,$79.39,$77.93
08/05/2024,$77.84,3358658,$77.76,$78.7199,$76.64
08/02/2024,$79.12,3219226,$81.45,$81.57,$78.425
08/01/2024,$82.66,2950779,$84.065,$84.38,$81.305
07/31/2024,$83.70,5502307,$83.80,$85.12,$82.80
07/30/2024,$80.41,3250165,$80.53,$81.44,$80.355
07/29/2024,$80.91,1561322,$80.64,$81.12,$79.92
07/26/2024,$80.18,3004481,$79.60,$80.46,$79.47
07/25/2024,$79.03,2282869,$79.31,$80.57,$78.95
07/24/2024,$79.59,1581315,$80.00,$80.72,$79.45
07/23/2024,$80.18,1293148,$80.21,$80.55,$79.63
07/22/2024,$80.32,995026,$79.95,$80.45,$79.18
07/19/2024,$79.64,1296875,$80.74,$80.74,$79.30
07/18/2024,$80.35,2055872,$81.21,$82.39,$80.07
07/17/2024,$81.93,2068065,$82.17,$82.57,$81.65
07/16/2024,$82.21,1955048,$80.07,$82.48,$80.07
07/15/2024,$80.20,1921845,$81.01,$81.06,$80.09
07/12/2024,$80.88,1731222,$80.96,$81.52,$80.41
07/11/2024,$80.71,2275092,$79.98,$80.95,$79.89
07/10/2024,$79.57,2291816,$78.89,$79.60,$78.30
07/09/2024,$78.53,1163037,$79.39,$79.39,$78.46
07/08/2024,$79.47,1500310,$79.16,$79.59,$79.10
07/05/2024,$78.99,1489722,$78.92,$79.08,$78.35
07/03/2024,$79.19,846615,$79.48,$79.68,$78.99
07/02/2024,$79.36,1760320,$79.20,$79.82,$78.83
07/01/2024,$79.27,1570245,$80.47,$80.83,$78.915
06/28/2024,$80.49,3635560,$80.11,$80.64,$80.02
06/27/2024,$79.98,2420666,$80.40,$80.40,$79.59
06/26/2024,$80.03,1822246,$80.00,$80.18,$79.15
