Date,Close/Last,Volume,Open,High,Low
09/06/2024,$116.60,3482508,$117.05,$117.33,$116.225
09/05/2024,$116.85,2585878,$117.77,$118.11,$116.32
09/04/2024,$117.06,2795025,$116.48,$117.93,$116.19
09/03/2024,$115.79,3792664,$114.00,$116.4099,$113.91
08/30/2024,$113.95,3022442,$113.00,$114.08,$112.84
08/29/2024,$112.99,2022057,$112.70,$113.07,$111.85
08/28/2024,$112.70,2429737,$112.39,$113.64,$111.89
08/27/2024,$111.90,2136530,$112.77,$113.09,$111.775
08/26/2024,$113.01,3038898,$112.53,$113.63,$112.01
08/23/2024,$112.36,2732539,$112.25,$113.00,$111.90
08/22/2024,$112.12,5459732,$112.66,$112.68,$111.45
08/21/2024,$112.73,2798787,$112.37,$113.16,$112.255
08/20/2024,$112.38,2822667,$112.91,$113.41,$112.10
08/19/2024,$112.72,1716210,$112.28,$113.18,$112.25
08/16/2024,$112.30,2642700,$112.38,$112.65,$111.61
08/15/2024,$113.11,2658325,$112.93,$113.269,$112.40
08/14/2024,$113.46,1979232,$113.38,$114.54,$112.81
08/13/2024,$113.72,2732952,$113.35,$113.94,$112.77
08/12/2024,$113.37,3058672,$112.63,$113.42,$112.095
08/09/2024,$112.67,2218742,$112.95,$112.96,$111.13
08/08/2024,$112.43,4716709,$112.47,$113.96,$111.90
08/07/2024,$113.51,4921524,$113.22,$114.78,$112.63
08/06/2024,$112.92,4289815,$112.49,$114.20,$111.36
08/05/2024,$111.01,4918669,$114.11,$114.98,$111.01
08/02/2024,$113.92,4606697,$114.35,$116.67,$111.65
08/01/2024,$112.60,3975502,$109.77,$112.71,$109.27
07/31/2024,$109.27,3946121,$108.90,$109.75,$108.43
07/30/2024,$109.90,2929982,$108.12,$110.03,$107.895
07/29/2024,$108.68,3445128,$108.28,$109.20,$107.94
07/26/2024,$108.03,2270522,$107.80,$108.48,$107.41
07/25/2024,$107.56,3165244,$109.00,$110.02,$106.95
07/24/2024,$108.60,2875664,$108.25,$108.92,$107.04
07/23/2024,$107.12,1512114,$107.48,$107.90,$107.02
07/22/2024,$107.54,2373275,$106.94,$107.70,$106.58
07/19/2024,$106.92,2163194,$107.58,$107.605,$106.31
07/18/2024,$106.91,2638710,$107.01,$108.59,$106.715
07/17/2024,$107.52,3374837,$107.07,$108.44,$105.65
07/16/2024,$106.53,3056995,$106.31,$107.2559,$105.8502
07/15/2024,$105.32,2863449,$104.69,$105.39,$104.015
07/12/2024,$105.39,2715453,$104.68,$105.90,$104.2709
07/11/2024,$104.46,3331254,$103.06,$104.89,$102.66
07/10/2024,$102.83,3128571,$101.25,$102.90,$100.90
07/09/2024,$100.94,3200563,$100.59,$101.40,$100.30
07/08/2024,$100.64,2535169,$100.44,$101.39,$100.03
07/05/2024,$100.56,1929944,$100.00,$100.97,$99.55
07/03/2024,$99.84,1072695,$99.72,$101.07,$99.54
07/02/2024,$99.81,1856087,$99.63,$100.01,$99.21
07/01/2024,$99.35,2097633,$100.73,$101.26,$99.2867
06/28/2024,$100.23,3898744,$100.59,$100.76,$99.65
06/27/2024,$100.59,2358016,$100.00,$100.89,$99.75
06/26/2024,$99.95,1958946,$99.85,$100.21,$99.30
06/25/2024,$100.20,2145406,$101.24,$101.46,$99.96
06/24/2024,$101.51,2026388,$99.99,$101.84,$99.7792
06/21/2024,$99.84,4986006,$100.29,$101.05,$99.55
06/20/2024,$100.10,3084988,$100.25,$100.73,$99.401
06/18/2024,$100.03,2469400,$100.73,$101.14,$99.70
06/17/2024,$100.80,2953111,$101.95,$102.095,$100.69
06/14/2024,$102.36,2668062,$100.89,$102.39,$100.67
06/13/2024,$101.26,1811224,$101.29,$101.7999,$100.4499
06/12/2024,$101.32,2397272,$103.00,$103.26,$100.925
06/11/2024,$102.36,2434466,$102.01,$102.67,$101.29
06/10/2024,$102.52,1915559,$102.50,$102.98,$101.92
06/07/2024,$102.62,1886828,$102.00,$103.78,$101.7318
06/06/2024,$102.86,1945296,$103.04,$103.82,$102.52
06/05/2024,$103.20,2228298,$104.40,$104.60,$103.025
06/04/2024,$104.60,4822705,$103.25,$104.8693,$103.05
06/03/2024,$103.41,3429750,$103.09,$103.815,$102.82
05/31/2024,$103.57,4000781,$101.62,$103.64,$101.45
