Date,Close/Last,Volume,Open,High,Low
09/06/2024,$245.05,723080,$246.42,$247.24,$244.28
09/05/2024,$246.70,833781,$246.20,$246.88,$244.39
09/04/2024,$246.88,820611,$248.75,$250.69,$246.315
09/03/2024,$247.93,1007310,$250.73,$252.29,$246.655
08/30/2024,$253.18,1459154,$250.93,$253.54,$249.00
08/29/2024,$250.09,641464,$250.29,$251.07,$248.31
08/28/2024,$249.61,724979,$249.31,$250.89,$248.46
08/27/2024,$248.65,750367,$247.19,$248.92,$246.52
08/26/2024,$247.07,689242,$245.84,$248.00,$245.60
08/23/2024,$247.23,538404,$247.09,$247.86,$245.12
08/22/2024,$246.23,713486,$247.09,$247.583,$245.17
08/21/2024,$246.55,662244,$242.52,$246.71,$242.22
08/20/2024,$242.57,900621,$243.00,$243.40,$242.00
08/19/2024,$242.21,749219,$241.00,$242.21,$240.20
08/16/2024,$240.66,816703,$240.66,$241.40,$239.14
08/15/2024,$239.94,882941,$240.44,$241.28,$239.13
08/14/2024,$239.47,861855,$241.00,$241.48,$238.46
08/13/2024,$241.33,1143918,$238.25,$241.555,$237.3625
08/12/2024,$237.24,681467,$236.78,$238.83,$236.625
08/09/2024,$237.94,804979,$236.09,$239.35,$235.58
08/08/2024,$237.16,1302994,$233.14,$237.34,$231.67
08/07/2024,$231.55,1484392,$235.04,$237.52,$231.43
08/06/2024,$233.72,1096270,$232.12,$237.29,$232.12
08/05/2024,$231.25,1305789,$236.05,$236.91,$230.77
08/02/2024,$237.20,1660426,$239.40,$241.74,$234.51
08/01/2024,$240.24,1902639,$232.99,$240.77,$232.985
07/31/2024,$230.69,1803192,$234.355,$234.655,$229.75
07/30/2024,$228.86,2968920,$222.05,$235.92,$220.96
07/29/2024,$247.92,1155736,$245.94,$249.00,$244.76
07/26/2024,$245.24,848665,$244.68,$246.86,$243.44
07/25/2024,$243.66,928945,$245.10,$248.60,$243.60
07/24/2024,$245.43,1230099,$246.75,$248.41,$244.69
07/23/2024,$246.72,705572,$247.40,$247.40,$245.605
07/22/2024,$246.35,679857,$244.47,$246.52,$243.63
07/19/2024,$243.17,1025982,$243.10,$243.7175,$241.24
07/18/2024,$242.27,609218,$242.63,$245.09,$241.45
07/17/2024,$243.32,653835,$245.00,$245.27,$242.70
07/16/2024,$245.19,727648,$242.39,$245.37,$241.88
07/15/2024,$241.85,729086,$246.51,$246.51,$241.245
07/12/2024,$246.12,745634,$245.08,$246.495,$244.75
07/11/2024,$244.50,985343,$244.43,$245.77,$243.18
07/10/2024,$243.27,844427,$242.07,$243.32,$241.685
07/09/2024,$242.25,982113,$242.11,$243.20,$241.67
