Date,Close/Last,Volume,Open,High,Low
09/06/2024,$86.65,1564540,$87.86,$88.11,$86.625
09/05/2024,$87.64,1579815,$88.39,$88.68,$87.295
09/04/2024,$87.72,1888955,$87.67,$88.77,$87.28
09/03/2024,$87.33,1769798,$86.99,$87.89,$86.43
08/30/2024,$87.03,3559951,$86.72,$87.49,$85.69
08/29/2024,$86.50,2018499,$86.05,$87.14,$85.50
08/28/2024,$85.00,1530746,$85.01,$85.34,$84.575
08/27/2024,$84.78,881568,$85.19,$85.46,$84.65
08/26/2024,$85.41,785463,$85.00,$85.96,$84.82
08/23/2024,$84.76,785248,$84.74,$85.00,$84.38
08/22/2024,$84.37,1347335,$84.16,$84.50,$83.99
08/21/2024,$84.18,1090988,$83.74,$84.42,$83.70
08/20/2024,$83.71,1603612,$84.00,$84.13,$83.37
08/19/2024,$83.89,1145244,$83.54,$83.98,$83.21
08/16/2024,$83.41,1325900,$83.56,$83.65,$82.95
08/15/2024,$83.16,1858527,$82.75,$83.59,$82.10
08/14/2024,$83.14,2120479,$82.99,$83.80,$82.35
08/13/2024,$82.91,2365841,$82.50,$82.98,$82.25
08/12/2024,$82.41,1495474,$82.01,$82.44,$81.48
08/09/2024,$81.98,2467900,$81.95,$82.08,$80.455
08/08/2024,$81.73,2280229,$81.30,$82.405,$80.78
08/07/2024,$81.64,1484953,$82.12,$82.61,$81.21
08/06/2024,$81.53,2139006,$80.67,$82.585,$80.31
08/05/2024,$80.55,2419393,$82.34,$82.63,$79.67
08/02/2024,$82.27,2263934,$82.58,$83.05,$80.74
08/01/2024,$81.61,1834128,$80.50,$81.88,$80.18
07/31/2024,$80.01,4308250,$79.75,$80.52,$79.06
07/30/2024,$79.38,1922362,$78.10,$79.50,$78.05
07/29/2024,$78.20,2030789,$78.63,$79.01,$77.62
07/26/2024,$78.51,2775708,$76.95,$79.505,$76.30
07/25/2024,$76.43,1997984,$76.48,$77.59,$76.21
07/24/2024,$76.04,1378864,$75.89,$76.50,$75.31
07/23/2024,$75.11,1131406,$75.12,$75.44,$74.93
07/22/2024,$75.20,1165012,$74.82,$75.37,$74.55
07/19/2024,$74.94,1325241,$75.35,$75.42,$74.56
07/18/2024,$75.09,2459815,$75.03,$76.42,$74.96
07/17/2024,$75.35,2916871,$74.22,$76.06,$74.215
07/16/2024,$73.92,1861497,$73.72,$74.22,$73.2125
07/15/2024,$73.05,1541234,$74.18,$74.18,$72.92
07/12/2024,$74.84,1478314,$74.56,$75.45,$74.50
07/11/2024,$74.28,1182650,$72.84,$74.35,$72.73
07/10/2024,$72.39,1038717,$71.91,$72.47,$71.54
07/09/2024,$71.53,1498765,$71.55,$72.00,$71.31
07/08/2024,$71.57,2380434,$71.59,$72.06,$71.335
07/05/2024,$72.40,2022324,$71.97,$72.74,$71.73
07/03/2024,$71.82,875262,$71.75,$72.66,$71.64
07/02/2024,$71.63,2484161,$71.34,$72.34,$71.17
07/01/2024,$71.19,1554758,$72.40,$72.40,$70.905
06/28/2024,$71.81,2647118,$72.28,$72.45,$71.235
06/27/2024,$72.04,1039859,$71.87,$72.07,$71.53
06/26/2024,$71.85,1202860,$71.45,$71.97,$70.98
06/25/2024,$71.86,1184456,$72.70,$72.70,$71.60
06/24/2024,$72.76,1515195,$71.67,$72.95,$71.425
06/21/2024,$71.64,3311123,$72.01,$72.80,$71.50
06/20/2024,$71.88,1751594,$71.39,$72.19,$71.27
06/18/2024,$71.48,1365730,$71.29,$71.79,$71.17
06/17/2024,$71.53,1982539,$72.62,$72.62,$71.49
06/14/2024,$73.21,1336071,$73.03,$73.33,$72.48
06/13/2024,$73.45,1150146,$73.62,$74.549,$72.72
06/12/2024,$73.55,2007488,$74.51,$74.70,$73.32
06/11/2024,$73.61,2303154,$73.24,$73.96,$72.85
06/10/2024,$73.85,1649559,$74.05,$74.70,$73.72
06/07/2024,$73.98,1386903,$73.97,$74.61,$73.55
06/06/2024,$74.50,1278418,$75.13,$75.97,$74.33
06/05/2024,$75.43,1307213,$76.41,$76.48,$75.16
06/04/2024,$76.52,1619298,$75.98,$76.811,$75.60
06/03/2024,$76.28,2351663,$76.58,$77.04,$75.96
05/31/2024,$76.85,5116585,$74.97,$77.02,$74.74
05/30/2024,$74.67,1598283,$73.61,$74.70,$73.575
05/29/2024,$73.35,2244802,$73.52,$73.88,$73.14
