Date,Close/Last,Volume,Open,High,Low
09/06/2024,$541.91,1059242,$548.15,$550.9599,$541.72
09/05/2024,$544.40,877381,$548.09,$548.09,$535.76
09/04/2024,$547.31,1489253,$561.82,$562.115,$536.33
09/03/2024,$562.29,902031,$556.17,$567.26,$556.17
08/30/2024,$556.89,1226379,$551.54,$557.60,$549.7975
08/29/2024,$552.09,456086,$552.60,$554.90,$545.94
08/28/2024,$551.09,464762,$549.23,$555.00,$546.28
08/27/2024,$548.43,459139,$548.30,$550.10,$544.33
08/26/2024,$544.63,358446,$546.94,$550.51,$544.158
08/23/2024,$545.96,429057,$545.00,$549.74,$543.00
08/22/2024,$543.32,549405,$543.00,$545.19,$538.02
08/21/2024,$542.34,558686,$543.45,$545.47,$541.30
08/20/2024,$543.04,510367,$544.30,$546.80,$541.50
08/19/2024,$543.39,880181,$544.13,$546.6299,$542.1601
08/16/2024,$543.70,910167,$541.97,$546.33,$538.125
08/15/2024,$541.72,857581,$540.27,$542.51,$537.71
08/14/2024,$539.22,805026,$531.25,$539.71,$531.25
08/13/2024,$531.65,448687,$527.19,$532.20,$526.545
08/12/2024,$525.85,605533,$531.61,$531.61,$525.32
08/09/2024,$532.07,664153,$524.99,$532.97,$522.755
08/08/2024,$526.52,611302,$519.09,$530.125,$518.53
08/07/2024,$521.14,731491,$521.90,$530.03,$519.67
08/06/2024,$523.68,848609,$523.44,$531.12,$520.94
08/05/2024,$523.49,1006430,$531.52,$533.86,$519.29
08/02/2024,$535.17,874644,$533.94,$537.215,$528.41
08/01/2024,$532.23,1053160,$533.75,$538.715,$517.01
07/31/2024,$532.03,1128515,$532.78,$536.50,$528.86
07/30/2024,$536.26,1028360,$530.08,$542.005,$530.08
07/29/2024,$529.86,1055390,$527.12,$531.83,$520.07
07/26/2024,$527.50,1434091,$515.93,$534.22,$515.79
07/25/2024,$514.03,943682,$517.01,$525.772,$511.05
07/24/2024,$512.12,1444507,$504.89,$514.37,$503.06
07/23/2024,$502.42,956408,$504.02,$507.40,$501.035
07/22/2024,$503.89,921565,$500.38,$505.43,$497.97
07/19/2024,$500.12,1290483,$508.17,$509.50,$499.70
07/18/2024,$504.72,3225667,$507.38,$513.74,$494.1672
