Date,Close/Last,Volume,Open,High,Low
09/06/2024,$97.17,1593493,$97.67,$98.87,$96.54
09/05/2024,$98.01,796684,$99.39,$99.39,$97.64
09/04/2024,$99.24,747369,$100.25,$101.40,$99.15
09/03/2024,$100.29,947210,$101.04,$102.31,$99.54
08/30/2024,$102.37,808987,$101.27,$102.55,$100.82
08/29/2024,$101.00,496136,$100.60,$101.86,$99.5294
08/28/2024,$100.06,749017,$100.21,$100.84,$99.53
08/27/2024,$100.62,410675,$100.84,$100.97,$100.07
08/26/2024,$101.03,413219,$101.40,$102.40,$100.93
08/23/2024,$100.80,407197,$99.32,$101.57,$98.8967
08/22/2024,$98.73,370268,$99.06,$99.7696,$98.39
08/21/2024,$99.03,645544,$98.10,$99.36,$97.90
08/20/2024,$97.32,492833,$97.41,$97.89,$96.955
08/19/2024,$97.60,570938,$97.87,$98.08,$97.17
08/16/2024,$97.75,652820,$98.15,$98.21,$96.80
08/15/2024,$98.40,655975,$96.96,$98.84,$96.93
08/14/2024,$95.61,820158,$95.91,$96.30,$95.145
08/13/2024,$95.63,774721,$95.13,$96.09,$94.36
08/12/2024,$94.57,971227,$95.03,$95.56,$94.09
08/09/2024,$95.06,705647,$95.55,$95.8999,$94.60
08/08/2024,$95.46,679852,$94.61,$95.53,$94.485
08/07/2024,$93.82,1318233,$96.23,$97.35,$93.72
08/06/2024,$95.44,1071426,$94.51,$97.35,$94.395
08/05/2024,$94.19,1331726,$95.37,$95.37,$93.61
08/02/2024,$97.49,1135947,$100.00,$100.48,$96.43
08/01/2024,$101.70,1114042,$103.50,$104.05,$100.63
07/31/2024,$103.33,1645743,$104.00,$104.84,$103.01
07/30/2024,$103.27,996905,$101.23,$103.88,$101.23
07/29/2024,$101.25,1020260,$101.02,$101.64,$100.21
07/26/2024,$100.73,1475991,$98.19,$100.7799,$95.48
07/25/2024,$97.14,1136582,$96.36,$98.17,$95.77
07/24/2024,$96.38,822799,$97.69,$98.54,$96.36
07/23/2024,$97.44,649853,$97.78,$97.78,$96.60
07/22/2024,$97.31,756663,$97.74,$98.06,$95.96
07/19/2024,$97.15,494946,$99.10,$99.23,$96.6226
07/18/2024,$99.47,517549,$99.66,$101.36,$99.02
07/17/2024,$100.43,484609,$99.90,$101.80,$99.52
07/16/2024,$100.18,1008258,$97.75,$100.55,$97.67
07/15/2024,$97.64,712449,$98.48,$99.18,$97.58
07/12/2024,$98.64,641295,$98.90,$99.31,$98.24
07/11/2024,$98.33,686931,$97.42,$99.17,$97.42
07/10/2024,$96.10,722747,$95.56,$96.71,$95.237
07/09/2024,$94.66,661553,$95.34,$95.865,$94.41
07/08/2024,$95.75,688601,$95.30,$95.96,$94.97
07/05/2024,$94.50,1550647,$95.14,$95.24,$93.45
07/03/2024,$95.87,381410,$95.80,$96.60,$95.355
07/02/2024,$95.35,704323,$95.38,$95.68,$94.33
07/01/2024,$95.17,919902,$98.20,$98.26,$94.88
06/28/2024,$97.97,1137842,$97.43,$98.42,$97.395
