Date,Close/Last,Volume,Open,High,Low
09/06/2024,$98.19,2780873,$99.96,$100.77,$97.35
09/05/2024,$99.97,4207710,$100.37,$100.59,$98.32
09/04/2024,$100.86,2767412,$101.75,$102.40,$100.23
09/03/2024,$102.02,3380563,$104.58,$104.80,$101.55
08/30/2024,$105.39,3476241,$104.29,$105.50,$103.89
08/29/2024,$104.09,2953633,$104.22,$105.46,$103.74
08/28/2024,$103.91,2414830,$103.84,$104.79,$103.48
08/27/2024,$103.86,1586559,$104.56,$104.8763,$103.77
08/26/2024,$104.91,1773337,$105.32,$105.67,$104.19
08/23/2024,$104.64,2774436,$105.00,$105.77,$104.03
08/22/2024,$104.36,2419839,$104.35,$105.03,$103.48
08/21/2024,$104.02,2262020,$103.24,$104.69,$103.09
08/20/2024,$103.12,2500649,$103.92,$104.26,$102.80
08/19/2024,$103.84,1761815,$103.65,$104.37,$102.93
08/16/2024,$103.09,3416285,$103.64,$103.82,$102.24
08/15/2024,$104.29,3309702,$105.00,$105.47,$103.73
08/14/2024,$103.49,3920981,$102.50,$103.99,$102.37
08/13/2024,$104.10,2598641,$103.65,$104.31,$102.96
08/12/2024,$103.07,2542876,$103.81,$103.99,$102.3014
08/09/2024,$103.69,3644583,$104.46,$104.57,$102.25
08/08/2024,$104.61,4877074,$100.85,$104.86,$100.46
08/07/2024,$99.54,8060514,$103.64,$106.00,$99.29
08/06/2024,$107.78,3020284,$106.82,$109.364,$106.44
08/05/2024,$106.39,2618645,$106.35,$107.78,$105.13
08/02/2024,$109.21,3194669,$110.94,$111.00,$107.48
08/01/2024,$113.09,2533536,$117.06,$117.245,$112.30
07/31/2024,$117.11,2020029,$117.58,$118.04,$116.63
07/30/2024,$115.70,3039441,$118.18,$118.96,$114.87
07/29/2024,$117.80,1905010,$116.90,$118.07,$116.36
07/26/2024,$116.84,1488603,$115.65,$117.66,$115.18
07/25/2024,$114.59,2127364,$114.33,$116.43,$113.51
07/24/2024,$114.08,2151341,$117.09,$117.78,$113.955
07/23/2024,$117.62,1403333,$117.52,$118.67,$117.115
07/22/2024,$117.83,2424144,$116.47,$117.96,$115.67
07/19/2024,$115.68,2657799,$117.36,$117.425,$114.96
07/18/2024,$116.54,4303985,$117.155,$118.80,$116.02
07/17/2024,$118.25,3751271,$118.35,$118.75,$117.14
07/16/2024,$118.87,2423704,$117.50,$119.53,$117.05
07/15/2024,$116.97,2694504,$114.83,$117.35,$114.74
07/12/2024,$114.59,2082607,$115.01,$115.42,$113.91
07/11/2024,$114.15,2236238,$111.77,$114.29,$111.45
07/10/2024,$111.50,1877714,$109.71,$111.61,$109.63
07/09/2024,$109.59,1266744,$109.45,$110.59,$109.01
07/08/2024,$109.97,1511043,$110.51,$110.88,$109.93
07/05/2024,$109.46,1468588,$109.42,$109.90,$108.27
07/03/2024,$109.56,1074795,$109.73,$110.73,$109.11
07/02/2024,$109.27,2474958,$108.00,$109.34,$107.86
07/01/2024,$108.05,2422318,$111.06,$111.34,$107.94
06/28/2024,$110.16,4756234,$108.76,$111.05,$108.44
06/27/2024,$108.29,3473027,$106.50,$108.32,$106.2501
06/26/2024,$106.12,2500483,$107.38,$107.76,$105.70
06/25/2024,$107.87,2014624,$109.21,$109.56,$107.50
06/24/2024,$109.32,2043948,$109.02,$110.15,$108.67
06/21/2024,$108.41,3029264,$108.25,$108.61,$106.69
06/20/2024,$108.14,1984594,$108.74,$108.7508,$107.71
06/18/2024,$108.68,2078185,$107.35,$108.84,$106.775
06/17/2024,$107.37,2017405,$106.52,$107.41,$105.70
06/14/2024,$106.46,1829226,$107.36,$107.75,$105.88
06/13/2024,$108.53,1865720,$108.24,$108.73,$107.29
06/12/2024,$108.50,2109720,$108.54,$109.14,$107.25
06/11/2024,$107.61,1566522,$108.20,$108.54,$106.64
06/10/2024,$108.73,1871419,$107.98,$109.51,$107.69
06/07/2024,$107.98,3173694,$106.15,$108.13,$105.8691
06/06/2024,$105.97,2385045,$108.36,$108.53,$105.80
06/05/2024,$108.28,2030321,$107.49,$108.33,$107.04
06/04/2024,$106.87,3013056,$108.28,$108.88,$106.50
06/03/2024,$109.03,2870468,$112.69,$112.79,$108.67
05/31/2024,$112.16,4318214,$110.75,$112.25,$109.54
05/30/2024,$110.90,2051380,$110.78,$111.43,$110.10
05/29/2024,$110.92,1831643,$111.29,$111.54,$110.52
05/28/2024,$112.05,2257569,$113.66,$114.04,$111.77
05/24/2024,$113.42,1345232,$113.04,$113.67,$112.67
05/23/2024,$112.49,2642746,$115.44,$115.62,$112.34
05/22/2024,$114.68,1931130,$113.68,$114.68,$113.36
05/21/2024,$113.70,2357269,$113.54,$114.05,$113.38
05/20/2024,$113.70,1852612,$113.11,$114.55,$113.012
05/17/2024,$112.88,1619656,$113.38,$113.38,$112.26
05/16/2024,$112.82,1927677,$114.00,$114.64,$112.79
05/15/2024,$114.82,1948896,$115.00,$115.3935,$114.39
05/14/2024,$114.35,1514918,$114.64,$115.015,$113.9714
05/13/2024,$114.82,1857355,$115.47,$115.96,$114.71
05/10/2024,$115.55,2422464,$116.31,$116.76,$115.17
05/09/2024,$115.59,4983109,$114.39,$115.77,$114.1335
05/08/2024,$112.65,6172844,$104.20,$113.00,$103.90
05/07/2024,$107.40,6898519,$106.61,$107.56,$106.01
05/06/2024,$106.24,7467969,$107.03,$107.41,$104.93
05/03/2024,$106.54,5925874,$107.17,$107.38,$105.95
05/02/2024,$106.41,3587746,$107.20,$107.86,$105.27
05/01/2024,$106.45,3875204,$107.53,$108.605,$106.22
04/30/2024,$107.78,3963036,$109.50,$109.90,$107.59
04/29/2024,$109.76,2354323,$109.40,$110.76,$109.36
04/26/2024,$109.89,1364495,$109.36,$110.73,$109.02
04/25/2024,$109.60,1640105,$108.45,$110.3099,$107.80
04/24/2024,$109.62,1876916,$110.44,$110.50,$108.65
04/23/2024,$109.77,2081949,$109.10,$110.44,$108.70
04/22/2024,$108.63,2448932,$108.83,$109.665,$108.11
04/19/2024,$108.58,2108076,$109.58,$110.1175,$108.36
04/18/2024,$109.31,1677934,$110.83,$110.83,$108.94
04/17/2024,$109.81,2317293,$112.05,$112.33,$109.60
04/16/2024,$111.49,2326203,$111.87,$112.02,$110.50
04/15/2024,$111.76,1708508,$114.26,$114.365,$111.44
04/12/2024,$112.65,1981072,$112.75,$113.42,$111.82
04/11/2024,$113.52,1673055,$114.03,$114.21,$112.96
04/10/2024,$114.08,2012866,$112.65,$114.24,$112.52
04/09/2024,$114.25,1877498,$115.00,$115.26,$113.10
04/08/2024,$114.67,1775778,$114.71,$114.97,$113.98
04/05/2024,$114.54,1693801,$113.61,$114.765,$113.30
04/04/2024,$113.04,1888559,$114.45,$114.935,$112.64
04/03/2024,$113.54,1981851,$113.44,$114.1899,$113.08
04/02/2024,$113.27,1964421,$113.32,$113.57,$112.29
04/01/2024,$113.54,2057339,$113.27,$114.11,$113.18
03/28/2024,$113.42,2322592,$113.69,$113.89,$113.04
03/27/2024,$113.45,1937349,$112.00,$113.46,$111.65
03/26/2024,$111.95,1812807,$111.62,$112.0787,$111.31
03/25/2024,$111.73,1435879,$112.33,$112.70,$111.64
03/22/2024,$112.45,1479391,$112.57,$112.86,$111.98
03/21/2024,$112.60,2410915,$112.48,$113.345,$112.02
03/20/2024,$112.02,2195361,$111.16,$112.20,$110.23
03/19/2024,$111.29,2543971,$110.67,$111.7342,$110.19
03/18/2024,$111.06,3071527,$111.17,$112.08,$110.96
03/15/2024,$110.59,6537768,$109.69,$111.065,$109.59
03/14/2024,$110.41,2883388,$110.64,$111.00,$109.69
03/13/2024,$110.35,1801876,$110.71,$111.1325,$109.89
03/12/2024,$110.60,1755611,$109.73,$110.69,$109.26
03/11/2024,$109.65,1892247,$109.63,$109.77,$108.48
03/08/2024,$110.15,1655816,$110.69,$111.20,$109.98
03/07/2024,$110.28,2033838,$110.30,$111.05,$110.01
03/06/2024,$109.80,2561558,$110.00,$110.64,$109.54
03/05/2024,$109.02,3465045,$109.07,$109.67,$108.92
03/04/2024,$109.51,3703207,$108.18,$109.83,$108.09
03/01/2024,$108.14,3356781,$108.49,$109.18,$107.59
02/29/2024,$106.85,5067753,$105.99,$107.58,$105.52
02/28/2024,$105.56,2189984,$106.20,$106.23,$105.25
02/27/2024,$106.13,2235632,$106.79,$106.79,$105.37
02/26/2024,$106.19,2393714,$105.77,$106.53,$105.38
02/23/2024,$105.91,1819837,$105.87,$106.155,$105.58
02/22/2024,$105.29,2362562,$105.72,$106.17,$105.205
02/21/2024,$104.96,2138687,$104.56,$105.41,$103.86
02/20/2024,$104.80,2517514,$106.00,$106.09,$104.50
02/16/2024,$106.15,3167551,$105.72,$107.08,$105.49
02/15/2024,$105.71,3104844,$106.07,$106.59,$105.45
02/14/2024,$106.24,5078231,$105.66,$106.60,$105.29
02/13/2024,$104.68,5069083,$103.41,$104.73,$102.63
02/12/2024,$104.28,3904332,$103.18,$104.45,$102.90
02/09/2024,$103.20,3497349,$102.46,$103.32,$102.04
02/08/2024,$102.38,5306000,$104.63,$105.25,$102.0216
02/07/2024,$104.09,9072196,$101.88,$105.71,$100.30
02/06/2024,$94.26,2776626,$93.74,$94.38,$93.03
02/05/2024,$93.40,2412820,$93.29,$93.48,$92.16
02/02/2024,$93.98,2128644,$93.26,$94.49,$92.75
02/01/2024,$93.76,2724716,$92.66,$93.90,$92.44
01/31/2024,$91.73,4273032,$94.61,$94.705,$91.645
01/30/2024,$94.75,2896509,$94.34,$95.03,$93.74
01/29/2024,$95.01,2856406,$94.71,$95.14,$93.696
01/26/2024,$95.06,2344507,$96.48,$96.48,$94.71
01/25/2024,$96.24,2344531,$95.23,$96.275,$94.51
01/24/2024,$94.39,2467334,$96.74,$96.74,$94.31
01/23/2024,$95.78,1768155,$96.55,$96.60,$95.10
01/22/2024,$96.14,2862880,$95.10,$96.37,$95.10
01/19/2024,$94.91,5133595,$93.52,$95.00,$93.08
01/18/2024,$93.68,2426261,$92.91,$93.81,$92.60
01/17/2024,$92.42,2894159,$92.28,$92.90,$91.99
01/16/2024,$93.26,2401741,$94.36,$94.38,$92.97
01/12/2024,$94.87,1572093,$95.44,$95.63,$94.48
01/11/2024,$94.80,2066890,$95.01,$95.11,$93.67
01/10/2024,$94.77,1665206,$94.55,$95.02,$94.32
01/09/2024,$94.62,2378478,$95.32,$95.62,$94.41
01/08/2024,$95.77,2045467,$95.08,$95.82,$94.49
01/05/2024,$95.47,1638272,$95.03,$95.59,$94.76
01/04/2024,$95.10,2221213,$95.01,$95.95,$94.69
01/03/2024,$94.68,2198992,$95.20,$95.39,$94.25
01/02/2024,$95.88,2159895,$96.52,$96.92,$95.38
12/29/2023,$97.33,1448069,$96.93,$97.58,$96.90
12/28/2023,$97.09,1527727,$97.67,$97.75,$96.91
12/27/2023,$97.60,1844438,$97.55,$98.09,$97.295
12/26/2023,$97.52,1536405,$96.78,$97.69,$96.67
12/22/2023,$96.44,1634018,$95.95,$96.94,$95.75
12/21/2023,$95.71,2112963,$95.18,$95.91,$95.01
12/20/2023,$94.66,1782588,$95.57,$96.35,$94.64
12/19/2023,$95.74,1856064,$96.20,$96.51,$95.56
12/18/2023,$96.05,1889733,$95.78,$96.155,$95.29
12/15/2023,$95.65,5091567,$95.58,$96.56,$95.30
12/14/2023,$96.54,4417800,$92.98,$96.67,$92.94
12/13/2023,$92.23,4146120,$91.08,$92.99,$90.66
12/12/2023,$90.44,2905680,$89.80,$90.82,$89.17
12/11/2023,$89.72,3068155,$89.60,$90.535,$89.461
12/08/2023,$89.55,2366068,$88.92,$89.86,$88.53
12/07/2023,$88.72,3577199,$88.11,$89.15,$87.71
12/06/2023,$87.70,3336320,$88.41,$88.70,$87.59
12/05/2023,$88.35,3327870,$88.51,$88.695,$87.78
12/04/2023,$88.91,4068908,$88.74,$89.165,$88.1703
12/01/2023,$90.12,2651181,$89.26,$90.305,$89.05
11/30/2023,$88.90,4201393,$88.78,$89.10,$87.985
11/29/2023,$88.31,2128444,$88.50,$88.73,$87.67
11/28/2023,$87.90,3418181,$87.75,$88.71,$87.55
11/27/2023,$87.99,2657881,$88.11,$88.49,$87.84
11/24/2023,$88.51,1248058,$88.71,$88.97,$88.31
11/22/2023,$88.84,2778827,$88.55,$89.14,$88.015
11/21/2023,$88.60,2467101,$88.41,$88.66,$87.935
11/20/2023,$88.79,2607210,$89.30,$89.36,$88.59
11/17/2023,$89.27,3494310,$87.95,$89.42,$87.73
11/16/2023,$87.50,2719611,$87.74,$88.2381,$87.17
11/15/2023,$88.37,3272988,$88.42,$89.395,$88.09
11/14/2023,$88.55,3646010,$87.69,$89.49,$87.51
11/13/2023,$86.60,3123211,$86.54,$86.92,$85.91
11/10/2023,$86.50,2922740,$85.75,$86.82,$85.1728
11/09/2023,$85.20,4765133,$85.50,$87.2065,$85.0005
11/08/2023,$84.75,5833485,$85.49,$86.18,$84.61
11/07/2023,$84.94,9919947,$83.80,$85.10,$83.10
11/06/2023,$91.74,3004010,$92.16,$92.175,$90.76
11/03/2023,$91.97,2686668,$92.09,$92.70,$91.97
11/02/2023,$91.16,4912211,$89.96,$91.41,$89.39
11/01/2023,$89.61,2771556,$89.23,$89.64,$88.78
10/31/2023,$88.97,4904176,$88.35,$89.07,$88.05
10/30/2023,$88.45,2772991,$88.45,$88.60,$87.26
10/27/2023,$88.03,2429304,$88.45,$89.02,$87.5301
10/26/2023,$88.60,4452200,$89.10,$89.37,$87.94
10/25/2023,$88.83,3484353,$90.67,$90.67,$88.40
10/24/2023,$90.74,2566038,$90.83,$91.22,$90.22
10/23/2023,$90.16,2790838,$91.53,$91.93,$90.00
10/20/2023,$91.47,5700833,$92.87,$93.23,$91.33
10/19/2023,$93.14,2678805,$93.81,$95.11,$93.10
10/18/2023,$93.70,2503443,$95.20,$95.20,$93.64
10/17/2023,$95.97,2196537,$96.155,$96.96,$95.79
10/16/2023,$96.35,2670695,$96.18,$97.19,$96.02
10/13/2023,$94.76,2148964,$96.39,$96.80,$94.49
10/12/2023,$96.05,1853157,$97.50,$97.50,$95.375
10/11/2023,$97.09,2231340,$96.39,$97.22,$96.065
10/10/2023,$96.37,2688347,$96.00,$97.23,$95.755
10/09/2023,$95.87,2581145,$95.04,$95.99,$94.77
10/06/2023,$95.04,2154736,$93.39,$95.92,$93.26
10/05/2023,$93.59,2758386,$94.30,$94.67,$93.34
10/04/2023,$94.66,3361362,$94.75,$95.25,$93.89
10/03/2023,$94.85,2743179,$95.25,$95.85,$94.03
10/02/2023,$95.71,2600619,$96.36,$96.88,$95.05
09/29/2023,$96.57,2041477,$97.79,$97.93,$96.445
09/28/2023,$97.01,1861447,$97.02,$97.64,$96.60
09/27/2023,$96.86,2323152,$96.43,$97.25,$95.57
09/26/2023,$95.60,2496840,$97.98,$97.98,$95.59
09/25/2023,$98.10,1869202,$96.80,$98.14,$96.40
09/22/2023,$97.10,2448719,$96.52,$97.64,$96.33
09/21/2023,$96.49,2181290,$97.79,$97.84,$96.44
09/20/2023,$98.01,1646275,$99.04,$99.67,$97.89
09/19/2023,$98.82,1891736,$99.99,$100.01,$98.14
09/18/2023,$99.61,2163159,$98.87,$100.38,$98.78
09/15/2023,$98.86,7287061,$98.20,$99.69,$97.895
09/14/2023,$98.60,2637021,$98.40,$99.06,$98.04
09/13/2023,$97.68,2497053,$99.66,$99.94,$97.42
09/12/2023,$99.92,2447928,$100.14,$100.62,$99.79
09/11/2023,$100.12,3921459,$99.01,$100.56,$98.91
09/08/2023,$98.95,1952228,$99.03,$99.65,$98.59
09/07/2023,$99.40,3304194,$98.52,$99.61,$98.1862
09/06/2023,$98.67,2406288,$97.73,$98.9499,$97.51
09/05/2023,$97.88,2897805,$98.77,$99.00,$97.66
09/01/2023,$98.92,1762343,$98.35,$99.39,$98.35
08/31/2023,$98.25,2604483,$98.54,$99.15,$98.01
08/30/2023,$98.29,3229705,$98.79,$99.10,$97.64
08/29/2023,$98.65,2235322,$98.12,$98.79,$97.895
08/28/2023,$98.12,2228878,$98.39,$98.82,$97.94
08/25/2023,$97.64,4124896,$96.21,$98.38,$96.21
08/24/2023,$95.75,2030508,$96.43,$97.285,$95.705
08/23/2023,$96.63,1975756,$96.19,$96.92,$95.81
08/22/2023,$96.08,2339336,$96.40,$97.27,$95.50
08/21/2023,$95.06,1842859,$95.79,$95.91,$94.135
08/18/2023,$95.79,1978814,$95.05,$96.26,$95.00
08/17/2023,$95.73,2561009,$96.85,$97.31,$95.70
08/16/2023,$96.01,2493933,$95.38,$96.68,$95.38
08/15/2023,$95.47,2026515,$95.37,$95.80,$95.25
