Date,Close/Last,Volume,Open,High,Low
09/06/2024,$284.97,2163854,$288.62,$292.20,$281.34
09/05/2024,$285.72,1930617,$287.45,$289.23,$282.56
09/04/2024,$288.77,2098551,$288.20,$292.79,$286.62
09/03/2024,$289.73,3058943,$304.17,$304.81,$289.47
08/30/2024,$306.93,2320225,$301.49,$307.65,$300.125
08/29/2024,$301.09,2426552,$296.23,$307.45,$295.135
08/28/2024,$293.60,2109259,$296.82,$297.49,$292.23
08/27/2024,$296.03,1711691,$295.00,$299.86,$292.40
08/26/2024,$296.91,1579599,$300.28,$301.75,$296.00
08/23/2024,$300.00,1950652,$300.00,$302.00,$297.78
08/22/2024,$297.69,2035768,$300.46,$303.40,$296.70
08/21/2024,$299.69,1400589,$296.45,$301.65,$296.17
08/20/2024,$296.24,1432364,$297.92,$299.64,$294.58
08/19/2024,$297.05,1572554,$297.19,$298.425,$293.19
08/16/2024,$296.68,2768158,$302.07,$302.53,$293.38
08/15/2024,$302.46,2316626,$302.12,$304.77,$298.04
08/14/2024,$298.30,1975115,$296.01,$300.05,$294.43
08/13/2024,$295.39,2256868,$292.20,$295.82,$288.275
08/12/2024,$288.43,1840524,$291.12,$293.45,$285.53
08/09/2024,$291.64,2190467,$286.86,$292.17,$285.70
08/08/2024,$287.48,3888078,$282.05,$288.06,$278.11
08/07/2024,$277.68,2857003,$285.00,$288.10,$276.80
08/06/2024,$277.65,3305013,$274.65,$282.03,$274.65
08/05/2024,$272.52,4621225,$255.65,$277.02,$255.65
08/02/2024,$280.26,4528035,$290.00,$290.635,$276.01
08/01/2024,$297.88,5433440,$290.04,$304.29,$288.00
07/31/2024,$304.79,5108315,$306.19,$310.87,$301.37
07/30/2024,$287.24,4777209,$297.56,$302.525,$285.48
07/29/2024,$296.61,2522754,$298.60,$300.39,$294.56
07/26/2024,$297.79,3090006,$300.88,$301.93,$296.42
07/25/2024,$292.88,5569843,$298.73,$300.2797,$286.87
07/24/2024,$299.60,3876526,$316.84,$318.08,$299.32
07/23/2024,$321.94,1518593,$320.00,$325.3299,$319.6684
07/22/2024,$320.32,2252544,$316.50,$321.50,$315.45
07/19/2024,$311.89,2287596,$312.23,$316.31,$310.70
07/18/2024,$309.07,4377007,$313.39,$319.23,$305.66
07/17/2024,$311.50,3313022,$326.97,$327.62,$311.11
07/16/2024,$332.46,1671201,$330.55,$335.12,$328.755
07/15/2024,$327.03,1416199,$329.34,$330.96,$325.84
07/12/2024,$330.48,1644907,$330.75,$333.71,$326.21
07/11/2024,$328.82,2061025,$329.18,$331.13,$325.70
07/10/2024,$327.07,2083175,$318.75,$327.22,$318.61
07/09/2024,$318.71,981115,$320.19,$321.14,$318.12
07/08/2024,$318.96,1139823,$320.17,$322.88,$318.22
07/05/2024,$317.37,1557711,$319.68,$320.33,$314.4936
07/03/2024,$318.42,1122952,$313.82,$319.2499,$312.95
07/02/2024,$313.28,2047749,$309.45,$313.7499,$309.45
07/01/2024,$312.37,1925889,$316.45,$316.475,$307.7603
06/28/2024,$313.55,2557711,$312.89,$319.64,$310.335
