Date,Close/Last,Volume,Open,High,Low
08/30/2024,$142.92,1570696,$142.16,$143.27,$141.02
08/29/2024,$142.53,1577379,$142.07,$143.44,$141.11
08/28/2024,$141.06,1089854,$141.53,$142.31,$140.29
08/27/2024,$141.10,949743,$140.48,$141.2099,$139.71
08/26/2024,$140.49,1013194,$141.11,$141.18,$139.96
08/23/2024,$140.87,1735656,$141.21,$142.27,$140.16
08/22/2024,$140.22,2634529,$145.375,$145.45,$138.15
08/21/2024,$139.99,2262977,$139.98,$140.79,$139.145
08/20/2024,$139.75,1227757,$140.60,$141.535,$139.43
08/19/2024,$140.51,1714079,$140.55,$141.29,$139.28
08/16/2024,$140.04,1284834,$139.79,$140.90,$138.52
08/15/2024,$139.89,1120379,$137.66,$139.99,$137.66
08/14/2024,$136.03,1090040,$137.93,$138.69,$135.88
08/13/2024,$137.42,1157979,$135.83,$137.70,$135.33
08/12/2024,$135.60,1347172,$136.81,$136.81,$134.48
08/09/2024,$136.90,737614,$136.84,$137.86,$136.105
08/08/2024,$136.76,976850,$134.15,$137.22,$133.78
08/07/2024,$133.96,1553910,$137.25,$138.085,$133.69
08/06/2024,$136.26,1461969,$135.42,$138.92,$134.27
08/05/2024,$134.70,1885243,$136.55,$136.82,$133.06
08/02/2024,$139.04,2298354,$141.98,$143.17,$135.76
08/01/2024,$142.86,2896452,$142.24,$144.22,$141.75
07/31/2024,$141.40,2582725,$140.39,$144.00,$139.71
07/30/2024,$139.49,1428034,$138.04,$139.73,$137.11
07/29/2024,$137.38,1222648,$137.585,$137.78,$135.62
07/26/2024,$137.32,1717670,$136.69,$140.29,$136.08
07/25/2024,$134.98,1338851,$133.95,$138.365,$133.45
07/24/2024,$134.16,2066682,$130.87,$134.43,$130.18
07/23/2024,$130.65,1640805,$137.61,$137.66,$130.49
07/22/2024,$133.42,2009368,$133.06,$133.93,$131.40
07/19/2024,$131.78,1731443,$131.96,$132.78,$130.29
07/18/2024,$131.97,2783526,$132.32,$135.21,$131.66
07/17/2024,$133.50,1031195,$135.16,$136.00,$133.42
07/16/2024,$136.06,1064333,$131.99,$136.1899,$131.595
07/15/2024,$131.01,1015719,$132.01,$133.14,$130.775
07/12/2024,$132.23,1477340,$131.17,$133.40,$130.64
07/11/2024,$130.82,1667172,$128.80,$131.535,$127.8775
07/10/2024,$127.07,1837330,$126.42,$127.14,$125.542
07/09/2024,$125.42,1558888,$126.24,$126.24,$124.16
07/08/2024,$126.07,2091058,$126.68,$126.73,$125.40
07/05/2024,$126.37,1341656,$126.40,$126.61,$125.29
07/03/2024,$126.13,1288210,$126.12,$127.66,$125.83
07/02/2024,$125.78,1981143,$127.43,$128.57,$125.44
07/01/2024,$127.40,2364844,$130.69,$131.785,$127.061
06/28/2024,$129.63,9817612,$131.66,$133.039,$128.39
06/27/2024,$130.80,1897978,$132.20,$132.99,$130.58
06/26/2024,$133.09,1836777,$133.99,$135.21,$132.76
06/25/2024,$134.69,2310830,$135.00,$136.01,$134.29
06/24/2024,$135.08,3339551,$135.30,$137.71,$134.34
06/21/2024,$133.25,4461292,$132.85,$134.50,$132.20
06/20/2024,$132.73,2887363,$133.26,$134.65,$132.53
06/18/2024,$134.90,3453080,$132.13,$135.15,$131.56
06/17/2024,$131.83,2090521,$131.11,$132.07,$129.50
06/14/2024,$129.85,2163274,$130.00,$130.74,$129.24
06/13/2024,$130.57,2555442,$132.59,$133.00,$130.04
06/12/2024,$133.16,2399911,$133.63,$133.635,$132.33
06/11/2024,$132.11,2081563,$132.64,$132.99,$131.49
06/10/2024,$133.03,1673611,$132.87,$133.85,$132.25
06/07/2024,$132.98,2365340,$131.95,$133.3799,$131.29
06/06/2024,$132.82,2269636,$132.46,$134.35,$132.28
06/05/2024,$133.56,2707455,$130.54,$134.20,$130.01
06/04/2024,$130.85,2893665,$131.24,$132.25,$130.2801
06/03/2024,$131.40,3114841,$130.00,$132.58,$130.00
05/31/2024,$130.41,5333147,$131.00,$134.065,$129.56
05/30/2024,$131.42,5138548,$125.30,$135.18,$125.30
05/29/2024,$145.48,1603212,$146.74,$146.99,$144.75
05/28/2024,$148.21,1366918,$150.82,$151.19,$147.70
