Date,Close/Last,Volume,Open,High,Low
08/30/2024,$196.31,3820802,$195.25,$196.50,$194.17
08/29/2024,$195.18,4538372,$196.00,$196.44,$193.85
08/28/2024,$195.40,3910215,$195.52,$196.23,$194.03
08/27/2024,$195.92,2504553,$197.99,$198.30,$195.18
08/26/2024,$197.44,4182425,$197.56,$197.9699,$196.07
08/23/2024,$197.55,4720300,$197.25,$197.98,$196.2271
08/22/2024,$196.37,3676719,$197.005,$197.54,$195.35
08/21/2024,$196.53,4250492,$196.44,$197.335,$195.67
08/20/2024,$196.15,3631797,$197.12,$197.48,$194.13
08/19/2024,$196.87,4309277,$193.40,$197.18,$193.35
08/16/2024,$193.90,3675149,$193.88,$194.25,$192.27
08/15/2024,$193.40,4719856,$194.49,$194.99,$191.29
08/14/2024,$193.00,4153610,$191.00,$193.35,$190.47
08/13/2024,$191.23,3477320,$190.56,$191.94,$189.377
08/12/2024,$190.18,4808434,$190.08,$190.57,$187.70
08/09/2024,$189.93,3206539,$190.78,$191.01,$188.10
08/08/2024,$190.40,5744889,$186.92,$190.71,$186.92
08/07/2024,$187.51,6351130,$187.90,$189.59,$185.9775
08/06/2024,$185.71,4273301,$185.43,$187.82,$183.08
08/05/2024,$184.36,6459296,$187.45,$189.29,$183.04
08/02/2024,$189.29,6303909,$190.98,$193.91,$186.46
08/01/2024,$189.71,6595545,$187.77,$190.9699,$186.77
07/31/2024,$185.32,6473948,$186.386,$187.50,$183.45
07/30/2024,$186.78,6032165,$183.59,$187.71,$182.60
07/29/2024,$181.94,5458460,$184.04,$186.13,$180.53
07/26/2024,$185.16,6948832,$183.45,$186.85,$182.11
07/25/2024,$182.17,9442179,$177.00,$186.11,$171.802
07/24/2024,$176.21,6117697,$173.20,$176.60,$172.95
07/23/2024,$173.15,2933782,$173.32,$174.59,$172.77
07/22/2024,$173.61,4066954,$173.32,$174.7299,$172.00
07/19/2024,$172.32,4293624,$173.67,$173.845,$171.22
07/18/2024,$171.14,5957924,$174.445,$176.68,$170.72
07/17/2024,$175.27,6983160,$169.51,$175.74,$169.51
07/16/2024,$169.20,3829646,$168.60,$169.85,$167.26
07/15/2024,$168.03,2395181,$168.91,$170.365,$167.42
07/12/2024,$170.28,4133520,$170.63,$171.625,$169.90
07/11/2024,$169.91,3689530,$167.52,$170.35,$167.35
07/10/2024,$168.14,3887959,$167.45,$168.45,$166.1101
07/09/2024,$168.05,4224705,$167.02,$168.53,$164.86
07/08/2024,$166.52,3500155,$166.54,$167.717,$165.62
07/05/2024,$167.25,5978524,$164.72,$167.31,$163.63
07/03/2024,$163.84,3527612,$166.09,$167.10,$163.52
07/02/2024,$165.96,5965457,$168.63,$168.63,$165.45
