Date,Close/Last,Volume,Open,High,Low
08/30/2024,$113.27,4320139,$113.00,$113.47,$111.89
08/29/2024,$112.76,3375767,$113.295,$113.50,$112.52
08/28/2024,$112.90,3836651,$113.10,$113.42,$112.37
08/27/2024,$113.10,2705392,$113.055,$113.17,$112.14
08/26/2024,$112.70,3212704,$112.735,$113.255,$112.06
08/23/2024,$112.69,4511637,$112.40,$112.78,$111.89
08/22/2024,$112.10,3690427,$111.79,$112.15,$111.05
08/21/2024,$111.39,4081629,$110.97,$111.45,$110.68
08/20/2024,$110.77,5822390,$111.82,$112.09,$110.33
08/19/2024,$111.90,3495903,$111.00,$112.25,$110.84
08/16/2024,$111.00,4643293,$111.36,$111.60,$110.57
08/15/2024,$110.94,7458612,$110.47,$111.33,$109.76
08/14/2024,$109.89,5823137,$108.07,$110.18,$107.71
08/13/2024,$108.24,4920532,$107.80,$108.56,$107.60
08/12/2024,$107.80,4795946,$108.40,$108.40,$107.105
08/09/2024,$108.71,5435152,$109.28,$109.28,$107.69
08/08/2024,$109.76,5476552,$109.95,$111.22,$109.22
08/07/2024,$109.94,6365185,$109.61,$112.35,$109.40
08/06/2024,$109.50,5634812,$108.95,$110.64,$108.63
08/05/2024,$108.63,7121375,$111.34,$112.00,$108.37
08/02/2024,$111.31,9885690,$110.18,$112.04,$108.40
08/01/2024,$110.15,9069154,$106.65,$110.68,$106.33
07/31/2024,$105.94,8238404,$105.50,$106.83,$103.55
07/30/2024,$105.32,9126323,$104.76,$105.675,$102.78
07/29/2024,$104.77,19452690,$100.59,$105.175,$99.92
07/26/2024,$105.24,8611560,$106.46,$107.14,$104.66
07/25/2024,$105.96,6356625,$107.02,$108.71,$105.92
07/24/2024,$107.26,8680899,$104.22,$107.31,$103.54
07/23/2024,$103.92,5894651,$104.01,$104.33,$103.37
07/22/2024,$103.72,7880254,$102.50,$103.83,$102.31
07/19/2024,$102.03,11963580,$100.61,$102.40,$100.08
07/18/2024,$100.07,13078780,$102.39,$104.145,$99.71
07/17/2024,$104.68,13438350,$102.65,$105.65,$102.50
07/16/2024,$102.72,7656931,$102.915,$103.87,$102.51
07/15/2024,$102.96,4970892,$103.93,$104.16,$102.58
07/12/2024,$104.22,4277742,$104.67,$104.93,$104.11
07/11/2024,$104.18,5025283,$103.38,$104.64,$103.06
07/10/2024,$103.05,6598954,$101.42,$103.08,$101.27
07/09/2024,$101.64,6269235,$102.39,$102.59,$100.75
07/08/2024,$102.12,4541958,$103.78,$103.85,$101.94
07/05/2024,$104.02,6582790,$102.03,$104.07,$101.76
07/03/2024,$102.33,2017846,$103.36,$103.66,$102.18
07/02/2024,$103.20,3650516,$102.70,$103.39,$102.70
07/01/2024,$103.20,4588863,$104.16,$105.51,$102.61
06/28/2024,$103.91,8283577,$104.70,$105.16,$103.53
06/27/2024,$104.65,4137597,$105.25,$105.32,$103.92
06/26/2024,$104.88,5406622,$105.09,$105.65,$104.32
06/25/2024,$105.49,4722596,$105.40,$105.98,$104.82
06/24/2024,$105.30,5201278,$106.29,$106.29,$104.9401
06/21/2024,$105.72,10329150,$106.66,$106.93,$105.24
06/20/2024,$106.57,9155091,$103.525,$106.84,$103.47
06/18/2024,$103.99,4500985,$103.26,$104.0908,$103.25
06/17/2024,$103.45,3936410,$102.91,$103.94,$102.54
06/14/2024,$103.68,3683145,$103.29,$103.72,$102.43
06/13/2024,$103.45,4719494,$103.635,$103.70,$102.60
06/12/2024,$104.38,4569029,$105.91,$105.91,$104.29
06/11/2024,$105.81,7536183,$107.32,$107.32,$105.53
06/10/2024,$107.49,8556495,$107.63,$108.98,$107.04
06/07/2024,$107.58,8666641,$103.86,$108.13,$103.3701
06/06/2024,$104.27,9835466,$103.29,$105.00,$102.81
06/05/2024,$103.23,3302504,$102.93,$103.42,$101.98
06/04/2024,$103.43,3880402,$102.80,$103.49,$102.535
06/03/2024,$102.87,4915081,$102.17,$104.13,$101.92
05/31/2024,$102.19,7915676,$101.86,$102.299,$101.39
05/30/2024,$101.74,5126729,$101.28,$102.61,$100.86
05/29/2024,$100.73,4961324,$101.09,$101.77,$100.64
05/28/2024,$101.95,4771127,$103.57,$103.59,$101.56
05/24/2024,$103.95,4455866,$104.15,$104.369,$103.58
05/23/2024,$104.23,5862199,$103.96,$104.91,$103.44
05/22/2024,$104.82,5933598,$102.95,$105.14,$102.94
05/21/2024,$102.96,4391572,$103.52,$103.86,$102.4097
05/20/2024,$103.21,7165905,$103.78,$103.80,$103.02
05/17/2024,$104.09,7004574,$104.41,$104.80,$103.94
05/16/2024,$104.87,8708267,$104.45,$105.19,$104.16
05/15/2024,$104.59,5443172,$104.10,$104.83,$104.10
05/14/2024,$104.01,7035128,$104.85,$105.13,$103.36
05/13/2024,$104.77,5459183,$104.99,$105.50,$104.40
05/10/2024,$104.74,7349729,$104.50,$105.67,$104.42
05/09/2024,$104.67,5902240,$104.73,$105.01,$104.50
05/08/2024,$104.94,6234711,$106.34,$106.34,$104.28
05/07/2024,$106.17,6556396,$106.52,$106.60,$105.79
05/06/2024,$105.64,3789737,$106.11,$106.17,$105.14
05/03/2024,$105.90,3610492,$106.11,$106.64,$105.475
05/02/2024,$105.92,3708515,$106.66,$106.66,$105.15
05/01/2024,$106.29,4097108,$105.93,$107.16,$105.91
04/30/2024,$105.97,5073971,$106.52,$106.87,$105.895
04/29/2024,$107.27,3307022,$107.39,$108.19,$106.60
04/26/2024,$107.53,3575566,$106.51,$107.8561,$106.39
04/25/2024,$106.86,3112495,$106.645,$107.455,$106.14
04/24/2024,$106.89,5052691,$106.71,$107.11,$105.56
04/23/2024,$107.59,3849589,$107.67,$108.11,$107.3101
04/22/2024,$107.07,4948315,$107.48,$107.90,$106.27
04/19/2024,$107.28,10533620,$105.98,$107.77,$105.38
04/18/2024,$105.27,7306449,$106.50,$107.03,$104.47
04/17/2024,$105.90,12002890,$107.53,$108.72,$104.25
04/16/2024,$109.21,7283867,$108.84,$110.33,$108.14
04/15/2024,$108.89,4595628,$110.09,$110.89,$108.831
04/12/2024,$109.11,4041615,$110.27,$110.50,$108.4916
04/11/2024,$111.45,4321456,$111.65,$111.98,$110.31
04/10/2024,$111.17,3965558,$111.22,$111.67,$110.35
04/09/2024,$112.44,4235804,$110.59,$112.57,$110.58
04/08/2024,$110.52,5810480,$111.30,$111.48,$110.14
04/05/2024,$111.20,5591219,$109.70,$111.26,$109.54
04/04/2024,$110.11,4799745,$111.84,$112.00,$109.8375
04/03/2024,$111.28,4409909,$112.14,$112.55,$111.05
04/02/2024,$112.02,4560740,$111.89,$112.42,$111.18
04/01/2024,$112.09,3963996,$113.66,$113.66,$111.82
03/28/2024,$113.66,5278215,$113.28,$114.02,$112.93
03/27/2024,$113.48,7533356,$112.00,$113.70,$111.94
03/26/2024,$111.50,7770829,$110.49,$111.90,$109.93
03/25/2024,$110.01,6622414,$110.45,$110.80,$109.11
03/22/2024,$110.57,5387719,$111.52,$111.98,$110.5439
03/21/2024,$111.51,9722663,$111.95,$112.14,$111.01
03/20/2024,$111.50,8317283,$113.00,$113.24,$110.73
03/19/2024,$113.16,8299307,$112.44,$114.42,$112.04
03/18/2024,$112.44,12991000,$115.35,$115.76,$112.29
03/15/2024,$115.49,22415680,$113.02,$115.49,$112.26
03/14/2024,$118.85,4952259,$120.01,$120.34,$117.85
03/13/2024,$120.16,3421685,$120.52,$120.93,$119.62
03/12/2024,$120.76,3079726,$119.95,$121.08,$119.06
03/11/2024,$120.19,3886029,$120.93,$121.42,$119.6157
03/08/2024,$120.96,3357442,$120.97,$121.64,$120.605
03/07/2024,$120.92,4200857,$120.095,$121.50,$119.9501
03/06/2024,$119.34,3388820,$118.60,$119.58,$118.42
03/05/2024,$118.48,3502340,$120.44,$120.60,$118.08
