Date,Close/Last,Volume,Open,High,Low
08/30/2024,$113.09,2739377,$112.97,$113.66,$112.155
08/29/2024,$112.81,1341262,$111.28,$112.97,$110.28
08/28/2024,$111.01,990552,$111.10,$111.56,$110.13
08/27/2024,$110.68,1446729,$109.77,$110.81,$109.66
08/26/2024,$109.49,1228005,$108.99,$110.12,$108.84
08/23/2024,$109.02,1514536,$106.96,$109.145,$106.335
08/22/2024,$106.51,1144956,$104.75,$106.54,$104.75
08/21/2024,$104.60,1013401,$103.20,$104.72,$102.97
08/20/2024,$102.80,700724,$102.97,$103.29,$102.275
08/19/2024,$103.00,865195,$102.54,$103.47,$102.36
08/16/2024,$102.55,801677,$102.31,$102.90,$101.53
08/15/2024,$101.65,1076510,$101.43,$102.35,$100.95
08/14/2024,$100.90,1239143,$97.99,$101.04,$97.99
08/13/2024,$97.73,848594,$98.56,$98.56,$96.81
08/12/2024,$97.97,740707,$98.43,$99.28,$97.777
08/09/2024,$98.79,737449,$98.40,$98.95,$97.87
08/08/2024,$98.40,1091827,$96.43,$98.71,$96.15
08/07/2024,$96.80,1537303,$96.37,$97.965,$96.345
08/06/2024,$96.64,1402003,$96.22,$97.672,$96.22
08/05/2024,$96.06,2599979,$100.33,$100.57,$94.4101
08/02/2024,$98.67,3584653,$96.95,$99.39,$96.52
08/01/2024,$97.10,2039986,$96.18,$97.22,$94.08
07/31/2024,$95.78,2449662,$100.17,$100.57,$94.77
07/30/2024,$98.20,1506017,$97.57,$99.08,$97.504
07/29/2024,$97.01,1131101,$96.91,$97.805,$96.65
07/26/2024,$96.91,1108464,$94.89,$97.87,$94.555
07/25/2024,$94.465,1366761,$96.72,$96.8574,$94.17
07/24/2024,$96.40,1002374,$97.00,$97.53,$96.24
07/23/2024,$96.23,605328,$97.12,$97.415,$96.07
07/22/2024,$96.57,972987,$96.13,$97.225,$95.79
07/19/2024,$96.10,1029054,$98.62,$98.82,$95.78
07/18/2024,$98.24,912290,$97.84,$99.195,$97.685
07/17/2024,$97.87,1049224,$97.94,$98.63,$97.48
07/16/2024,$97.11,1100037,$97.16,$98.27,$96.86
07/15/2024,$97.16,1271360,$96.55,$98.28,$96.51
07/12/2024,$96.50,1557504,$97.31,$97.64,$96.44
07/11/2024,$97.00,1702311,$97.40,$97.57,$95.705
07/10/2024,$97.50,1047915,$98.20,$98.39,$97.32
