Date,Close/Last,Volume,Open,High,Low
08/30/2024,$341.95,2004144,$341.00,$343.45,$338.64
08/29/2024,$340.21,1612584,$340.25,$343.87,$338.97
08/28/2024,$337.39,1527981,$340.56,$343.60,$335.11
08/27/2024,$340.38,2154150,$335.18,$340.99,$335.00
08/26/2024,$336.78,1692174,$333.08,$337.21,$331.77
08/23/2024,$333.27,1518702,$331.66,$333.76,$329.67
08/22/2024,$330.57,1679226,$333.89,$334.07,$329.65
08/21/2024,$333.60,1233957,$330.84,$333.66,$330.54
08/20/2024,$330.37,1790106,$329.93,$330.57,$328.05
08/19/2024,$329.44,1678267,$327.56,$330.43,$327.00
08/16/2024,$326.92,2292799,$324.91,$327.705,$323.27
08/15/2024,$325.13,2271669,$322.28,$325.21,$321.94
08/14/2024,$319.83,1404627,$320.00,$322.07,$318.02
08/13/2024,$319.33,2269581,$316.11,$320.18,$315.13
08/12/2024,$313.96,2276546,$315.47,$317.4699,$312.74
08/09/2024,$315.83,1851305,$316.20,$317.32,$313.2201
08/08/2024,$315.88,2213725,$315.30,$319.51,$314.47
08/07/2024,$318.02,2327705,$319.95,$325.74,$317.93
08/06/2024,$318.68,2284261,$317.00,$322.66,$315.72
08/05/2024,$313.74,3186698,$311.61,$317.87,$310.23
08/02/2024,$323.15,2682736,$324.99,$326.68,$320.35
08/01/2024,$328.08,2538193,$333.88,$338.92,$326.42
07/31/2024,$330.62,2606401,$331.64,$333.93,$329.042
07/30/2024,$329.20,1985465,$327.49,$330.4499,$326.95
07/29/2024,$326.20,1629266,$328.66,$328.98,$323.87
07/26/2024,$328.46,2438247,$325.92,$329.81,$325.211
07/25/2024,$330.12,2764639,$325.59,$335.69,$323.34
07/24/2024,$328.68,3286450,$329.38,$332.54,$328.135
07/23/2024,$330.33,1994169,$331.43,$332.20,$327.97
07/22/2024,$331.51,3419315,$330.72,$332.82,$329.7228
07/19/2024,$329.19,5376237,$331.09,$335.79,$327.7065
07/18/2024,$328.10,4563719,$329.41,$336.25,$327.84
07/17/2024,$325.60,4383856,$325.95,$328.57,$323.62
07/16/2024,$325.00,3640693,$318.38,$325.15,$318.03
07/15/2024,$317.87,3866301,$312.67,$319.37,$312.67
07/12/2024,$310.63,3951627,$299.59,$312.02,$299.03
07/11/2024,$297.99,2988052,$295.44,$302.18,$293.98
07/10/2024,$295.44,2283455,$296.90,$298.00,$290.5306
07/09/2024,$298.06,2479254,$299.09,$299.15,$294.4775
07/08/2024,$299.47,2557914,$300.46,$301.95,$295.6002
07/05/2024,$299.14,3158944,$304.91,$305.70,$297.68
07/03/2024,$305.75,1751215,$304.75,$306.89,$303.975
07/02/2024,$303.83,2177192,$300.93,$304.00,$300.93
07/01/2024,$302.55,2411300,$303.73,$304.36,$299.60
06/28/2024,$303.41,14905690,$303.54,$305.545,$301.65
