Date,Close/Last,Volume,Open,High,Low
08/30/2024,$82.51,1168009,$82.36,$82.91,$81.92
08/29/2024,$82.28,1233726,$82.43,$82.74,$81.31
08/28/2024,$82.34,1414659,$81.94,$82.70,$81.50
08/27/2024,$81.65,966361,$82.52,$82.535,$81.55
08/26/2024,$82.57,1100746,$82.32,$82.96,$82.00
08/23/2024,$82.05,765117,$82.59,$82.59,$81.96
08/22/2024,$82.29,977076,$82.42,$82.66,$81.94
08/21/2024,$82.35,749256,$82.23,$82.57,$82.05
08/20/2024,$82.22,772250,$82.53,$82.90,$81.96
08/19/2024,$82.51,924097,$82.15,$82.84,$82.06
08/16/2024,$82.10,1463807,$81.92,$82.44,$81.33
08/15/2024,$81.34,1015859,$80.79,$81.59,$80.57
08/14/2024,$81.26,827481,$81.01,$81.76,$80.70
08/13/2024,$81.30,1438460,$80.73,$81.4925,$80.005
08/12/2024,$80.32,1084744,$80.14,$80.39,$79.81
08/09/2024,$80.31,1351561,$80.12,$80.59,$78.91
08/08/2024,$80.20,1458466,$79.94,$80.91,$79.55
08/07/2024,$80.49,1695628,$80.56,$81.62,$80.39
08/06/2024,$80.56,1455770,$80.26,$81.34,$79.93
08/05/2024,$80.19,1708728,$84.28,$84.40,$80.17
08/02/2024,$82.53,2132414,$82.67,$83.83,$80.76
08/01/2024,$81.26,1533651,$79.26,$81.50,$79.26
07/31/2024,$79.27,1267531,$79.42,$79.56,$78.8052
07/30/2024,$79.52,1304625,$78.06,$79.61,$77.99
07/29/2024,$78.20,1191249,$77.97,$78.56,$77.085
07/26/2024,$78.04,976386,$77.66,$78.48,$77.365
07/25/2024,$77.55,2258061,$77.51,$79.255,$76.95
07/24/2024,$77.04,1429395,$75.78,$77.25,$75.30
07/23/2024,$75.08,1288765,$75.62,$75.89,$75.00
07/22/2024,$75.74,1332276,$74.98,$75.80,$74.87
07/19/2024,$74.82,1065100,$75.88,$75.88,$74.33
07/18/2024,$75.05,1062243,$74.84,$76.46,$74.84
