Date,Close/Last,Volume,Open,High,Low
08/30/2024,$17.13,5713821,$17.41,$17.4472,$17.00
08/29/2024,$17.26,5947681,$17.25,$17.385,$16.975
08/28/2024,$17.20,4646080,$17.38,$17.4499,$17.12
08/27/2024,$17.37,5240876,$17.80,$17.90,$17.34
08/26/2024,$17.90,4255743,$18.17,$18.21,$17.89
08/23/2024,$18.08,6788472,$17.87,$18.23,$17.75
08/22/2024,$17.77,6082942,$17.66,$17.84,$17.535
08/21/2024,$17.67,5766488,$17.43,$17.76,$17.33
08/20/2024,$17.38,7780326,$17.29,$17.47,$17.24
08/19/2024,$17.37,5804439,$17.24,$17.49,$17.19
08/16/2024,$17.26,6108331,$17.26,$17.38,$17.16
08/15/2024,$17.27,7799665,$16.94,$17.46,$16.90
08/14/2024,$16.94,5670226,$16.94,$17.095,$16.6299
08/13/2024,$16.89,6322044,$16.90,$16.95,$16.635
08/12/2024,$16.71,6236993,$16.65,$16.74,$16.44
08/09/2024,$16.66,7689283,$16.56,$16.77,$16.195
08/08/2024,$16.65,11742460,$16.39,$16.82,$16.30
08/07/2024,$16.39,7055475,$16.80,$17.01,$16.30
08/06/2024,$16.52,6182943,$16.28,$16.94,$16.27
08/05/2024,$16.29,8794322,$16.75,$16.95,$15.995
08/02/2024,$17.13,10660580,$17.30,$17.66,$16.85
08/01/2024,$17.91,9614619,$17.62,$17.96,$17.60
07/31/2024,$17.79,18534600,$17.89,$18.07,$17.66
07/30/2024,$17.55,7028812,$17.61,$17.71,$17.38
07/29/2024,$17.59,5334487,$17.61,$17.72,$17.325
07/26/2024,$17.52,5224716,$17.52,$17.67,$17.37
07/25/2024,$17.23,11284700,$17.33,$17.51,$17.14
07/24/2024,$17.31,10045540,$17.68,$17.9055,$17.28
07/23/2024,$17.56,4992999,$17.33,$17.88,$17.31
07/22/2024,$17.52,8080325,$17.40,$17.565,$17.16
07/19/2024,$17.10,4641917,$17.20,$17.28,$17.06
07/18/2024,$17.08,9984220,$17.05,$17.2154,$16.775
07/17/2024,$16.89,8844171,$17.47,$17.565,$16.77
07/16/2024,$17.65,7590060,$17.20,$17.6952,$17.13
07/15/2024,$17.00,13899320,$18.25,$18.32,$16.96
07/12/2024,$18.89,6349842,$18.77,$19.125,$18.68
07/11/2024,$18.65,5483197,$18.34,$18.72,$18.2745
07/10/2024,$17.92,3388296,$17.91,$17.99,$17.62
07/09/2024,$17.68,4176655,$17.78,$18.01,$17.65
07/08/2024,$17.85,3802750,$17.74,$17.925,$17.68
07/05/2024,$17.71,6927967,$18.01,$18.05,$17.55
07/03/2024,$17.89,3243084,$17.72,$18.035,$17.62
07/02/2024,$17.53,8386954,$17.52,$17.75,$17.235
07/01/2024,$17.44,9712401,$17.83,$17.89,$17.15
06/28/2024,$17.57,28445340,$19.21,$19.21,$17.35
06/27/2024,$19.09,4599705,$18.79,$19.165,$18.73
06/26/2024,$18.91,8909525,$18.745,$19.3098,$18.74
06/25/2024,$18.90,3975755,$19.15,$19.24,$18.83
06/24/2024,$18.99,4883006,$18.57,$19.135,$18.53
06/21/2024,$18.47,17911850,$18.47,$18.83,$18.40
06/20/2024,$18.86,4682103,$18.95,$19.00,$18.705
06/18/2024,$18.96,5872088,$18.74,$19.11,$18.575
06/17/2024,$18.84,8519351,$19.18,$19.21,$18.47
06/14/2024,$19.34,3960474,$19.44,$19.62,$19.20
06/13/2024,$19.60,5093541,$19.55,$19.93,$19.42
