Date,Close/Last,Volume,Open,High,Low
08/30/2024,$196.35,508233,$195.57,$196.755,$194.60
08/29/2024,$195.36,249416,$194.51,$197.265,$193.15
08/28/2024,$194.00,407663,$194.27,$195.50,$192.04
08/27/2024,$194.10,236780,$192.88,$194.51,$191.97
08/26/2024,$192.76,227362,$193.57,$194.745,$192.395
08/23/2024,$193.01,291015,$190.81,$193.69,$189.775
08/22/2024,$189.75,236893,$188.00,$190.24,$187.15
08/21/2024,$189.83,369914,$190.76,$190.8199,$187.65
08/20/2024,$189.79,443454,$188.78,$190.817,$188.31
08/19/2024,$188.75,345364,$186.80,$189.77,$186.80
08/16/2024,$187.27,282375,$184.60,$187.445,$183.36
08/15/2024,$184.06,547943,$187.00,$187.59,$183.08
08/14/2024,$185.98,391026,$184.38,$186.31,$183.97
08/13/2024,$184.32,502493,$179.28,$184.66,$178.83
08/12/2024,$178.46,380075,$177.90,$178.87,$177.43
08/09/2024,$177.39,389168,$170.70,$177.59,$170.3876
08/08/2024,$170.27,316957,$170.32,$171.45,$169.38
08/07/2024,$170.19,547241,$173.14,$175.17,$164.63
08/06/2024,$170.17,370949,$169.58,$171.60,$168.295
08/05/2024,$169.29,279377,$173.98,$173.98,$166.785
08/02/2024,$173.25,387483,$173.91,$176.225,$171.46
08/01/2024,$174.54,248220,$175.90,$176.495,$172.48
07/31/2024,$174.87,262285,$175.55,$176.48,$174.44
07/30/2024,$175.84,240240,$173.45,$176.56,$173.13
07/29/2024,$172.65,214211,$174.17,$175.00,$172.465
07/26/2024,$173.05,232976,$170.83,$173.91,$169.26
07/25/2024,$169.59,278370,$170.53,$172.83,$169.38
07/24/2024,$169.88,218803,$173.21,$173.64,$169.65
07/23/2024,$172.45,319782,$169.68,$172.69,$169.12
07/22/2024,$169.41,299822,$169.24,$170.89,$168.65
07/19/2024,$169.79,386728,$172.81,$172.81,$168.65
07/18/2024,$172.32,292593,$171.78,$176.68,$171.78
07/17/2024,$171.90,395237,$170.46,$174.13,$170.205
07/16/2024,$170.24,322531,$170.46,$171.82,$169.59
07/15/2024,$171.11,315003,$168.73,$171.9175,$167.745
07/12/2024,$168.15,300540,$167.31,$169.17,$165.67
07/11/2024,$166.54,245977,$165.02,$166.66,$164.94
07/10/2024,$164.80,282682,$162.12,$164.87,$162.12
07/09/2024,$161.61,335670,$161.19,$163.44,$160.33
07/08/2024,$161.40,521068,$160.12,$163.21,$160.12
07/05/2024,$161.28,815037,$163.11,$163.54,$160.46
07/03/2024,$163.93,204232,$165.42,$166.745,$163.83
07/02/2024,$165.85,325974,$165.45,$166.38,$164.48
07/01/2024,$166.89,462401,$166.56,$168.175,$164.9837
06/28/2024,$166.25,584402,$167.33,$168.88,$165.65
06/27/2024,$167.26,287281,$164.52,$167.945,$164.52
06/26/2024,$164.81,224504,$165.62,$165.62,$163.97
06/25/2024,$166.57,279028,$169.50,$169.97,$166.45
06/24/2024,$169.24,312266,$168.74,$170.32,$168.625
06/21/2024,$168.74,459115,$169.99,$170.03,$167.07
06/20/2024,$169.60,262678,$168.15,$170.00,$167.43
06/18/2024,$168.37,239883,$167.59,$169.55,$167.59
06/17/2024,$167.99,236957,$165.88,$168.32,$165.20
06/14/2024,$165.54,360466,$166.59,$167.41,$165.05
06/13/2024,$168.12,349197,$168.38,$168.87,$167.06
06/12/2024,$168.96,210928,$169.80,$170.21,$168.04
06/11/2024,$169.60,256727,$171.67,$171.92,$168.35
06/10/2024,$172.58,297244,$172.18,$173.57,$171.89
06/07/2024,$173.34,325984,$173.10,$174.59,$172.45
06/06/2024,$172.52,212086,$172.55,$173.765,$171.58
06/05/2024,$172.45,395604,$171.71,$173.42,$170.32
06/04/2024,$171.80,344577,$171.01,$172.64,$170.49
06/03/2024,$172.49,344179,$173.04,$175.28,$172.24
05/31/2024,$173.47,810130,$171.00,$173.50,$170.60
05/30/2024,$170.57,336148,$169.29,$171.22,$168.08
05/29/2024,$169.05,624173,$168.27,$171.34,$168.00
05/28/2024,$168.57,387910,$168.86,$168.915,$167.82
05/24/2024,$168.99,353821,$167.33,$169.02,$166.84
05/23/2024,$166.71,317640,$169.51,$170.7099,$166.24
05/22/2024,$169.51,244369,$170.85,$171.32,$168.74
05/21/2024,$171.38,247759,$172.26,$173.01,$170.90
05/20/2024,$172.19,292565,$175.50,$175.75,$171.215
05/17/2024,$175.60,372774,$176.53,$176.555,$175.17
05/16/2024,$175.48,307320,$176.66,$176.99,$175.35
05/15/2024,$175.47,375647,$177.12,$177.81,$174.00
05/14/2024,$177.33,339006,$176.31,$178.31,$176.20
05/13/2024,$176.35,327630,$176.38,$179.81,$175.875
05/10/2024,$176.50,428462,$180.00,$180.00,$175.14
05/09/2024,$179.29,299334,$177.32,$179.905,$175.965
05/08/2024,$176.54,685822,$182.21,$183.75,$171.12
05/07/2024,$178.58,457822,$180.65,$181.38,$177.99
05/06/2024,$180.49,392276,$177.31,$180.52,$176.46
05/03/2024,$176.08,300796,$174.48,$176.97,$172.23
05/02/2024,$174.62,249854,$175.95,$176.39,$173.47
05/01/2024,$174.65,308977,$174.70,$177.075,$174.485
04/30/2024,$174.40,344678,$175.32,$175.795,$173.79
04/29/2024,$175.32,375732,$172.58,$175.84,$172.58
04/26/2024,$172.88,289173,$172.92,$173.635,$171.19
04/25/2024,$173.64,315465,$176.78,$177.81,$172.91
04/24/2024,$177.05,297162,$175.04,$177.38,$175.04
04/23/2024,$176.31,264245,$174.98,$176.575,$174.575
04/22/2024,$174.60,323602,$174.73,$175.435,$173.65
04/19/2024,$173.83,259540,$171.88,$173.875,$171.45
04/18/2024,$170.89,238491,$171.02,$172.085,$170.46
04/17/2024,$170.08,270924,$171.19,$171.38,$169.78
04/16/2024,$171.10,325018,$173.08,$173.80,$170.885
04/15/2024,$172.59,259269,$175.99,$176.8867,$172.321
