Date,Close/Last,Volume,Open,High,Low
08/30/2024,$101.84,2305544,$102.16,$102.21,$100.62
08/29/2024,$101.60,756737,$100.61,$102.41,$100.45
08/28/2024,$100.08,684014,$101.19,$101.71,$99.88
08/27/2024,$101.31,843558,$100.73,$102.20,$100.57
08/26/2024,$100.99,769310,$101.99,$102.365,$100.80
08/23/2024,$101.83,1028345,$102.48,$102.48,$100.93
08/22/2024,$101.58,1100221,$102.25,$103.15,$101.40
08/21/2024,$102.11,1827409,$101.31,$102.38,$100.45
08/20/2024,$101.70,885270,$101.59,$102.59,$101.25
08/19/2024,$101.65,1244383,$100.88,$101.94,$100.69
08/16/2024,$100.50,1082384,$100.75,$101.24,$100.06
08/15/2024,$100.86,1632991,$100.45,$101.89,$100.39
08/14/2024,$99.73,1583857,$101.31,$101.80,$99.65
08/13/2024,$101.02,2215128,$99.87,$101.37,$99.11
08/12/2024,$99.58,2187394,$101.22,$101.655,$99.49
08/09/2024,$101.51,6536607,$98.01,$102.69,$97.78
08/08/2024,$91.57,4538516,$92.62,$93.32,$91.275
08/07/2024,$92.64,1256698,$93.28,$94.86,$92.45
08/06/2024,$92.32,1671847,$91.98,$94.00,$91.47
08/05/2024,$91.32,2465676,$92.13,$93.5275,$90.56
08/02/2024,$94.56,1220591,$95.19,$95.60,$93.81
08/01/2024,$95.44,1223710,$98.01,$98.46,$95.25
07/31/2024,$98.28,1036756,$98.12,$98.98,$97.7501
07/30/2024,$97.88,1335753,$97.66,$98.52,$97.13
07/29/2024,$97.32,1050335,$98.95,$98.98,$96.97
07/26/2024,$96.97,713626,$96.79,$97.305,$96.09
07/25/2024,$96.37,1358759,$95.43,$98.17,$95.28
07/24/2024,$95.22,1280168,$96.10,$97.29,$95.10
07/23/2024,$96.06,947335,$96.15,$96.45,$95.16
07/22/2024,$96.33,1043020,$95.47,$96.61,$94.97
07/19/2024,$95.05,1425583,$96.05,$96.1753,$94.46
07/18/2024,$95.79,1636377,$97.24,$97.80,$95.29
07/17/2024,$97.19,1065604,$97.00,$97.63,$96.10
07/16/2024,$97.48,1181052,$96.50,$97.62,$95.94
07/15/2024,$96.26,975570,$95.38,$96.84,$95.2801
07/12/2024,$95.14,1335259,$94.28,$96.25,$94.2135
07/11/2024,$94.10,1460512,$93.63,$95.27,$93.62
07/10/2024,$93.78,1417340,$92.92,$93.82,$92.38
07/09/2024,$92.48,1748972,$93.00,$93.05,$91.075
07/08/2024,$92.94,1854030,$91.21,$93.26,$90.95
07/05/2024,$90.47,880916,$90.39,$90.92,$89.95
07/03/2024,$90.33,739019,$91.00,$91.28,$89.90
07/02/2024,$90.82,1071655,$89.56,$90.94,$89.56
07/01/2024,$89.53,775273,$90.17,$90.21,$89.02
06/28/2024,$90.08,2069710,$90.00,$90.47,$89.51
06/27/2024,$89.94,1382433,$88.44,$89.97,$88.12
06/26/2024,$88.43,937948,$88.00,$89.14,$87.83
06/25/2024,$88.25,1165693,$88.74,$88.85,$87.89
06/24/2024,$88.74,1580719,$89.03,$89.98,$88.65
06/21/2024,$88.92,4806732,$89.48,$89.99,$88.42
06/20/2024,$89.36,1499879,$88.65,$89.85,$88.09
06/18/2024,$88.48,1610834,$88.60,$89.8745,$88.22
06/17/2024,$89.11,1162237,$88.82,$89.425,$88.13
06/14/2024,$89.09,1292500,$88.34,$89.73,$88.02
06/13/2024,$88.35,1362291,$88.00,$88.56,$87.59
06/12/2024,$88.40,1818877,$89.92,$90.561,$88.32
06/11/2024,$89.71,1383850,$90.15,$90.18,$89.31
06/10/2024,$90.34,1839327,$88.80,$90.41,$87.74
06/07/2024,$89.18,1472732,$90.02,$90.67,$88.99
06/06/2024,$90.02,1830150,$90.50,$91.30,$89.905
06/05/2024,$90.74,1282459,$91.34,$91.47,$90.07
06/04/2024,$91.06,1665428,$90.61,$91.705,$90.45
06/03/2024,$90.90,1483664,$92.24,$92.75,$90.30
05/31/2024,$92.24,3298496,$90.12,$92.41,$89.60
05/30/2024,$90.22,2662192,$90.84,$90.89,$89.55
05/29/2024,$90.84,1332580,$92.00,$92.38,$90.78
05/28/2024,$92.59,1498246,$93.54,$94.15,$92.49
05/24/2024,$94.14,1038981,$94.55,$94.67,$93.75
05/23/2024,$93.96,1350850,$95.29,$95.29,$93.76
05/22/2024,$95.29,1062087,$94.62,$95.95,$94.62
05/21/2024,$94.50,1482870,$94.53,$95.33,$94.29
05/20/2024,$94.90,1803327,$95.20,$95.41,$94.34
05/17/2024,$95.21,2430634,$96.61,$96.68,$95.11
05/16/2024,$96.87,2724234,$95.59,$97.235,$94.64
05/15/2024,$95.98,2303445,$94.84,$96.12,$94.29
05/14/2024,$93.13,2505608,$94.30,$94.60,$92.06
05/13/2024,$94.32,3462434,$91.47,$94.73,$91.39
05/10/2024,$91.19,9731082,$94.20,$94.82,$90.53
05/09/2024,$102.46,3679149,$102.10,$102.65,$101.54
05/08/2024,$102.12,1719162,$101.37,$102.16,$100.895
05/07/2024,$101.67,941898,$101.73,$101.84,$101.03
05/06/2024,$101.08,1135735,$100.09,$101.355,$100.09
05/03/2024,$99.67,1724338,$100.61,$100.91,$98.725
05/02/2024,$99.74,1941317,$101.01,$101.01,$97.71
05/01/2024,$100.89,767625,$101.01,$102.39,$100.74
04/30/2024,$100.93,1691030,$101.16,$101.755,$100.68
04/29/2024,$101.78,705694,$101.71,$102.825,$101.62
04/26/2024,$101.68,820088,$102.18,$102.62,$101.66
04/25/2024,$101.79,1139435,$101.62,$102.16,$100.285
04/24/2024,$102.19,996793,$101.72,$102.60,$101.714
04/23/2024,$101.76,996354,$101.35,$102.11,$101.12
04/22/2024,$100.88,1193123,$101.61,$101.94,$100.525
04/19/2024,$101.50,1312947,$100.69,$101.72,$100.45
04/18/2024,$100.73,1388101,$100.80,$101.39,$100.02
04/17/2024,$100.34,1303571,$101.36,$102.245,$100.27
04/16/2024,$101.33,935685,$102.16,$102.335,$101.07
04/15/2024,$102.22,1576863,$103.87,$104.445,$101.90
04/12/2024,$103.47,1039356,$104.33,$104.39,$102.94
04/11/2024,$105.09,1374137,$104.38,$106.11,$104.075
04/10/2024,$104.38,1183870,$106.31,$107.12,$104.02
04/09/2024,$107.57,1233405,$106.14,$107.60,$105.74
04/08/2024,$105.82,1012973,$106.23,$106.69,$105.62
04/05/2024,$106.24,919200,$105.78,$106.88,$105.78
04/04/2024,$105.99,1173805,$107.72,$108.18,$105.835
04/03/2024,$107.08,1183369,$107.19,$107.91,$106.22
04/02/2024,$107.38,1123422,$108.66,$108.74,$107.33
04/01/2024,$109.33,1063087,$108.77,$109.98,$108.76
03/28/2024,$108.76,1411510,$109.56,$110.135,$108.51
03/27/2024,$109.63,1109459,$108.70,$109.67,$108.4359
03/26/2024,$108.02,849203,$108.91,$109.1078,$107.87
03/25/2024,$108.56,1199695,$108.61,$109.48,$108.35
03/22/2024,$108.97,949709,$109.93,$109.96,$108.55
03/21/2024,$109.145,1123302,$109.67,$110.18,$109.06
03/20/2024,$109.60,1809478,$107.85,$109.64,$107.70
03/19/2024,$107.79,1326835,$107.32,$107.85,$106.81
03/18/2024,$107.87,1528725,$107.47,$108.90,$107.25
03/15/2024,$107.25,2957766,$108.28,$108.90,$107.15
03/14/2024,$108.95,1392630,$109.58,$109.89,$108.30
03/13/2024,$109.53,1451281,$109.66,$110.79,$109.466
03/12/2024,$109.78,2156861,$109.65,$110.55,$109.14
03/11/2024,$110.03,2470114,$110.74,$111.785,$109.90
03/08/2024,$111.00,2160583,$112.40,$113.3618,$110.42
03/07/2024,$112.83,3387860,$111.84,$113.14,$110.69
03/06/2024,$110.16,1489490,$110.29,$110.83,$109.27
03/05/2024,$109.38,1675156,$110.50,$111.80,$109.35
03/04/2024,$110.76,1274402,$110.44,$111.5272,$109.90
03/01/2024,$110.24,2295922,$110.55,$111.60,$109.66
