Date,Close/Last,Volume,Open,High,Low
08/30/2024,$237.22,493501,$236.45,$240.75,$234.435
08/29/2024,$235.15,356798,$234.27,$238.00,$232.40
08/28/2024,$230.93,563570,$234.17,$235.04,$228.88
08/27/2024,$236.28,602731,$231.22,$238.96,$229.77
08/26/2024,$231.65,631371,$233.97,$233.97,$228.65
08/23/2024,$233.97,549901,$230.99,$236.04,$226.52
08/22/2024,$228.69,691763,$234.19,$234.67,$228.16
08/21/2024,$235.13,460672,$234.22,$235.44,$231.19
08/20/2024,$233.23,692861,$237.50,$242.14,$232.73
08/19/2024,$240.01,650395,$238.91,$243.21,$234.285
08/16/2024,$240.35,1028745,$233.12,$245.19,$233.12
08/15/2024,$235.33,1463436,$227.00,$238.455,$226.45
08/14/2024,$220.03,631926,$221.44,$226.85,$218.00
08/13/2024,$219.83,754290,$214.99,$222.80,$214.20
08/12/2024,$213.57,641347,$213.74,$215.34,$211.35
08/09/2024,$214.92,758931,$213.67,$216.71,$211.65
08/08/2024,$214.15,982417,$205.57,$214.32,$202.93
08/07/2024,$204.03,742857,$210.00,$214.34,$203.06
08/06/2024,$206.36,918737,$208.10,$209.26,$203.43
08/05/2024,$207.94,1410698,$202.82,$212.69,$196.09
08/02/2024,$213.49,1381501,$224.02,$224.03,$209.18
08/01/2024,$228.33,720804,$230.35,$233.50,$226.27
07/31/2024,$231.88,856812,$231.78,$238.98,$226.59
07/30/2024,$231.16,1253358,$220.91,$232.84,$220.39
07/29/2024,$223.96,1136265,$221.38,$225.71,$217.55
07/26/2024,$220.45,1185768,$226.39,$226.4104,$218.85
07/25/2024,$226.05,2100676,$228.11,$244.36,$225.90
07/24/2024,$244.80,1266642,$250.07,$251.625,$244.47
07/23/2024,$250.65,569021,$249.955,$252.48,$247.87
07/22/2024,$249.31,721058,$252.00,$254.16,$244.53
07/19/2024,$251.60,682064,$253.46,$257.42,$249.98
07/18/2024,$250.66,998285,$251.89,$263.24,$249.265
07/17/2024,$250.58,759181,$245.61,$253.435,$244.91
07/16/2024,$247.54,693785,$242.91,$247.7558,$239.32
07/15/2024,$240.27,628294,$243.00,$245.70,$239.246
07/12/2024,$242.65,1030947,$251.87,$254.94,$242.165
07/11/2024,$256.30,960108,$254.24,$259.24,$250.50
07/10/2024,$249.13,755422,$248.44,$249.30,$243.235
07/09/2024,$247.48,654089,$247.05,$249.32,$245.735
07/08/2024,$248.94,622551,$244.39,$249.46,$244.0025
07/05/2024,$243.60,356761,$242.85,$244.81,$240.76
07/03/2024,$243.37,368231,$240.01,$243.53,$237.0811
07/02/2024,$239.74,460851,$238.57,$241.77,$236.395
07/01/2024,$238.64,548340,$241.65,$247.35,$238.52
06/28/2024,$241.43,1346028,$243.93,$243.93,$240.17
06/27/2024,$243.00,680452,$242.77,$244.79,$239.00
06/26/2024,$243.61,1224072,$234.00,$244.86,$232.80
06/25/2024,$235.23,729261,$237.49,$238.42,$233.42
06/24/2024,$237.08,825053,$241.45,$244.42,$236.275
06/21/2024,$242.19,1207402,$243.39,$244.55,$240.465
06/20/2024,$242.61,951070,$239.44,$244.925,$237.74
06/18/2024,$242.20,885495,$246.23,$247.36,$241.89
06/17/2024,$245.52,1046171,$251.42,$253.62,$244.60
06/14/2024,$256.01,1078476,$269.34,$270.28,$252.11
06/13/2024,$271.28,922610,$264.16,$271.59,$264.16
06/12/2024,$266.13,1032354,$259.61,$267.689,$258.54
06/11/2024,$253.28,596376,$254.30,$255.70,$252.37
06/10/2024,$255.70,857109,$252.64,$257.01,$252.34
06/07/2024,$255.54,785675,$253.61,$260.00,$252.585
06/06/2024,$257.46,1110542,$253.80,$259.61,$253.80
06/05/2024,$256.01,985780,$250.82,$257.29,$248.1395
06/04/2024,$248.91,893860,$253.26,$254.48,$246.335
06/03/2024,$254.53,798754,$257.21,$259.526,$253.88
05/31/2024,$257.21,1024120,$257.36,$258.32,$252.90
05/30/2024,$256.50,1282135,$253.70,$260.22,$251.945
05/29/2024,$252.76,763271,$250.00,$254.415,$250.00
05/28/2024,$253.77,723893,$255.62,$257.07,$251.72
05/24/2024,$255.62,839452,$253.31,$257.97,$252.39
05/23/2024,$252.39,910663,$261.53,$262.19,$249.725
05/22/2024,$261.12,461079,$264.01,$264.68,$260.2201
05/21/2024,$264.02,502755,$265.45,$267.2421,$262.02
05/20/2024,$267.44,822271,$269.74,$272.17,$266.52
05/17/2024,$271.50,591155,$274.00,$274.70,$268.35
05/16/2024,$273.56,534887,$279.88,$283.00,$273.37
05/15/2024,$280.32,537481,$282.00,$282.00,$275.56
05/14/2024,$278.08,455025,$274.63,$281.40,$273.62
05/13/2024,$272.74,465367,$273.23,$276.74,$270.855
05/10/2024,$271.70,731078,$280.71,$282.73,$266.50
