Date,Close/Last,Volume,Open,High,Low
08/30/2024,$138.84,682071,$137.99,$139.46,$136.18
08/29/2024,$137.31,375872,$137.86,$138.92,$136.26
08/28/2024,$136.63,599476,$137.21,$138.54,$136.45
08/27/2024,$137.21,479532,$137.00,$137.49,$135.96
08/26/2024,$137.71,596493,$137.81,$138.61,$136.94
08/23/2024,$137.00,503005,$136.16,$137.98,$135.20
08/22/2024,$135.01,511720,$134.23,$135.52,$134.06
08/21/2024,$134.51,509819,$132.88,$134.71,$132.24
08/20/2024,$132.21,342068,$133.01,$133.32,$131.48
08/19/2024,$132.85,413638,$132.01,$133.04,$131.69
08/16/2024,$131.27,332525,$132.58,$133.12,$131.13
08/15/2024,$132.95,443091,$132.85,$133.97,$131.285
08/14/2024,$131.09,389630,$130.49,$131.44,$129.67
08/13/2024,$130.09,412336,$129.40,$130.72,$128.73
08/12/2024,$128.76,536064,$128.69,$129.89,$127.82
08/09/2024,$128.89,537220,$129.39,$130.56,$128.35
08/08/2024,$129.46,943662,$127.26,$129.87,$127.26
08/07/2024,$126.52,813121,$128.39,$131.005,$126.46
08/06/2024,$127.59,587808,$126.95,$129.70,$126.875
08/05/2024,$127.75,875801,$126.95,$130.275,$125.89
08/02/2024,$129.54,1312881,$130.08,$130.56,$127.8292
08/01/2024,$132.29,1156073,$136.60,$139.20,$131.94
07/31/2024,$136.81,925301,$141.76,$141.9915,$136.58
07/30/2024,$139.34,991061,$138.97,$141.095,$138.01
07/29/2024,$137.66,757731,$136.64,$138.68,$136.42
07/26/2024,$136.77,1089910,$134.15,$137.52,$133.43
07/25/2024,$132.88,1312117,$129.03,$133.96,$127.35
07/24/2024,$127.86,1551530,$130.34,$131.79,$124.61
07/23/2024,$127.18,796500,$125.97,$127.65,$125.35
07/22/2024,$126.67,602000,$124.66,$126.79,$123.05
07/19/2024,$124.10,594216,$127.97,$127.97,$124.06
07/18/2024,$127.41,838865,$126.30,$130.13,$126.14
07/17/2024,$126.92,578794,$127.56,$128.925,$126.03
07/16/2024,$128.02,622439,$123.67,$128.29,$122.80
07/15/2024,$122.72,381135,$123.13,$124.75,$122.26
07/12/2024,$122.93,612610,$120.39,$123.78,$120.39
07/11/2024,$119.83,732886,$118.48,$121.785,$118.245
07/10/2024,$117.00,1027358,$114.67,$117.21,$114.30
07/09/2024,$114.67,277145,$114.67,$115.37,$114.035
07/08/2024,$115.04,442681,$115.50,$116.20,$114.49
07/05/2024,$114.95,682118,$115.54,$115.54,$113.27
07/03/2024,$115.69,247369,$116.31,$116.97,$115.3801
07/02/2024,$116.11,632828,$115.83,$116.49,$115.33
07/01/2024,$115.74,635988,$118.54,$118.795,$115.37
06/28/2024,$118.15,2983283,$116.69,$118.57,$116.65
06/27/2024,$116.32,545475,$115.53,$116.39,$114.58
06/26/2024,$114.65,749486,$114.88,$115.13,$113.62
06/25/2024,$116.13,785179,$117.60,$118.31,$115.13
06/24/2024,$118.39,825446,$117.08,$120.06,$116.55
06/21/2024,$116.23,1510931,$115.56,$116.61,$113.58
06/20/2024,$115.75,720688,$115.66,$117.18,$115.01
06/18/2024,$116.61,884096,$116.21,$116.77,$115.75
06/17/2024,$116.23,785682,$116.03,$117.2195,$115.465
06/14/2024,$116.36,480134,$116.99,$117.325,$115.00
06/13/2024,$119.16,460995,$119.65,$119.95,$117.79
06/12/2024,$119.99,437099,$119.64,$122.375,$119.015
06/11/2024,$117.31,566942,$117.15,$117.87,$115.72
06/10/2024,$117.49,533725,$116.62,$118.06,$116.38
06/07/2024,$116.93,372627,$116.49,$117.54,$115.50
06/06/2024,$117.52,507767,$118.16,$119.02,$116.37
06/05/2024,$118.26,517787,$117.78,$118.53,$117.26
06/04/2024,$117.64,719864,$117.44,$119.10,$115.9694
06/03/2024,$120.50,545484,$122.51,$122.51,$118.755
05/31/2024,$121.82,1116985,$120.53,$122.00,$119.77
05/30/2024,$120.45,632246,$119.91,$121.215,$119.855
05/29/2024,$119.39,398233,$119.29,$119.79,$118.51
05/28/2024,$120.42,536883,$122.42,$122.87,$119.80
05/24/2024,$122.60,407752,$122.26,$123.60,$121.76
05/23/2024,$121.56,503537,$123.41,$123.45,$120.40
05/22/2024,$123.07,519867,$123.22,$123.64,$122.24
05/21/2024,$123.55,628266,$123.00,$124.15,$121.69
05/20/2024,$123.24,731707,$124.62,$124.62,$123.06
05/17/2024,$124.43,507605,$126.00,$126.2466,$124.02
05/16/2024,$125.39,532966,$127.55,$128.07,$125.31
05/15/2024,$127.94,420352,$128.32,$128.975,$127.867
05/14/2024,$127.34,490601,$126.75,$127.61,$126.21
05/13/2024,$125.71,591566,$126.59,$126.98,$125.46
05/10/2024,$125.99,590019,$126.04,$126.86,$125.33
05/09/2024,$125.67,670358,$124.50,$125.90,$123.93
05/08/2024,$124.13,591622,$124.00,$124.66,$123.53
05/07/2024,$124.37,612421,$125.31,$125.9399,$124.15
05/06/2024,$124.88,374162,$123.85,$124.9901,$123.03
05/03/2024,$122.88,603785,$124.17,$125.33,$122.61
05/02/2024,$122.26,503144,$122.01,$122.60,$120.02
05/01/2024,$121.06,691442,$121.87,$123.67,$120.29
04/30/2024,$121.56,665160,$124.37,$124.74,$121.24
04/29/2024,$124.81,705651,$123.95,$125.32,$123.95
04/26/2024,$123.85,975466,$125.08,$125.98,$123.43
04/25/2024,$124.87,931973,$126.54,$127.77,$123.155
04/24/2024,$126.54,871191,$126.60,$127.64,$125.085
04/23/2024,$126.97,612290,$125.70,$127.59,$125.70
04/22/2024,$125.42,704895,$125.83,$126.81,$124.91
04/19/2024,$125.21,328253,$125.04,$126.05,$124.61
04/18/2024,$124.84,421263,$126.00,$126.825,$124.605
04/17/2024,$125.78,576852,$127.61,$127.65,$125.60
04/16/2024,$126.38,519987,$126.34,$127.07,$125.04
04/15/2024,$126.94,470966,$128.85,$129.33,$125.81
04/12/2024,$127.42,600056,$128.60,$129.91,$126.77
04/11/2024,$129.75,471496,$129.15,$129.83,$128.01
04/10/2024,$129.13,547545,$131.03,$131.75,$129.04
04/09/2024,$133.88,336703,$133.43,$134.335,$131.46
04/08/2024,$132.86,471360,$133.05,$133.51,$132.51
04/05/2024,$132.31,351903,$131.51,$132.77,$130.45
04/04/2024,$131.02,372832,$132.37,$133.92,$130.465
04/03/2024,$131.48,482498,$131.34,$132.66,$131.135
04/02/2024,$131.58,423173,$132.17,$132.17,$130.10
04/01/2024,$132.32,300289,$134.41,$134.41,$132.18
03/28/2024,$134.71,341217,$134.83,$135.05,$133.835
03/27/2024,$134.24,512042,$134.15,$135.00,$133.46
03/26/2024,$133.34,431316,$133.19,$133.94,$133.06
03/25/2024,$132.91,355405,$133.75,$134.25,$132.53
03/22/2024,$134.12,352617,$135.47,$135.47,$133.73
03/21/2024,$135.29,670392,$135.82,$136.065,$134.79
03/20/2024,$135.28,610365,$133.24,$135.35,$132.69
03/19/2024,$133.01,540930,$131.30,$133.285,$131.30
03/18/2024,$131.34,505416,$131.45,$131.88,$130.515
03/15/2024,$130.39,1538726,$129.00,$131.60,$129.00
03/14/2024,$130.06,920451,$132.39,$132.69,$128.66
03/13/2024,$132.76,959205,$133.03,$134.395,$132.29
