Date,Close/Last,Volume,Open,High,Low
08/30/2024,$11.44,9419815,$11.30,$11.45,$11.29
08/29/2024,$11.31,4573511,$11.28,$11.33,$11.18
08/28/2024,$11.24,4691053,$11.22,$11.30,$11.19
08/27/2024,$11.16,4437355,$11.16,$11.21,$11.10
08/26/2024,$11.17,4519733,$11.13,$11.23,$11.12
08/23/2024,$11.10,6317772,$10.91,$11.11,$10.91
08/22/2024,$10.93,6796763,$10.95,$10.98,$10.88
08/21/2024,$10.93,6252798,$10.79,$10.96,$10.78
08/20/2024,$10.79,8632438,$10.64,$10.80,$10.62
08/19/2024,$10.62,10125910,$10.47,$10.625,$10.47
08/16/2024,$10.45,25043970,$10.32,$10.48,$10.09
08/15/2024,$10.85,17448440,$10.69,$10.91,$10.68
08/14/2024,$10.66,8124851,$10.72,$10.75,$10.64
08/13/2024,$10.70,10070170,$10.63,$10.74,$10.555
08/12/2024,$10.50,7244182,$10.57,$10.62,$10.49
08/09/2024,$10.56,8520779,$10.61,$10.65,$10.50
08/08/2024,$10.61,12827100,$10.45,$10.61,$10.45
08/07/2024,$10.39,8939674,$10.52,$10.6399,$10.39
08/06/2024,$10.49,11369140,$10.28,$10.59,$10.28
08/05/2024,$10.29,18897270,$10.39,$10.47,$10.14
08/02/2024,$10.52,13275600,$10.48,$10.55,$10.30
08/01/2024,$10.50,17968280,$10.53,$10.60,$10.445
07/31/2024,$10.53,23535090,$10.48,$10.62,$10.415
07/30/2024,$10.48,16038520,$10.41,$10.53,$10.365
07/29/2024,$10.42,16089890,$10.38,$10.46,$10.28
07/26/2024,$10.38,12411800,$10.25,$10.40,$10.20
07/25/2024,$10.15,10918940,$10.02,$10.20,$9.98
07/24/2024,$10.08,8988754,$10.12,$10.185,$10.05
07/23/2024,$10.07,10195220,$10.19,$10.20,$10.05
07/22/2024,$10.15,12642600,$10.08,$10.17,$10.02
07/19/2024,$10.11,30032900,$10.30,$10.325,$10.06
07/18/2024,$10.32,9499342,$10.30,$10.485,$10.24
07/17/2024,$10.33,9725533,$10.14,$10.375,$10.13
07/16/2024,$10.07,7783125,$9.85,$10.10,$9.815
07/15/2024,$9.84,7194665,$9.93,$9.93,$9.83
07/12/2024,$9.91,9345266,$9.88,$9.94,$9.80
07/11/2024,$9.81,8692285,$9.86,$9.93,$9.775
07/10/2024,$9.75,10613990,$9.65,$9.755,$9.61
07/09/2024,$9.56,7016747,$9.58,$9.66,$9.51
07/08/2024,$9.63,9190531,$9.58,$9.66,$9.53
07/05/2024,$9.50,16971050,$9.59,$9.63,$9.44
