Date,Close/Last,Volume,Open,High,Low
08/30/2024,$171.05,1235645,$169.97,$171.37,$168.90
08/29/2024,$169.38,856335,$169.77,$170.87,$168.73
08/28/2024,$168.59,831508,$169.00,$170.86,$167.50
08/27/2024,$167.98,686295,$168.07,$168.465,$167.19
08/26/2024,$168.32,635050,$168.18,$169.58,$166.85
08/23/2024,$167.39,999349,$165.92,$167.91,$165.51
08/22/2024,$165.22,1060784,$165.95,$167.37,$164.96
08/21/2024,$165.89,791365,$164.89,$166.82,$164.65
08/20/2024,$164.86,1031468,$164.84,$165.86,$164.39
08/19/2024,$164.67,938911,$162.95,$164.81,$162.72
08/16/2024,$162.69,1039517,$162.50,$163.54,$161.74
08/15/2024,$163.15,879871,$163.83,$166.32,$162.46
08/14/2024,$161.48,1008089,$161.16,$162.96,$160.77
08/13/2024,$161.31,1282242,$160.63,$162.18,$158.87
08/12/2024,$160.76,2157291,$160.78,$162.57,$159.94
08/09/2024,$159.52,1812809,$158.82,$160.89,$156.98
08/08/2024,$158.85,1666832,$157.70,$159.32,$156.09
08/07/2024,$156.83,2319267,$158.30,$160.25,$156.24
08/06/2024,$156.98,1820452,$155.21,$159.61,$155.12
08/05/2024,$154.69,3114081,$150.50,$156.65,$149.03
08/02/2024,$152.74,4082230,$157.65,$157.65,$150.46
08/01/2024,$159.13,4505942,$165.00,$167.00,$156.54
07/31/2024,$173.48,1143920,$174.55,$175.97,$173.12
07/30/2024,$172.35,878335,$172.73,$174.57,$170.9623
07/29/2024,$171.90,882768,$172.17,$173.22,$171.56
07/26/2024,$172.27,864601,$170.62,$174.03,$169.925
07/25/2024,$168.52,725679,$167.29,$171.61,$166.56
07/24/2024,$166.95,924979,$171.14,$171.225,$166.88
07/23/2024,$171.87,814102,$172.16,$173.43,$171.71
07/22/2024,$172.97,782659,$170.83,$173.11,$169.51
07/19/2024,$169.16,886993,$173.02,$173.02,$169.12
07/18/2024,$171.73,1031432,$174.15,$175.52,$171.57
07/17/2024,$175.03,1060169,$175.80,$177.37,$174.89
07/16/2024,$176.01,1505481,$173.03,$177.04,$172.51
07/15/2024,$172.11,1259190,$169.60,$172.97,$169.12
07/12/2024,$169.52,874055,$170.63,$172.13,$169.06
07/11/2024,$169.32,1099898,$166.47,$170.77,$166.07
07/10/2024,$165.87,847617,$164.14,$166.18,$163.93
07/09/2024,$164.13,1492691,$165.01,$165.61,$163.89
07/08/2024,$164.50,1903703,$166.55,$167.49,$164.39
07/05/2024,$165.65,787832,$166.40,$166.83,$164.40
07/03/2024,$166.30,531345,$166.62,$167.50,$166.11
07/02/2024,$166.10,705688,$165.36,$166.51,$164.72
07/01/2024,$165.57,953258,$168.06,$168.09,$165.20
06/28/2024,$166.71,1750032,$166.81,$167.88,$165.68
06/27/2024,$166.47,1169250,$166.57,$167.95,$165.90
06/26/2024,$166.58,761520,$168.00,$168.00,$166.41
06/25/2024,$168.72,687930,$170.96,$171.23,$167.69
06/24/2024,$171.46,1132763,$169.57,$172.00,$168.79
06/21/2024,$168.67,1601078,$169.08,$169.7425,$166.35
06/20/2024,$168.52,1248370,$170.44,$170.75,$168.30
06/18/2024,$170.90,1660935,$168.35,$171.09,$167.58
06/17/2024,$168.52,1486898,$166.24,$169.03,$165.79
06/14/2024,$167.02,1875898,$171.82,$172.045,$164.54
06/13/2024,$173.92,811129,$174.27,$174.86,$172.53
06/12/2024,$173.71,1171987,$174.21,$176.06,$173.18
06/11/2024,$172.53,1315220,$172.25,$172.63,$171.32
06/10/2024,$173.00,1677445,$169.78,$173.42,$169.78
06/07/2024,$170.00,1265385,$168.79,$170.50,$168.22
06/06/2024,$168.69,1222066,$168.72,$169.175,$167.48
06/05/2024,$168.65,875625,$167.595,$168.71,$166.99
06/04/2024,$166.87,970654,$165.81,$166.94,$164.51
06/03/2024,$166.21,1301902,$170.00,$170.26,$164.83
05/31/2024,$169.58,2005817,$167.94,$169.97,$166.085
05/30/2024,$167.69,1036828,$166.64,$168.24,$166.24
05/29/2024,$166.71,1281785,$167.15,$168.59,$166.19
05/28/2024,$168.31,1211820,$173.70,$174.415,$168.21
05/24/2024,$173.66,1030677,$173.28,$173.865,$172.6637
05/23/2024,$172.72,1480440,$175.38,$176.055,$172.62
05/22/2024,$174.13,1785536,$171.30,$174.47,$170.55
05/21/2024,$169.13,1044344,$168.14,$169.39,$167.36
05/20/2024,$168.60,959851,$167.08,$169.5437,$166.66
05/17/2024,$166.80,1678589,$168.33,$168.33,$166.27
