Date,Close/Last,Volume,Open,High,Low
08/30/2024,$449.44,463756,$443.75,$450.35,$442.07
08/29/2024,$442.97,489564,$441.10,$444.06,$438.185
08/28/2024,$439.48,349146,$439.86,$442.93,$437.40
08/27/2024,$439.33,263919,$441.44,$443.09,$437.98
08/26/2024,$441.39,276435,$441.39,$444.84,$439.61
08/23/2024,$439.68,240690,$436.92,$442.715,$434.265
08/22/2024,$433.70,252281,$433.24,$435.8699,$431.16
08/21/2024,$433.61,387083,$435.00,$435.00,$428.62
08/20/2024,$434.03,427106,$434.84,$434.84,$430.81
08/19/2024,$435.34,441766,$431.24,$435.46,$431.23
08/16/2024,$431.39,570515,$424.72,$433.20,$424.72
08/15/2024,$424.07,469807,$425.91,$428.50,$422.42
08/14/2024,$419.87,581692,$410.19,$420.93,$410.19
08/13/2024,$408.26,301452,$407.07,$408.70,$403.89
08/12/2024,$404.54,455505,$405.99,$406.90,$401.1412
08/09/2024,$404.99,310563,$399.75,$406.95,$399.00
08/08/2024,$400.53,491300,$395.14,$401.31,$392.69
08/07/2024,$392.73,625469,$400.23,$401.245,$392.10
08/06/2024,$395.57,385780,$391.92,$400.40,$391.36
08/05/2024,$391.53,723127,$393.58,$395.65,$385.74
08/02/2024,$402.61,679597,$409.47,$411.58,$400.45
08/01/2024,$418.36,600099,$431.39,$432.6508,$414.465
07/31/2024,$430.07,352836,$433.96,$434.465,$429.30
07/30/2024,$431.87,478221,$434.76,$437.65,$430.49
07/29/2024,$432.05,360728,$438.78,$440.57,$430.41
07/26/2024,$439.54,530900,$442.07,$444.69,$436.975
07/25/2024,$441.67,780977,$422.00,$445.51,$422.00
07/24/2024,$424.25,995490,$422.38,$432.63,$419.98
07/23/2024,$421.39,494369,$419.19,$422.79,$416.94
07/22/2024,$420.01,441412,$412.79,$420.17,$410.99
07/19/2024,$410.89,616592,$419.24,$419.24,$410.83
07/18/2024,$417.99,717824,$421.64,$424.36,$417.48
07/17/2024,$421.56,1078674,$427.42,$429.905,$419.88
07/16/2024,$429.05,1066826,$438.19,$440.04,$428.22
07/15/2024,$445.80,404058,$447.20,$449.94,$445.57
07/12/2024,$446.27,348039,$441.85,$449.505,$440.62
07/11/2024,$439.82,361373,$440.63,$442.245,$438.19
07/10/2024,$440.60,274935,$435.60,$440.81,$432.79
07/09/2024,$433.29,420804,$425.91,$436.57,$425.91
07/08/2024,$427.06,476747,$432.89,$436.34,$426.68
07/05/2024,$432.15,232160,$432.78,$434.2155,$428.81
07/03/2024,$434.00,182915,$435.13,$438.34,$431.865
07/02/2024,$433.87,404793,$426.06,$434.62,$426.06
07/01/2024,$426.09,496933,$430.04,$432.82,$424.78
06/28/2024,$427.19,1293190,$428.72,$434.05,$426.61
06/27/2024,$430.34,403528,$432.39,$433.045,$429.66
06/26/2024,$433.88,352533,$435.75,$437.845,$431.895
06/25/2024,$438.13,373873,$439.81,$441.205,$435.88
