Date,Close/Last,Volume,Open,High,Low
08/30/2024,$224.06,1796764,$223.88,$225.68,$221.43
08/29/2024,$223.52,2003196,$224.24,$226.25,$221.25
08/28/2024,$225.25,1105576,$226.45,$227.65,$224.18
08/27/2024,$226.16,921558,$222.19,$226.29,$222.19
08/26/2024,$225.31,1142472,$227.73,$228.39,$225.02
08/23/2024,$227.00,1803979,$220.97,$227.68,$220.56
08/22/2024,$220.10,1926500,$219.01,$220.615,$218.45
08/21/2024,$219.49,2262630,$218.37,$220.00,$217.02
08/20/2024,$220.38,1630990,$219.66,$220.98,$218.30
08/19/2024,$219.66,1262046,$219.42,$220.90,$219.04
08/16/2024,$219.85,1986252,$217.90,$220.439,$217.00
08/15/2024,$218.06,1858378,$221.27,$221.45,$217.50
08/14/2024,$223.18,2313737,$223.22,$225.22,$222.80
08/13/2024,$222.66,5449941,$225.86,$226.16,$222.03
08/12/2024,$225.54,1455653,$221.58,$225.66,$219.79
08/09/2024,$222.59,2071509,$224.84,$225.395,$222.34
08/08/2024,$223.61,2942192,$223.86,$225.55,$221.50
08/07/2024,$225.97,3315841,$226.35,$229.77,$225.05
08/06/2024,$228.16,2823195,$225.02,$230.65,$224.31
08/05/2024,$226.19,4329568,$231.88,$236.13,$226.01
08/02/2024,$234.64,4750517,$230.00,$236.00,$228.785
08/01/2024,$227.93,3047037,$222.80,$229.22,$222.01
07/31/2024,$220.40,2924228,$221.50,$222.33,$218.00
07/30/2024,$223.05,2447841,$220.00,$223.46,$217.61
07/29/2024,$214.93,1607965,$213.72,$215.59,$211.00
07/26/2024,$213.72,1548313,$210.81,$214.12,$210.06
07/25/2024,$209.92,1926727,$210.54,$215.86,$209.12
07/24/2024,$209.39,1922843,$210.25,$212.81,$208.57
07/23/2024,$209.52,1123621,$209.56,$212.185,$208.97
07/22/2024,$209.37,1476193,$209.97,$212.43,$208.23
07/19/2024,$210.14,1404055,$211.87,$211.87,$209.32
07/18/2024,$210.65,1736359,$210.81,$214.46,$209.675
07/17/2024,$213.12,1759861,$210.30,$213.18,$209.61
07/16/2024,$210.15,1329375,$210.44,$211.21,$207.10
07/15/2024,$208.84,1585429,$210.00,$211.21,$206.93
07/12/2024,$210.61,2238589,$209.06,$212.19,$207.50
07/11/2024,$207.20,2256189,$201.09,$207.39,$200.00
07/10/2024,$196.77,1576905,$197.39,$197.49,$193.80
07/09/2024,$195.96,1577224,$195.55,$196.2255,$192.74
07/08/2024,$196.17,1508837,$195.13,$197.39,$194.51
07/05/2024,$195.64,1018567,$194.98,$196.36,$193.47
07/03/2024,$194.79,1182562,$193.07,$195.08,$192.47
07/02/2024,$192.27,1913583,$194.35,$195.24,$191.55
07/01/2024,$194.02,1691747,$194.40,$195.905,$191.62
06/28/2024,$194.38,2393894,$196.18,$197.88,$193.79
06/27/2024,$195.32,1599526,$193.25,$195.41,$192.17
06/26/2024,$192.67,1828480,$191.35,$193.2646,$190.38
06/25/2024,$192.68,1364437,$196.35,$197.43,$192.19
06/24/2024,$196.39,1792183,$194.70,$198.71,$193.715
06/21/2024,$194.85,2837037,$194.10,$196.37,$192.91
06/20/2024,$194.17,2236362,$191.84,$194.65,$191.5152
06/18/2024,$192.78,2407868,$192.58,$195.98,$192.56
06/17/2024,$192.28,1779925,$194.86,$194.98,$192.191
06/14/2024,$197.03,1933243,$194.93,$197.745,$194.93
06/13/2024,$196.78,1531260,$194.02,$197.50,$193.99
06/12/2024,$193.82,3331545,$197.95,$198.84,$193.65
06/11/2024,$193.27,2781808,$194.72,$196.34,$193.14
06/10/2024,$194.72,2874742,$193.86,$196.07,$192.70
06/07/2024,$194.26,2143410,$195.87,$196.475,$191.75
06/06/2024,$199.49,1865862,$198.00,$200.03,$196.76
06/05/2024,$198.19,1737070,$200.26,$200.89,$197.696
06/04/2024,$200.41,3236297,$198.00,$201.58,$197.00
06/03/2024,$196.97,2333298,$196.00,$197.83,$194.99
05/31/2024,$195.74,7332012,$191.88,$197.19,$191.17
05/30/2024,$190.78,2850462,$186.40,$191.02,$185.34
05/29/2024,$185.32,1977702,$183.35,$186.48,$183.04
05/28/2024,$185.03,1828433,$186.56,$187.71,$184.87
