Date,Close/Last,Volume,Open,High,Low
08/30/2024,$353.38,1548752,$351.00,$353.67,$345.00
08/29/2024,$346.59,1725137,$340.62,$353.87,$340.36
08/28/2024,$341.16,1103490,$345.42,$348.00,$336.68
08/27/2024,$345.62,1173458,$341.35,$348.08,$337.801
08/26/2024,$344.69,1379345,$357.30,$358.00,$342.21
08/23/2024,$355.13,975939,$355.00,$358.24,$350.2864
08/22/2024,$352.17,1110366,$355.99,$358.40,$351.47
08/21/2024,$355.89,1195094,$351.63,$357.05,$351.07
08/20/2024,$353.79,1083766,$353.60,$358.00,$352.11
08/19/2024,$352.06,1393971,$352.00,$353.17,$342.76
08/16/2024,$353.89,1262691,$354.85,$356.9999,$352.20
08/15/2024,$356.60,1290925,$355.00,$358.68,$353.3511
08/14/2024,$348.65,1683076,$348.60,$353.89,$345.21
08/13/2024,$346.19,1398182,$339.42,$346.64,$339.42
08/12/2024,$338.33,917624,$337.00,$343.12,$335.38
08/09/2024,$335.81,1594819,$332.00,$340.49,$332.00
08/08/2024,$334.50,1424654,$324.39,$334.70,$319.9644
08/07/2024,$317.33,2029530,$331.37,$336.07,$315.71
08/06/2024,$323.54,1649949,$320.15,$329.19,$313.07
08/05/2024,$314.93,2642275,$300.00,$317.66,$291.9538
08/02/2024,$319.34,2699855,$320.00,$325.00,$311.40
08/01/2024,$338.64,4261142,$350.50,$364.15,$332.14
07/31/2024,$346.55,5560018,$338.00,$349.70,$331.00
07/30/2024,$311.42,4266198,$321.65,$324.6799,$307.12
07/29/2024,$320.55,2823153,$321.10,$328.01,$319.97
07/26/2024,$319.21,2351934,$318.44,$322.82,$317.18
07/25/2024,$314.12,4464572,$327.00,$327.01,$308.90
07/24/2024,$325.87,2645819,$340.85,$344.60,$324.105
07/23/2024,$346.65,1219978,$342.23,$348.88,$340.20
07/22/2024,$342.24,2045838,$335.66,$343.50,$334.40
07/19/2024,$330.56,1354350,$332.64,$336.275,$330.03
07/18/2024,$332.63,2468234,$338.66,$339.96,$326.69
