Date,Close/Last,Volume,Open,High,Low
08/30/2024,$343.72,1017652,$343.76,$345.43,$339.92
08/29/2024,$343.46,943771,$340.00,$345.56,$338.80
08/28/2024,$339.55,1064760,$339.65,$342.605,$339.32
08/27/2024,$340.26,542559,$338.43,$340.93,$337.19
08/26/2024,$337.73,395656,$337.87,$339.84,$336.195
08/23/2024,$336.82,449437,$340.00,$340.80,$333.74
08/22/2024,$339.64,476471,$338.17,$339.90,$337.345
08/21/2024,$338.07,575159,$337.00,$338.66,$335.02
08/20/2024,$336.73,944372,$335.00,$337.36,$334.355
08/19/2024,$334.38,909580,$332.22,$334.75,$332.15
08/16/2024,$332.05,620604,$331.56,$334.68,$330.00
08/15/2024,$331.46,1430184,$331.62,$333.80,$329.79
08/14/2024,$331.00,654724,$327.60,$331.20,$326.33
08/13/2024,$327.60,675267,$329.81,$330.59,$326.33
08/12/2024,$328.86,806660,$329.44,$329.52,$326.1501
08/09/2024,$329.44,1460179,$327.00,$330.72,$326.13
08/08/2024,$326.94,1022751,$324.54,$328.26,$324.54
08/07/2024,$326.00,873427,$324.87,$330.82,$324.57
08/06/2024,$323.40,1313515,$324.78,$330.91,$323.31
08/05/2024,$325.02,1192592,$333.24,$333.94,$322.945
08/02/2024,$330.21,1649743,$328.95,$331.50,$325.92
08/01/2024,$327.82,866296,$330.00,$330.00,$324.65
07/31/2024,$328.51,1326572,$328.08,$329.96,$326.4573
07/30/2024,$328.74,1705196,$322.26,$329.775,$322.21
07/29/2024,$319.29,1756981,$318.39,$321.24,$315.02
07/26/2024,$323.00,3070450,$307.00,$323.45,$304.12
07/25/2024,$298.95,2854140,$299.74,$303.78,$298.1993
07/24/2024,$298.20,763164,$300.00,$301.735,$297.055
07/23/2024,$298.43,1117318,$299.43,$302.18,$298.33
07/22/2024,$299.12,908503,$296.63,$300.84,$296.56
07/19/2024,$296.17,883443,$301.43,$301.43,$295.79
07/18/2024,$299.68,756350,$298.72,$302.83,$297.87
07/17/2024,$300.45,1199084,$298.25,$302.00,$298.04
07/16/2024,$297.75,1093077,$297.92,$299.19,$296.91
07/15/2024,$297.31,958123,$298.78,$299.815,$296.86
07/12/2024,$298.13,1677363,$297.91,$300.10,$297.15
07/11/2024,$296.80,1031239,$294.79,$299.36,$294.0079
07/10/2024,$295.41,921638,$294.12,$295.44,$292.45
07/09/2024,$293.16,1170826,$298.11,$298.11,$292.54
07/08/2024,$298.11,1199801,$296.85,$300.08,$296.17
07/05/2024,$295.86,535445,$295.22,$295.88,$292.37
07/03/2024,$294.77,840949,$295.23,$296.00,$293.82
07/02/2024,$295.57,989454,$291.72,$295.87,$291.72
07/01/2024,$293.49,1020327,$294.40,$295.475,$293.10
06/28/2024,$293.58,1312306,$292.80,$294.7475,$291.64
06/27/2024,$292.80,1001284,$289.90,$293.60,$288.50
06/26/2024,$288.77,1534275,$291.13,$293.6135,$285.35
06/25/2024,$292.82,3149418,$297.21,$298.41,$292.115
06/24/2024,$298.46,1777737,$297.29,$299.17,$295.52
06/21/2024,$297.46,5510706,$296.82,$299.04,$294.76
06/20/2024,$296.59,1612978,$297.00,$297.73,$294.39
06/18/2024,$297.75,1633602,$300.07,$301.88,$296.72
06/17/2024,$300.01,1971511,$295.00,$300.10,$294.64
06/14/2024,$295.39,860487,$295.42,$295.95,$294.66
06/13/2024,$295.42,1352514,$295.51,$296.48,$294.22
06/12/2024,$294.98,1899768,$293.92,$296.05,$291.32
06/11/2024,$293.70,3730572,$287.11,$294.41,$286.70
06/10/2024,$286.86,2081333,$283.56,$289.785,$283.27
06/07/2024,$283.12,889312,$286.36,$286.89,$282.98
06/06/2024,$285.71,1702630,$286.18,$286.805,$283.17
06/05/2024,$285.58,1207573,$284.88,$285.97,$283.01
06/04/2024,$284.50,1044686,$281.70,$286.17,$280.54
06/03/2024,$281.26,1482894,$280.77,$283.80,$278.60
05/31/2024,$281.64,1823234,$277.88,$281.64,$276.76
05/30/2024,$276.91,955530,$275.56,$278.49,$275.07
05/29/2024,$275.82,1128691,$278.24,$279.50,$275.74
05/28/2024,$279.26,1729692,$278.71,$281.26,$277.75
05/24/2024,$280.75,1721820,$279.40,$281.65,$277.64
05/23/2024,$279.30,1548668,$283.71,$283.9325,$278.7918
05/22/2024,$284.65,1579468,$285.70,$288.76,$284.43
05/21/2024,$289.98,956658,$293.50,$293.63,$289.817
05/20/2024,$292.96,1145729,$292.62,$294.05,$291.51
05/17/2024,$292.45,1498213,$293.18,$293.18,$290.02
05/16/2024,$292.02,2444490,$288.50,$293.305,$287.42
05/15/2024,$287.79,1259692,$287.00,$288.96,$286.02
05/14/2024,$287.92,890779,$288.11,$288.635,$286.13
05/13/2024,$288.58,1829681,$290.94,$293.10,$287.53
05/10/2024,$293.10,2288991,$288.72,$294.31,$287.69
05/09/2024,$287.58,2354930,$283.89,$288.07,$283.58
05/08/2024,$283.81,1980563,$289.72,$289.81,$283.17
05/07/2024,$288.35,1541408,$287.47,$288.43,$285.85
05/06/2024,$285.47,1783247,$281.49,$285.70,$279.56
05/03/2024,$279.97,1750917,$277.92,$280.90,$275.29
05/02/2024,$280.09,1300620,$283.98,$284.465,$279.32
05/01/2024,$283.81,1819693,$281.18,$286.16,$280.8788
04/30/2024,$282.01,4389554,$283.19,$288.76,$281.375
04/29/2024,$281.04,3361304,$281.26,$284.40,$279.86
04/26/2024,$285.03,4566608,$270.88,$285.88,$268.06
04/25/2024,$306.00,1365447,$307.71,$308.15,$304.001
04/24/2024,$308.83,849268,$311.03,$311.03,$307.71
04/23/2024,$311.86,620943,$312.00,$313.79,$310.585
04/22/2024,$311.02,938441,$311.00,$313.23,$309.38
04/19/2024,$310.19,823325,$311.07,$311.07,$309.07
04/18/2024,$308.70,636979,$307.58,$312.015,$307.58
04/17/2024,$304.79,833362,$305.13,$308.02,$303.81
04/16/2024,$304.05,1230069,$305.68,$306.75,$303.80
04/15/2024,$305.18,958445,$312.10,$312.10,$304.795
04/12/2024,$308.00,742170,$309.37,$312.44,$306.74
04/11/2024,$311.00,846506,$314.64,$316.25,$310.91
04/10/2024,$316.00,803601,$317.90,$319.467,$315.19
04/09/2024,$319.40,716699,$320.92,$320.92,$317.72
04/08/2024,$319.84,771481,$319.34,$320.98,$318.51
04/05/2024,$318.99,752886,$316.26,$320.56,$315.00
04/04/2024,$314.77,2153524,$325.82,$325.82,$313.31
04/03/2024,$324.47,1381430,$329.20,$329.74,$321.8651
04/02/2024,$329.64,701645,$330.25,$331.125,$329.18
04/01/2024,$329.59,527212,$333.00,$333.00,$328.35
03/28/2024,$333.72,732091,$335.00,$336.06,$333.58
