Date,Close/Last,Volume,Open,High,Low
08/30/2024,$83.72,1007080,$82.48,$83.86,$82.43
08/29/2024,$82.10,603667,$82.40,$82.94,$81.13
08/28/2024,$81.84,577041,$81.72,$82.645,$81.59
08/27/2024,$81.76,702370,$81.85,$82.3937,$80.985
08/26/2024,$82.36,562113,$82.96,$83.22,$82.12
08/23/2024,$82.54,562529,$81.82,$83.09,$81.18
08/22/2024,$81.13,627664,$81.82,$82.10,$80.88
08/21/2024,$81.88,573128,$81.19,$81.94,$81.02
08/20/2024,$80.80,605337,$80.63,$81.11,$80.38
08/19/2024,$80.70,584891,$79.91,$80.705,$79.59
08/16/2024,$79.65,834207,$80.16,$80.515,$79.43
08/15/2024,$80.25,735077,$80.86,$81.25,$79.86
08/14/2024,$79.76,652151,$79.95,$80.35,$79.168
08/13/2024,$79.57,679883,$79.51,$79.79,$78.63
08/12/2024,$78.87,698781,$80.21,$80.41,$78.755
08/09/2024,$80.27,628008,$80.53,$81.27,$79.61
08/08/2024,$80.49,1075079,$80.80,$81.49,$79.79
08/07/2024,$80.27,1291718,$81.99,$83.62,$79.96
08/06/2024,$81.66,860020,$81.80,$83.43,$81.29
08/05/2024,$81.65,1243260,$80.73,$82.56,$79.67
08/02/2024,$82.40,1106038,$81.70,$82.46,$80.27
08/01/2024,$82.54,874865,$85.02,$85.865,$81.36
07/31/2024,$85.04,1746435,$85.62,$85.85,$84.76
07/30/2024,$85.45,881068,$85.22,$85.98,$84.99
07/29/2024,$84.50,1059036,$84.50,$85.29,$83.82
07/26/2024,$84.50,1149759,$83.55,$84.91,$83.30
07/25/2024,$82.18,1505649,$81.17,$83.33,$81.11
07/24/2024,$80.76,2167104,$80.88,$82.4992,$80.65
07/23/2024,$80.47,2721296,$80.92,$85.07,$79.83
07/22/2024,$88.81,1138827,$88.15,$89.08,$86.67
07/19/2024,$87.99,1038641,$89.36,$89.675,$87.57
07/18/2024,$89.02,1025949,$89.80,$92.445,$88.84
07/17/2024,$90.14,850860,$91.47,$92.13,$90.14
07/16/2024,$91.98,1338297,$88.77,$92.135,$88.495
07/15/2024,$87.80,1154657,$88.22,$89.19,$87.695
07/12/2024,$87.83,999053,$86.94,$88.64,$86.65
07/11/2024,$86.08,1004786,$84.19,$86.38,$83.77
07/10/2024,$82.99,1014075,$81.18,$83.13,$81.08
07/09/2024,$80.73,969114,$80.84,$81.32,$80.20
07/08/2024,$81.06,726781,$80.72,$81.35,$80.43
07/05/2024,$80.48,1190093,$80.37,$80.6599,$79.17
07/03/2024,$81.04,539803,$80.77,$81.675,$80.53
07/02/2024,$80.89,1028846,$80.00,$81.10,$79.68
07/01/2024,$80.18,623231,$82.19,$82.24,$80.17
06/28/2024,$81.78,1378405,$82.14,$83.37,$81.2625
06/27/2024,$82.02,868469,$81.69,$82.67,$81.67
06/26/2024,$82.38,876947,$82.50,$82.56,$81.77
06/25/2024,$82.93,922525,$83.93,$84.22,$82.02
06/24/2024,$84.43,928639,$84.33,$85.59,$83.92
06/21/2024,$84.14,1486354,$83.96,$84.26,$82.75
06/20/2024,$83.92,643949,$83.89,$84.54,$83.49
06/18/2024,$84.22,782078,$83.54,$84.65,$83.2005
06/17/2024,$83.68,714824,$82.16,$83.70,$82.16
06/14/2024,$82.46,699616,$82.60,$82.885,$80.99
06/13/2024,$83.67,688047,$83.34,$83.83,$82.32
06/12/2024,$83.59,712021,$83.63,$84.30,$83.11
06/11/2024,$81.59,466619,$81.20,$81.635,$80.37
06/10/2024,$81.48,450330,$80.71,$81.53,$80.59
06/07/2024,$81.08,526251,$80.51,$81.37,$80.23
06/06/2024,$80.88,568192,$81.92,$82.41,$80.38
