Date,Close/Last,Volume,Open,High,Low
08/30/2024,$28.49,6069039,$28.90,$28.945,$28.35
08/29/2024,$29.34,4703501,$28.75,$29.47,$28.382
08/28/2024,$28.57,3879333,$28.05,$28.695,$28.02
08/27/2024,$28.43,4577893,$28.81,$28.90,$28.19
08/26/2024,$28.98,4352830,$29.00,$29.11,$28.49
08/23/2024,$28.47,3948562,$28.07,$28.565,$28.03
08/22/2024,$27.92,3957267,$28.14,$28.355,$27.875
08/21/2024,$28.06,3738116,$28.64,$28.73,$28.04
08/20/2024,$28.33,4312358,$29.17,$29.24,$28.155
08/19/2024,$29.32,4001786,$29.31,$29.88,$29.19
08/16/2024,$29.25,3230141,$28.94,$29.3695,$28.92
08/15/2024,$29.48,5336290,$29.09,$29.65,$29.09
08/14/2024,$28.95,3807704,$29.15,$29.22,$28.775
08/13/2024,$28.92,3913275,$28.75,$29.175,$28.5001
08/12/2024,$29.19,4282782,$28.39,$29.285,$28.39
08/09/2024,$28.32,4063919,$28.45,$28.675,$27.98
08/08/2024,$28.45,4667073,$27.20,$28.47,$27.17
08/07/2024,$27.02,6786762,$27.69,$28.05,$27.00
08/06/2024,$27.11,6236570,$27.46,$28.195,$27.11
08/05/2024,$27.59,15324210,$27.68,$27.915,$26.81
08/02/2024,$28.59,8733734,$30.69,$30.74,$28.30
08/01/2024,$31.08,9326123,$32.80,$33.41,$30.73
07/31/2024,$31.19,5897629,$31.62,$31.83,$31.17
07/30/2024,$31.03,4077681,$30.73,$31.265,$30.575
07/29/2024,$30.78,3323838,$31.15,$31.35,$30.29
07/26/2024,$31.21,3493116,$31.34,$31.58,$30.865
07/25/2024,$31.28,3953820,$30.19,$31.52,$30.13
07/24/2024,$30.28,3846805,$30.95,$31.085,$30.18
07/23/2024,$30.69,3814337,$31.07,$31.16,$30.615
07/22/2024,$31.27,4602785,$31.63,$31.78,$31.08
07/19/2024,$32.01,4457219,$32.09,$32.25,$31.54
07/18/2024,$32.15,6462842,$32.35,$33.15,$31.97
07/17/2024,$32.22,4858230,$31.90,$32.51,$31.84
07/16/2024,$31.67,4852629,$31.15,$31.69,$30.88
07/15/2024,$31.46,6388759,$29.97,$31.685,$29.95
07/12/2024,$29.97,4201808,$29.97,$30.145,$29.4347
07/11/2024,$29.79,4280096,$28.92,$29.89,$28.72
07/10/2024,$28.77,3212412,$28.79,$28.94,$28.555
07/09/2024,$28.79,3304607,$28.62,$29.215,$28.4555
07/08/2024,$28.84,2914287,$28.40,$28.875,$28.39
07/05/2024,$28.60,8165164,$29.30,$29.45,$28.47
07/03/2024,$29.43,2035787,$29.55,$29.9099,$29.34
07/02/2024,$29.36,5906924,$29.72,$29.925,$28.965
07/01/2024,$29.63,5428637,$29.75,$29.9458,$29.085
06/28/2024,$29.44,11159680,$29.39,$29.55,$28.94
06/27/2024,$29.07,4154143,$28.99,$29.139,$28.78
06/26/2024,$28.64,5614376,$28.96,$28.99,$28.35
06/25/2024,$29.00,5178398,$29.27,$29.305,$28.71
06/24/2024,$29.34,6535875,$28.25,$29.515,$28.225
06/21/2024,$28.09,12079110,$28.30,$28.42,$27.985
06/20/2024,$28.30,4879372,$28.04,$28.48,$27.17
06/18/2024,$28.00,5601281,$28.00,$28.57,$27.885
06/17/2024,$27.94,5541160,$27.90,$28.20,$27.505
06/14/2024,$27.82,9514786,$28.16,$28.29,$27.36
06/13/2024,$28.57,5387366,$29.07,$29.23,$28.21
06/12/2024,$29.33,6211743,$30.08,$30.49,$29.16
06/11/2024,$29.69,4158350,$29.17,$29.75,$28.99
06/10/2024,$29.47,4278571,$28.99,$29.755,$28.87
06/07/2024,$28.85,3621559,$28.97,$29.36,$28.70
06/06/2024,$29.23,3577813,$28.93,$29.335,$28.81
06/05/2024,$29.00,4674553,$29.08,$29.24,$28.815
06/04/2024,$28.96,5729624,$29.13,$29.26,$28.67
06/03/2024,$29.44,8022893,$30.65,$30.70,$29.24
05/31/2024,$30.53,14922030,$29.85,$30.64,$29.8024
05/30/2024,$29.73,5421060,$29.16,$29.859,$29.16
05/29/2024,$29.17,7221011,$29.80,$29.97,$28.7325
05/28/2024,$29.83,4687898,$29.61,$30.03,$29.552
05/24/2024,$29.36,3933550,$29.74,$29.94,$29.34
05/23/2024,$29.52,5294332,$30.35,$30.529,$29.35
05/22/2024,$30.13,6192112,$30.62,$30.73,$29.88
05/21/2024,$30.72,5116217,$30.52,$31.12,$30.51
05/20/2024,$30.90,4427432,$30.98,$31.28,$30.7401
05/17/2024,$30.88,3786252,$30.505,$31.01,$30.33
05/16/2024,$30.51,4447450,$30.54,$30.65,$30.201
05/15/2024,$30.54,5164263,$30.15,$30.60,$29.71
05/14/2024,$30.17,4327345,$30.10,$30.42,$29.935
05/13/2024,$30.20,3969624,$30.35,$30.62,$29.90
05/10/2024,$30.38,4247787,$30.98,$31.13,$30.32
05/09/2024,$30.88,4542233,$30.65,$30.91,$30.45
05/08/2024,$30.51,5897984,$30.01,$30.74,$29.87
05/07/2024,$30.26,5697700,$29.93,$30.575,$29.93
05/06/2024,$29.92,6306619,$29.47,$30.21,$29.41
05/03/2024,$29.26,9600753,$29.27,$29.79,$28.92
05/02/2024,$29.18,13332140,$30.12,$30.82,$28.9001
05/01/2024,$30.50,7638634,$31.09,$31.37,$30.15
04/30/2024,$31.44,6414030,$32.46,$32.495,$31.41
04/29/2024,$32.72,4261769,$32.41,$32.8303,$32.39
04/26/2024,$32.49,4801253,$32.26,$32.59,$32.02
04/25/2024,$32.36,8115840,$32.09,$32.44,$31.5311
04/24/2024,$32.05,4522158,$31.98,$32.185,$31.64
04/23/2024,$32.06,6781874,$32.11,$32.38,$31.71
04/22/2024,$32.47,4376121,$32.23,$32.66,$31.77
04/19/2024,$32.36,4814465,$32.16,$32.95,$32.15
04/18/2024,$32.43,5679728,$32.38,$32.745,$32.115
04/17/2024,$32.26,5993654,$32.50,$32.875,$32.135
04/16/2024,$32.50,6090513,$32.79,$32.97,$32.11
04/15/2024,$33.16,8170599,$33.54,$33.8798,$33.00
04/12/2024,$33.72,7068505,$34.85,$35.25,$33.64
04/11/2024,$34.40,4740057,$35.23,$35.24,$34.14
04/10/2024,$35.05,5797112,$34.48,$35.175,$34.38
04/09/2024,$34.89,6547839,$35.13,$35.33,$34.53
04/08/2024,$35.04,6294686,$35.73,$36.045,$34.93
04/05/2024,$35.74,6055803,$35.33,$35.86,$35.01
04/04/2024,$35.43,6932654,$35.37,$35.8406,$34.99
04/03/2024,$35.21,9794865,$35.57,$35.91,$34.875
04/02/2024,$35.34,7179801,$35.56,$35.715,$34.80
04/01/2024,$35.43,8326077,$34.53,$35.485,$34.305
03/28/2024,$34.38,26801630,$34.10,$34.73,$33.91
03/27/2024,$33.71,7795092,$32.73,$33.74,$32.55
03/26/2024,$32.88,11751240,$34.52,$34.80,$32.805
03/25/2024,$34.59,12154230,$33.66,$34.745,$33.62
03/22/2024,$33.46,5746554,$33.85,$34.03,$33.405
03/21/2024,$33.91,4453324,$33.80,$34.1194,$33.46
03/20/2024,$33.79,5679225,$32.77,$33.97,$32.62
03/19/2024,$33.14,7294834,$32.39,$33.314,$32.31
03/18/2024,$32.34,5540009,$32.24,$32.87,$32.07
03/15/2024,$32.00,22213290,$32.24,$32.83,$31.86
03/14/2024,$32.47,8569089,$32.75,$32.95,$32.29
03/13/2024,$32.56,7910417,$31.85,$32.895,$31.84
03/12/2024,$31.44,4968992,$31.36,$31.485,$30.90
03/11/2024,$31.20,4475626,$30.60,$31.24,$30.42
03/08/2024,$30.81,5703651,$30.55,$31.13,$30.53
03/07/2024,$30.55,4730966,$30.53,$30.917,$30.42
03/06/2024,$30.63,4716074,$30.91,$30.97,$30.41
