Date,Close/Last,Volume,Open,High,Low
08/30/2024,$67.45,5853770,$66.95,$67.53,$66.46
08/29/2024,$66.79,4727394,$66.58,$67.70,$66.42
08/28/2024,$66.29,3791441,$66.62,$67.04,$65.96
08/27/2024,$66.52,6842336,$66.20,$66.76,$65.55
08/26/2024,$66.66,3809633,$67.24,$67.63,$66.4504
08/23/2024,$67.35,3981203,$67.08,$67.69,$66.48
08/22/2024,$66.76,4184617,$67.49,$67.75,$66.55
08/21/2024,$67.20,4670985,$67.065,$67.40,$66.73
08/20/2024,$67.02,4972608,$66.47,$67.15,$65.92
08/19/2024,$66.35,3738021,$65.77,$66.42,$65.02
08/16/2024,$65.80,5913898,$65.88,$65.955,$65.19
08/15/2024,$66.05,6095031,$65.57,$66.24,$64.93
08/14/2024,$64.81,4744033,$65.00,$65.18,$64.32
08/13/2024,$64.79,6823395,$63.59,$64.83,$63.46
08/12/2024,$63.05,4112889,$62.85,$63.59,$62.61
08/09/2024,$62.62,5207009,$62.13,$62.87,$61.94
08/08/2024,$62.37,7596673,$60.97,$62.51,$60.67
08/07/2024,$60.04,10106760,$60.95,$61.60,$59.75
08/06/2024,$59.88,10484010,$58.80,$60.57,$58.42
08/05/2024,$58.39,16551380,$55.56,$58.64,$54.77
08/02/2024,$59.13,11962690,$60.30,$60.435,$58.00
08/01/2024,$62.12,9122479,$63.93,$63.93,$60.84
07/31/2024,$64.26,8848972,$65.91,$67.07,$63.73
07/30/2024,$61.94,8008617,$63.70,$64.12,$60.88
07/29/2024,$63.39,5599097,$64.30,$64.65,$63.35
07/26/2024,$63.86,11995420,$63.20,$64.78,$63.055
07/25/2024,$61.76,12628800,$62.81,$63.165,$60.53
07/24/2024,$61.99,14011330,$62.58,$64.30,$61.39
07/23/2024,$66.26,8759797,$66.12,$67.32,$65.90
07/22/2024,$66.24,7449836,$65.00,$66.64,$64.87
07/19/2024,$64.35,7745773,$66.59,$67.13,$64.23
07/18/2024,$65.83,10698520,$64.82,$66.50,$64.81
07/17/2024,$64.22,14803670,$69.30,$69.51,$64.14
07/16/2024,$70.41,6164937,$70.29,$70.71,$69.60
07/15/2024,$69.71,5887515,$70.12,$70.65,$69.39
07/12/2024,$69.86,4594598,$69.53,$70.74,$69.35
07/11/2024,$69.53,4625171,$70.19,$70.305,$69.39
07/10/2024,$70.02,5865320,$69.00,$70.25,$68.8877
07/09/2024,$68.62,5365577,$68.23,$68.95,$68.23
07/08/2024,$67.99,4936056,$68.44,$68.65,$67.81
07/05/2024,$68.01,4371040,$67.79,$68.25,$67.25
07/03/2024,$67.79,2697611,$67.30,$67.87,$66.85
07/02/2024,$67.56,5245542,$67.09,$67.89,$66.54
07/01/2024,$67.52,4698902,$67.74,$67.90,$67.07
06/28/2024,$67.37,27676560,$67.68,$68.80,$67.1325
06/27/2024,$67.49,4523583,$67.35,$67.52,$66.80
06/26/2024,$67.16,7418093,$68.04,$68.04,$66.66
06/25/2024,$67.96,6237190,$67.25,$68.14,$67.06
06/24/2024,$67.27,7135321,$68.19,$68.40,$67.20
06/21/2024,$68.73,10703960,$68.10,$68.78,$67.46
06/20/2024,$68.44,10982120,$69.99,$70.84,$68.32
06/18/2024,$69.73,5635463,$68.99,$69.95,$67.90
06/17/2024,$69.16,5090568,$68.28,$69.39,$67.65
06/14/2024,$68.27,3996512,$68.33,$68.73,$67.37
06/13/2024,$68.99,6152902,$68.80,$69.03,$67.735
06/12/2024,$68.69,6658115,$68.01,$68.97,$67.26
06/11/2024,$67.215,4799046,$66.58,$67.235,$66.51
06/10/2024,$66.92,5420904,$65.06,$67.025,$65.03
06/07/2024,$65.32,4583600,$65.49,$65.805,$65.165
06/06/2024,$65.43,6470932,$66.64,$66.905,$65.26
06/05/2024,$66.64,7151580,$65.59,$66.725,$65.33
06/04/2024,$65.025,8143604,$65.2175,$65.53,$64.62
06/03/2024,$65.89,7883240,$66.385,$66.67,$65.23
05/31/2024,$66.185,16472786,$66.155,$66.595,$64.59
05/30/2024,$66.535,7249630,$66.555,$66.82,$66.19
05/29/2024,$66.535,10132690,$66.16,$66.85,$65.375
05/28/2024,$66.99,9672794,$69.10,$69.29,$66.7803
05/24/2024,$68.12,7864918,$68.695,$69.295,$68.095
05/23/2024,$68.20,8454142,$68.18,$68.6875,$67.385
05/22/2024,$67.285,6951030,$67.605,$68.145,$67.085
05/21/2024,$67.70,6137692,$66.745,$67.84,$66.635
05/20/2024,$66.68,6235718,$66.07,$67.206,$65.85
05/17/2024,$65.955,9012628,$66.50,$66.64,$65.69
05/16/2024,$65.855,8066228,$66.635,$66.9525,$65.715
05/15/2024,$65.98,7264116,$64.85,$66.04,$64.785
05/14/2024,$64.28,4795352,$63.61,$64.34,$63.38
05/13/2024,$63.58,4538384,$63.835,$63.89,$63.35
05/10/2024,$63.785,4718636,$64.10,$64.3129,$63.495
05/09/2024,$63.805,5285172,$63.375,$63.89,$63.07
05/08/2024,$63.305,5986738,$61.915,$63.53,$61.815
05/07/2024,$62.36,7431448,$62.50,$62.8275,$62.1625
05/06/2024,$62.395,4055644,$61.505,$62.42,$61.395
05/03/2024,$61.32,6558812,$61.205,$61.5199,$60.505
05/02/2024,$60.50,5003154,$60.10,$60.515,$59.20
05/01/2024,$59.63,8706648,$59.94,$60.65,$59.405
04/30/2024,$60.385,7167696,$61.00,$61.80,$60.35
04/29/2024,$61.065,5599938,$60.75,$61.0925,$60.185
04/26/2024,$60.245,8345838,$59.50,$60.625,$59.50
04/25/2024,$59.505,8509978,$57.61,$59.74,$56.76
04/24/2024,$58.155,15251802,$59.595,$59.695,$57.245
04/23/2024,$57.13,10201752,$56.36,$57.225,$56.065
04/22/2024,$55.93,6549786,$55.575,$56.33,$55.095
04/19/2024,$55.085,7538076,$55.49,$55.94,$54.72
04/18/2024,$55.44,5748598,$55.775,$56.35,$55.43
04/17/2024,$55.745,5283370,$56.285,$56.525,$55.525
04/16/2024,$56.285,7815986,$56.275,$56.47,$55.865
04/15/2024,$56.195,5015392,$57.275,$57.6474,$56.01
04/12/2024,$56.66,6096874,$56.98,$57.445,$56.435
04/11/2024,$57.94,6338924,$57.34,$58.09,$56.95
04/10/2024,$57.38,8224338,$56.545,$57.82,$56.255
04/09/2024,$57.49,8140290,$58.50,$58.70,$57.10
04/08/2024,$58.31,8695158,$59.08,$59.285,$58.065
04/05/2024,$58.69,6759292,$57.82,$58.795,$57.7839
04/04/2024,$57.55,6825992,$59.025,$59.31,$57.3725
04/03/2024,$57.685,7641054,$57.26,$58.045,$56.66
04/02/2024,$56.53,4972060,$56.47,$56.635,$56.07
04/01/2024,$57.025,4594644,$57.415,$58.00,$57.015
03/28/2024,$57.675,8712024,$58.00,$58.50,$57.495
03/27/2024,$57.65,9178402,$56.99,$57.705,$56.965
03/26/2024,$56.67,6849144,$57.325,$57.63,$56.635
03/25/2024,$57.11,8546938,$59.00,$59.795,$57.04
03/22/2024,$57.21,4979016,$57.25,$57.59,$56.93
03/21/2024,$57.205,6028670,$56.50,$57.40,$56.485
03/20/2024,$56.055,3560216,$55.515,$56.095,$55.4125
03/19/2024,$55.485,4701998,$54.845,$55.525,$54.725
03/18/2024,$54.795,5218766,$54.905,$55.1575,$54.745
03/15/2024,$54.65,9351062,$54.285,$54.81,$54.2655
03/14/2024,$54.69,4011116,$55.515,$55.65,$54.37
03/13/2024,$55.265,4571066,$55.26,$55.445,$54.87
03/12/2024,$55.30,3670006,$54.93,$55.445,$54.655
03/11/2024,$54.94,4348334,$55.285,$55.285,$54.4075
03/08/2024,$55.205,4577952,$55.735,$56.055,$55.065
03/07/2024,$55.675,4007234,$55.455,$55.89,$55.45
03/06/2024,$55.255,4311456,$55.18,$55.755,$55.13
