Date,Close/Last,Volume,Open,High,Low
08/30/2024,$130.74,872069,$129.36,$131.07,$128.96
08/29/2024,$129.39,503343,$129.25,$129.465,$128.12
08/28/2024,$129.09,652159,$129.58,$130.64,$128.98
08/27/2024,$129.31,430826,$129.96,$130.34,$129.265
08/26/2024,$130.19,656908,$129.76,$131.00,$129.54
08/23/2024,$130.09,507888,$130.11,$130.49,$129.57
08/22/2024,$129.72,433086,$129.67,$130.33,$129.18
08/21/2024,$129.59,648614,$129.27,$130.08,$128.93
08/20/2024,$129.26,478309,$129.31,$129.97,$128.985
08/19/2024,$129.41,653741,$129.14,$130.00,$128.875
08/16/2024,$129.21,876019,$129.34,$129.62,$128.40
08/15/2024,$129.03,846672,$128.08,$129.73,$127.43
08/14/2024,$128.66,725456,$128.48,$129.35,$128.005
08/13/2024,$128.80,461110,$129.22,$129.28,$128.32
08/12/2024,$128.64,591079,$128.29,$129.06,$128.02
08/09/2024,$128.05,674463,$127.29,$128.25,$126.18
08/08/2024,$126.95,1237181,$127.70,$128.445,$126.08
08/07/2024,$128.10,1097844,$128.11,$129.36,$127.13
08/06/2024,$127.52,1054520,$127.12,$129.15,$126.93
08/05/2024,$127.26,1203917,$130.86,$131.60,$127.0001
08/02/2024,$129.99,678785,$132.07,$132.24,$127.955
08/01/2024,$130.08,813546,$128.48,$130.28,$127.7025
07/31/2024,$127.88,1809368,$128.34,$128.73,$127.35
07/30/2024,$128.22,1105064,$126.82,$128.49,$126.01
07/29/2024,$127.04,620366,$126.48,$127.41,$125.57
07/26/2024,$126.16,504438,$125.54,$126.355,$125.25
07/25/2024,$124.93,900421,$126.50,$127.90,$124.71
07/24/2024,$125.90,837752,$125.03,$125.985,$124.75
07/23/2024,$124.54,629498,$123.51,$125.15,$122.87
07/22/2024,$123.51,925266,$123.08,$124.035,$122.70
07/19/2024,$122.95,1031875,$123.98,$123.98,$121.81
07/18/2024,$123.22,1169182,$124.02,$125.08,$123.16
07/17/2024,$124.65,794670,$122.84,$125.38,$122.525
07/16/2024,$122.34,697481,$121.36,$122.48,$120.76
07/15/2024,$120.83,588458,$120.32,$121.26,$119.90
07/12/2024,$120.94,816031,$120.58,$121.84,$120.13
07/11/2024,$119.87,940878,$118.02,$120.275,$117.78
07/10/2024,$117.01,803222,$115.27,$117.07,$114.645
07/09/2024,$114.77,942089,$113.65,$114.99,$113.46
07/08/2024,$114.08,867600,$114.71,$115.065,$113.59
07/05/2024,$114.62,1429173,$115.28,$115.86,$114.23
07/03/2024,$115.16,403055,$116.53,$117.005,$115.16
07/02/2024,$116.52,806352,$116.03,$116.55,$115.61
07/01/2024,$115.98,853420,$116.92,$117.30,$115.745
06/28/2024,$116.65,1452574,$117.01,$117.05,$115.575
06/27/2024,$116.55,644626,$116.25,$116.85,$114.52
06/26/2024,$116.11,931869,$115.35,$116.32,$114.69
06/25/2024,$116.53,1214781,$117.96,$118.35,$115.97
06/24/2024,$118.02,821906,$115.97,$118.37,$115.97
06/21/2024,$116.29,1456966,$117.02,$117.91,$116.23
06/20/2024,$117.18,735640,$116.81,$118.38,$116.70
06/18/2024,$117.00,699056,$116.22,$117.35,$115.91
06/17/2024,$116.29,800881,$115.69,$117.05,$115.31
06/14/2024,$116.15,818916,$115.49,$116.30,$115.21
06/13/2024,$116.17,1537561,$116.06,$116.58,$115.25
06/12/2024,$116.18,1185659,$117.27,$117.75,$115.50
06/11/2024,$115.75,1098490,$115.00,$115.795,$114.47
06/10/2024,$115.48,1060641,$114.69,$115.59,$114.45
06/07/2024,$114.78,1073171,$114.35,$115.56,$114.35
06/06/2024,$115.45,1125266,$114.76,$115.51,$114.34
06/05/2024,$115.01,1087071,$115.49,$115.615,$114.385
06/04/2024,$115.89,880333,$114.92,$116.40,$114.24
06/03/2024,$115.51,892538,$115.92,$116.58,$115.33
05/31/2024,$115.92,1985411,$113.09,$116.11,$112.85
05/30/2024,$112.59,1306616,$111.83,$112.62,$111.48
05/29/2024,$111.34,1165937,$111.30,$112.075,$110.97
05/28/2024,$112.04,1227250,$112.80,$113.67,$111.98
05/24/2024,$112.61,797165,$113.51,$114.17,$112.19
05/23/2024,$113.99,1351051,$116.56,$116.56,$113.85
05/22/2024,$117.19,1200346,$117.93,$118.39,$116.89
05/21/2024,$118.50,957170,$118.32,$118.9499,$117.74
05/20/2024,$118.28,646044,$118.50,$118.95,$118.09
05/17/2024,$118.64,1703609,$118.75,$118.77,$117.98
05/16/2024,$118.56,1339075,$118.00,$119.45,$117.74
05/15/2024,$117.81,1274072,$118.50,$118.59,$117.53
05/14/2024,$117.25,1217671,$117.75,$117.75,$116.555
05/13/2024,$116.33,1282740,$117.66,$118.27,$116.14
05/10/2024,$117.18,3140268,$119.71,$119.78,$116.86
05/09/2024,$119.69,1878021,$119.26,$121.48,$117.61
05/08/2024,$120.59,991614,$120.31,$120.79,$119.60
