Date,Close/Last,Volume,Open,High,Low
08/30/2024,$143.12,1833474,$142.19,$143.515,$141.06
08/29/2024,$141.82,811314,$141.86,$142.41,$140.73
08/28/2024,$141.77,983117,$140.83,$143.335,$139.81
08/27/2024,$140.17,553083,$140.51,$141.72,$139.69
08/26/2024,$141.06,418788,$141.20,$142.25,$140.51
08/23/2024,$140.42,521426,$140.42,$141.145,$139.5454
08/22/2024,$140.02,771941,$140.67,$141.15,$138.89
08/21/2024,$140.77,632910,$141.09,$141.39,$140.03
08/20/2024,$141.27,520577,$141.73,$142.11,$140.95
08/19/2024,$141.57,457857,$141.17,$142.065,$141.07
08/16/2024,$140.98,643659,$142.17,$142.70,$140.65
08/15/2024,$142.03,883670,$141.29,$143.00,$140.59
08/14/2024,$141.67,562395,$141.00,$142.80,$140.165
08/13/2024,$141.39,873327,$142.47,$142.7164,$141.21
08/12/2024,$142.56,676711,$142.11,$142.78,$141.09
08/09/2024,$142.28,1057111,$144.85,$145.01,$140.27
08/08/2024,$144.71,1188272,$143.43,$146.59,$143.16
08/07/2024,$143.79,797593,$143.89,$146.40,$143.63
08/06/2024,$143.60,1132177,$144.15,$145.65,$142.95
08/05/2024,$142.72,1299229,$148.99,$149.00,$142.70
08/02/2024,$147.35,1210560,$147.08,$148.16,$144.03
08/01/2024,$144.50,1109124,$142.99,$145.47,$142.13
07/31/2024,$142.36,1123995,$141.68,$142.99,$141.35
07/30/2024,$143.67,848283,$141.43,$143.92,$141.43
07/29/2024,$141.36,748286,$141.99,$141.995,$139.90
07/26/2024,$141.71,645036,$141.09,$142.355,$140.37
07/25/2024,$140.10,1009077,$143.00,$144.30,$139.30
07/24/2024,$142.40,987140,$141.11,$143.41,$140.74
07/23/2024,$140.49,573633,$141.30,$141.81,$140.235
07/22/2024,$141.80,545873,$140.91,$142.2499,$140.55
07/19/2024,$141.16,856018,$141.50,$142.11,$140.37
07/18/2024,$141.35,835243,$141.74,$144.26,$140.523
07/17/2024,$142.53,1190632,$139.57,$143.46,$139.08
07/16/2024,$139.08,670059,$137.25,$139.22,$136.815
07/15/2024,$136.33,794673,$138.25,$138.56,$136.23
07/12/2024,$139.08,1207417,$136.95,$140.7548,$136.75
07/11/2024,$136.22,1251035,$133.46,$137.22,$133.235
07/10/2024,$132.23,681957,$131.24,$132.445,$130.86
07/09/2024,$130.72,698189,$129.54,$131.31,$128.87
07/08/2024,$129.92,874614,$130.35,$130.81,$129.665
07/05/2024,$130.01,713906,$128.63,$130.18,$127.21
07/03/2024,$127.96,402683,$128.60,$129.88,$127.845
07/02/2024,$128.46,665363,$128.08,$129.80,$127.8001
07/01/2024,$127.76,767267,$129.48,$130.96,$127.20
06/28/2024,$129.16,1201891,$129.75,$129.92,$128.27
06/27/2024,$129.27,662054,$129.30,$129.47,$127.98
06/26/2024,$129.58,691111,$128.39,$129.75,$128.13
06/25/2024,$129.37,782369,$132.30,$132.345,$129.22
06/24/2024,$132.18,802053,$130.83,$133.35,$130.69
06/21/2024,$130.54,1960281,$130.28,$131.69,$129.46
06/20/2024,$130.26,1061582,$130.50,$131.00,$129.45
06/18/2024,$130.47,1085222,$128.19,$130.65,$128.13
06/17/2024,$128.72,781879,$128.28,$130.03,$127.36
06/14/2024,$129.30,953785,$128.41,$129.685,$127.44
06/13/2024,$129.22,947213,$128.10,$129.93,$127.19
06/12/2024,$128.13,846702,$130.57,$130.88,$128.05
06/11/2024,$127.92,1050547,$127.52,$128.865,$127.10
06/10/2024,$128.56,1185307,$128.00,$128.85,$127.33
06/07/2024,$128.25,1096066,$129.27,$129.56,$128.15
06/06/2024,$130.62,797867,$131.10,$132.16,$130.1315
06/05/2024,$131.68,861086,$132.62,$132.62,$131.11
06/04/2024,$132.82,1134847,$130.77,$133.16,$130.24
06/03/2024,$130.77,1186025,$131.13,$132.22,$130.01
05/31/2024,$130.77,3003142,$126.87,$130.94,$126.63
05/30/2024,$126.28,886781,$124.58,$126.36,$124.11
05/29/2024,$124.11,987799,$125.02,$125.29,$123.68
05/28/2024,$126.24,1164681,$128.05,$128.9714,$126.02
05/24/2024,$128.23,830758,$128.69,$128.93,$127.59
05/23/2024,$128.60,1031845,$132.84,$132.84,$128.401
05/22/2024,$133.75,1495438,$134.11,$134.59,$133.16
05/21/2024,$134.36,715990,$133.59,$134.38,$132.82
05/20/2024,$133.57,913972,$133.80,$133.98,$132.47
05/17/2024,$133.76,924165,$134.14,$134.14,$133.14
05/16/2024,$134.27,1248229,$133.41,$134.61,$133.0901
05/15/2024,$133.75,1281741,$134.75,$135.11,$133.08
