Date,Close/Last,Volume,Open,High,Low
08/30/2024,$364.97,454912,$363.13,$366.275,$361.44
08/29/2024,$362.00,316831,$364.03,$368.86,$361.97
08/28/2024,$362.45,323710,$363.43,$368.13,$361.59
08/27/2024,$363.43,286028,$360.49,$364.455,$357.85
08/26/2024,$360.49,568496,$369.11,$370.64,$358.10
08/23/2024,$370.70,464467,$375.69,$376.0478,$369.4343
08/22/2024,$372.69,295606,$375.94,$377.25,$372.44
08/21/2024,$375.10,573401,$373.06,$378.89,$371.45
08/20/2024,$373.05,345737,$374.45,$375.7304,$370.04
08/19/2024,$373.07,430156,$373.75,$376.4225,$370.96
08/16/2024,$373.69,486333,$374.99,$377.19,$372.00
08/15/2024,$373.69,495368,$366.15,$378.2467,$366.15
08/14/2024,$370.57,400289,$368.80,$371.93,$365.99
08/13/2024,$368.97,516315,$368.03,$370.8227,$364.78
08/12/2024,$368.03,545538,$368.10,$375.9499,$366.14
08/09/2024,$365.00,997595,$367.27,$370.355,$359.31
08/08/2024,$368.46,1518758,$350.90,$371.99,$344.00
08/07/2024,$349.24,3407135,$330.00,$367.95,$323.885
08/06/2024,$295.00,1070740,$289.40,$298.70,$286.19
08/05/2024,$286.16,684589,$279.64,$291.75,$279.02
08/02/2024,$292.36,929302,$294.10,$295.36,$287.14
08/01/2024,$299.63,872771,$300.00,$302.7173,$296.0893
07/31/2024,$300.01,662384,$307.49,$308.56,$298.9985
07/30/2024,$304.72,350218,$309.96,$314.365,$304.48
07/29/2024,$309.00,271271,$312.40,$312.40,$307.65
07/26/2024,$310.59,347882,$314.07,$314.07,$308.01
07/25/2024,$310.81,379094,$312.45,$316.8399,$307.99
07/24/2024,$313.11,450972,$318.02,$318.88,$310.01
07/23/2024,$319.55,763156,$318.00,$324.86,$317.51
07/22/2024,$316.76,455994,$310.50,$317.00,$306.81
07/19/2024,$308.45,269770,$307.93,$310.49,$303.62
07/18/2024,$305.67,577149,$318.00,$319.5016,$303.70
07/17/2024,$317.78,680566,$321.20,$326.32,$315.35
07/16/2024,$319.43,698760,$311.02,$319.80,$311.02
07/15/2024,$308.64,642367,$294.77,$308.90,$293.02
07/12/2024,$292.66,289565,$292.24,$296.98,$290.0801
07/11/2024,$291.16,528399,$293.73,$295.00,$290.02
