Date,Close/Last,Volume,Open,High,Low
08/30/2024,$3181.48,129689,$3210.87,$3234.02,$3149.74
08/29/2024,$3204.73,93186,$3217.24,$3231.85,$3176.78
08/28/2024,$3196.70,60644,$3190.20,$3211.33,$3179.52
08/27/2024,$3181.85,59796,$3148.18,$3187.27,$3148.18
08/26/2024,$3157.10,84049,$3136.76,$3178.15,$3136.76
08/23/2024,$3125.67,120905,$3192.69,$3192.69,$3108.29
08/22/2024,$3170.89,87058,$3180.00,$3189.475,$3160.08
08/21/2024,$3202.22,79074,$3198.95,$3213.24,$3193.76
08/20/2024,$3186.81,75490,$3176.99,$3208.76,$3172.21
08/19/2024,$3172.18,128791,$3194.76,$3205.9075,$3156.02
08/16/2024,$3212.87,86317,$3176.36,$3227.40,$3172.36
08/15/2024,$3168.94,109538,$3207.73,$3207.73,$3153.04
08/14/2024,$3196.42,111639,$3153.86,$3225.58,$3153.86
08/13/2024,$3155.91,120656,$3138.13,$3168.879,$3122.91
08/12/2024,$3148.60,125592,$3162.11,$3164.45,$3101.47
08/09/2024,$3120.25,73532,$3173.27,$3173.27,$3109.36
08/08/2024,$3157.02,124198,$3084.34,$3168.96,$3084.19
08/07/2024,$3084.34,100932,$3115.68,$3163.88,$3083.32
08/06/2024,$3119.59,113968,$3112.88,$3190.50,$3112.88
08/05/2024,$3112.43,181193,$3173.93,$3192.17,$3104.30
08/02/2024,$3177.67,140222,$3145.99,$3178.795,$3119.27
08/01/2024,$3148.36,100027,$3135.07,$3158.68,$3119.89
07/31/2024,$3133.69,127038,$3100.00,$3145.5935,$3098.09
07/30/2024,$3108.40,103352,$3074.90,$3116.68,$3046.7401
07/29/2024,$3072.66,103458,$3088.00,$3102.58,$3028.54
07/26/2024,$3090.31,182598,$3028.34,$3115.18,$3028.34
07/25/2024,$3030.97,186232,$2930.00,$3048.90,$2921.87
07/24/2024,$2941.73,126971,$2918.95,$2950.73,$2894.02
07/23/2024,$2921.53,86698,$2940.00,$2967.82,$2914.25
07/22/2024,$2957.73,91174,$2955.83,$2976.14,$2940.68
07/19/2024,$2950.40,90442,$2949.34,$2973.71,$2931.91
07/18/2024,$2926.35,94150,$2983.59,$2990.00,$2921.27
07/17/2024,$2984.11,109695,$2996.00,$2996.47,$2957.505
07/16/2024,$2985.33,118096,$2954.69,$3007.6499,$2954.69
07/15/2024,$2941.46,115557,$2912.50,$2960.24,$2912.50
07/12/2024,$2920.83,110918,$2917.44,$2955.585,$2898.13
07/11/2024,$2881.90,120614,$2838.71,$2885.15,$2836.81
07/10/2024,$2856.35,70727,$2829.44,$2859.51,$2802.79
07/09/2024,$2817.06,85534,$2836.40,$2836.65,$2805.00
07/08/2024,$2836.40,99871,$2839.59,$2863.48,$2811.76
07/05/2024,$2815.00,110270,$2841.87,$2841.87,$2801.49
07/03/2024,$2844.88,88678,$2869.59,$2870.00,$2818.00
07/02/2024,$2870.00,129088,$2833.74,$2870.00,$2811.335
07/01/2024,$2832.79,168671,$2956.35,$2956.35,$2806.51
06/28/2024,$2964.10,188441,$2948.42,$2989.15,$2939.79
06/27/2024,$2955.40,106522,$2951.00,$2955.41,$2924.50
06/26/2024,$2929.70,142197,$2926.68,$2936.64,$2893.295
06/25/2024,$2936.41,125582,$2982.48,$2986.00,$2925.41
06/24/2024,$2985.44,120740,$2981.55,$2992.57,$2962.365
06/21/2024,$2990.35,192060,$3020.81,$3054.50,$2984.81
06/20/2024,$3008.23,287377,$2979.47,$3029.88,$2979.47
06/18/2024,$2968.75,120812,$2943.78,$2986.52,$2943.78
06/17/2024,$2938.83,187208,$2836.00,$2943.82,$2835.00
06/14/2024,$2835.82,114635,$2803.27,$2838.32,$2792.14
06/13/2024,$2813.40,93927,$2822.60,$2830.0925,$2798.61
06/12/2024,$2817.93,172319,$2808.77,$2823.25,$2804.14
06/11/2024,$2811.03,158007,$2778.38,$2818.70,$2769.00
06/10/2024,$2780.95,164582,$2800.00,$2800.00,$2765.82
06/07/2024,$2800.70,110667,$2761.75,$2810.65,$2760.00
06/06/2024,$2764.69,151878,$2785.00,$2785.05,$2753.61
06/05/2024,$2776.28,196695,$2801.72,$2803.50,$2750.53
06/04/2024,$2790.98,143630,$2764.19,$2801.89,$2762.20
06/03/2024,$2772.62,157806,$2772.18,$2794.34,$2728.965
05/31/2024,$2769.94,161870,$2768.19,$2790.38,$2741.14
05/30/2024,$2772.56,112320,$2745.66,$2783.655,$2745.66
05/29/2024,$2739.10,182204,$2768.70,$2787.95,$2739.10
05/28/2024,$2800.00,125474,$2792.90,$2803.25,$2776.72
05/24/2024,$2792.90,93928,$2790.85,$2797.09,$2776.70
05/23/2024,$2777.54,141857,$2766.73,$2789.13,$2750.70
05/22/2024,$2772.64,236186,$2807.02,$2825.70,$2760.035
05/21/2024,$2820.83,293064,$2877.15,$2895.00,$2796.848
05/20/2024,$2924.04,246902,$2917.50,$2941.83,$2905.03
05/17/2024,$2917.50,191034,$2933.85,$2933.85,$2890.11
05/16/2024,$2900.99,188342,$2932.60,$2942.93,$2890.795
05/15/2024,$2930.17,224180,$2921.43,$2938.72,$2911.215
05/14/2024,$2921.43,213993,$2948.22,$2950.685,$2912.27
05/13/2024,$2937.92,162415,$3003.93,$3003.93,$2919.50
05/10/2024,$2979.32,105808,$2997.05,$3005.60,$2970.965
05/09/2024,$2987.05,77942,$2977.42,$2990.79,$2970.0156
05/08/2024,$2962.52,81327,$2991.12,$3004.905,$2957.675
05/07/2024,$2990.65,113414,$2986.71,$3008.3307,$2973.24
05/06/2024,$2967.70,117549,$2967.47,$2976.51,$2956.295
05/03/2024,$2952.20,102073,$2966.50,$2987.11,$2949.82
05/02/2024,$2962.09,89794,$2955.00,$2972.54,$2946.84
05/01/2024,$2946.81,95232,$2952.86,$2970.85,$2927.575
04/30/2024,$2956.40,125039,$2997.89,$3005.19,$2943.07
04/29/2024,$2998.78,135630,$2944.98,$2998.78,$2943.61
04/26/2024,$2945.98,115841,$2934.56,$2962.74,$2933.50
04/25/2024,$2945.25,236084,$2901.84,$2952.55,$2851.42
04/24/2024,$2988.51,128333,$2945.86,$2994.255,$2944.06
04/23/2024,$2961.04,84470,$2990.44,$2990.44,$2957.49
04/22/2024,$2961.66,167608,$3004.96,$3004.96,$2951.41
04/19/2024,$2985.54,114397,$2987.22,$2999.86,$2971.71
04/18/2024,$2973.17,132201,$2964.06,$3005.00,$2952.265
04/17/2024,$2938.26,119899,$2933.35,$2949.455,$2900.00
04/16/2024,$2910.27,177204,$2910.30,$2926.30,$2877.20
04/15/2024,$2903.51,170365,$3007.56,$3007.56,$2900.00
04/12/2024,$2962.32,147791,$2994.75,$3006.7299,$2955.26
04/11/2024,$3006.76,116477,$3025.75,$3031.79,$2980.6801
04/10/2024,$3025.75,90558,$3023.13,$3040.70,$3000.29
04/09/2024,$3043.62,225883,$3078.10,$3078.10,$3016.48
04/08/2024,$3076.09,148325,$3089.25,$3113.46,$3064.945
04/05/2024,$3104.94,84683,$3097.07,$3121.065,$3094.88
04/04/2024,$3085.04,117448,$3161.49,$3161.49,$3084.03
04/03/2024,$3146.63,100044,$3171.13,$3189.015,$3145.83
04/02/2024,$3170.04,100332,$3179.37,$3198.49,$3155.06
04/01/2024,$3168.60,105628,$3139.14,$3182.14,$3139.14
03/28/2024,$3151.65,173056,$3198.59,$3198.59,$3151.55
03/27/2024,$3192.79,102097,$3208.88,$3212.52,$3171.11
03/26/2024,$3191.48,133885,$3166.58,$3206.37,$3166.58
03/25/2024,$3170.82,143903,$3237.43,$3237.43,$3168.56
03/22/2024,$3239.32,101955,$3207.30,$3256.37,$3180.27
03/21/2024,$3210.40,123537,$3185.10,$3236.13,$3160.15
03/20/2024,$3187.38,220965,$3160.00,$3192.20,$3154.75
03/19/2024,$3153.81,121627,$3134.95,$3161.435,$3130.94
03/18/2024,$3101.97,130043,$3131.00,$3147.35,$3094.84
03/15/2024,$3124.33,290918,$3101.90,$3133.07,$3101.90
03/14/2024,$3119.04,109042,$3110.54,$3119.04,$3079.45
03/13/2024,$3089.24,172084,$3059.51,$3105.54,$3042.57
03/12/2024,$3059.51,125891,$3065.35,$3075.20,$3036.42
03/11/2024,$3060.28,146755,$3069.00,$3069.00,$3014.72
03/08/2024,$3079.49,139488,$3114.26,$3119.54,$3064.47
03/07/2024,$3124.01,119849,$3127.92,$3152.66,$3094.71
03/06/2024,$3104.20,108700,$3106.00,$3130.25,$3086.37
03/05/2024,$3102.86,149683,$3083.88,$3113.8361,$3066.83
03/04/2024,$3079.94,165976,$3028.39,$3088.85,$3028.39
03/01/2024,$3035.99,134815,$3005.65,$3038.68,$2983.09
02/29/2024,$3006.02,253075,$3025.96,$3025.96,$2977.60
02/28/2024,$3011.62,253298,$2972.90,$3017.31,$2956.46
02/27/2024,$2954.99,376166,$2850.00,$2956.845,$2825.00
02/26/2024,$2770.46,221922,$2757.39,$2785.16,$2708.09
02/23/2024,$2756.34,223331,$2747.49,$2775.225,$2714.235
02/22/2024,$2758.77,109234,$2759.70,$2778.98,$2742.89
02/21/2024,$2729.69,139702,$2699.83,$2740.105,$2680.96
02/20/2024,$2696.15,132028,$2727.83,$2733.55,$2696.15
02/16/2024,$2727.83,152204,$2739.31,$2746.68,$2719.75
02/15/2024,$2724.88,148751,$2720.23,$2742.55,$2702.87
02/14/2024,$2726.87,95619,$2740.36,$2740.36,$2708.00
02/13/2024,$2726.15,149588,$2701.51,$2761.00,$2689.765
02/12/2024,$2703.88,142579,$2680.00,$2709.10,$2672.31
02/09/2024,$2680.00,220953,$2735.04,$2742.31,$2679.41
02/08/2024,$2731.66,283679,$2757.00,$2798.56,$2707.50
