Date,Close/Last,Volume,Open,High,Low
08/30/2024,$100.40,5553076,$100.77,$102.10,$98.86
08/29/2024,$100.18,12091230,$102.65,$103.71,$97.65
08/28/2024,$87.79,4293729,$87.58,$88.86,$87.32
08/27/2024,$88.88,2838897,$88.07,$89.47,$87.7201
08/26/2024,$88.89,3658613,$88.43,$89.67,$87.79
08/23/2024,$88.15,2067168,$86.29,$88.26,$86.10
08/22/2024,$85.75,2184244,$86.39,$86.7475,$85.30
08/21/2024,$87.04,1902262,$86.00,$87.07,$85.64
08/20/2024,$84.74,1193675,$84.64,$85.23,$84.20
08/19/2024,$85.04,1464097,$85.02,$85.89,$84.30
08/16/2024,$85.24,1919730,$84.03,$85.35,$83.82
08/15/2024,$84.06,2300821,$85.85,$86.35,$83.845
08/14/2024,$82.91,1403600,$83.88,$84.1633,$82.54
08/13/2024,$83.14,2111552,$81.78,$83.84,$81.75
08/12/2024,$81.20,2493329,$82.80,$83.25,$81.06
08/09/2024,$83.73,1679514,$82.48,$83.79,$81.93
08/08/2024,$82.56,1688543,$81.07,$82.67,$80.93
08/07/2024,$80.70,2055702,$82.93,$83.70,$80.62
08/06/2024,$82.00,2871855,$80.59,$82.45,$79.82
08/05/2024,$80.23,3048361,$79.50,$80.8146,$78.55
08/02/2024,$82.36,2875392,$84.00,$84.16,$81.89
08/01/2024,$85.67,2521174,$86.74,$87.40,$84.33
07/31/2024,$86.52,5801862,$85.40,$87.319,$84.84
07/30/2024,$85.35,2326480,$85.48,$86.11,$84.4801
07/29/2024,$85.48,2973776,$87.42,$87.74,$84.77
07/26/2024,$87.35,1734759,$88.10,$88.70,$86.7781
07/25/2024,$87.35,1823888,$87.43,$88.49,$87.12
07/24/2024,$87.73,2586525,$88.95,$89.04,$86.96
07/23/2024,$88.95,2589706,$88.46,$89.48,$88.04
07/22/2024,$88.96,3756922,$89.34,$89.34,$86.785
07/19/2024,$88.60,3024049,$88.25,$89.02,$87.72
07/18/2024,$88.10,3610439,$88.74,$90.57,$87.871
07/17/2024,$89.16,3977372,$86.32,$89.73,$86.13
07/16/2024,$87.25,2590056,$86.11,$87.84,$85.59
07/15/2024,$85.50,2442128,$85.79,$86.425,$85.20
07/12/2024,$86.27,2423799,$86.42,$87.31,$85.91
07/11/2024,$86.01,2738426,$86.36,$87.99,$85.58
07/10/2024,$85.57,3623267,$87.50,$87.88,$85.1026
07/09/2024,$86.42,3608898,$85.84,$86.81,$85.47
07/08/2024,$85.51,4763097,$83.02,$86.43,$83.02
07/05/2024,$82.45,3627790,$82.30,$82.78,$81.63
07/03/2024,$82.33,1471263,$82.90,$83.74,$82.21
07/02/2024,$82.17,3112437,$81.55,$82.21,$80.53
07/01/2024,$82.29,2571900,$84.32,$84.65,$82.1475
06/28/2024,$84.29,3627853,$84.10,$85.19,$83.82
06/27/2024,$84.32,2392820,$83.96,$84.50,$83.22
