Date,Close/Last,Volume,Open,High,Low
08/30/2024,$242.41,893412,$241.34,$242.61,$240.29
08/29/2024,$240.97,707392,$239.79,$241.46,$239.28
08/28/2024,$238.90,980706,$238.22,$239.67,$237.1093
08/27/2024,$237.97,923935,$236.78,$238.39,$236.245
08/26/2024,$236.27,778172,$237.00,$239.47,$235.62
08/23/2024,$236.38,822086,$236.04,$236.49,$234.28
08/22/2024,$235.30,1031387,$235.79,$235.85,$234.17
08/21/2024,$234.85,1310030,$235.49,$235.69,$234.03
08/20/2024,$234.74,791401,$235.69,$236.24,$233.965
08/19/2024,$235.90,1025230,$236.33,$237.25,$235.43
08/16/2024,$236.33,917471,$234.76,$237.135,$234.50
08/15/2024,$234.02,2135696,$234.00,$234.56,$232.03
08/14/2024,$234.08,1075032,$235.71,$236.7175,$233.615
08/13/2024,$236.28,1255870,$233.89,$236.82,$233.50
08/12/2024,$234.13,1330618,$235.08,$236.17,$233.805
08/09/2024,$235.90,801158,$234.51,$236.47,$233.04
08/08/2024,$234.39,1127474,$232.56,$236.08,$231.76
08/07/2024,$232.62,1104432,$235.76,$238.7706,$232.21
08/06/2024,$235.51,1277594,$235.00,$238.92,$233.59
08/05/2024,$235.78,1474246,$241.17,$243.78,$234.8922
08/02/2024,$241.87,1803035,$237.00,$242.55,$236.21
08/01/2024,$236.01,3769897,$227.55,$237.73,$226.00
07/31/2024,$241.06,3515357,$240.05,$242.825,$237.24
07/30/2024,$241.74,1719174,$236.99,$242.25,$236.99
07/29/2024,$237.84,1032669,$236.95,$238.87,$233.87
07/26/2024,$237.30,1384408,$234.78,$239.22,$232.38
07/25/2024,$232.78,2070432,$237.34,$241.60,$231.82
07/24/2024,$237.34,1226363,$235.45,$238.17,$234.46
07/23/2024,$234.33,1353862,$232.00,$234.45,$230.37
07/22/2024,$231.09,866743,$231.27,$232.22,$229.04
07/19/2024,$230.74,1075022,$235.05,$235.05,$229.45
07/18/2024,$231.74,1063279,$231.50,$235.55,$231.49
07/17/2024,$234.05,1228449,$230.55,$235.30,$229.765
07/16/2024,$230.70,1147619,$226.71,$230.97,$225.40
07/15/2024,$226.08,1260895,$229.00,$230.77,$225.81
07/12/2024,$229.11,2220555,$225.50,$230.34,$224.63
07/11/2024,$224.94,1849435,$224.58,$227.46,$224.17
07/10/2024,$223.87,2109934,$221.41,$226.62,$218.75
07/09/2024,$221.47,1603051,$225.24,$225.7375,$220.65
07/08/2024,$225.54,826412,$227.76,$228.59,$225.1907
07/05/2024,$227.76,617155,$228.68,$228.68,$225.97
07/03/2024,$228.84,509817,$228.00,$229.32,$227.50
07/02/2024,$229.24,662985,$229.06,$231.14,$227.69
07/01/2024,$229.27,1057877,$233.76,$237.705,$229.12
06/28/2024,$233.71,2404003,$232.27,$234.84,$230.51
06/27/2024,$230.94,1471771,$232.28,$232.98,$229.07
06/26/2024,$231.62,1695358,$234.055,$234.61,$230.69
06/25/2024,$233.87,1028885,$235.28,$235.51,$233.18
06/24/2024,$235.91,895747,$238.73,$239.56,$235.33
06/21/2024,$238.29,2014700,$239.58,$239.58,$237.27
06/20/2024,$238.40,1655716,$233.15,$239.26,$232.08
06/18/2024,$233.73,1035778,$232.41,$234.7597,$231.94
06/17/2024,$232.75,1288582,$232.63,$234.16,$230.50
06/14/2024,$233.73,1053942,$232.60,$233.97,$230.75
06/13/2024,$231.97,868971,$233.00,$233.67,$229.33
