Date,Close/Last,Volume,Open,High,Low
09/06/2024,$19.13,4615905,$19.47,$19.54,$19.05
09/05/2024,$19.49,4535561,$19.90,$20.03,$19.30
09/04/2024,$19.84,5755480,$20.10,$20.19,$19.67
09/03/2024,$20.18,6186383,$20.10,$20.55,$20.10
08/30/2024,$20.24,5400759,$20.16,$20.31,$19.88
08/29/2024,$19.97,5736443,$19.62,$19.98,$19.50
08/28/2024,$19.61,8386494,$20.33,$20.34,$19.54
08/27/2024,$20.34,5909085,$20.69,$20.72,$20.33
08/26/2024,$20.74,5758006,$21.03,$21.14,$20.52
08/23/2024,$20.94,6321305,$20.75,$21.265,$20.69
08/22/2024,$20.68,8884804,$20.01,$20.71,$19.985
08/21/2024,$19.78,24062960,$22.65,$22.65,$19.605
08/20/2024,$22.62,3516947,$22.65,$22.795,$22.56
08/19/2024,$22.73,2336686,$22.79,$22.84,$22.585
08/16/2024,$22.76,3197662,$22.39,$22.76,$22.38
08/15/2024,$22.43,2391934,$22.31,$22.56,$22.29
08/14/2024,$22.02,2210974,$22.00,$22.08,$21.82
08/13/2024,$21.87,2680805,$21.87,$21.955,$21.65
08/12/2024,$21.51,2425331,$22.20,$22.23,$21.46
08/09/2024,$22.16,2979458,$21.94,$22.189,$21.74
08/08/2024,$21.94,2294067,$21.60,$22.02,$21.60
08/07/2024,$21.44,4072344,$22.15,$22.26,$21.41
08/06/2024,$21.79,3857091,$21.45,$22.10,$21.36
08/05/2024,$21.46,6351832,$21.22,$21.58,$20.92
08/02/2024,$21.88,4108164,$21.92,$22.03,$21.455
08/01/2024,$22.24,4566323,$22.98,$23.15,$22.22
07/31/2024,$22.87,8542713,$22.84,$23.15,$22.565
07/30/2024,$22.81,4568338,$22.71,$22.92,$22.485
07/29/2024,$22.58,4257076,$22.99,$23.08,$22.33
07/26/2024,$23.08,6473094,$24.00,$24.0991,$22.97
07/25/2024,$23.64,4379213,$22.92,$23.95,$22.81
07/24/2024,$22.88,3350632,$23.29,$23.385,$22.84
07/23/2024,$23.21,3088645,$23.42,$23.73,$23.20
07/22/2024,$23.54,5083378,$23.54,$23.61,$23.12
07/19/2024,$23.49,2989830,$23.53,$23.675,$23.37
07/18/2024,$23.60,2748751,$23.64,$24.365,$23.57
07/17/2024,$23.82,3149487,$23.87,$24.30,$23.755
07/16/2024,$23.97,2641919,$23.27,$24.01,$23.22
07/15/2024,$23.23,2585047,$23.32,$23.355,$23.15
07/12/2024,$23.20,3330597,$23.30,$23.36,$22.995
