Date,Close/Last,Volume,Open,High,Low
08/30/2024,$337.32,205414,$334.90,$338.00,$332.28
08/29/2024,$333.71,173008,$330.41,$334.86,$327.79
08/28/2024,$328.75,244627,$318.25,$331.11,$318.25
08/27/2024,$319.37,171321,$315.00,$320.58,$311.11
08/26/2024,$313.42,118067,$315.27,$316.93,$312.50
08/23/2024,$314.94,184108,$311.26,$318.785,$309.21
08/22/2024,$310.03,176721,$318.04,$318.04,$309.115
08/21/2024,$316.23,161075,$319.98,$320.535,$316.07
08/20/2024,$318.69,293374,$327.89,$327.89,$318.69
08/19/2024,$326.33,176273,$325.70,$327.65,$321.49
08/16/2024,$325.58,372852,$325.59,$328.10,$321.54
08/15/2024,$325.62,177952,$322.24,$328.66,$319.10
08/14/2024,$320.45,123903,$325.57,$325.94,$318.70
08/13/2024,$326.00,166195,$319.79,$328.48,$319.45
08/12/2024,$318.41,229502,$325.06,$325.06,$313.16
08/09/2024,$325.29,172218,$327.68,$328.44,$322.25
08/08/2024,$328.36,240793,$318.60,$330.88,$318.095
08/07/2024,$318.69,163822,$329.39,$329.80,$318.305
08/06/2024,$326.93,217197,$329.46,$340.075,$326.92
08/05/2024,$328.68,263689,$325.77,$336.60,$316.60
08/02/2024,$335.93,448637,$336.54,$353.09,$324.80
08/01/2024,$341.25,294578,$339.14,$343.00,$332.98
07/31/2024,$338.36,325818,$338.85,$344.00,$333.2801
07/30/2024,$340.23,242869,$327.79,$342.17,$327.74
07/29/2024,$325.63,166550,$319.80,$327.05,$316.43
07/26/2024,$319.42,243348,$316.10,$323.56,$313.955
07/25/2024,$315.17,214763,$309.39,$324.38,$309.39
07/24/2024,$309.91,177216,$306.19,$313.0599,$306.19
07/23/2024,$305.22,210330,$307.25,$311.72,$304.99
07/22/2024,$301.92,235083,$297.82,$303.06,$291.66
07/19/2024,$296.82,298868,$299.01,$299.37,$291.48
07/18/2024,$300.27,341724,$317.16,$323.17,$299.94
07/17/2024,$318.64,217667,$313.07,$320.225,$312.43
07/16/2024,$314.52,185493,$304.47,$314.98,$303.37
07/15/2024,$302.11,231378,$304.63,$307.82,$298.61
07/12/2024,$304.15,301850,$297.57,$304.44,$297.54
07/11/2024,$295.52,246549,$284.06,$295.69,$283.82
07/10/2024,$280.35,225782,$274.68,$281.94,$272.585
07/09/2024,$274.88,266393,$275.36,$276.105,$271.88
07/08/2024,$274.94,195612,$279.45,$279.68,$273.86
07/05/2024,$276.94,193966,$271.38,$277.63,$270.59
07/03/2024,$270.07,150135,$268.87,$271.07,$267.00
07/02/2024,$267.55,307628,$263.50,$270.34,$262.12
07/01/2024,$263.97,300985,$273.68,$276.228,$263.39
06/28/2024,$273.11,428327,$273.11,$275.525,$269.205
06/27/2024,$271.99,188045,$277.90,$278.185,$271.53
06/26/2024,$278.03,217160,$279.99,$281.30,$276.915
06/25/2024,$280.25,306566,$282.31,$284.39,$279.745
06/24/2024,$283.88,310832,$289.15,$289.5699,$281.05
06/21/2024,$287.98,1318032,$287.89,$290.0045,$282.975
06/20/2024,$285.62,359422,$284.00,$287.35,$280.00
06/18/2024,$288.99,398628,$295.95,$296.70,$287.60
06/17/2024,$295.77,383311,$286.89,$299.10,$286.47
06/14/2024,$282.26,203946,$281.40,$283.41,$280.545
06/13/2024,$281.80,297453,$281.28,$283.94,$280.49
06/12/2024,$283.29,162252,$284.90,$287.10,$280.47
06/11/2024,$281.17,191948,$282.78,$283.60,$281.12
06/10/2024,$284.45,223193,$284.71,$288.94,$283.44
06/07/2024,$287.02,210323,$287.71,$288.82,$284.735
06/06/2024,$289.00,232389,$288.94,$294.74,$286.56
06/05/2024,$289.10,154158,$289.13,$289.855,$284.25
06/04/2024,$288.42,178678,$288.74,$289.27,$284.5518
06/03/2024,$288.96,232159,$286.96,$292.68,$284.54
05/31/2024,$286.86,323901,$283.07,$287.74,$282.91
05/30/2024,$282.01,240940,$282.63,$285.43,$281.17
05/29/2024,$285.00,193588,$283.19,$285.95,$280.99
05/28/2024,$286.09,283707,$287.00,$289.5573,$284.61
05/24/2024,$287.21,141582,$292.05,$292.18,$286.16
05/23/2024,$290.25,241991,$292.57,$293.23,$287.97
05/22/2024,$291.84,166240,$288.92,$295.59,$288.92
05/21/2024,$289.45,175907,$291.21,$292.86,$288.71
05/20/2024,$291.88,195188,$293.00,$294.99,$290.00
05/17/2024,$293.85,189761,$296.00,$296.00,$290.855
05/16/2024,$295.73,224249,$299.79,$302.71,$295.17
05/15/2024,$300.97,234834,$298.04,$302.69,$295.00
05/14/2024,$294.01,197240,$288.17,$294.85,$288.00
05/13/2024,$285.44,186563,$281.29,$286.95,$279.3001
05/10/2024,$282.00,239380,$279.06,$286.01,$277.785
05/09/2024,$277.31,200723,$268.83,$277.44,$266.52
05/08/2024,$268.26,270417,$272.52,$279.15,$267.685
05/07/2024,$279.91,201719,$281.47,$283.01,$278.88
05/06/2024,$281.97,207587,$280.07,$284.88,$280.00
05/03/2024,$279.83,196160,$280.75,$283.4962,$279.57
