Date,Close/Last,Volume,Open,High,Low
08/30/2024,$68.22,4351992,$67.34,$68.37,$67.1187
08/29/2024,$67.25,2485597,$67.26,$67.66,$66.77
08/28/2024,$67.00,3393692,$66.965,$67.74,$66.71
08/27/2024,$67.21,2541926,$66.99,$67.6199,$66.91
08/26/2024,$67.00,2440636,$66.60,$67.32,$66.45
08/23/2024,$66.40,2747238,$65.79,$66.525,$65.50
08/22/2024,$65.49,3126748,$65.40,$65.97,$65.24
08/21/2024,$65.24,3026466,$65.46,$65.58,$65.01
08/20/2024,$65.34,2478615,$65.76,$65.76,$65.11
08/19/2024,$65.74,2309815,$65.64,$65.928,$65.35
08/16/2024,$65.61,7017893,$65.05,$65.73,$65.03
08/15/2024,$64.98,3811144,$64.77,$65.26,$64.50
08/14/2024,$64.11,2791098,$63.61,$64.38,$63.50
08/13/2024,$63.55,2355701,$63.60,$63.625,$62.83
08/12/2024,$63.27,3803727,$63.87,$64.26,$63.12
08/09/2024,$63.78,3460649,$63.37,$63.81,$63.23
08/08/2024,$63.41,3698643,$62.13,$63.70,$61.88
08/07/2024,$61.70,3704821,$63.12,$63.525,$61.55
08/06/2024,$62.19,3628809,$61.45,$62.965,$61.25
08/05/2024,$61.42,5604846,$61.60,$62.24,$60.93
08/02/2024,$63.12,6162182,$63.85,$64.66,$62.64
08/01/2024,$64.64,4958588,$65.24,$65.48,$64.125
07/31/2024,$65.07,4972568,$65.55,$65.61,$64.78
07/30/2024,$65.24,3208732,$65.01,$65.63,$64.855
07/29/2024,$64.59,3089674,$65.25,$65.43,$64.33
07/26/2024,$65.35,3898661,$65.06,$65.86,$64.93
07/25/2024,$64.81,4124750,$64.08,$65.33,$63.93
07/24/2024,$63.90,4727935,$63.78,$64.63,$63.57
07/23/2024,$63.63,6740943,$63.30,$64.92,$63.29
07/22/2024,$63.26,4426921,$62.36,$63.29,$62.08
07/19/2024,$62.69,3569393,$63.78,$63.78,$62.66
07/18/2024,$63.48,6165433,$64.00,$64.40,$62.75
07/17/2024,$64.09,7343052,$65.22,$65.655,$63.91
07/16/2024,$65.02,5198256,$65.55,$65.90,$64.785
07/15/2024,$65.71,6332588,$64.65,$65.905,$64.65
07/12/2024,$64.69,9394513,$63.13,$64.925,$62.63
07/11/2024,$61.47,4173039,$60.72,$61.55,$60.47
07/10/2024,$60.70,3097180,$60.20,$60.74,$60.02
07/09/2024,$60.21,3871085,$59.62,$60.635,$59.41
07/08/2024,$59.54,3977598,$60.04,$60.18,$59.19
07/05/2024,$59.88,2225053,$60.39,$60.39,$59.655
07/03/2024,$60.47,1528637,$60.74,$60.9058,$60.29
07/02/2024,$60.50,3034901,$59.99,$60.53,$59.89
07/01/2024,$60.11,2637351,$60.49,$60.56,$59.775
06/28/2024,$59.89,5915198,$59.77,$60.07,$59.46
06/27/2024,$59.54,3901098,$59.57,$59.71,$59.00
06/26/2024,$58.67,4273982,$58.48,$58.81,$58.185
06/25/2024,$58.79,2067868,$59.09,$59.25,$58.61
06/24/2024,$59.48,2929486,$58.99,$59.83,$58.88
06/21/2024,$58.82,12367200,$58.83,$58.95,$58.41
06/20/2024,$58.84,2781311,$58.54,$59.13,$58.505
06/18/2024,$58.68,3376976,$58.16,$58.70,$57.79
06/17/2024,$58.17,3062024,$57.82,$58.215,$57.18
06/14/2024,$58.02,2329752,$58.01,$58.40,$57.745
06/13/2024,$58.50,2634361,$58.38,$58.585,$57.71
06/12/2024,$58.61,3105422,$59.58,$59.72,$58.345
06/11/2024,$58.76,3446094,$60.37,$60.82,$58.60
06/10/2024,$60.74,3844263,$59.92,$60.865,$59.80
06/07/2024,$60.31,3317200,$59.63,$60.67,$59.58
06/06/2024,$59.91,3822320,$58.88,$59.93,$58.44
06/05/2024,$58.89,2282894,$59.05,$59.15,$58.52
06/04/2024,$58.87,2646123,$59.10,$59.39,$58.40
06/03/2024,$59.57,2427211,$59.59,$59.64,$58.77
05/31/2024,$59.61,5168619,$58.50,$59.69,$58.38
05/30/2024,$58.42,4526440,$57.94,$58.825,$57.80
05/29/2024,$57.76,2873535,$57.65,$57.98,$57.26
05/28/2024,$58.24,2402310,$58.98,$59.15,$58.14
05/24/2024,$59.09,2098327,$58.57,$59.135,$58.505
05/23/2024,$58.33,2554927,$58.99,$58.99,$58.105
05/22/2024,$58.97,3219925,$58.86,$59.17,$58.475
05/21/2024,$59.08,2557909,$58.92,$59.17,$58.685
05/20/2024,$58.95,1928008,$59.52,$59.70,$58.77
05/17/2024,$59.50,2903163,$59.06,$59.55,$58.69
05/16/2024,$58.77,2604214,$58.80,$59.215,$58.75
05/15/2024,$58.80,2710847,$58.63,$58.94,$58.40
05/14/2024,$58.35,2879104,$57.90,$58.45,$57.81
05/13/2024,$57.85,2144250,$58.61,$58.75,$57.84
05/10/2024,$58.44,3255507,$58.54,$58.74,$58.33
05/09/2024,$58.35,3793636,$57.32,$58.52,$57.32
05/08/2024,$57.51,2939841,$57.23,$57.75,$57.12
05/07/2024,$57.40,2820108,$57.42,$57.9727,$57.355
05/06/2024,$57.48,2402975,$57.50,$57.60,$56.98
05/03/2024,$57.00,2214001,$56.91,$57.21,$56.48
05/02/2024,$56.60,3187564,$56.92,$57.17,$56.31
05/01/2024,$56.46,4053956,$56.53,$56.93,$56.08
04/30/2024,$56.49,3530011,$57.19,$57.30,$56.455
04/29/2024,$57.33,2638539,$57.39,$57.82,$57.075
04/26/2024,$57.32,2058025,$57.25,$57.70,$57.078
04/25/2024,$57.18,3254122,$57.30,$57.69,$56.755
04/24/2024,$57.95,3226049,$57.03,$58.01,$56.9882
04/23/2024,$57.44,2861357,$57.14,$57.835,$57.09
04/22/2024,$57.16,2936327,$56.72,$57.47,$56.315
04/19/2024,$56.29,4420732,$55.42,$56.41,$55.42
04/18/2024,$55.25,3473895,$54.88,$55.535,$54.755
04/17/2024,$54.46,4513903,$54.14,$54.98,$54.085
04/16/2024,$54.00,8232834,$55.37,$55.6941,$52.64
04/15/2024,$55.09,6132678,$55.81,$56.07,$54.57
04/12/2024,$55.05,4933875,$55.21,$55.98,$54.655
04/11/2024,$55.37,3396491,$55.59,$55.72,$54.675
04/10/2024,$55.68,3432000,$56.50,$56.725,$55.52
04/09/2024,$57.20,2759822,$57.24,$57.42,$56.3647
04/08/2024,$57.02,3564822,$56.97,$57.325,$56.69
04/05/2024,$56.74,3671135,$56.64,$56.96,$56.07
04/04/2024,$56.77,2465297,$58.00,$58.275,$56.69
04/03/2024,$57.66,3289625,$57.00,$57.72,$56.995
04/02/2024,$57.05,2766596,$56.98,$57.34,$56.85
04/01/2024,$56.96,2450010,$57.46,$57.515,$56.755
03/28/2024,$57.62,3116295,$57.11,$57.885,$57.05
03/27/2024,$56.93,3021668,$56.90,$57.23,$56.455
03/26/2024,$56.61,2607577,$56.60,$56.99,$56.47
03/25/2024,$56.54,2862886,$56.56,$57.08,$56.415
03/22/2024,$56.47,2769135,$57.29,$57.45,$56.405
03/21/2024,$57.28,3447324,$56.49,$57.345,$56.39
03/20/2024,$56.15,2352716,$55.14,$56.22,$54.95
03/19/2024,$55.24,3589227,$54.99,$55.29,$54.865
03/18/2024,$54.94,3178748,$54.57,$54.95,$54.21
03/15/2024,$54.41,8966963,$53.92,$54.65,$53.87
03/14/2024,$54.45,5194446,$55.05,$55.285,$54.22
03/13/2024,$55.28,4519568,$55.24,$55.57,$55.04
03/12/2024,$55.12,3223580,$55.75,$55.82,$54.95
03/11/2024,$55.61,3013054,$55.04,$55.885,$54.88
03/08/2024,$55.47,3290139,$55.78,$56.16,$55.425
03/07/2024,$55.73,2745753,$55.88,$56.11,$55.495
03/06/2024,$55.78,4466920,$55.82,$55.94,$55.00
03/05/2024,$55.89,3945398,$55.40,$56.36,$55.34
03/04/2024,$55.49,3890343,$55.16,$56.21,$55.16
03/01/2024,$55.49,2833518,$55.94,$56.20,$55.27
02/29/2024,$56.09,7158726,$55.89,$56.25,$55.625
02/28/2024,$55.64,3186495,$55.54,$56.105,$55.375
02/27/2024,$55.55,2530332,$55.30,$55.59,$55.17
02/26/2024,$55.28,3677776,$55.33,$56.18,$55.19
02/23/2024,$55.64,3745167,$55.60,$56.06,$55.33
02/22/2024,$55.36,3041411,$55.31,$55.63,$55.04
02/21/2024,$55.12,3154302,$54.97,$55.30,$54.63
02/20/2024,$54.87,4865826,$54.04,$55.19,$54.03
02/16/2024,$55.15,3057636,$55.21,$55.69,$54.775
02/15/2024,$55.29,3641505,$54.79,$55.415,$54.72
02/14/2024,$54.48,3624510,$54.39,$54.6147,$54.185
02/13/2024,$53.89,3888798,$55.01,$55.14,$53.40
02/12/2024,$55.62,4404297,$55.12,$56.05,$55.035
02/09/2024,$55.22,2625835,$55.01,$55.36,$54.83
02/08/2024,$55.11,2901344,$55.07,$55.40,$54.67
02/07/2024,$55.27,3391026,$55.13,$55.45,$54.66
02/06/2024,$55.06,3844197,$54.90,$55.325,$54.885
02/05/2024,$55.01,4354413,$55.27,$55.37,$54.78
02/02/2024,$55.63,4148492,$55.49,$56.13,$55.43
02/01/2024,$55.50,3594584,$55.50,$55.83,$54.68
