Date,Close/Last,Volume,Open,High,Low
09/06/2024,$866.92,748945,$878.14,$884.76,$861.11
09/05/2024,$876.64,426067,$889.70,$889.70,$873.14
09/04/2024,$886.49,356689,$880.33,$890.70,$879.175
09/03/2024,$886.43,433546,$899.07,$900.00,$881.01
08/30/2024,$901.81,478238,$898.29,$903.46,$889.96
08/29/2024,$894.87,417957,$888.66,$898.66,$884.78
08/28/2024,$888.66,441255,$886.44,$895.44,$883.71
08/27/2024,$886.13,300431,$883.50,$888.00,$878.70
08/26/2024,$883.14,413854,$882.76,$888.9999,$878.78
08/23/2024,$882.84,416346,$869.50,$884.66,$867.027
08/22/2024,$865.24,327417,$863.09,$868.74,$858.98
08/21/2024,$863.09,453730,$861.88,$864.92,$853.76
08/20/2024,$860.97,348724,$869.45,$871.99,$859.7314
08/19/2024,$870.21,456067,$873.59,$877.0199,$866.31
08/16/2024,$872.49,395236,$872.25,$874.87,$868.70
08/15/2024,$872.06,520789,$864.52,$875.83,$863.03
08/14/2024,$857.52,325149,$856.03,$859.62,$851.375
08/13/2024,$854.59,385850,$844.48,$856.21,$843.70
08/12/2024,$838.27,510339,$854.14,$857.00,$835.45
08/09/2024,$856.21,290379,$853.42,$862.21,$849.8045
08/08/2024,$854.83,381506,$846.20,$855.79,$843.6194
08/07/2024,$839.84,750874,$852.26,$856.40,$838.47
08/06/2024,$840.96,525216,$834.52,$852.23,$829.50
08/05/2024,$830.76,1328900,$824.69,$848.92,$813.18
08/02/2024,$846.02,479910,$855.00,$858.20,$839.29
08/01/2024,$865.35,586568,$880.00,$884.67,$860.32
07/31/2024,$876.50,656942,$875.32,$885.10,$871.90
07/30/2024,$872.59,539579,$868.13,$873.8929,$865.1772
07/29/2024,$862.15,612694,$858.00,$865.17,$852.37
07/26/2024,$856.20,555814,$841.97,$857.65,$841.10
07/25/2024,$836.54,587524,$824.96,$848.58,$822.43
07/24/2024,$827.65,660358,$844.08,$846.2433,$826.11
07/23/2024,$844.69,701557,$841.81,$850.99,$839.02
07/22/2024,$843.24,573228,$836.55,$845.50,$835.04
07/19/2024,$830.70,1036152,$833.67,$833.67,$825.055
07/18/2024,$829.00,718023,$835.17,$851.876,$828.79
07/17/2024,$841.09,692007,$846.31,$848.6228,$835.89
07/16/2024,$843.94,744760,$824.50,$845.53,$820.9502
07/15/2024,$822.96,888305,$829.98,$836.21,$818.44
07/12/2024,$827.97,677070,$829.39,$837.54,$825.40
07/11/2024,$824.87,634133,$817.97,$825.93,$815.805
07/10/2024,$812.00,519073,$801.76,$812.29,$801.76
07/09/2024,$802.28,629528,$793.51,$803.39,$791.52
07/08/2024,$790.19,529582,$790.60,$793.28,$785.76
07/05/2024,$790.60,341478,$791.14,$791.18,$782.90
07/03/2024,$789.12,250799,$789.13,$790.63,$786.00
07/02/2024,$789.13,367332,$782.67,$789.66,$782.67
07/01/2024,$782.27,543517,$790.83,$794.10,$777.63
06/28/2024,$787.32,769459,$784.49,$792.325,$781.20
06/27/2024,$781.13,428580,$784.65,$787.05,$780.34
