Date,Close/Last,Volume,Open,High,Low
09/06/2024,$48.70,11146390,$49.79,$50.03,$48.53
09/05/2024,$49.80,9947952,$50.08,$50.24,$49.232
09/04/2024,$49.96,7036202,$50.72,$50.75,$49.545
09/03/2024,$50.52,10942470,$49.71,$50.74,$49.6539
08/30/2024,$49.95,9594794,$49.72,$50.24,$49.68
08/29/2024,$49.72,7536041,$49.27,$49.765,$48.76
08/28/2024,$49.06,8399673,$48.115,$49.92,$48.03
08/27/2024,$48.12,6918500,$48.36,$48.79,$47.81
08/26/2024,$48.24,4949590,$48.17,$48.485,$47.98
08/23/2024,$48.11,8328407,$47.67,$48.24,$47.38
08/22/2024,$47.62,9946851,$48.57,$48.6118,$46.885
08/21/2024,$48.44,7780459,$48.78,$49.17,$48.16
08/20/2024,$48.98,8780289,$49.27,$49.61,$48.93
08/19/2024,$49.30,9067438,$49.38,$49.99,$49.195
08/16/2024,$49.36,14161770,$49.11,$50.05,$49.01
08/15/2024,$49.11,13140570,$49.30,$49.53,$48.47
08/14/2024,$48.41,10667230,$49.06,$49.285,$48.11
08/13/2024,$49.06,19858180,$47.48,$49.1585,$47.48
08/12/2024,$47.06,11942000,$46.77,$47.465,$46.48
08/09/2024,$46.72,14083500,$46.84,$47.68,$46.50
08/08/2024,$46.85,15216930,$46.57,$47.15,$46.22
08/07/2024,$46.50,16891930,$47.43,$48.49,$46.40
08/06/2024,$47.31,15663030,$47.89,$48.07,$47.115
08/05/2024,$47.59,17894960,$47.88,$48.7399,$47.21
08/02/2024,$48.77,15601500,$49.12,$49.54,$48.31
08/01/2024,$48.17,12064440,$47.80,$48.506,$47.22
07/31/2024,$47.56,17727570,$48.75,$49.11,$47.365
07/30/2024,$49.05,19296530,$49.06,$49.31,$47.85
07/29/2024,$48.98,22280190,$49.92,$51.19,$48.97
07/26/2024,$50.45,36636430,$48.27,$50.61,$47.73
07/25/2024,$45.27,22050110,$44.79,$45.97,$44.49
07/24/2024,$44.66,20392820,$43.25,$44.78,$43.25
