Date,Close/Last,Volume,Open,High,Low
09/06/2024,$59.09,14093990,$60.70,$61.0797,$58.80
09/05/2024,$60.63,10243940,$61.605,$61.79,$60.335
09/04/2024,$60.96,11436770,$61.57,$62.07,$60.405
09/03/2024,$61.46,11055210,$62.04,$62.3895,$60.965
08/30/2024,$62.64,10806580,$61.95,$62.70,$61.66
08/29/2024,$61.88,8367983,$62.01,$62.22,$61.165
08/28/2024,$61.58,7692918,$61.35,$61.99,$61.145
08/27/2024,$61.68,7294768,$61.905,$62.18,$61.46
08/26/2024,$61.79,9384244,$62.36,$62.595,$61.57
08/23/2024,$62.14,13299720,$60.87,$62.46,$60.74
08/22/2024,$60.42,7848536,$60.75,$60.75,$60.11
08/21/2024,$60.53,14414890,$61.40,$61.45,$59.88
08/20/2024,$61.31,8661273,$61.59,$61.70,$61.09
08/19/2024,$62.03,8882471,$61.50,$62.05,$61.3501
08/16/2024,$61.40,9939926,$60.33,$61.52,$60.33
08/15/2024,$60.52,14159030,$60.34,$61.008,$60.10
08/14/2024,$59.28,12419530,$58.37,$59.525,$58.28
08/13/2024,$58.15,7478504,$58.23,$58.29,$57.77
08/12/2024,$57.84,15123550,$58.30,$58.68,$57.73
08/09/2024,$57.84,11421030,$58.03,$58.46,$57.45
08/08/2024,$58.00,17933310,$56.845,$58.36,$56.81
08/07/2024,$56.11,19221180,$58.17,$58.45,$55.87
08/06/2024,$56.56,16643140,$56.39,$57.655,$56.09
08/05/2024,$56.21,27977300,$54.08,$56.90,$53.51
08/02/2024,$58.76,30289350,$59.67,$60.60,$58.40
08/01/2024,$63.28,18052730,$65.08,$65.22,$61.95
07/31/2024,$64.88,15046520,$65.91,$66.03,$64.83
07/30/2024,$65.87,13554310,$65.01,$66.23,$65.01
07/29/2024,$64.30,7901852,$65.30,$65.34,$64.14
07/26/2024,$65.18,9661252,$64.55,$65.65,$64.44
07/25/2024,$64.37,12819730,$63.81,$65.65,$63.34
07/24/2024,$63.66,11591130,$64.40,$64.67,$63.56
07/23/2024,$64.66,6961348,$64.51,$65.04,$64.28
07/22/2024,$64.50,9925126,$65.14,$65.65,$64.15
07/19/2024,$65.14,8583112,$64.93,$65.98,$64.55
07/18/2024,$64.89,15796200,$67.55,$67.7499,$64.84
07/17/2024,$67.61,17215270,$66.84,$67.81,$66.62
07/16/2024,$67.27,21170240,$65.00,$67.52,$64.70
07/15/2024,$65.14,16656550,$64.675,$65.55,$63.88
07/12/2024,$64.52,30125390,$66.61,$66.69,$63.35
07/11/2024,$65.71,20122300,$66.185,$66.50,$65.305
07/10/2024,$66.98,9817096,$66.26,$66.99,$66.22
07/09/2024,$66.55,16925030,$64.80,$66.76,$64.74
07/08/2024,$64.74,10348970,$64.30,$64.87,$64.22
07/05/2024,$64.03,7226209,$64.50,$64.56,$63.75
07/03/2024,$64.46,6574081,$64.68,$65.22,$64.405
07/02/2024,$64.68,10965600,$63.29,$64.71,$63.28
07/01/2024,$63.43,15334400,$63.65,$64.30,$62.985
06/28/2024,$63.46,20053210,$62.025,$63.58,$61.81
06/27/2024,$61.55,11285110,$61.50,$61.93,$60.959
06/26/2024,$61.25,12409270,$61.23,$61.41,$60.555
06/25/2024,$61.58,11729090,$61.20,$61.83,$60.86
06/24/2024,$61.34,13290450,$60.10,$61.78,$59.84
06/21/2024,$59.99,18976900,$60.20,$60.255,$59.34
06/20/2024,$60.62,9519180,$60.42,$61.02,$60.35
06/18/2024,$60.78,15768050,$60.37,$61.63,$60.09
06/17/2024,$60.06,15527480,$59.22,$60.53,$58.85
06/14/2024,$59.33,10511050,$59.44,$59.8299,$58.655
06/13/2024,$60.23,9358195,$59.75,$60.37,$59.15
06/12/2024,$60.01,15398500,$60.91,$61.21,$59.90
06/11/2024,$59.14,16966760,$60.77,$60.79,$58.90
06/10/2024,$61.43,9302388,$61.25,$61.66,$60.74
06/07/2024,$61.78,8260840,$61.60,$62.585,$61.58
06/06/2024,$61.94,8537891,$61.80,$62.045,$61.25
06/05/2024,$61.77,8780723,$61.28,$61.86,$60.93
06/04/2024,$61.03,10424200,$61.02,$62.029,$60.76
06/03/2024,$61.92,11373920,$62.92,$63.00,$61.32
05/31/2024,$62.31,17351600,$62.00,$62.39,$61.44
05/30/2024,$61.93,10072780,$62.10,$62.48,$61.61
05/29/2024,$62.01,7224238,$61.56,$62.18,$61.20
05/28/2024,$62.45,8404372,$63.23,$63.57,$62.35
05/24/2024,$63.58,9424967,$63.33,$63.965,$63.27
05/23/2024,$63.02,11535000,$63.80,$64.03,$62.50
