Date,Close/Last,Volume,Open,High,Low
09/06/2024,$287.50,1722890,$286.90,$288.8969,$285.59
09/05/2024,$287.33,1825200,$292.63,$293.125,$285.28
09/04/2024,$290.94,2234092,$288.57,$291.638,$287.70
09/03/2024,$286.70,1843076,$285.08,$288.51,$284.05
08/30/2024,$284.18,2343571,$282.15,$284.495,$281.07
08/29/2024,$281.98,1276540,$279.12,$282.25,$277.24
08/28/2024,$278.71,1089208,$277.52,$280.235,$276.8788
08/27/2024,$277.21,796143,$276.66,$278.265,$276.12
08/26/2024,$275.63,692960,$276.45,$279.24,$274.85
08/23/2024,$276.10,1325683,$273.33,$276.66,$272.54
08/22/2024,$272.85,933770,$272.09,$273.08,$270.57
08/21/2024,$272.07,881954,$273.36,$273.97,$270.245
08/20/2024,$272.03,703613,$273.67,$274.44,$271.685
08/19/2024,$274.03,931229,$273.95,$275.85,$272.9725
08/16/2024,$273.41,1077087,$273.11,$274.10,$271.705
08/15/2024,$272.64,1300888,$274.25,$276.12,$272.095
08/14/2024,$272.37,1241686,$268.42,$272.54,$268.20
08/13/2024,$267.82,1345332,$268.99,$269.92,$266.51
08/12/2024,$268.00,958886,$271.00,$271.71,$267.42
08/09/2024,$270.26,958866,$270.65,$270.65,$267.925
08/08/2024,$269.22,953966,$265.45,$270.05,$265.45
08/07/2024,$265.71,1863237,$266.67,$269.8518,$265.39
08/06/2024,$265.18,2104339,$268.79,$270.51,$264.845
08/05/2024,$269.32,4310763,$270.32,$271.11,$262.36
08/02/2024,$271.32,1279138,$270.23,$276.31,$267.9552
08/01/2024,$271.95,1079417,$277.91,$277.91,$270.12
07/31/2024,$275.66,1629350,$275.30,$277.27,$274.09
07/30/2024,$276.66,1741424,$272.67,$277.91,$272.465
07/29/2024,$271.70,1017460,$271.36,$272.335,$269.3601
07/26/2024,$270.06,1653253,$262.90,$270.63,$262.55
07/25/2024,$261.61,1422459,$258.33,$265.40,$258.33
07/24/2024,$260.04,1940348,$267.86,$267.89,$258.68
07/23/2024,$263.25,1307831,$262.53,$263.29,$261.18
07/22/2024,$262.01,1307341,$259.85,$262.30,$259.185
07/19/2024,$259.88,2759519,$268.53,$268.53,$258.5159
07/18/2024,$267.67,2055185,$266.54,$271.415,$265.79
07/17/2024,$267.47,1976009,$262.00,$267.60,$262.00
07/16/2024,$261.65,1235873,$260.55,$263.37,$260.00
07/15/2024,$260.20,943797,$259.27,$261.61,$259.01
07/12/2024,$258.34,1303844,$258.59,$259.53,$257.33
07/11/2024,$257.99,1520662,$256.32,$258.2322,$255.25
07/10/2024,$256.32,1037329,$254.00,$256.51,$253.4333
07/09/2024,$253.34,1072325,$251.84,$255.66,$251.42
07/08/2024,$252.99,1033633,$253.79,$255.68,$252.95
07/05/2024,$252.51,1235632,$254.08,$254.83,$251.67
07/03/2024,$254.08,735112,$254.85,$256.14,$253.40
07/02/2024,$255.57,1111683,$252.61,$255.78,$252.44
07/01/2024,$254.82,1205158,$256.93,$258.35,$254.01
06/28/2024,$255.08,2794049,$257.80,$259.47,$253.71
06/27/2024,$262.03,942032,$260.00,$262.295,$258.91
06/26/2024,$260.01,1314702,$262.17,$262.92,$258.40
06/25/2024,$263.29,898318,$265.92,$266.84,$262.6501
06/24/2024,$266.12,989045,$265.18,$267.67,$264.00
06/21/2024,$264.60,2452670,$266.82,$267.05,$262.66
06/20/2024,$266.48,1386717,$263.26,$268.035,$263.03
06/18/2024,$263.03,1445357,$260.91,$264.1754,$260.47
06/17/2024,$260.72,1269062,$259.87,$261.38,$259.3741
06/14/2024,$259.46,1351637,$260.35,$262.38,$259.14
06/13/2024,$263.21,1538351,$262.76,$263.21,$260.26
06/12/2024,$263.04,1099397,$264.00,$264.675,$260.81
06/11/2024,$263.92,1615861,$267.61,$268.00,$263.54
06/10/2024,$267.69,2052766,$267.46,$268.4884,$265.16
06/07/2024,$267.22,1523806,$265.54,$269.75,$265.51
06/06/2024,$263.75,1106763,$264.80,$266.90,$262.68
06/05/2024,$264.14,856608,$265.80,$266.17,$262.60
06/04/2024,$264.81,1385771,$265.15,$266.12,$263.27
06/03/2024,$266.64,1108108,$270.00,$270.19,$265.0448
05/31/2024,$270.82,3170591,$265.72,$271.28,$265.39
05/30/2024,$265.15,1349559,$261.00,$265.89,$261.00
05/29/2024,$261.53,1330062,$262.87,$263.6035,$261.27
05/28/2024,$262.64,1300123,$265.01,$265.01,$262.39
05/24/2024,$264.76,862636,$263.78,$265.45,$263.53
05/23/2024,$263.08,1404037,$268.75,$268.75,$262.52
05/22/2024,$267.44,1687282,$265.10,$268.95,$265.02
05/21/2024,$265.00,1413068,$264.96,$267.29,$264.615
05/20/2024,$264.14,2071189,$274.74,$275.37,$264.03
05/17/2024,$274.28,4303251,$267.40,$275.41,$266.21
05/16/2024,$264.88,4866814,$269.66,$270.16,$260.50
05/15/2024,$252.97,1116093,$252.40,$253.72,$251.9885
05/14/2024,$253.16,1163757,$254.44,$255.185,$252.59
05/13/2024,$254.54,1001908,$255.03,$255.44,$253.19
05/10/2024,$254.84,660235,$255.00,$255.49,$253.62
05/09/2024,$254.04,1128932,$251.26,$254.33,$250.90
05/08/2024,$251.63,1398939,$253.50,$253.61,$251.325
05/07/2024,$251.95,1223574,$252.95,$253.18,$251.735
05/06/2024,$252.05,761851,$250.18,$252.09,$249.90
05/03/2024,$248.54,1444710,$248.93,$250.45,$244.84
05/02/2024,$250.25,1588660,$250.52,$251.34,$248.54
05/01/2024,$249.93,1158352,$249.13,$251.74,$249.13
04/30/2024,$248.64,1862883,$249.66,$250.30,$248.245
04/29/2024,$249.22,2218382,$245.57,$249.35,$245.51
04/26/2024,$245.45,1565900,$243.99,$246.91,$243.14
04/25/2024,$245.96,1920486,$242.75,$246.36,$242.25
04/24/2024,$243.01,3228930,$240.57,$243.605,$238.85
04/23/2024,$249.88,1917348,$251.82,$252.95,$249.14
04/22/2024,$251.50,1639071,$251.02,$253.57,$250.00
04/19/2024,$250.21,2573609,$247.04,$250.63,$244.97
04/18/2024,$245.39,1565896,$245.20,$246.08,$244.41
04/17/2024,$243.53,1797251,$243.58,$244.99,$241.38
04/16/2024,$245.21,1257334,$245.91,$246.635,$244.62
04/15/2024,$244.44,1478705,$249.35,$249.39,$244.21
04/12/2024,$245.81,1506616,$244.58,$246.01,$243.815
04/11/2024,$244.53,2163845,$247.00,$247.055,$244.06
04/10/2024,$248.00,1341587,$248.40,$250.57,$247.07
04/09/2024,$248.03,1424989,$253.32,$253.685,$246.85
04/08/2024,$253.16,1271195,$252.56,$253.88,$251.82
04/05/2024,$252.90,1266199,$254.00,$254.71,$252.445
04/04/2024,$252.23,1331062,$255.31,$257.07,$252.02
04/03/2024,$254.79,1102234,$256.06,$257.00,$254.60
04/02/2024,$256.34,928934,$257.86,$258.28,$256.06
04/01/2024,$257.40,753394,$258.97,$259.00,$256.60
03/28/2024,$259.13,1878945,$259.18,$259.92,$257.965
03/27/2024,$258.50,1493616,$256.98,$258.59,$256.60
03/26/2024,$256.08,2359151,$254.78,$257.555,$254.41
03/25/2024,$255.61,1332261,$256.08,$256.90,$255.04
03/22/2024,$255.51,1198170,$256.60,$257.32,$255.40
03/21/2024,$256.31,2748117,$257.59,$257.9999,$255.84
03/20/2024,$258.51,1774773,$258.08,$260.09,$257.6315
03/19/2024,$258.48,1611208,$259.00,$259.69,$258.065
03/18/2024,$257.64,1267405,$256.52,$258.29,$256.01
03/15/2024,$256.29,3390965,$255.33,$258.75,$255.33
03/14/2024,$257.63,1505368,$257.47,$259.56,$255.22
03/13/2024,$260.21,1672128,$258.49,$260.585,$257.63
03/12/2024,$257.75,1938480,$254.88,$258.15,$254.24
03/11/2024,$255.00,2152813,$248.50,$255.88,$248.2955
03/08/2024,$248.81,1339200,$248.58,$249.695,$247.18
03/07/2024,$248.82,1720581,$250.17,$251.54,$248.46
03/06/2024,$250.55,1774388,$249.61,$251.18,$247.58
03/05/2024,$249.36,1440074,$248.25,$249.91,$247.859
03/04/2024,$248.26,2003709,$249.46,$250.63,$248.07
03/01/2024,$250.62,1634571,$251.25,$251.975,$249.90
02/29/2024,$251.67,2396962,$253.94,$253.94,$250.45
02/28/2024,$253.58,1429924,$255.00,$255.00,$253.43
02/27/2024,$254.87,959064,$254.02,$255.02,$253.0801
02/26/2024,$254.84,1251802,$256.12,$257.84,$254.68
02/23/2024,$256.01,1153051,$256.47,$257.635,$254.71
02/22/2024,$255.44,1233455,$252.66,$255.71,$250.71
02/21/2024,$251.96,992002,$252.26,$253.16,$250.18
02/20/2024,$250.51,1248297,$250.38,$252.555,$250.1245
02/16/2024,$250.90,1329466,$251.17,$252.70,$250.00
02/15/2024,$251.06,1447943,$248.38,$251.76,$248.27
02/14/2024,$248.12,2054293,$247.00,$248.79,$246.47
02/13/2024,$246.82,1505029,$248.91,$250.305,$244.96
02/12/2024,$248.01,1234657,$247.35,$249.1999,$246.50
02/09/2024,$247.21,1471276,$243.32,$247.28,$243.32
02/08/2024,$244.34,1630712,$246.05,$246.83,$242.405
02/07/2024,$246.89,1982498,$247.65,$248.35,$245.86
02/06/2024,$247.67,1425915,$249.09,$249.62,$247.125
02/05/2024,$249.25,2139030,$246.32,$249.62,$245.82
02/02/2024,$246.69,2094598,$245.82,$248.19,$245.82
02/01/2024,$244.95,2030001,$244.73,$245.87,$242.36
01/31/2024,$245.00,3530914,$247.20,$248.55,$244.215
