Date,Close/Last,Volume,Open,High,Low
09/06/2024,$116.12,3016398,$113.93,$116.445,$113.74
09/05/2024,$113.87,2057132,$114.77,$114.7718,$113.13
09/04/2024,$113.83,1992384,$113.88,$115.04,$112.81
09/03/2024,$113.35,3110163,$111.73,$114.32,$111.04
08/30/2024,$112.02,3511077,$112.03,$112.83,$111.23
08/29/2024,$111.68,1818070,$112.84,$112.84,$110.61
08/28/2024,$113.49,1549712,$113.49,$114.30,$112.9301
08/27/2024,$113.54,1536562,$112.22,$113.64,$112.22
08/26/2024,$112.98,1088798,$112.80,$113.89,$112.58
08/23/2024,$112.38,1194333,$109.92,$112.65,$109.75
08/22/2024,$109.49,1491215,$109.34,$109.53,$108.50
08/21/2024,$109.56,1452215,$109.81,$110.17,$108.73
08/20/2024,$109.98,1434792,$109.38,$110.00,$108.87
08/19/2024,$109.50,1542460,$109.84,$110.53,$109.17
08/16/2024,$109.84,1563762,$109.13,$109.98,$108.665
08/15/2024,$109.17,2018622,$110.05,$110.09,$108.43
08/14/2024,$110.21,1684668,$110.35,$111.04,$109.81
08/13/2024,$110.35,1504758,$111.18,$111.35,$109.90
08/12/2024,$110.73,2585410,$110.26,$110.84,$109.05
08/09/2024,$110.64,2017668,$111.23,$111.44,$109.53
08/08/2024,$110.90,2215399,$110.23,$111.37,$109.72
08/07/2024,$111.27,2186544,$112.30,$113.94,$110.94
08/06/2024,$112.97,3113599,$110.50,$114.12,$110.21
08/05/2024,$110.77,3694993,$114.50,$115.75,$110.64
08/02/2024,$115.21,2633025,$113.45,$115.64,$113.10
08/01/2024,$112.29,2233141,$110.82,$112.34,$110.35
07/31/2024,$110.08,2598812,$108.90,$110.87,$108.49
07/30/2024,$109.42,1595749,$108.50,$109.70,$108.15
07/29/2024,$108.13,2155819,$107.37,$108.69,$106.21
07/26/2024,$107.52,1631832,$106.01,$107.56,$105.82
07/25/2024,$105.53,2458603,$106.25,$109.235,$105.0675
07/24/2024,$105.47,2311225,$104.52,$106.265,$103.87
07/23/2024,$104.29,3479949,$103.79,$105.35,$103.28
07/22/2024,$103.94,1731196,$105.09,$105.50,$103.70
07/19/2024,$105.08,3313683,$105.53,$105.86,$103.72
07/18/2024,$105.04,2733789,$105.00,$107.45,$103.89
07/17/2024,$105.63,2166754,$104.09,$105.66,$103.93
07/16/2024,$103.90,1712379,$104.02,$104.40,$102.6894
