Date,Close/Last,Volume,Open,High,Low
09/06/2024,$105.18,1350257,$105.58,$106.22,$104.86
09/05/2024,$105.49,1861466,$106.25,$106.465,$104.81
09/04/2024,$106.22,1501258,$105.51,$106.48,$105.08
09/03/2024,$105.29,1888572,$101.96,$105.72,$101.78
08/30/2024,$101.88,1437811,$100.92,$101.98,$100.84
08/29/2024,$100.77,724408,$101.75,$101.775,$100.65
08/28/2024,$101.57,1044475,$101.90,$101.90,$100.64
08/27/2024,$101.15,847238,$101.97,$102.025,$100.75
08/26/2024,$101.81,760873,$102.00,$102.755,$101.735
08/23/2024,$102.16,865914,$102.64,$102.8871,$101.21
08/22/2024,$102.64,923672,$103.15,$103.28,$102.41
08/21/2024,$102.38,816910,$101.57,$102.84,$101.57
08/20/2024,$101.63,1170228,$99.98,$101.65,$99.81
08/19/2024,$100.16,1143121,$99.91,$100.59,$99.775
08/16/2024,$100.01,1843885,$99.95,$100.19,$99.06
08/15/2024,$99.99,965152,$100.64,$101.02,$99.01
08/14/2024,$100.48,811752,$99.98,$100.79,$99.98
08/13/2024,$100.18,1709803,$100.87,$101.22,$99.76
08/12/2024,$100.81,1120276,$101.83,$101.87,$99.9598
08/09/2024,$102.25,1451047,$102.25,$102.59,$101.231
08/08/2024,$102.21,1097731,$101.13,$102.45,$101.06
08/07/2024,$101.59,1495181,$101.31,$102.7999,$100.75
08/06/2024,$101.32,1735367,$100.11,$102.28,$99.93
08/05/2024,$99.92,2868001,$99.00,$100.89,$98.7301
08/02/2024,$98.53,3855940,$96.94,$99.93,$96.35
08/01/2024,$100.01,2346373,$98.37,$100.24,$97.88
07/31/2024,$98.01,3040123,$99.48,$99.55,$97.66
07/30/2024,$99.43,2005409,$98.36,$99.62,$97.65
07/29/2024,$101.59,1349752,$101.30,$102.26,$100.77
07/26/2024,$101.38,1273426,$100.05,$102.05,$99.37
07/25/2024,$99.85,1130515,$100.48,$101.90,$99.82
07/24/2024,$100.35,1087329,$100.08,$100.98,$99.27
07/23/2024,$100.21,1480142,$100.965,$101.23,$100.045
07/22/2024,$100.64,1937260,$101.95,$102.015,$99.30
07/19/2024,$102.61,1190292,$102.80,$103.69,$102.24
07/18/2024,$102.17,1703492,$103.53,$104.48,$101.94
07/17/2024,$103.72,1681129,$102.50,$104.32,$102.485
07/16/2024,$102.33,1256154,$101.61,$103.46,$101.58
07/15/2024,$101.18,1924207,$104.09,$104.47,$101.10
07/12/2024,$104.17,1115596,$104.07,$104.92,$104.02
07/11/2024,$103.74,1894463,$104.75,$106.11,$103.57
07/10/2024,$104.85,1666683,$105.07,$105.46,$104.39
07/09/2024,$104.61,1221745,$105.32,$105.52,$104.17
07/08/2024,$105.58,1378744,$106.66,$106.66,$104.8156
07/05/2024,$106.59,998671,$105.72,$106.77,$105.275
07/03/2024,$105.53,831631,$105.44,$105.66,$105.04
07/02/2024,$105.44,1362047,$104.75,$105.59,$103.985
07/01/2024,$104.87,1786326,$104.11,$105.34,$103.71
06/28/2024,$103.68,6988946,$104.01,$104.274,$102.85
06/27/2024,$104.01,1486159,$104.63,$104.665,$103.79
06/26/2024,$104.48,1530002,$104.15,$105.72,$103.68
06/25/2024,$104.85,1808450,$107.00,$107.00,$104.59
06/24/2024,$107.48,1578218,$108.73,$108.73,$106.95
06/21/2024,$108.93,1736655,$109.45,$110.13,$108.61
06/20/2024,$108.91,1011155,$109.66,$110.26,$108.69
06/18/2024,$109.91,1084326,$109.04,$110.31,$108.78
06/17/2024,$109.30,1080514,$107.23,$109.46,$106.89
06/14/2024,$107.70,1313048,$106.15,$107.755,$106.03
06/13/2024,$106.48,1304572,$106.60,$106.80,$105.89
06/12/2024,$106.39,1517798,$107.63,$107.665,$105.71
06/11/2024,$107.93,1438793,$107.53,$107.97,$106.64
06/10/2024,$107.72,1169370,$107.12,$107.77,$105.93
06/07/2024,$107.38,830810,$107.91,$108.5755,$107.26
06/06/2024,$107.91,796218,$107.76,$108.2575,$107.40
06/05/2024,$107.71,952527,$107.84,$107.92,$106.70
06/04/2024,$108.11,1106278,$107.72,$108.34,$107.31
06/03/2024,$107.29,1502838,$106.60,$108.50,$106.60
05/31/2024,$107.01,2658920,$104.36,$107.18,$104.32
05/30/2024,$104.36,1070952,$103.32,$104.63,$102.91
05/29/2024,$103.31,1797114,$104.07,$104.07,$103.20
05/28/2024,$104.16,1631124,$105.62,$106.055,$103.90
05/24/2024,$106.47,770768,$106.65,$107.00,$106.05
05/23/2024,$106.42,799464,$107.08,$107.73,$106.36
05/22/2024,$107.31,597182,$106.88,$107.40,$106.55
05/21/2024,$107.06,843326,$106.95,$107.31,$106.46
05/20/2024,$106.51,705856,$106.37,$106.625,$105.84
05/17/2024,$106.39,829712,$106.80,$106.80,$106.03
05/16/2024,$106.68,1015137,$107.46,$107.91,$106.57
05/15/2024,$107.18,844241,$106.43,$107.37,$106.35
05/14/2024,$106.83,1215852,$106.54,$106.979,$105.34
05/13/2024,$107.15,911382,$107.30,$107.7599,$106.645
05/10/2024,$107.31,680690,$107.12,$107.58,$106.81
05/09/2024,$107.05,882464,$106.98,$107.5364,$106.37
05/08/2024,$106.78,1041546,$107.63,$107.72,$106.33
05/07/2024,$106.93,972578,$106.11,$107.17,$105.73
05/06/2024,$105.41,1224778,$106.17,$106.605,$105.11
05/03/2024,$106.11,1283889,$105.22,$106.32,$103.92
