Date,Close/Last,Volume,Open,High,Low
09/06/2024,$353.49,2363544,$357.46,$359.46,$352.99
09/05/2024,$355.12,2528316,$362.06,$364.41,$348.80
09/04/2024,$366.64,1194436,$366.40,$370.6399,$364.0096
09/03/2024,$365.48,1433539,$362.28,$367.0799,$360.71
08/30/2024,$361.81,1148195,$360.72,$362.515,$359.92
08/29/2024,$361.06,1024703,$360.09,$361.71,$355.12
08/28/2024,$357.93,1314617,$356.51,$359.82,$354.052
08/27/2024,$353.89,1058167,$354.75,$355.51,$352.385
08/26/2024,$353.94,1361100,$354.69,$356.835,$352.25
08/23/2024,$353.99,1425818,$347.50,$354.49,$346.15
08/22/2024,$346.47,733990,$343.19,$346.82,$338.8244
08/21/2024,$342.40,694537,$343.99,$345.00,$340.215
08/20/2024,$342.60,900770,$341.70,$344.40,$339.68
08/19/2024,$342.33,907568,$342.68,$343.70,$341.26
08/16/2024,$342.32,865340,$336.82,$342.91,$335.74
08/15/2024,$336.70,1003065,$337.48,$337.99,$332.90
08/14/2024,$334.90,621091,$335.00,$337.0999,$332.75
08/13/2024,$332.72,1057580,$328.74,$333.38,$328.455
08/12/2024,$328.10,1720518,$330.96,$331.78,$326.46
08/09/2024,$336.14,969003,$333.80,$338.00,$333.075
08/08/2024,$335.02,1164913,$329.06,$337.27,$328.275
08/07/2024,$329.01,1933697,$329.90,$335.39,$325.75
08/06/2024,$329.29,2441879,$323.69,$329.91,$323.145
08/05/2024,$325.71,2507392,$337.71,$339.68,$321.36
08/02/2024,$337.33,3193740,$333.27,$338.70,$321.51
08/01/2024,$332.60,2495507,$336.00,$339.15,$324.55
07/31/2024,$348.67,1466143,$349.25,$353.9999,$347.62
07/30/2024,$352.77,909724,$346.01,$355.56,$346.01
07/29/2024,$346.54,1021540,$343.65,$348.46,$343.075
07/26/2024,$343.64,1135664,$342.69,$346.66,$342.49
07/25/2024,$341.15,775038,$343.99,$349.27,$340.45
07/24/2024,$342.21,1029808,$337.67,$342.71,$334.93
07/23/2024,$336.17,603380,$336.05,$337.31,$333.79
07/22/2024,$335.79,756286,$335.76,$338.08,$334.59
07/19/2024,$335.84,1169194,$343.67,$343.67,$335.53
07/18/2024,$340.52,1028831,$343.06,$347.37,$340.46
07/17/2024,$344.76,1441943,$339.59,$345.49,$339.39
07/16/2024,$339.71,1166652,$333.83,$342.46,$333.83
