Date,Close/Last,Volume,Open,High,Low
09/06/2024,$135.39,468423,$136.33,$137.325,$134.97
09/05/2024,$136.34,465980,$138.91,$139.145,$135.67
09/04/2024,$138.20,578829,$138.55,$139.3399,$137.41
09/03/2024,$137.57,528571,$136.79,$138.42,$136.42
08/30/2024,$137.03,726397,$135.75,$137.51,$135.60
08/29/2024,$135.61,372041,$135.00,$135.92,$133.53
08/28/2024,$134.82,456635,$133.91,$134.905,$132.83
08/27/2024,$133.60,339549,$132.94,$133.71,$132.59
08/26/2024,$132.56,224768,$133.11,$134.23,$132.43
08/23/2024,$132.81,200361,$132.61,$133.12,$131.75
08/22/2024,$131.97,352978,$130.98,$132.05,$130.3301
08/21/2024,$131.04,236701,$131.60,$131.9999,$130.23
08/20/2024,$130.66,258556,$131.32,$131.495,$130.44
08/19/2024,$131.32,216824,$131.14,$131.9799,$131.125
08/16/2024,$131.12,515003,$129.08,$131.27,$129.02
08/15/2024,$129.87,433422,$130.77,$131.21,$129.31
08/14/2024,$130.07,553943,$128.39,$130.67,$127.66
08/13/2024,$128.47,411959,$127.77,$128.60,$126.65
08/12/2024,$126.86,275438,$128.04,$128.54,$126.80
08/09/2024,$128.18,296725,$127.23,$128.27,$126.45
08/08/2024,$127.36,367415,$126.61,$127.69,$126.55
08/07/2024,$126.27,651035,$127.10,$128.41,$125.87
08/06/2024,$126.78,606626,$126.09,$129.06,$126.09
08/05/2024,$125.82,892371,$129.14,$129.14,$125.02
08/02/2024,$130.35,1138385,$129.08,$130.67,$126.64
08/01/2024,$129.94,1713583,$131.25,$132.69,$127.13
07/31/2024,$130.62,1438468,$129.78,$131.08,$129.19
07/30/2024,$130.18,1073599,$127.45,$130.565,$127.27
07/29/2024,$126.45,651018,$124.59,$126.62,$124.59
07/26/2024,$123.96,889459,$116.00,$125.765,$115.43
07/25/2024,$120.30,780752,$120.75,$122.73,$120.02
07/24/2024,$120.03,754932,$121.95,$121.95,$119.79
07/23/2024,$121.20,696435,$120.39,$121.41,$119.72
07/22/2024,$120.39,625703,$121.85,$122.00,$120.18
07/19/2024,$121.03,989434,$126.32,$126.46,$120.34
07/18/2024,$126.01,571800,$126.59,$128.23,$125.79
07/17/2024,$127.17,816154,$125.94,$128.17,$125.94
07/16/2024,$125.13,626315,$123.71,$125.96,$123.5734
07/15/2024,$123.26,729994,$122.74,$124.28,$122.525
07/12/2024,$122.34,662556,$122.22,$123.54,$121.65
07/11/2024,$121.41,1180595,$119.61,$121.54,$119.0727
07/10/2024,$119.10,701192,$117.22,$119.16,$117.21
07/09/2024,$116.93,524854,$116.56,$118.46,$116.15
07/08/2024,$116.68,390728,$116.47,$117.65,$116.45
07/05/2024,$115.70,1034832,$116.34,$116.4575,$114.75
07/03/2024,$116.72,485607,$118.54,$119.14,$116.69
07/02/2024,$118.85,879472,$118.12,$119.485,$118.12
07/01/2024,$119.19,736226,$118.985,$119.74,$118.37
06/28/2024,$118.10,1867590,$118.18,$119.28,$117.02
06/27/2024,$116.68,427236,$115.38,$116.73,$114.41
06/26/2024,$114.94,666349,$115.45,$115.45,$113.70
06/25/2024,$115.82,597831,$116.90,$117.54,$115.365
06/24/2024,$116.61,547723,$115.20,$117.10,$114.84
06/21/2024,$115.21,1199841,$115.61,$115.61,$114.19
06/20/2024,$115.40,1063562,$114.22,$116.125,$114.20
06/18/2024,$113.67,525007,$113.02,$114.39,$112.78
06/17/2024,$113.81,444512,$112.27,$113.98,$112.27
06/14/2024,$112.27,670762,$112.69,$113.23,$111.92
06/13/2024,$113.66,521244,$113.39,$113.88,$112.20
06/12/2024,$113.69,530771,$114.00,$114.47,$113.10
06/11/2024,$113.90,689413,$114.65,$115.74,$113.155
06/10/2024,$115.26,410662,$115.43,$115.43,$114.49
06/07/2024,$115.97,327758,$115.27,$116.73,$114.9116
06/06/2024,$114.91,361054,$114.57,$115.47,$114.23
06/05/2024,$114.62,425586,$115.03,$115.28,$113.36
06/04/2024,$114.84,703201,$115.95,$116.115,$114.355
06/03/2024,$116.35,405443,$117.32,$117.70,$115.45
05/31/2024,$117.58,944911,$116.10,$117.65,$115.94
05/30/2024,$116.20,734979,$114.47,$116.722,$114.355
05/29/2024,$114.66,537020,$115.43,$115.65,$114.43
05/28/2024,$115.74,574496,$117.02,$117.22,$115.54
05/24/2024,$117.68,529860,$117.49,$117.9597,$116.99
05/23/2024,$117.11,398412,$118.67,$118.67,$117.01
