Date,Close/Last,Volume,Open,High,Low
09/06/2024,$220.50,2899331,$219.05,$220.80,$218.46
09/05/2024,$219.38,1759791,$218.50,$219.51,$217.06
09/04/2024,$216.00,1921833,$213.84,$216.14,$212.64
09/03/2024,$212.64,3725373,$208.46,$212.75,$207.7496
08/30/2024,$215.74,2021148,$213.53,$215.97,$213.52
08/29/2024,$214.10,1547855,$215.01,$215.355,$213.36
08/28/2024,$215.12,1655472,$212.72,$215.95,$212.35
08/27/2024,$212.40,1789237,$208.91,$212.87,$207.71
08/26/2024,$208.43,1647512,$207.10,$208.66,$207.10
08/23/2024,$207.05,1273912,$210.28,$210.28,$206.44
08/22/2024,$209.62,1352147,$209.25,$210.16,$208.20
08/21/2024,$209.40,939264,$208.68,$209.44,$207.61
08/20/2024,$208.70,1272034,$209.45,$210.43,$208.355
08/19/2024,$208.87,1122281,$208.43,$209.76,$208.04
08/16/2024,$207.88,1115669,$205.29,$208.80,$204.16
08/15/2024,$205.29,1321706,$207.78,$208.26,$204.8501
08/14/2024,$207.85,1152142,$207.775,$208.29,$206.50
08/13/2024,$207.57,977327,$206.53,$207.895,$205.65
08/12/2024,$206.59,1073836,$206.66,$208.08,$205.18
08/09/2024,$206.66,1011306,$205.25,$207.21,$203.7727
08/08/2024,$205.15,2086497,$204.63,$207.31,$202.35
08/07/2024,$205.00,3530004,$201.90,$206.80,$200.50
08/06/2024,$202.38,3269347,$197.00,$204.10,$196.935
08/05/2024,$197.22,2133600,$200.14,$202.75,$196.62
08/02/2024,$199.83,2373846,$198.22,$201.56,$197.50
08/01/2024,$196.31,1873297,$194.21,$197.805,$194.04
07/31/2024,$193.71,1854029,$197.20,$197.85,$193.25
07/30/2024,$197.20,1712374,$199.86,$199.86,$195.3019
07/29/2024,$198.92,1428249,$200.55,$201.71,$198.76
07/26/2024,$200.54,1259506,$198.93,$201.49,$198.85
07/25/2024,$199.38,2080424,$197.39,$200.83,$197.04
07/24/2024,$197.25,2688368,$200.23,$200.545,$194.92
07/23/2024,$197.44,2175384,$200.17,$200.27,$196.99
07/22/2024,$199.88,1258510,$199.56,$200.39,$198.54
07/19/2024,$199.85,1554859,$201.63,$201.89,$199.16
07/18/2024,$200.61,1531336,$201.07,$202.78,$200.20
07/17/2024,$201.46,1834474,$197.87,$201.58,$197.32
07/16/2024,$197.37,2106490,$198.26,$199.55,$197.08
07/15/2024,$197.01,2431333,$194.11,$197.20,$194.11
07/12/2024,$193.43,3125018,$195.77,$196.10,$193.37
07/11/2024,$195.80,4568627,$193.58,$198.30,$193.17
07/10/2024,$193.58,1907271,$194.10,$195.32,$193.495
07/09/2024,$194.62,1713860,$195.18,$195.57,$193.89
07/08/2024,$194.97,2375947,$196.40,$197.19,$194.80
07/05/2024,$196.40,3458862,$196.53,$196.78,$195.275
07/03/2024,$196.06,2237934,$196.10,$197.91,$195.84
07/02/2024,$197.08,4672406,$196.56,$198.32,$195.99
07/01/2024,$195.50,2092566,$197.62,$197.83,$195.09
06/28/2024,$196.60,6618079,$195.41,$197.11,$195.01
06/27/2024,$195.53,2817065,$195.74,$196.295,$194.64
06/26/2024,$195.20,2702559,$193.00,$195.83,$192.105
06/25/2024,$194.10,2018823,$195.08,$196.085,$193.66
06/24/2024,$195.08,1662712,$195.62,$197.43,$194.91
06/21/2024,$194.48,5763948,$196.28,$196.75,$193.96
06/20/2024,$198.49,2174278,$196.87,$198.89,$195.00
06/18/2024,$196.53,2225155,$197.79,$197.79,$190.70
06/17/2024,$196.59,1785843,$196.39,$197.68,$195.3325
06/14/2024,$197.13,1671739,$194.63,$197.23,$194.32
06/13/2024,$195.64,1797273,$194.85,$196.88,$194.60
06/12/2024,$195.73,2018481,$201.50,$201.50,$195.38
06/11/2024,$198.70,1670283,$198.45,$200.14,$197.47
06/10/2024,$198.50,2015053,$198.92,$199.865,$197.19
06/07/2024,$199.36,1886162,$201.36,$201.79,$199.29
06/06/2024,$201.49,1424283,$200.98,$202.84,$200.63
06/05/2024,$200.49,2412101,$203.78,$204.79,$200.25
06/04/2024,$203.78,2119987,$201.83,$204.655,$201.46
06/03/2024,$201.75,2035904,$203.20,$204.22,$200.23
05/31/2024,$202.98,5076119,$205.16,$205.16,$202.475
05/30/2024,$204.90,1427291,$206.43,$207.30,$204.84
05/29/2024,$205.89,2119025,$207.99,$208.57,$205.69
05/28/2024,$208.50,2877283,$212.95,$213.75,$207.37
05/24/2024,$214.92,1135264,$212.97,$214.95,$212.755
05/23/2024,$212.07,1677973,$211.36,$212.75,$210.155
05/22/2024,$211.48,1333007,$208.87,$211.88,$208.31
05/21/2024,$210.35,1454376,$212.00,$212.35,$210.13
05/20/2024,$211.27,1241040,$213.14,$213.57,$211.17
05/17/2024,$213.14,1466368,$214.32,$214.82,$212.30
05/16/2024,$212.73,1246174,$208.26,$213.33,$208.04
05/15/2024,$208.26,1770761,$210.005,$211.41,$207.93
05/14/2024,$210.80,1702030,$209.13,$210.989,$207.00
05/13/2024,$209.92,1555574,$208.59,$211.51,$208.54
05/10/2024,$208.46,1838846,$213.53,$213.71,$207.85
05/09/2024,$213.61,1983498,$211.84,$213.72,$211.00
05/08/2024,$211.84,1708239,$208.10,$211.87,$206.735
05/07/2024,$208.34,2144295,$208.17,$208.90,$204.00
05/06/2024,$208.00,1722597,$208.56,$208.96,$205.99
05/03/2024,$207.65,2065362,$205.86,$207.92,$202.775
05/02/2024,$207.48,1922646,$209.37,$209.74,$206.85
05/01/2024,$208.07,1869433,$209.05,$210.51,$207.55
04/30/2024,$209.64,1394473,$209.11,$210.14,$207.685
04/29/2024,$209.62,1316666,$209.69,$213.135,$209.195
04/26/2024,$210.94,1353130,$211.92,$212.40,$209.635
04/25/2024,$212.54,2048136,$212.345,$216.52,$211.19
04/24/2024,$212.59,2636859,$215.63,$216.63,$209.07
04/23/2024,$216.77,2048662,$215.01,$217.45,$214.14
04/22/2024,$215.48,1743304,$213.30,$216.71,$212.875
04/19/2024,$213.04,2563922,$211.28,$214.50,$210.27
04/18/2024,$209.65,1256380,$210.15,$210.36,$207.77
04/17/2024,$208.42,1853402,$208.06,$209.13,$206.21
04/16/2024,$206.48,1151676,$207.35,$208.75,$206.15
04/15/2024,$206.23,1977426,$211.04,$212.10,$206.075
04/12/2024,$209.50,1582601,$212.40,$212.84,$209.29
04/11/2024,$212.77,1653375,$211.61,$213.87,$210.44
04/10/2024,$212.00,2127002,$210.41,$213.37,$209.63
04/09/2024,$209.78,1634092,$213.77,$214.475,$208.47
04/08/2024,$212.75,2006133,$211.04,$214.13,$210.17
04/05/2024,$211.08,1163273,$211.37,$213.26,$210.80
04/04/2024,$212.21,2182683,$213.17,$214.28,$211.92
04/03/2024,$212.03,1796953,$214.80,$215.62,$211.9715
04/02/2024,$214.80,1983175,$212.04,$214.89,$211.381
04/01/2024,$212.02,1036570,$215.33,$215.70,$211.93
03/28/2024,$215.29,1755363,$215.89,$216.485,$212.98
03/27/2024,$215.60,1817797,$213.37,$215.65,$212.53
03/26/2024,$212.88,1375065,$214.71,$215.3099,$211.89
03/25/2024,$215.19,978295,$215.14,$216.4599,$214.40
03/22/2024,$214.50,1169692,$216.20,$216.43,$214.36
03/21/2024,$216.09,1529894,$213.82,$216.29,$213.56
03/20/2024,$213.62,1886901,$215.30,$216.445,$213.085
03/19/2024,$216.36,1460536,$219.59,$219.59,$216.0875
03/18/2024,$218.89,1111980,$218.11,$219.75,$217.44
03/15/2024,$217.50,4141841,$217.445,$220.19,$216.85
03/14/2024,$219.41,1556099,$219.09,$219.78,$217.26
03/13/2024,$219.36,936945,$217.75,$219.47,$217.52
03/12/2024,$217.75,1388567,$216.92,$218.75,$216.31
03/11/2024,$216.77,1129733,$213.00,$216.84,$213.00
03/08/2024,$212.98,1274274,$213.95,$214.91,$212.80
