Date,Close/Last,Volume,Open,High,Low
09/06/2024,$53.68,13248680,$53.19,$54.52,$53.08
09/05/2024,$53.03,8316976,$53.02,$53.78,$52.915
09/04/2024,$53.34,12220060,$52.65,$53.47,$52.65
09/03/2024,$53.52,14402270,$55.99,$56.58,$53.18
08/30/2024,$56.08,12845600,$55.95,$56.23,$55.18
08/29/2024,$55.63,10702270,$56.21,$56.4865,$55.54
08/28/2024,$55.77,13745770,$56.57,$56.98,$55.226
08/27/2024,$56.14,14889630,$54.19,$56.30,$54.19
08/26/2024,$54.75,12213470,$53.82,$55.045,$53.78
08/23/2024,$53.71,9928362,$53.81,$53.95,$53.10
08/22/2024,$53.45,10425680,$53.54,$54.26,$53.21
08/21/2024,$53.73,14558380,$52.25,$53.975,$52.08
08/20/2024,$51.94,12896010,$52.65,$52.9199,$51.80
08/19/2024,$52.64,16562140,$52.58,$52.95,$51.83
08/16/2024,$52.47,21302930,$53.59,$53.70,$52.05
08/15/2024,$53.97,28826680,$51.79,$54.32,$51.58
08/14/2024,$51.65,32423020,$52.02,$52.53,$51.08
08/13/2024,$51.68,108992800,$50.79,$52.106,$48.00
08/12/2024,$55.87,10075120,$55.60,$56.34,$55.08
08/09/2024,$55.55,11569750,$54.90,$56.14,$54.53
08/08/2024,$54.32,9305774,$54.00,$54.89,$53.74
08/07/2024,$53.63,11238840,$54.50,$55.30,$53.41
08/06/2024,$54.08,16405670,$52.93,$55.11,$52.6585
08/05/2024,$52.18,14448560,$48.25,$52.74,$47.98
08/02/2024,$52.57,15098100,$52.33,$52.85,$51.15
08/01/2024,$53.46,14099580,$54.29,$55.07,$52.83
07/31/2024,$54.32,23028860,$53.50,$54.51,$52.80
07/30/2024,$52.57,23648520,$51.18,$52.76,$51.10
07/29/2024,$50.97,16035300,$49.91,$51.29,$49.59
07/26/2024,$49.83,24611090,$51.24,$51.59,$49.41
07/25/2024,$50.82,40764340,$50.51,$51.60,$49.53
07/24/2024,$51.78,39208230,$52.04,$52.49,$51.46
07/23/2024,$52.55,17558050,$53.89,$54.72,$52.34
07/22/2024,$53.56,13869050,$53.475,$54.03,$52.98
07/19/2024,$53.54,15629850,$53.92,$54.00,$52.95
07/18/2024,$53.38,29138060,$53.48,$54.55,$52.63
07/17/2024,$55.29,17208200,$56.92,$57.39,$55.10
07/16/2024,$57.74,14404330,$56.76,$57.92,$56.23
07/15/2024,$56.61,15192390,$57.75,$57.80,$56.48
07/12/2024,$57.67,14046520,$57.76,$58.6699,$57.43
07/11/2024,$57.55,13326260,$58.00,$58.50,$57.37
07/10/2024,$58.30,20298380,$57.43,$58.63,$56.82
07/09/2024,$57.48,25175890,$59.63,$60.16,$57.35
07/08/2024,$59.51,24496570,$62.46,$62.66,$59.04
07/05/2024,$62.75,12845040,$61.56,$62.955,$61.20
07/03/2024,$61.58,12651790,$61.05,$62.81,$60.84
07/02/2024,$61.40,18369210,$61.54,$62.32,$60.46
07/01/2024,$61.81,19650610,$62.69,$62.76,$60.25
06/28/2024,$62.65,22128080,$62.03,$63.77,$61.57
06/27/2024,$62.41,28454250,$65.875,$65.89,$61.84
06/26/2024,$65.86,27266350,$65.81,$66.31,$62.75
06/25/2024,$65.6608,24053050,$64.326,$65.7954,$64.28
06/24/2024,$63.8748,20646550,$64.295,$64.46,$63.2842
06/21/2024,$64.2098,29525500,$64.504,$64.6668,$63.8641
06/20/2024,$64.2884,42466400,$68.9116,$68.9116,$63.76
06/18/2024,$68.5522,34734950,$68.70,$69.2614,$67.40
06/17/2024,$67.3092,21198950,$66.5324,$67.6808,$65.90
06/14/2024,$65.4342,13974950,$65.3998,$65.506,$64.7458
06/13/2024,$65.3052,24241650,$63.7656,$65.8706,$63.7656
06/12/2024,$63.4152,16997850,$62.7502,$63.8538,$62.4801
06/11/2024,$62.604,9724100,$62.3256,$62.6666,$61.6359
06/10/2024,$62.5976,10367300,$63.3802,$63.5262,$62.42
06/07/2024,$63.3804,14239650,$64.5334,$64.7998,$63.269
06/06/2024,$64.2332,12782300,$63.45,$64.4178,$63.0618
06/05/2024,$62.9596,11740500,$61.88,$63.2213,$61.6392
06/04/2024,$61.5808,20615750,$62.2566,$62.2566,$61.2662
06/03/2024,$61.5294,16622700,$62.7776,$63.039,$60.5927
05/31/2024,$62.5904,15072900,$62.5218,$62.5904,$61.1874
05/30/2024,$62.1168,10749650,$61.6146,$62.1598,$61.1053
05/29/2024,$61.457,16872000,$62.806,$62.8093,$61.4028
05/28/2024,$63.0768,11877550,$63.20,$63.2338,$62.60
