Date,Close/Last,Volume,Open,High,Low
09/06/2024,$293.21,608819,$297.22,$300.09,$291.88
09/05/2024,$296.65,781682,$300.95,$302.145,$293.37
09/04/2024,$301.73,636015,$304.00,$306.82,$301.72
09/03/2024,$304.32,593900,$310.47,$312.015,$301.56
08/30/2024,$312.85,878028,$310.15,$313.55,$307.60
08/29/2024,$309.31,489394,$309.00,$313.35,$306.495
08/28/2024,$306.07,697488,$305.62,$309.50,$305.20
08/27/2024,$306.37,424975,$309.31,$309.99,$306.0101
08/26/2024,$310.15,537906,$310.59,$312.14,$307.835
08/23/2024,$309.31,676358,$305.27,$310.23,$304.6201
08/22/2024,$305.83,597098,$303.66,$306.4299,$302.71
08/21/2024,$303.66,525320,$301.40,$305.15,$299.835
08/20/2024,$300.31,531126,$301.00,$302.4325,$299.78
08/19/2024,$301.32,450224,$301.65,$302.6899,$299.64
08/16/2024,$301.65,578191,$299.29,$302.76,$298.56
08/15/2024,$299.80,700028,$296.54,$301.465,$294.80
08/14/2024,$291.99,949006,$290.78,$293.17,$289.28
08/13/2024,$291.74,804154,$292.73,$293.3226,$289.05
08/12/2024,$290.94,767675,$296.05,$296.05,$289.87
08/09/2024,$293.97,597256,$297.38,$299.015,$293.50
08/08/2024,$297.24,576618,$293.76,$299.08,$293.43
08/07/2024,$291.99,846986,$295.89,$298.96,$291.68
08/06/2024,$292.31,1326342,$285.00,$297.235,$282.19
08/05/2024,$282.65,1253267,$286.88,$286.88,$278.20
08/02/2024,$290.36,1186131,$303.71,$303.71,$288.15
08/01/2024,$306.09,1851729,$305.00,$322.83,$302.83
07/31/2024,$291.80,802200,$291.49,$295.72,$289.88
07/30/2024,$289.04,629412,$291.20,$294.17,$288.82
07/29/2024,$291.20,678618,$290.00,$293.90,$289.01
07/26/2024,$290.38,545046,$285.87,$293.085,$285.17
07/25/2024,$283.17,590265,$281.79,$288.35,$281.42
07/24/2024,$281.57,620094,$281.90,$284.72,$278.05
07/23/2024,$283.65,959362,$288.41,$289.42,$280.07
07/22/2024,$292.25,801424,$292.12,$293.27,$287.42
07/19/2024,$291.15,1763952,$298.99,$299.00,$290.01
07/18/2024,$298.23,661761,$293.57,$302.87,$293.57
07/17/2024,$295.10,827823,$298.27,$301.98,$295.06
07/16/2024,$299.43,909719,$289.96,$299.85,$288.972
07/15/2024,$288.93,627980,$285.91,$292.255,$284.42
07/12/2024,$284.86,716818,$282.67,$287.31,$282.33
07/11/2024,$280.04,858142,$275.11,$281.70,$275.005
07/10/2024,$274.09,699806,$270.53,$274.23,$268.86
07/09/2024,$268.68,839850,$269.27,$272.145,$267.5221
07/08/2024,$269.62,695063,$268.11,$270.30,$268.01
07/05/2024,$266.63,772278,$272.00,$272.00,$265.41
07/03/2024,$272.08,504655,$267.99,$272.385,$267.02
07/02/2024,$267.55,843328,$269.90,$271.35,$266.81
07/01/2024,$272.29,664498,$279.00,$279.43,$270.57
06/28/2024,$276.93,1643842,$281.40,$284.69,$272.75
06/27/2024,$280.49,970688,$281.70,$283.61,$279.97
06/26/2024,$281.67,746121,$282.45,$283.92,$279.36
06/25/2024,$283.12,869348,$282.77,$283.96,$279.90
06/24/2024,$283.96,899703,$280.43,$286.30,$278.415
