Date,Close/Last,Volume,Open,High,Low
09/06/2024,$27.28,4942644,$27.78,$27.885,$27.22
09/05/2024,$27.76,4205143,$27.94,$27.99,$27.60
09/04/2024,$27.65,5238361,$27.62,$28.07,$27.58
09/03/2024,$27.49,5815247,$27.28,$27.74,$27.08
08/30/2024,$27.30,5825982,$27.23,$27.33,$27.01
08/29/2024,$27.08,7115303,$27.22,$27.28,$26.85
08/28/2024,$27.20,9130563,$27.28,$27.41,$26.92
08/27/2024,$27.22,8136212,$27.18,$27.45,$27.13
08/26/2024,$27.18,6154469,$26.90,$27.2975,$26.875
08/23/2024,$26.77,5106257,$27.02,$27.045,$26.47
08/22/2024,$26.94,10899930,$26.14,$26.98,$26.135
08/21/2024,$26.14,5879771,$25.88,$26.24,$25.80
08/20/2024,$25.81,3305287,$25.87,$25.98,$25.68
08/19/2024,$26.04,5034074,$25.78,$26.08,$25.65
08/16/2024,$25.79,10634660,$26.00,$26.04,$25.76
08/15/2024,$25.87,5142633,$25.41,$25.98,$25.41
08/14/2024,$25.77,6886987,$25.74,$25.905,$25.585
08/13/2024,$25.88,10202100,$26.05,$26.175,$25.60
08/12/2024,$26.20,7408874,$26.40,$26.45,$25.69
08/09/2024,$26.47,7548503,$26.29,$26.56,$25.83
08/08/2024,$26.28,13959580,$26.56,$26.795,$25.87
08/07/2024,$25.63,11057420,$25.86,$26.35,$25.60
08/06/2024,$25.77,7543079,$26.01,$26.16,$25.76
08/05/2024,$25.93,10239310,$27.26,$27.26,$25.93
08/02/2024,$27.07,13867540,$27.27,$27.795,$26.69
08/01/2024,$28.15,15523520,$27.86,$28.23,$27.75
07/31/2024,$27.75,11124350,$28.50,$28.76,$27.69
07/30/2024,$28.51,8242511,$29.24,$29.395,$28.37
07/29/2024,$29.19,7923148,$29.42,$29.55,$29.00
07/26/2024,$29.36,4664965,$29.03,$29.435,$28.895
07/25/2024,$28.88,4390196,$29.15,$29.67,$28.865
07/24/2024,$29.02,3221860,$29.00,$29.16,$28.71
07/23/2024,$28.70,3132121,$28.92,$29.01,$28.69
07/22/2024,$28.96,3405243,$29.03,$29.18,$28.81
07/19/2024,$28.97,3697361,$29.01,$29.055,$28.60
07/18/2024,$28.82,6864285,$28.47,$29.175,$28.47
07/17/2024,$28.64,9188505,$28.16,$28.885,$28.125
07/16/2024,$28.57,10720200,$28.41,$28.845,$28.26
07/15/2024,$28.28,13737580,$30.10,$30.10,$28.00
07/12/2024,$30.30,7825613,$29.79,$30.62,$29.7101
07/11/2024,$29.68,7549773,$29.72,$30.105,$29.55
07/10/2024,$29.59,9595008,$29.74,$29.77,$29.075
07/09/2024,$29.63,8258903,$30.30,$30.36,$29.63
07/08/2024,$30.32,5403959,$30.51,$30.53,$30.105
07/05/2024,$30.49,5291517,$30.37,$30.635,$30.25
07/03/2024,$30.33,1489514,$30.45,$30.71,$30.29
07/02/2024,$30.46,2806479,$30.55,$30.651,$30.45
07/01/2024,$30.55,2946553,$31.15,$31.18,$30.475
06/28/2024,$30.98,6589466,$30.91,$31.05,$30.655
06/27/2024,$30.81,3297051,$30.58,$30.86,$30.52
06/26/2024,$30.50,3063720,$30.25,$30.5799,$30.15
06/25/2024,$30.39,6235795,$31.25,$31.27,$30.19
06/24/2024,$31.31,3018913,$31.01,$31.41,$31.01
06/21/2024,$31.00,8594738,$31.41,$31.565,$30.93
06/20/2024,$31.28,4886068,$31.03,$31.35,$30.92
06/18/2024,$31.00,4129475,$30.59,$31.02,$30.555
06/17/2024,$30.69,3674759,$30.75,$30.98,$30.625
06/14/2024,$30.85,5105822,$30.65,$30.895,$30.53
06/13/2024,$30.90,8317361,$31.00,$31.15,$30.625
06/12/2024,$30.99,9721275,$31.16,$31.20,$30.63
06/11/2024,$30.82,6090270,$30.19,$30.85,$30.14
06/10/2024,$30.43,3946388,$30.17,$30.50,$30.045
06/07/2024,$30.17,5935902,$29.89,$30.37,$29.85
06/06/2024,$30.25,2274942,$30.31,$30.555,$30.20
06/05/2024,$30.43,2639195,$30.74,$30.81,$30.41
06/04/2024,$30.84,3849731,$30.68,$30.915,$30.55
06/03/2024,$30.75,5116193,$30.51,$30.835,$30.44
