Date,Close/Last,Volume,Open,High,Low
09/06/2024,$106.59,1235653,$106.59,$107.82,$105.97
09/05/2024,$106.50,1228741,$105.65,$107.36,$104.59
09/04/2024,$105.54,1585329,$106.32,$107.455,$104.48
09/03/2024,$106.06,1732021,$105.00,$106.80,$104.71
08/30/2024,$105.73,1677051,$106.38,$106.95,$104.495
08/29/2024,$105.73,2657980,$104.10,$106.58,$100.74
08/28/2024,$94.54,1231948,$94.55,$95.435,$94.25
08/27/2024,$94.35,1397835,$94.82,$95.61,$94.10
08/26/2024,$94.45,1166392,$94.78,$95.38,$93.965
08/23/2024,$94.62,1614938,$94.39,$94.98,$93.69
08/22/2024,$94.11,886865,$93.97,$94.45,$93.29
08/21/2024,$93.66,1230776,$95.88,$95.94,$92.44
08/20/2024,$95.89,947130,$95.15,$96.61,$94.94
08/19/2024,$95.22,845530,$94.40,$95.36,$93.93
08/16/2024,$94.14,785196,$92.08,$94.25,$91.91
08/15/2024,$92.00,685273,$91.97,$92.4901,$91.435
08/14/2024,$91.42,786612,$91.37,$91.55,$90.23
08/13/2024,$91.99,1034695,$90.94,$92.48,$90.745
08/12/2024,$90.97,1429931,$92.70,$93.14,$90.645
08/09/2024,$93.13,544900,$93.17,$93.585,$92.20
08/08/2024,$93.09,979514,$92.01,$93.17,$91.60
08/07/2024,$91.80,717397,$92.41,$93.89,$91.46
08/06/2024,$92.49,677024,$91.57,$93.7707,$90.88
08/05/2024,$91.41,1000241,$93.13,$93.17,$89.80
08/02/2024,$93.27,880304,$96.00,$96.00,$92.315
08/01/2024,$94.20,774513,$93.31,$94.79,$93.09
07/31/2024,$93.33,1246342,$92.69,$94.71,$92.39
07/30/2024,$92.69,776707,$92.46,$93.42,$92.40
07/29/2024,$92.61,666960,$93.31,$94.00,$92.20
07/26/2024,$93.21,1063395,$92.60,$94.17,$92.405
07/25/2024,$92.68,1231080,$92.35,$94.63,$91.89
07/24/2024,$91.99,1071528,$90.99,$93.27,$90.39
07/23/2024,$90.67,1629957,$91.45,$91.99,$90.32
07/22/2024,$91.47,590695,$91.54,$91.81,$90.05
07/19/2024,$90.75,744890,$91.80,$92.01,$89.65
07/18/2024,$91.32,1463832,$90.16,$92.805,$90.16
07/17/2024,$90.96,1665156,$88.00,$94.03,$87.77
07/16/2024,$90.14,1936339,$91.99,$91.99,$88.11
07/15/2024,$88.67,1296527,$90.17,$90.765,$88.37
07/12/2024,$90.81,1609499,$88.82,$91.596,$88.65
07/11/2024,$88.58,2861257,$86.55,$89.55,$86.48
07/10/2024,$85.55,1067164,$85.97,$86.53,$84.79
07/09/2024,$85.68,1295506,$85.98,$86.25,$85.00
07/08/2024,$85.65,1117334,$86.11,$87.05,$85.41
