Date,Close/Last,Volume,Open,High,Low
09/06/2024,$106.02,5229946,$107.73,$108.62,$105.72
09/05/2024,$107.45,5582550,$109.22,$109.39,$107.29
09/04/2024,$108.56,6251482,$110.33,$111.19,$108.44
09/03/2024,$109.85,6369950,$111.90,$111.91,$109.21
08/30/2024,$113.79,5559473,$113.12,$114.04,$112.41
08/29/2024,$114.37,5270355,$112.98,$115.14,$112.07
08/28/2024,$112.15,4506609,$112.04,$112.20,$110.64
08/27/2024,$112.43,3521682,$113.66,$113.66,$112.06
08/26/2024,$113.56,6253903,$113.02,$115.03,$112.94
08/23/2024,$111.40,4024190,$110.83,$111.49,$110.27
08/22/2024,$109.97,3644660,$109.60,$110.515,$109.41
08/21/2024,$109.62,4012061,$110.805,$111.19,$108.90
08/20/2024,$109.85,6783295,$111.57,$111.81,$108.85
08/19/2024,$111.74,4335845,$111.22,$112.75,$111.12
08/16/2024,$111.18,3819194,$110.32,$111.38,$109.86
08/15/2024,$111.23,6307107,$109.68,$111.37,$109.68
08/14/2024,$109.33,6388043,$108.51,$109.84,$108.23
08/13/2024,$108.34,5866836,$108.99,$109.375,$107.86
08/12/2024,$110.03,5906943,$108.45,$110.23,$108.28
08/09/2024,$108.61,5776222,$108.27,$109.10,$107.09
08/08/2024,$108.27,5392929,$107.24,$108.64,$106.92
08/07/2024,$106.93,7735376,$107.25,$108.44,$106.44
08/06/2024,$105.80,8424866,$104.57,$106.45,$104.11
08/05/2024,$104.57,8474984,$104.00,$105.31,$102.2658
08/02/2024,$105.77,7445068,$107.72,$108.08,$103.98
08/01/2024,$108.39,9704569,$112.45,$112.68,$107.92
07/31/2024,$111.20,7554556,$111.61,$112.40,$111.10
07/30/2024,$109.91,9794242,$109.17,$110.27,$108.94
07/29/2024,$109.12,4629531,$111.24,$111.29,$108.375
07/26/2024,$110.86,5199044,$111.15,$111.54,$109.93
07/25/2024,$111.03,5492133,$111.00,$112.04,$110.45
07/24/2024,$111.10,4808122,$111.72,$112.42,$110.51
07/23/2024,$110.83,5714279,$111.85,$112.05,$110.07
07/22/2024,$112.32,5172805,$113.60,$113.67,$112.10
07/19/2024,$114.35,7559145,$117.16,$117.32,$114.23
07/18/2024,$116.61,5957102,$116.30,$118.40,$115.3513
07/17/2024,$116.08,6484037,$115.75,$117.40,$115.53
07/16/2024,$115.19,4633690,$113.72,$115.42,$113.15
07/15/2024,$114.57,5118338,$114.01,$115.20,$113.0201
07/12/2024,$113.14,4505875,$114.40,$114.60,$112.85
07/11/2024,$113.99,5839484,$112.53,$114.38,$111.96
07/10/2024,$112.53,3867878,$110.79,$112.63,$110.48
07/09/2024,$111.19,3461634,$110.91,$112.64,$110.6565
07/08/2024,$112.23,4199597,$111.97,$112.64,$111.3171
07/05/2024,$112.55,4188395,$114.53,$114.72,$112.14
07/03/2024,$114.77,2326248,$114.05,$115.66,$113.70
07/02/2024,$114.12,3836725,$115.38,$115.61,$113.33
07/01/2024,$114.36,3925186,$115.04,$115.46,$113.65
06/28/2024,$114.38,7191846,$115.40,$115.57,$113.64
06/27/2024,$113.97,3846595,$114.00,$114.33,$113.11
06/26/2024,$113.61,5366540,$115.20,$115.20,$112.76
06/25/2024,$114.99,4961491,$114.71,$115.06,$113.66
06/24/2024,$115.17,8802734,$112.25,$115.99,$111.91
06/21/2024,$111.34,27097210,$111.83,$112.26,$110.73
06/20/2024,$111.33,5442578,$109.60,$111.85,$109.26
06/18/2024,$109.41,5690191,$110.07,$111.20,$109.01
06/17/2024,$109.54,5754208,$108.90,$109.90,$108.48
06/14/2024,$109.39,5690366,$111.18,$111.18,$109.12
06/13/2024,$110.89,5939304,$112.00,$112.17,$110.09
06/12/2024,$112.19,8650055,$114.50,$114.97,$111.56
06/11/2024,$113.63,4181946,$113.19,$113.65,$112.65
06/10/2024,$113.30,5307542,$112.38,$114.00,$111.97
06/07/2024,$112.00,4375865,$111.97,$112.79,$111.15
06/06/2024,$112.20,5355190,$111.77,$112.40,$111.54
06/05/2024,$112.23,5119098,$112.06,$112.45,$111.30
06/04/2024,$112.27,7683582,$112.80,$113.00,$111.299
06/03/2024,$113.87,7129476,$116.26,$116.43,$112.96
05/31/2024,$116.48,13830210,$113.86,$116.54,$113.77
05/30/2024,$113.58,9917059,$115.70,$116.38,$112.925
05/29/2024,$115.25,14291210,$117.60,$117.66,$113.81
05/28/2024,$118.96,3830701,$117.83,$119.23,$117.73
05/24/2024,$117.25,2851146,$118.39,$118.59,$116.86
05/23/2024,$117.65,3757306,$118.83,$119.43,$117.20
05/22/2024,$118.19,4468079,$119.52,$119.72,$117.39
05/21/2024,$120.41,2756867,$120.69,$121.73,$120.29
05/20/2024,$120.89,2814786,$121.75,$122.11,$120.49
05/17/2024,$121.71,4450253,$120.90,$121.99,$120.06
05/16/2024,$119.83,5002908,$120.35,$121.3899,$119.60
05/15/2024,$120.70,6138611,$120.67,$121.9094,$118.66
05/14/2024,$121.04,6144949,$121.53,$122.17,$120.43
05/13/2024,$121.59,6421346,$121.87,$122.56,$121.27
05/10/2024,$121.91,4515911,$123.04,$123.98,$121.57
05/09/2024,$123.39,5430639,$122.99,$124.23,$122.65
05/08/2024,$123.06,4200328,$122.83,$123.97,$122.70
05/07/2024,$123.54,5902236,$123.66,$124.94,$123.07
05/06/2024,$123.55,4848582,$123.08,$125.215,$123.02
05/03/2024,$122.23,5020657,$122.51,$122.68,$120.875
05/02/2024,$122.25,7685897,$124.72,$125.20,$121.66
05/01/2024,$124.34,5433051,$125.08,$125.73,$123.42
04/30/2024,$125.62,6296791,$129.81,$129.855,$125.43
04/29/2024,$130.22,3915236,$129.75,$130.44,$128.80
04/26/2024,$130.24,4823139,$129.46,$130.77,$128.86
04/25/2024,$130.11,3666362,$129.70,$130.64,$128.30
04/24/2024,$129.28,3846633,$129.37,$129.69,$128.29
04/23/2024,$129.84,3773647,$128.63,$130.19,$127.73
04/22/2024,$129.33,4195048,$128.61,$130.40,$126.94
04/19/2024,$129.38,3984807,$128.14,$130.51,$127.81
04/18/2024,$127.81,3588154,$128.73,$129.215,$127.25
04/17/2024,$128.33,3869900,$129.12,$130.14,$127.55
04/16/2024,$129.53,3878617,$130.00,$130.80,$128.50
04/15/2024,$130.25,4219317,$132.13,$132.61,$130.03
04/12/2024,$131.20,4955293,$134.28,$135.18,$130.39
04/11/2024,$132.92,4328801,$132.54,$133.19,$130.65
